// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
19920,9.153173,-3.528275,-0.349587,0.002279,0.013497,-0.015332
19921,9.192673,-3.489635,-0.358130,0.004848,0.012888,-0.019327
19922,9.192482,-3.524505,-0.316217,0.005173,0.012529,-0.016930
19923,9.191354,-3.488464,-0.313204,0.005857,0.014419,-0.018175
19924,9.194712,-3.484700,-0.353821,0.002645,0.015747,-0.018982
19925,9.175450,-3.520102,-0.327220,-0.002654,0.014360,-0.011470
19926,9.166928,-3.500727,-0.353880,0.001444,0.014570,-0.016026
19927,9.186497,-3.499026,-0.336981,-0.002129,0.019214,-0.014644
19928,9.158272,-3.516131,-0.338217,0.001648,0.014216,-0.020145
19929,9.142671,-3.512742,-0.394334,-0.002287,0.016609,-0.015121
19930,9.171311,-3.529055,-0.349699,-0.001924,0.013292,-0.017312
19931,9.174660,-3.525417,-0.390730,-0.001079,0.012219,-0.016630
19932,9.187036,-3.539948,-0.403857,-0.000234,0.011147,-0.015948
19933,9.173225,-3.524399,-0.346444,0.000974,0.012326,-0.018910
19934,9.195624,-3.520228,-0.372166,0.006923,0.007430,-0.020169
19935,9.176586,-3.555133,-0.346005,0.008975,0.007537,-0.022449
19936,9.168269,-3.535256,-0.372874,0.009776,0.009423,-0.017176
19937,9.183366,-3.500749,-0.312448,0.019147,0.008419,-0.023203
19938,9.165158,-3.499253,-0.326507,0.015890,0.007134,-0.017966
19939,9.177629,-3.513592,-0.339507,0.014045,0.006673,-0.019809
19940,9.188238,-3.493425,-0.350884,0.014206,0.009277,-0.019341
19941,9.169993,-3.492034,-0.365235,0.012363,0.003248,-0.019723
19942,9.179763,-3.508316,-0.336349,0.011680,0.006923,-0.019940
19943,9.175808,-3.474172,-0.291532,0.012684,0.008457,-0.018787
19944,9.190226,-3.522902,-0.306172,0.007785,0.006353,-0.019507
19945,9.183736,-3.537705,-0.334742,0.011477,0.007280,-0.015826
19946,9.182397,-3.501815,-0.332171,0.015221,0.005246,-0.016735
19947,9.173225,-3.518512,-0.318237,0.020173,0.009956,-0.022076
19948,9.146030,-3.498892,-0.360246,0.022234,0.004496,-0.022895
