// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
65004,9.483922,-2.019640,-0.066479,0.085400,0.082883,-0.166438
65005,9.562697,-2.063333,-0.114159,0.090138,0.088997,-0.163198
65006,9.600415,-2.012531,-0.157470,0.095249,0.092421,-0.153373
65007,9.579422,-1.950771,-0.196492,0.096858,0.095069,-0.139300
65008,9.616554,-1.902369,-0.240226,0.095282,0.078140,-0.128500
65009,9.752845,-1.832052,-0.239726,0.100117,0.065915,-0.112359
65010,9.987661,-1.797959,-0.333090,0.109342,0.055854,-0.102324
65011,10.170009,-1.610683,-0.457589,0.137334,0.048562,-0.090974
65012,10.383354,-1.199456,-0.481118,0.153097,0.031396,-0.086607
65013,10.422601,-0.854038,-0.462190,0.128119,0.012336,-0.077557
65014,10.334521,-0.769863,-0.333935,0.078999,0.003304,-0.071860
65015,10.156906,-0.840419,-0.166795,0.017695,-0.006199,-0.061833
65016,9.991463,-0.828575,-0.070614,-0.054450,-0.004199,-0.063986
65017,9.917727,-0.763301,0.019532,-0.165440,0.002840,-0.062166
65018,9.789681,-0.745954,0.043685,-0.294532,0.008164,-0.063513
65019,9.699128,-0.721574,-0.003758,-0.430414,0.019606,-0.079558
65020,9.566627,-0.830413,-0.136803,-0.553181,0.017874,-0.106223
65021,9.409348,-1.030996,-0.220006,-0.648855,0.022435,-0.137460
65022,9.291077,-1.264130,-0.240667,-0.715056,0.019622,-0.178590
65023,9.229192,-1.548124,-0.201547,-0.751222,0.016305,-0.220563
65024,9.210947,-1.822527,-0.168963,-0.753594,0.029758,-0.262183
65025,9.235243,-2.133554,-0.039797,-0.735412,0.040214,-0.297159
65026,9.282197,-2.514796,-0.021817,-0.689630,0.066003,-0.316885
65027,9.276769,-2.715336,0.060370,-0.603710,0.086012,-0.340344
65028,9.256569,-2.751166,0.086700,-0.508099,0.113315,-0.363470
65029,9.319369,-2.843121,0.125438,-0.426376,0.128402,-0.378656
65030,9.293864,-2.918246,0.155777,-0.354486,0.140474,-0.386398
65031,9.364779,-3.039122,0.213763,-0.300883,0.144140,-0.388837
65032,9.398360,-3.143764,0.119855,-0.256706,0.139548,-0.374565
65033,9.463957,-3.235592,0.164496,-0.222497,0.138353,-0.349937
65034,9.562387,-3.288214,0.159071,-0.187102,0.129777,-0.318373
65035,9.640521,-3.324480,0.121594,-0.150573,0.113971,-0.268363
65036,9.723377,-3.323510,0.087397,-0.114952,0.106142,-0.213715
