// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
48553,9.752856,-1.389883,1.219518,0.000558,0.012398,-0.018718
48554,9.740360,-1.330059,1.214051,-0.004923,0.008890,-0.017258
48555,9.741398,-1.363795,1.173258,-0.014911,0.012467,-0.015659
48556,9.732108,-1.413843,1.189219,-0.007935,0.013674,-0.020791
48557,9.743155,-1.414211,1.149544,0.003905,0.009910,-0.016599
48558,9.721242,-1.406078,1.159115,0.010500,0.012592,-0.017351
48559,9.709303,-1.364615,1.169590,0.015214,0.008337,-0.021080
48560,9.718969,-1.312939,1.229005,0.007458,0.010245,-0.018077
48561,9.730049,-1.313237,1.189101,-0.005527,0.007709,-0.020164
48562,9.731812,-1.365315,1.163874,-0.012300,0.009330,-0.018626
48563,9.744052,-1.403207,1.155407,0.001464,0.008755,-0.014408
48564,9.765811,-1.390994,1.205408,0.009807,0.008214,-0.025375
48565,9.721338,-1.357434,1.207322,0.022851,0.006832,-0.015354
48566,9.741781,-1.305697,1.152675,0.025538,0.007078,-0.024078
48567,9.718792,-1.259350,1.130487,0.022834,0.007012,-0.026227
48568,9.743358,-1.335659,1.112860,0.021646,0.004469,-0.021169
48569,9.710586,-1.324660,1.162816,0.022964,0.006473,-0.024053
48570,9.753816,-1.299450,1.188733,0.018159,0.007519,-0.025445
48571,9.753405,-1.278379,1.174000,0.008299,0.010530,-0.021692
48572,9.721682,-1.302901,1.182422,0.002692,0.007553,-0.022406
48573,9.787437,-1.301073,1.142371,-0.004682,0.007974,-0.023786
48574,9.736088,-1.391769,1.148917,-0.000529,0.009503,-0.022349
48575,9.746743,-1.375143,1.166401,0.007495,0.006521,-0.021004
48576,9.723093,-1.312816,1.201290,0.008612,0.005692,-0.020298
48577,9.733083,-1.277816,1.202790,0.004073,0.005635,-0.017359
48578,9.714826,-1.377569,1.159975,0.001504,0.005013,-0.017345
48579,9.748809,-1.404771,1.200210,0.001557,0.001260,-0.020293
48580,9.769244,-1.355311,1.218168,0.010327,0.006058,-0.016678
48581,9.757765,-1.332402,1.244156,0.010724,0.011729,-0.023854
48582,9.769548,-1.350941,1.220588,0.012905,0.013826,-0.019494
48583,9.758039,-1.327817,1.246910,0.009140,0.010828,-0.025297
48584,9.737399,-1.354411,1.214810,0.010855,0.011189,-0.021681
48585,9.705077,-1.360441,1.207638,0.013091,0.009531,-0.020268
48586,9.739667,-1.403945,1.191186,0.022103,0.006279,-0.020377
