// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
33880,9.331720,-2.962341,1.168194,-0.025299,0.012052,-0.038252
33881,9.331449,-3.020862,1.199672,-0.026764,0.012655,-0.035180
33882,9.364293,-3.082990,1.149578,-0.026944,0.010611,-0.026539
33883,9.353198,-3.102423,1.145878,-0.017182,0.009531,-0.014613
33884,9.353465,-3.101564,1.146026,-0.010527,0.002821,-0.007156
33885,9.352807,-3.132669,1.161345,-0.013950,0.000901,0.009963
33886,9.325804,-3.160136,1.224117,-0.011708,-0.004018,0.026652
33887,9.320182,-3.212583,1.201044,-0.009948,-0.009466,0.029760
33888,9.298859,-3.301107,1.260536,-0.001919,-0.012457,0.043842
33889,9.329112,-3.396928,1.348432,-0.002104,-0.020417,0.060979
33890,9.439073,-3.578982,1.501104,0.001744,-0.020997,0.072398
33891,9.756355,-3.790755,1.644111,0.007822,-0.029826,0.084460
33892,10.245724,-4.070014,1.626049,0.030413,-0.026831,0.103175
33893,10.567102,-4.318539,1.628874,0.054983,-0.004734,0.110110
33894,10.753451,-4.564755,1.712671,0.059119,0.029952,0.117371
33895,10.691990,-4.829434,1.869224,0.067036,0.057705,0.134962
33896,10.205584,-5.012666,1.941638,0.087669,0.086072,0.164713
33897,9.511722,-5.179939,2.078153,0.078945,0.101925,0.218335
33898,8.921108,-5.487694,2.177438,0.114894,0.100314,0.271052
33899,8.669265,-5.869687,2.387488,0.206613,0.086259,0.338236
33900,8.703176,-6.216766,2.582811,0.335776,0.064631,0.404889
33901,8.967615,-6.512848,2.684995,0.508567,0.048138,0.478808
33902,9.272121,-6.615824,2.660216,0.687566,0.039742,0.558041
33903,9.428796,-6.455065,2.553899,0.827475,0.058343,0.650034
33904,9.516129,-6.398209,2.383756,0.915396,0.073414,0.748964
33905,9.528103,-6.328277,2.327317,0.986403,0.090883,0.857078
33906,9.527025,-6.269248,2.308471,1.053519,0.101911,0.961884
33907,9.645694,-6.061820,2.478721,1.110524,0.111719,1.056794
33908,9.795704,-5.897995,2.762086,1.117888,0.126794,1.144743
33909,9.886171,-5.712180,2.850493,1.073489,0.156590,1.246128
33910,9.893134,-5.558347,2.791132,0.985085,0.188705,1.350900
33911,9.782608,-5.483105,2.666384,0.855747,0.222190,1.457157
33912,9.742540,-5.480306,2.592206,0.722372,0.246377,1.557494
33913,9.712165,-5.537670,2.573118,0.590699,0.273991,1.645039
33914,9.650279,-5.703433,2.463626,0.490912,0.289732,1.733450
33915,9.620279,-6.004605,2.339496,0.443345,0.301658,1.806887
33916,9.477668,-6.233262,2.237028,0.446437,0.317849,1.883128
