// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
00460,9.752755,0.170050,0.516123,-0.002086,0.015870,-0.014561
00461,9.752653,0.171233,0.517673,-0.005123,0.015787,-0.010085
00462,9.809488,0.190460,0.521683,-0.001348,0.012526,-0.012869
00463,9.825654,0.173472,0.523311,-0.001329,0.009993,-0.012284
00464,9.848553,0.163435,0.557929,-0.006445,0.009221,-0.013119
00465,9.841323,0.190308,0.536637,-0.013006,0.003052,-0.011836
00466,9.825504,0.176758,0.525018,-0.007915,-0.000656,-0.007254
00467,9.816428,0.169506,0.546320,-0.019103,-0.001593,0.000861
00468,9.791111,0.180402,0.566910,-0.012290,-0.004769,-0.006399
00469,9.816461,0.169898,0.545615,-0.015391,-0.004270,0.000654
00470,9.807433,0.162287,0.566232,-0.017474,-0.011974,-0.000328
00471,9.775440,0.166003,0.552954,-0.010172,-0.009144,0.000081
00472,9.800819,0.155235,0.531113,-0.003549,-0.010570,0.000550
00473,9.823864,0.143843,0.563764,0.001567,-0.009796,0.001385
00474,9.823465,0.176399,0.574053,0.005261,-0.009938,0.000592
00475,9.823514,0.176374,0.573225,0.010357,-0.006632,0.000843
00476,9.839799,0.157869,0.573295,0.002102,-0.001842,0.005894
00477,9.864681,0.179207,0.563532,0.005011,-0.000593,0.006573
00478,9.848893,0.164188,0.551677,-0.000106,-0.001367,0.005738
00479,9.848900,0.163498,0.551755,0.002720,0.002996,0.008410
00480,9.849337,0.129897,0.540903,0.003358,0.005302,0.011509
00481,9.839817,0.153843,0.574086,0.006988,0.005741,0.013293
00482,9.823128,0.203456,0.585305,0.006285,0.004017,0.012771
00483,9.865096,0.140689,0.554438,0.002533,0.011756,0.011812
00484,9.864622,0.171946,0.566817,0.001703,0.011196,0.016445
00485,9.839688,0.148536,0.577681,-0.004154,0.013765,0.013919
00486,9.866875,0.169662,0.514867,-0.000461,0.013619,0.013127
00487,9.841927,0.146391,0.525904,-0.001247,0.015008,0.014599
00488,9.832789,0.137378,0.548603,-0.000510,0.011666,0.016290
00489,9.816933,0.121419,0.537999,0.000976,0.011996,0.015341
00490,9.864328,0.163205,0.574465,-0.002654,0.011559,0.013555
00491,9.848470,0.147676,0.563764,0.007006,0.010209,0.009553
00492,9.834611,0.165272,0.509583,0.000289,0.007739,0.015403
00493,9.816380,0.149055,0.553100,-0.003994,0.007531,0.009933
00494,9.834563,0.162893,0.511271,0.001037,0.011410,0.012765
00495,9.866566,0.157990,0.524414,-0.001002,0.005663,0.008620
00496,9.834911,0.128452,0.501474,-0.000234,0.006804,0.006565
00497,9.841988,0.102048,0.523901,0.001989,0.003794,0.007307
00498,9.866527,0.156071,0.525715,0.004347,-0.000376,0.002894
00499,9.866920,0.122810,0.514584,0.008543,0.002940,0.010359
00500,9.850717,0.140515,0.514102,0.005132,-0.001766,0.001423
00501,9.850339,0.173018,0.525222,0.008040,-0.000523,0.002104
00502,9.857433,0.147055,0.547116,0.009461,0.000389,0.003733
00503,9.841234,0.165095,0.546527,0.002925,-0.001288,0.001265
00504,9.832127,0.157645,0.567723,0.005198,-0.002347,-0.001154
00505,9.834555,0.158427,0.512821,0.003076,-0.004981,-0.003305
00506,9.857478,0.147448,0.546198,0.005967,-0.001207,-0.003210
00507,9.832159,0.158611,0.566908,-0.001354,-0.001493,-0.004206
00508,9.882403,0.170151,0.536528,0.000818,0.003091,-0.005218
00509,9.850350,0.174523,0.524524,0.000818,0.003091,-0.005218
