// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
04274,9.801938,-0.818742,-0.871160,-0.129547,0.009976,-0.011692
04275,9.774722,-0.949200,-0.926505,-0.136204,0.010174,-0.013893
04276,9.811182,-1.036955,-0.900575,-0.124355,0.010673,-0.011377
04277,9.823093,-1.048193,-0.917401,-0.108529,0.012611,-0.010361
04278,9.784195,-1.043963,-0.946324,-0.086519,0.012337,-0.010256
04279,9.820563,-1.011036,-0.910149,-0.077384,0.012738,-0.005045
04280,9.846981,-0.948701,-0.939869,-0.071223,0.013990,-0.002226
04281,9.846210,-0.956252,-0.897816,-0.067817,0.011721,-0.000467
04282,9.877578,-0.970182,-0.899468,-0.064961,0.013058,0.001258
04283,9.958867,-1.008013,-0.847310,-0.064758,0.012582,-0.004452
04284,10.249418,-1.054273,-0.746376,-0.054632,0.065725,-0.004592
04285,10.702785,-1.059191,-0.765651,0.011648,0.219634,-0.021309
04286,10.792742,-1.044816,-0.931653,0.054968,0.347008,-0.029479
04287,10.269730,-1.284684,-1.432630,0.074926,0.348588,0.016935
04288,9.913663,-1.941571,-0.788040,0.054799,0.119883,0.098556
04289,10.794141,-2.098377,0.433686,0.136097,0.091166,0.157352
04290,10.796109,-1.728303,0.716492,0.209547,0.176108,0.228293
04291,10.340112,-1.424276,0.831642,0.179624,0.200357,0.326563
04292,10.255223,-1.271273,0.572340,0.108456,0.208727,0.392074
04293,10.122089,-1.222324,0.245232,-0.025575,0.168261,0.448618
04294,10.447240,-1.508332,-0.033171,-0.207827,0.090869,0.505953
04295,10.811346,-1.988692,-0.356771,-0.318712,0.013443,0.597903
04296,10.635857,-2.657794,-0.669594,-0.311174,-0.102918,0.656240
04297,10.391699,-3.259022,-1.274611,-0.092314,-0.284100,0.693831
04298,10.438245,-3.605727,-1.609734,0.232024,-0.510909,0.723178
04299,10.818738,-3.690552,-1.845157,0.560970,-0.740341,0.758193
04300,11.480931,-3.715065,-1.902067,0.854985,-0.955329,0.762376
04301,12.039577,-3.906088,-1.956114,1.055605,-1.117760,0.819020
04302,12.300102,-4.148673,-1.968743,1.231611,-1.261375,0.892580
04303,12.581405,-4.575106,-1.933289,1.404462,-1.385967,0.974114
04304,12.810032,-4.600771,-1.772163,1.570021,-1.471174,1.064937
04305,13.029217,-4.986938,-2.061617,1.709226,-1.518163,1.166479
04306,12.783519,-5.063517,-2.775889,1.894589,-1.566130,1.286386
04307,12.585465,-4.945097,-3.426447,1.977307,-1.635709,1.411672
04308,12.565074,-4.930410,-3.766592,1.933726,-1.697031,1.517233
04309,12.176525,-5.238176,-4.103773,1.942779,-1.718258,1.611263
04310,11.519999,-5.697392,-4.912237,2.088127,-1.764245,1.680985
04311,11.335169,-5.778369,-5.100144,2.342809,-1.833939,1.754245
04312,11.345082,-5.540401,-5.115531,2.513584,-1.883199,1.838545
04313,11.225858,-5.670795,-5.190547,2.563792,-1.907904,1.949698
04314,10.985121,-6.181719,-5.642188,2.592290,-1.938369,2.048141
04315,10.944866,-6.697034,-5.873862,2.713606,-1.958245,2.183305
04316,10.628922,-6.914345,-5.787207,2.796764,-1.934437,2.310987
04317,9.990406,-7.462962,-6.193420,2.915743,-1.934431,2.452304
04318,9.661556,-7.559772,-5.654406,3.075686,-1.935929,2.603705
04319,9.076790,-7.447872,-5.535984,3.180080,-1.928708,2.736848
04320,8.451566,-7.227563,-5.160101,3.229042,-1.899176,2.876480
04321,7.806784,-6.797759,-4.631516,3.148036,-1.872121,3.000209
04322,7.110992,-6.697589,-4.399546,2.986619,-1.838388,3.110104
04323,6.522170,-6.743429,-4.114532,2.767527,-1.830293,3.224587
04324,6.303614,-6.702097,-3.293306,2.474450,-1.812993,3.345968
04325,5.852857,-7.097787,-3.121110,2.123160,-1.813895,3.483279
04326,5.427232,-7.656865,-3.046080,1.876844,-1.807651,3.618051
04327,4.994194,-7.805588,-2.678158,1.716117,-1.811089,3.744326
04328,4.481405,-8.463367,-3.140090,1.539444,-1.852405,3.880198
04329,4.130027,-8.666776,-3.586443,1.619024,-1.912995,4.003194
04330,3.543373,-7.545451,-3.489145,1.631903,-2.002313,4.133895
04331,3.120278,-6.901720,-2.943585,1.258736,-2.074193,4.246917
04332,2.718812,-7.254564,-2.463841,0.847637,-2.150973,4.334228
04333,2.443183,-8.135357,-2.662669,0.590409,-2.261201,4.408605
04334,2.401756,-8.449092,-2.450311,0.504295,-2.326433,4.490549
04335,2.099118,-8.331138,-2.163638,0.529228,-2.372686,4.557698
04336,1.705232,-8.511898,-2.674558,0.513048,-2.431785,4.627227
04337,1.911365,-8.683050,-2.554961,0.652809,-2.484403,4.687834
04338,2.018368,-8.056730,-2.322721,0.813898,-2.499264,4.697857
04339,1.766097,-7.787870,-2.095026,0.874986,-2.493115,4.712742
04340,1.509205,-7.953600,-1.776382,0.882029,-2.480827,4.710248
04341,1.146145,-8.444288,-1.905586,0.976774,-2.466653,4.710111
04342,0.782389,-8.534510,-1.782500,1.217079,-2.435802,4.714117
04343,0.244262,-8.365293,-1.313293,1.501562,-2.372444,4.722352
04344,-0.257297,-8.446487,-1.532300,1.825059,-2.291037,4.745839
04345,-0.462829,-8.267966,-1.255326,2.196564,-2.169886,4.774124
04346,-0.652166,-7.624616,-1.094399,2.604141,-2.006164,4.756765
04347,-1.133561,-6.931913,-1.026815,2.883913,-1.823089,4.718854
04348,-1.774203,-6.724757,-1.141253,3.128485,-1.641699,4.671843
04349,-2.264641,-6.418271,-0.694697,3.356886,-1.434247,4.584679
04350,-2.770376,-6.206008,-0.455240,3.558591,-1.189583,4.476633
04351,-3.343559,-5.844177,0.195765,3.714636,-0.928878,4.351324
04352,-3.886275,-4.981806,0.976727,3.816391,-0.672117,4.167309
04353,-4.311249,-3.757817,2.062056,3.748090,-0.393764,3.951492
04354,-4.889280,-2.615927,2.758201,3.490144,-0.113070,3.719971
04355,-5.413121,-1.695540,3.269383,3.094098,0.151229,3.475351
04356,-5.921071,-1.274847,3.542608,2.589691,0.392741,3.224170
04357,-6.540672,-1.379408,3.394387,2.087854,0.602055,2.970957
04358,-7.184488,-1.744438,3.099917,1.644417,0.766667,2.700889
04359,-7.805149,-2.032636,2.968283,1.363651,0.860240,2.351677
04360,-7.971648,-1.971051,3.152340,1.184617,0.944991,1.992823
04361,-8.199554,-1.921511,3.285015,1.026823,1.030267,1.619972
04362,-8.384995,-1.810552,3.373420,0.891677,1.070629,1.209550
04363,-8.236442,-2.098755,2.896366,0.697898,1.097854,0.813061
04364,-7.722991,-2.559354,2.641097,0.532603,1.118515,0.474591
04365,-7.724096,-2.878713,2.504688,0.397839,1.138391,0.157880
04366,-8.032664,-3.126531,2.200941,0.301610,1.127543,-0.168689
04367,-8.389130,-3.092978,2.012395,0.258027,1.076157,-0.487227
04368,-8.468277,-2.832697,1.998493,0.249511,0.985461,-0.822195
04369,-8.283609,-2.491610,1.961975,0.266268,0.878643,-1.179725
04370,-7.953944,-2.140585,2.275540,0.254279,0.767627,-1.519608
04371,-7.368910,-2.080540,2.442359,0.194599,0.688343,-1.835578
04372,-7.033749,-2.128759,2.289289,0.191471,0.632227,-2.166103
04373,-6.557015,-2.081356,2.395096,0.170759,0.579129,-2.482634
04374,-5.895913,-2.059048,2.249733,0.088125,0.551043,-2.772755
04375,-5.200305,-3.011249,1.924356,-0.278603,0.559044,-2.994059
04376,-4.099872,-5.524689,0.241826,-0.615402,0.523022,-3.054078
04377,-3.630860,-7.458890,0.177493,-0.620114,0.422263,-3.074129
04378,-3.616141,-7.990779,0.288916,-0.301296,0.266962,-3.256532
04379,-3.870368,-7.335575,0.745095,0.108743,0.149131,-3.486297
04380,-3.845197,-6.389097,1.010816,0.471015,0.063318,-3.743108
04381,-3.501732,-5.066370,1.341012,0.699412,0.005631,-4.035300
04382,-2.882675,-3.786064,1.416920,0.750703,-0.046172,-4.350265
04383,-2.094055,-2.897737,1.584140,0.625995,-0.107190,-4.683463
04384,-0.934058,-2.735228,1.704860,0.423113,-0.152138,-5.000312
04385,0.598929,-3.082871,2.067419,0.196672,-0.143497,-5.265546
04386,2.355956,-3.655495,2.152208,0.061619,-0.091964,-5.528986
04387,4.020192,-4.371155,2.455429,0.033330,0.010364,-5.808447
04388,5.290239,-4.913171,2.453131,0.137198,0.115419,-6.075894
04389,6.790911,-5.426773,2.630993,0.304963,0.239250,-6.315968
04390,8.394424,-5.628996,3.208034,0.484616,0.396874,-6.594207
04391,10.022632,-6.635030,3.868605,0.556352,0.552665,-6.822927
04392,11.942750,-8.457718,4.702763,0.585309,0.757665,-6.877210
04393,13.867629,-10.447858,5.114065,0.671863,0.950299,-6.763985
04394,15.473295,-12.218768,4.396418,0.888958,1.063012,-6.422233
04395,16.252701,-13.958140,2.733316,0.925164,1.022349,-5.764124
04396,15.770518,-15.655165,2.292239,0.766454,0.965262,-4.929266
04397,13.258054,-17.938140,2.803941,0.403942,0.933757,-4.042153
04398,9.603168,-20.879199,1.188620,0.371341,0.962146,-2.974499
04399,3.559812,-22.197626,-0.684091,0.758812,0.762749,-1.695403
04400,0.338090,-17.257144,1.351461,1.571104,0.158600,-0.563441
04401,1.526280,-7.512474,3.127365,2.289647,-0.218501,-0.505533
04402,2.620757,-1.618436,3.926457,1.856390,-0.247287,-0.655265
04403,3.851770,-1.582336,4.366890,0.425216,-0.312952,-0.487784
04404,4.794539,-4.828766,4.073882,-0.792763,-0.303007,-0.218895
04405,5.011919,-8.314704,3.859880,-1.244889,-0.253835,-0.114968
04406,5.149299,-10.682638,3.990071,-1.007861,-0.207480,-0.150362
04407,5.352358,-11.907533,3.914536,-0.451071,-0.165846,-0.218751
04408,5.621068,-12.314838,3.554830,0.109546,-0.111447,-0.282397
04409,5.585281,-12.191322,3.246318,0.557504,-0.051512,-0.276951
04410,4.981626,-11.547881,3.310432,0.843979,-0.037839,-0.205908
04411,4.314621,-10.835092,3.601717,0.944443,-0.080839,-0.113622
04412,3.928871,-10.079434,3.914313,0.912905,-0.123298,-0.034035
04413,3.828365,-9.690793,4.046267,0.748293,-0.158473,0.009263
04414,4.104768,-9.678067,4.089737,0.569172,-0.167589,0.042969
04415,4.489844,-9.435778,4.052103,0.439476,-0.141310,0.051143
04416,4.652663,-8.978037,3.928085,0.323188,-0.117017,0.057230
04417,4.479479,-8.813300,3.588248,0.210455,-0.135447,0.089112
04418,4.322841,-9.015034,3.334345,0.196971,-0.202404,0.140886
04419,4.113518,-8.821695,3.554162,0.247458,-0.300849,0.189607
04420,4.142204,-8.912569,3.634087,0.196285,-0.404398,0.281716
04421,4.220843,-9.530448,3.122722,0.190272,-0.514714,0.431729
04422,4.320319,-9.879882,2.889996,0.335860,-0.661185,0.594330
04423,4.695048,-9.796060,3.114850,0.504449,-0.805757,0.745992
04424,5.179063,-9.258497,3.691830,0.523354,-0.910740,0.988723
04425,5.609488,-8.916453,3.816976,0.415446,-1.001703,1.226074
04426,5.809264,-8.659534,3.550444,0.321912,-1.073167,1.442165
04427,5.705068,-8.638851,2.559876,0.244777,-1.211251,1.649908
04428,5.632864,-9.690282,1.053110,0.328190,-1.459429,1.766019
04429,6.126193,-11.436034,-0.300329,1.083032,-1.694953,1.777355
04430,6.817509,-12.174475,-0.243240,2.413648,-1.852952,1.817518
04431,7.925910,-11.465848,0.361826,3.714362,-1.922664,1.969126
04432,8.559774,-9.566866,1.031550,4.600182,-1.903562,2.223914
04433,8.809689,-7.677769,1.900881,4.832149,-1.856360,2.505795
04434,8.778178,-6.296771,2.861284,4.450872,-1.804045,2.788937
04435,8.806692,-6.200799,3.446118,3.560293,-1.751835,3.039099
04436,8.770890,-7.099982,4.036488,2.503262,-1.688280,3.262140
04437,8.375936,-8.740275,4.285067,1.570119,-1.646382,3.413380
04438,7.803366,-10.098457,4.087361,0.964921,-1.613404,3.528175
04439,7.191146,-10.800467,3.935638,0.622922,-1.581978,3.628687
04440,6.789006,-10.689070,4.298813,0.331732,-1.531667,3.740323
04441,6.451299,-10.172488,4.669501,-0.059239,-1.463040,3.844018
04442,5.859732,-9.669926,5.320089,-0.475752,-1.384252,3.942696
04443,4.942391,-9.284461,5.854348,-0.888074,-1.322511,4.008262
04444,3.948973,-9.122472,6.134157,-1.244439,-1.266453,4.035870
04445,3.084812,-9.083545,6.047391,-1.430317,-1.181205,4.036986
04446,2.286531,-8.931818,6.145668,-1.512738,-1.098470,3.990088
04447,1.695430,-8.897094,5.958675,-1.481570,-0.981058,3.893209
04448,1.211388,-8.676806,5.934372,-1.342990,-0.852112,3.819617
04449,0.799902,-8.036058,6.436399,-1.246112,-0.739359,3.724431
04450,0.342401,-7.894928,6.742195,-1.290117,-0.602469,3.643157
04451,-0.009875,-8.186950,6.867063,-1.363542,-0.449930,3.645619
04452,-0.307121,-7.646185,7.496867,-1.398516,-0.292251,3.609024
04453,-0.713720,-7.283639,7.525443,-1.497789,-0.113569,3.520962
04454,-1.048899,-7.207110,7.719723,-1.548606,0.117049,3.468174
04455,-1.179878,-6.625893,7.926483,-1.537522,0.367984,3.378260
04456,-1.361725,-6.121623,7.644227,-1.482101,0.668206,3.230050
04457,-1.641601,-5.755208,6.826276,-1.380134,0.985213,3.092255
04458,-1.892700,-5.051927,6.455937,-1.315868,1.282576,2.970631
04459,-2.140533,-4.045778,6.026201,-1.396600,1.546632,2.831126
