// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
04945,8.834199,-4.433100,1.600052,-0.286370,0.094064,-0.027586
04946,8.722524,-5.567934,1.491927,-0.007705,0.039628,-0.025579
04947,8.457836,-6.244465,1.423849,0.442035,-0.053846,-0.018391
04948,8.483919,-6.264717,1.645038,0.950664,-0.154959,-0.007917
04949,8.842322,-5.798502,1.751831,1.424600,-0.241187,-0.000773
04950,9.163657,-5.249501,1.902230,1.814719,-0.257954,0.022444
04951,9.272049,-4.837056,1.653491,2.103848,-0.255160,0.032106
04952,9.152008,-3.869726,1.605122,2.266722,-0.260842,0.047660
04953,9.211381,-2.722013,1.940830,2.222326,-0.241545,0.054892
04954,9.327948,-1.815280,2.413069,1.945516,-0.195757,0.052509
04955,9.440541,-1.197524,2.979049,1.508811,-0.114500,0.055858
04956,9.391405,-0.468454,3.336646,0.931917,-0.029130,0.055369
04957,9.378512,0.058730,3.438200,0.217112,0.072332,0.056936
04958,9.339215,0.043307,3.171058,-0.547604,0.186213,0.054192
04959,9.170493,-0.822055,2.574902,-1.198213,0.281130,0.036394
04960,9.028215,-1.802852,2.327971,-1.660319,0.341892,0.027106
04961,9.018134,-2.945747,2.222539,-1.894004,0.388399,0.029467
04962,8.950150,-4.159771,1.923843,-1.919517,0.389739,0.046228
04963,8.683741,-5.400438,1.571601,-1.709869,0.344170,0.074629
04964,8.265282,-6.532187,1.179435,-1.270495,0.233294,0.107032
04965,8.158623,-7.594734,1.305846,-0.587501,0.086418,0.145170
04966,8.315374,-8.169006,1.706794,0.243774,-0.079951,0.181123
04967,8.705582,-8.006664,2.329826,1.112300,-0.219397,0.228918
04968,9.267242,-6.692314,3.021467,1.773918,-0.292738,0.285850
04969,9.487995,-4.891763,3.059477,2.095536,-0.315114,0.350177
04970,9.482017,-3.189830,3.146836,2.060406,-0.296741,0.403531
04971,9.586258,-2.029987,3.521636,1.742647,-0.233388,0.443425
04972,9.817197,-1.450950,4.065920,1.246763,-0.110512,0.465795
04973,9.930500,-1.023358,4.513686,0.668686,0.061958,0.471241
04974,10.178132,-0.530912,5.193601,0.072059,0.301632,0.454048
04975,10.137208,0.428588,5.210877,-0.614820,0.602294,0.410650
04976,9.392080,1.233358,3.788942,-1.406129,0.820273,0.359448
04977,9.134255,0.501721,3.040461,-2.155967,1.017933,0.334725
04978,9.324635,-1.331442,2.519892,-2.783376,1.181577,0.342880
04979,9.450943,-3.119850,2.373619,-3.212457,1.318538,0.367836
04980,9.290693,-4.294635,2.405014,-3.521202,1.421597,0.441696
04981,9.024553,-5.001676,2.270266,-3.705381,1.467586,0.516439
04982,8.488213,-5.536894,1.370298,-3.818849,1.451601,0.595973
