// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
28689,9.564857,0.513130,2.367459,0.007722,-0.014679,-0.009143
28690,9.600504,0.449422,2.318576,0.008316,-0.004147,-0.008603
28691,9.552536,0.485696,2.321719,0.017454,-0.005114,-0.003051
28692,9.590756,0.519045,2.342582,0.016763,-0.002735,-0.001699
28693,9.558334,0.527115,2.333077,0.011570,-0.003915,-0.006181
28694,9.565348,0.517227,2.364581,0.013418,-0.006690,-0.005448
28695,9.581020,0.490031,2.351251,0.014984,-0.004001,-0.005488
28696,9.617826,0.474750,2.337801,0.010970,0.002188,-0.003501
28697,9.606353,0.394948,2.314033,0.011776,0.011299,0.000865
28698,9.548091,0.398780,2.328821,0.019813,0.009632,0.009894
28699,9.601509,0.402890,2.338690,0.028389,0.019599,0.013900
28700,9.602465,0.451071,2.374875,0.026984,0.016591,0.012218
28701,9.539717,0.463088,2.412689,0.026133,0.019292,0.015297
28702,9.591644,0.418070,2.388712,0.027009,0.024363,0.016609
28703,9.600338,0.304667,2.463349,0.033862,0.031964,0.022390
28704,9.664320,0.188633,2.470486,0.039611,0.038866,0.031651
28705,9.694723,0.034816,2.566829,0.060381,0.060259,0.052840
28706,9.685980,-0.058526,2.526760,0.093518,0.073165,0.077683
28707,9.745238,-0.027109,2.478733,0.130312,0.092369,0.111508
28708,9.746207,0.005358,2.445751,0.159860,0.102803,0.155950
28709,9.749499,0.033125,2.467774,0.175387,0.104609,0.182543
28710,9.735835,0.037732,2.468399,0.193586,0.112810,0.214326
28711,9.759791,-0.072274,2.629410,0.195821,0.125201,0.247767
28712,9.745249,-0.117933,2.784674,0.186743,0.146133,0.281390
28713,9.766319,-0.234060,2.950213,0.159781,0.170372,0.314512
28714,9.861068,-0.395807,3.017148,0.118418,0.206732,0.346608
28715,10.061727,-0.719326,2.907675,0.153805,0.259613,0.380044
28716,10.114612,-0.770758,2.957404,0.217429,0.310926,0.430958
28717,10.163618,-0.716224,3.047617,0.270847,0.355860,0.470093
28718,10.153183,-0.657607,3.154378,0.317625,0.387805,0.504576
28719,10.203419,-0.616014,3.175588,0.362089,0.420949,0.536979
28720,10.052841,-0.557758,3.312208,0.391844,0.449008,0.572757
28721,10.053724,-0.643453,3.382154,0.393621,0.469578,0.614669
28722,10.027405,-0.794825,3.367460,0.383559,0.489029,0.672787
28723,9.953033,-0.913924,3.355025,0.364217,0.505114,0.729608
28724,9.845178,-1.030113,3.333073,0.332971,0.526775,0.796126
28725,9.745741,-1.174189,3.213127,0.277965,0.521794,0.866918
28726,9.773475,-1.136442,3.113477,0.225712,0.523798,0.943362
28727,9.744119,-1.218645,3.024597,0.132037,0.524486,1.015784
28728,9.726524,-1.589872,2.961459,0.039220,0.525990,1.092606
28729,9.762911,-1.801903,2.940753,0.000059,0.533487,1.166012
28730,9.737604,-1.959385,3.071183,-0.044921,0.558148,1.247609
28731,9.706599,-2.124969,3.202679,-0.074243,0.573676,1.311041
28732,9.666341,-2.226241,3.410211,-0.107653,0.595938,1.371430
28733,9.638277,-2.366921,3.499934,-0.127169,0.612482,1.429801
28734,9.560209,-2.458999,3.609039,-0.143020,0.631711,1.482063
28735,9.438910,-2.482250,3.561733,-0.145628,0.643254,1.544219
28736,9.409582,-2.559850,3.532429,-0.147555,0.647566,1.599113
28737,9.511991,-2.682443,3.579968,-0.166755,0.651123,1.664383
28738,9.554414,-2.886934,3.625350,-0.165187,0.652383,1.713360
28739,9.573166,-3.035394,3.690814,-0.174332,0.655573,1.770247
28740,9.529876,-3.199916,3.860564,-0.174892,0.646850,1.806464
28741,9.569825,-3.253108,3.905629,-0.157627,0.646529,1.833227
28742,9.462255,-3.162229,3.901188,-0.135019,0.649594,1.845287
28743,9.257283,-3.144885,3.830941,-0.171987,0.659405,1.840699
28744,9.107459,-3.315859,4.008392,-0.221711,0.641168,1.824119
28745,9.218785,-3.363792,4.114727,-0.248007,0.631032,1.828189
28746,9.195783,-3.502385,4.183779,-0.287009,0.652240,1.847189
28747,9.157468,-3.681317,4.184951,-0.321552,0.646723,1.868488
28748,9.111596,-3.830753,4.194040,-0.347091,0.641660,1.889076
28749,8.938070,-4.022163,4.226319,-0.379911,0.630003,1.904762
28750,8.800482,-4.254542,4.172369,-0.386306,0.606348,1.910414
28751,8.707143,-4.306053,4.252929,-0.388301,0.588889,1.913836
28752,8.501473,-4.597954,4.270371,-0.416925,0.577972,1.914779
28753,8.385966,-4.918681,4.290268,-0.381892,0.568220,1.912414
28754,8.290599,-5.313120,4.270864,-0.317101,0.553361,1.922718
28755,8.227653,-5.640194,4.171811,-0.194024,0.542908,1.942517
28756,8.165130,-5.821119,4.089670,-0.031792,0.526093,1.969155
28757,8.059873,-5.829481,4.170745,0.105312,0.506215,1.987497
28758,7.920062,-5.794761,4.092495,0.212358,0.489036,1.994544
28759,7.863782,-5.621289,4.096317,0.307302,0.466743,1.994496
28760,7.704176,-5.525959,4.103019,0.376424,0.448605,1.986755
28761,7.568135,-5.393247,4.178278,0.403546,0.440033,1.970360
28762,7.524321,-5.384143,4.220991,0.402169,0.436110,1.951272
28763,7.349188,-5.365751,4.300217,0.410577,0.444334,1.927731
28764,7.203174,-5.426743,4.400474,0.381183,0.439142,1.928271
28765,7.024139,-5.557023,4.450692,0.340998,0.425725,1.933298
28766,6.839648,-5.561563,4.339091,0.307823,0.399332,1.922171
28767,6.689002,-5.432543,4.262499,0.289849,0.378729,1.886496
28768,6.581459,-5.308704,4.246299,0.231916,0.374316,1.841609
28769,6.503826,-5.337316,4.348256,0.136126,0.383388,1.784478
28770,6.384637,-5.546387,4.467498,0.076302,0.384183,1.750244
28771,6.231050,-5.789235,4.546860,0.045037,0.377631,1.722167
28772,6.085380,-5.987178,4.543258,0.052745,0.364143,1.687095
28773,5.969820,-6.275969,4.571026,0.076811,0.348692,1.667547
28774,5.730179,-6.484594,4.550212,0.143778,0.336899,1.653713
28775,5.477632,-6.544542,4.588828,0.210186,0.291686,1.629716
28776,5.373540,-6.529577,4.622281,0.303693,0.255891,1.584489
28777,5.361929,-6.368500,4.603317,0.387195,0.248311,1.538558
28778,5.196007,-6.152614,4.641089,0.445670,0.263471,1.477595
28779,5.104297,-6.009576,4.788452,0.454202,0.266540,1.428681
28780,5.047317,-6.028406,4.926019,0.459044,0.274041,1.395912
28781,4.808215,-6.068339,4.964285,0.451406,0.267852,1.364202
28782,4.537964,-6.093195,5.024629,0.440240,0.244334,1.322499
28783,4.398317,-6.164341,5.056112,0.421511,0.219227,1.275966
28784,4.200944,-6.222013,5.022871,0.426584,0.195197,1.227566
28785,4.069485,-6.128319,5.064014,0.408960,0.179847,1.168472
28786,4.034835,-6.194315,5.149778,0.366088,0.176789,1.114198
28787,3.921362,-6.336868,5.231287,0.340110,0.172622,1.063301
28788,3.879277,-6.524571,5.134719,0.354623,0.175853,1.042625
28789,3.733259,-6.563092,5.152798,0.395331,0.168050,1.020843
28790,3.609983,-6.652206,5.180135,0.419177,0.154609,0.989674
28791,3.557394,-6.663344,5.243011,0.464590,0.147370,0.958276
28792,3.425738,-6.658684,5.366583,0.504976,0.146890,0.917001
28793,3.351767,-6.590006,5.536415,0.535236,0.145269,0.876235
28794,3.349300,-6.657068,5.682116,0.549792,0.151842,0.856938
28795,3.273450,-6.739438,5.607328,0.585828,0.154450,0.840229
28796,3.224984,-6.717808,5.642181,0.652070,0.153129,0.826100
28797,3.213604,-6.566241,5.673095,0.678393,0.159994,0.804403
28798,3.149861,-6.497148,5.681852,0.703887,0.164294,0.781897
28799,3.106752,-6.334102,5.865730,0.713691,0.164061,0.749842
28800,3.076892,-6.065092,6.122424,0.708522,0.200135,0.709044
28801,2.865340,-5.874416,6.276234,0.714188,0.216939,0.665496
28802,2.849709,-5.767605,6.506263,0.694535,0.224891,0.626365
28803,2.824306,-6.086715,6.483105,0.664091,0.262606,0.610988
28804,2.538104,-6.445754,6.306984,0.683088,0.238151,0.606753
28805,2.528014,-6.806842,6.134774,0.721452,0.194701,0.601692
28806,2.539020,-7.222514,5.853653,0.795197,0.160674,0.600327
28807,2.485604,-7.474919,5.745310,0.902939,0.143488,0.591335
28808,2.461532,-7.458625,5.741123,1.034754,0.128442,0.574484
28809,2.428109,-7.200525,6.031293,1.142803,0.124211,0.561507
28810,2.443665,-6.956598,6.272102,1.212571,0.140621,0.550190
28811,2.265852,-6.573518,6.487581,1.250154,0.143186,0.534519
28812,2.136167,-6.105319,6.678663,1.208727,0.129071,0.513836
28813,2.075792,-5.933522,6.756976,1.127882,0.104983,0.498921
28814,2.040988,-5.838965,6.756568,1.038701,0.084707,0.486821
28815,2.028550,-5.885380,6.813351,0.956662,0.066014,0.480206
28816,2.012102,-5.982878,6.917753,0.910116,0.065162,0.473197
28817,1.969827,-6.118715,6.961452,0.918275,0.049222,0.460071
28818,1.934350,-6.215884,7.042860,0.979725,0.036127,0.452968
28819,1.932056,-6.414814,7.060976,1.078909,0.020186,0.443273
28820,1.869910,-6.608299,6.922545,1.228951,0.004289,0.436938
28821,1.810493,-6.575732,6.849000,1.404650,-0.014868,0.417827
28822,1.825413,-6.330736,6.871172,1.542307,-0.019750,0.402388
28823,1.724414,-5.869493,6.981314,1.651281,-0.008555,0.366377
28824,1.701745,-5.397557,7.179450,1.677421,-0.021265,0.343007
28825,1.708146,-4.986416,7.403390,1.654201,-0.030413,0.319813
28826,1.616014,-4.553552,7.573079,1.573129,-0.034180,0.289736
28827,1.605251,-4.371291,7.753022,1.445819,-0.052957,0.261675
28828,1.684342,-4.199879,7.950249,1.329587,-0.053312,0.240904
28829,1.729417,-4.119124,8.100413,1.216137,-0.033523,0.217573
28830,1.627533,-3.984360,8.246798,1.120872,-0.015613,0.188943
28831,1.561063,-3.940536,8.235443,1.013537,-0.036652,0.161824
28832,1.602352,-4.077194,8.086315,0.915582,-0.057398,0.132550
28833,1.683770,-4.209503,7.949101,0.852282,-0.076105,0.107564
28834,1.732585,-4.349110,7.968780,0.810322,-0.073101,0.072856
28835,1.687063,-4.441369,8.087850,0.814674,-0.070466,0.052670
28836,1.704356,-4.487082,8.260517,0.835277,-0.072302,0.039274
28837,1.720131,-4.189471,8.344609,0.864387,-0.061847,0.016707
28838,1.635023,-3.695754,8.518984,0.820857,-0.039352,-0.007783
28839,1.612815,-3.410317,8.620973,0.723512,-0.023701,-0.025498
28840,1.592004,-3.299040,8.707628,0.583174,-0.024389,-0.039725
28841,1.542001,-3.347537,8.709063,0.434281,-0.037451,-0.055346
28842,1.636241,-3.661185,8.494191,0.309538,-0.063098,-0.063459
28843,1.784284,-3.902542,8.479429,0.284896,-0.075326,-0.071734
28844,1.849314,-4.122601,8.565304,0.311059,-0.060522,-0.082497
28845,1.888930,-4.114413,8.608644,0.355842,-0.055003,-0.103104
28846,1.923117,-3.951457,8.689089,0.400137,-0.039768,-0.116071
28847,1.886016,-3.606303,8.773383,0.410996,-0.025666,-0.129555
28848,1.752124,-3.212852,8.792471,0.343604,-0.020057,-0.155596
28849,1.752114,-3.042187,8.792469,0.196308,-0.023451,-0.174495
28850,1.738155,-3.142879,8.700224,0.041725,-0.035436,-0.188035
28851,1.812157,-3.357357,8.716351,-0.109547,-0.042553,-0.197906
28852,1.839883,-3.647646,8.653608,-0.220113,-0.036671,-0.203373
28853,1.811640,-3.875110,8.576994,-0.301085,-0.040911,-0.202765
28854,1.847354,-3.957674,8.614328,-0.358517,-0.031191,-0.209943
28855,1.923091,-4.014140,8.629321,-0.402007,-0.017313,-0.210660
28856,1.893845,-4.071663,8.673517,-0.453705,-0.014982,-0.213676
28857,1.834918,-4.102496,8.612307,-0.496821,-0.021195,-0.216420
28858,1.852041,-3.909852,8.516010,-0.560292,-0.032984,-0.243850
28859,1.882030,-3.552131,8.567563,-0.659280,-0.010754,-0.280132
28860,1.813656,-3.055883,8.632878,-0.837409,-0.015130,-0.331050
28861,1.892287,-2.834061,8.553686,-1.095235,-0.016382,-0.381998
28862,1.896092,-2.868234,8.413535,-1.328320,-0.015236,-0.416852
28863,2.000762,-3.284693,8.281335,-1.508608,-0.026489,-0.431902
28864,2.148337,-4.000701,7.940516,-1.598039,-0.027784,-0.427198
28865,2.254567,-4.458036,7.791775,-1.595584,0.002791,-0.433664
28866,2.237898,-4.825087,7.759922,-1.543597,0.031981,-0.454317
28867,2.209061,-5.024372,7.663373,-1.435926,0.046441,-0.474199
28868,2.235119,-5.078887,7.622557,-1.318588,0.074023,-0.498420
28869,2.212639,-5.238931,7.630688,-1.220356,0.089099,-0.517834
28870,2.102205,-5.952600,7.507738,-1.118412,0.077380,-0.491627
28871,1.844148,-6.778268,7.320547,-0.976586,0.008875,-0.432934
28872,1.913107,-7.548820,7.134014,-0.817554,-0.078668,-0.387001
28873,2.149057,-7.629805,6.972531,-0.600113,-0.117036,-0.352367
28874,2.260492,-7.144737,7.135359,-0.456039,-0.106245,-0.327709
28875,2.152217,-6.588327,7.417850,-0.430259,-0.101817,-0.322041
28876,2.222252,-6.148067,7.733920,-0.529342,-0.107608,-0.325296
28877,2.345240,-5.987351,7.902402,-0.654883,-0.081473,-0.315539
28878,2.292399,-5.798672,8.003774,-0.784287,-0.061564,-0.295238
28879,2.137846,-5.551450,8.067664,-0.915743,-0.066632,-0.287229
28880,2.171608,-5.600162,7.828585,-1.055170,-0.091226,-0.278474
28881,2.249688,-5.697830,7.476917,-1.160269,-0.091847,-0.280033
28882,2.216996,-5.858131,7.059550,-1.211361,-0.099513,-0.311106
28883,2.296977,-6.016006,6.774550,-1.219853,-0.121450,-0.329793
28884,2.529095,-6.267632,6.866089,-1.175864,-0.120706,-0.330279
28885,2.605690,-6.666837,6.812496,-1.101210,-0.100679,-0.309321
28886,2.639540,-7.029170,6.906912,-0.991141,-0.085836,-0.278955
28887,2.648415,-7.152832,6.942918,-0.877631,-0.072575,-0.256872
28888,2.617538,-7.037203,6.999575,-0.766257,-0.057452,-0.246878
28889,2.632932,-6.818776,6.893733,-0.712007,-0.060889,-0.254498
28890,2.752955,-6.584524,6.805366,-0.691616,-0.059139,-0.269387
28891,2.785957,-6.356603,6.737978,-0.704004,-0.042348,-0.285084
