// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
15621,9.687704,-0.406478,1.246536,-0.029952,0.015376,-0.020626
15622,9.779003,-0.438316,1.212371,-0.034186,0.015214,-0.018638
15623,9.784126,-0.470488,1.208635,-0.031162,0.018357,-0.021186
15624,9.833665,-0.508579,1.173593,-0.033580,0.013732,-0.018371
15625,9.789221,-0.501342,1.205762,-0.035489,0.009296,-0.017158
15626,9.822348,-0.532721,1.221379,-0.036093,0.005497,-0.015478
15627,9.786628,-0.487173,1.238604,-0.025641,0.000020,-0.007818
15628,9.758772,-0.487611,1.218402,-0.005102,0.004352,-0.010978
15629,9.720435,-0.429558,1.267840,0.004773,-0.001641,-0.010654
15630,9.726512,-0.377209,1.285945,0.004070,0.001524,-0.012806
15631,9.723840,-0.345148,1.200128,-0.006090,0.001970,-0.014842
15632,9.698651,-0.366309,1.206942,-0.009405,0.003860,-0.017931
15633,9.737097,-0.421714,1.157822,-0.011919,0.000907,-0.016993
15634,9.756411,-0.458090,1.192230,-0.007298,-0.000344,-0.013436
15635,9.737253,-0.428420,1.216891,-0.004687,0.000932,-0.012499
15636,9.795677,-0.437062,1.225399,-0.000355,-0.000575,-0.012613
15637,9.812280,-0.442854,1.173784,0.002863,-0.000786,-0.011401
15638,9.820989,-0.412141,1.218675,0.004266,-0.001826,-0.009056
15639,9.776628,-0.405326,1.249806,0.004168,-0.000147,-0.010933
15640,9.801869,-0.381714,1.243125,0.005669,-0.002866,-0.006711
15641,9.779369,-0.415739,1.217364,0.007385,-0.000357,-0.009721
15642,9.776733,-0.393230,1.190389,0.007992,-0.001844,-0.009446
15643,9.743683,-0.368910,1.234027,0.009017,-0.006752,-0.010690
15644,9.743698,-0.358397,1.174719,0.007795,0.001513,-0.013200
15645,9.760394,-0.382454,1.241516,0.011521,0.001496,-0.013590
15646,9.746475,-0.376901,1.201897,0.004388,-0.000211,-0.016208
