// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
02954,9.702620,-0.515762,1.419508,0.065072,0.001201,-0.023145
02955,9.708462,-0.433008,1.456901,0.065768,-0.002238,-0.022374
02956,9.681614,-0.368717,1.426489,0.064018,-0.005164,-0.026966
02957,9.697609,-0.339148,1.464238,0.051230,-0.007878,-0.029115
02958,9.682045,-0.361910,1.425303,0.035156,-0.011183,-0.025732
02959,9.744028,-0.425524,1.412670,0.016588,-0.015501,-0.023817
02960,9.741912,-0.458625,1.342592,-0.001004,-0.015512,-0.019826
02961,9.802777,-0.490084,1.338622,-0.009121,-0.013940,-0.013790
02962,9.765969,-0.518783,1.310469,-0.013606,-0.013511,-0.012890
02963,9.752857,-0.508454,1.339525,-0.009941,-0.014082,-0.012409
02964,9.779105,-0.535138,1.377295,-0.016965,-0.016175,-0.009090
02965,9.736888,-0.541917,1.398346,-0.019887,-0.017535,-0.012682
02966,9.784503,-0.564576,1.424212,-0.011465,-0.022340,-0.014443
02967,9.795914,-0.505707,1.409667,-0.007209,-0.017441,-0.017900
02968,9.806429,-0.557791,1.409298,-0.004986,-0.012627,-0.015090
02969,9.774014,-0.472832,1.427736,0.005942,-0.003905,-0.022258
02970,9.794162,-0.433587,1.425480,-0.004701,0.007654,-0.020673
02971,9.760763,-0.459907,1.458811,-0.022485,0.001950,-0.016238
02972,9.794697,-0.575124,1.430465,-0.036093,-0.000935,-0.016990
02973,9.793553,-0.642631,1.352434,-0.031650,-0.002873,-0.014004
02974,9.711812,-0.612611,1.365845,-0.021551,-0.006816,-0.012913
02975,9.719923,-0.598466,1.383903,-0.014375,-0.012118,-0.015415
02976,9.709875,-0.543598,1.381682,-0.004902,-0.010531,-0.013372
02977,9.705898,-0.553445,1.420904,0.003054,-0.017205,-0.013366
02978,9.711723,-0.472412,1.456268,0.007890,-0.019352,-0.013882
02979,9.684237,-0.419371,1.524215,0.005280,-0.023954,-0.013196
02980,9.715026,-0.434497,1.520351,-0.000996,-0.027985,-0.012988
02981,9.759166,-0.458877,1.485714,-0.003061,-0.028633,-0.012343
02982,9.792890,-0.429888,1.450388,-0.001117,-0.020020,-0.008186
02983,9.811509,-0.469602,1.468290,-0.009068,-0.024907,-0.010832
02984,9.843434,-0.518786,1.455591,-0.015035,-0.020626,-0.003696
02985,9.810817,-0.537314,1.386530,-0.021357,-0.013657,-0.006461
02986,9.811068,-0.537101,1.384833,-0.024783,-0.018407,-0.004391
02987,9.781001,-0.520724,1.384265,-0.027667,-0.019205,-0.002362
02988,9.790409,-0.541273,1.392310,-0.030902,-0.018278,-0.000719
02989,9.773585,-0.534385,1.361284,-0.024741,-0.017844,0.001226
02990,9.760556,-0.525763,1.389949,-0.016162,-0.018484,0.002910
02991,9.788707,-0.475825,1.405009,-0.011101,-0.013431,-0.001926
02992,9.795550,-0.429453,1.432444,-0.011074,-0.000358,-0.003157
02993,9.799306,-0.427515,1.492618,-0.013113,0.012065,-0.003740
02994,9.780257,-0.498230,1.487597,-0.028636,0.024232,0.002294
02995,9.770123,-0.590096,1.493729,-0.031020,0.037412,0.010837
02996,9.808098,-0.748951,1.619101,0.020372,0.031460,0.019232
02997,9.817287,-0.976413,1.927960,0.146356,0.016088,0.033997
02998,9.799034,-1.148869,2.306185,0.342097,-0.029028,0.035103
02999,10.025154,-1.325553,2.560089,0.575715,-0.045670,0.032384
03000,10.002968,-1.223407,2.294168,0.752111,-0.002149,0.009691
03001,9.825260,-0.620436,1.647022,0.795801,0.047609,-0.003153
03002,9.666742,0.200831,0.789269,0.626611,0.065667,-0.013724
03003,9.820936,0.670132,0.133746,0.375783,0.038074,-0.028160
03004,10.148132,1.066438,0.029770,0.094212,0.039461,-0.064596
03005,10.067682,1.037912,0.032912,-0.196070,0.063742,-0.118485
03006,9.723664,0.632813,0.109789,-0.454660,0.065298,-0.176819
03007,9.237670,-0.208648,-0.015135,-0.594172,0.005166,-0.193977
03008,9.055390,-1.098115,0.227260,-0.517459,-0.100392,-0.174790
03009,9.440173,-1.456298,1.106641,-0.315488,-0.117327,-0.125806
03010,9.675546,-1.311405,2.194523,-0.119859,-0.046043,-0.053668
03011,9.831000,-0.784233,3.018648,0.000043,0.015157,0.000391
03012,9.951330,-0.222437,3.489074,0.020988,0.054683,0.037890
03013,10.002330,0.252076,3.860901,-0.075229,0.081312,0.040779
03014,9.964665,0.193824,3.634778,-0.286238,0.102407,0.034181
03015,9.819679,-0.330048,2.425625,-0.444133,0.117287,0.036768
03016,9.762877,-0.769321,0.873835,-0.439575,0.090239,0.026820
03017,9.878999,-0.847273,-0.084623,-0.331278,0.071336,0.000577
03018,9.958207,-0.838364,-0.614765,-0.209899,0.053616,-0.038057
03019,10.088323,-0.772367,-0.610975,-0.066390,0.024365,-0.078426
03020,10.077123,-0.592136,-0.252320,0.027287,0.038053,-0.120371
03021,9.718783,-0.478283,0.168219,0.050820,0.031395,-0.138856
03022,9.445644,-0.391186,0.632241,0.002724,-0.005039,-0.126395
03023,9.341267,-0.148127,1.259971,-0.100935,-0.010819,-0.082130
03024,9.436468,-0.001535,2.179019,-0.257241,0.001816,-0.027713
03025,9.767757,-0.213860,2.836178,-0.435964,0.045034,0.051073
03026,9.853362,-0.573942,3.093233,-0.550114,0.113296,0.130673
03027,9.867783,-0.713831,3.473009,-0.586583,0.164034,0.172340
03028,9.939014,-0.692311,3.662768,-0.617516,0.219183,0.173634
03029,9.794464,-0.562908,3.110206,-0.648731,0.261387,0.153076
03030,9.629519,-0.517886,1.932418,-0.640839,0.257807,0.125446
03031,9.655771,-0.598265,0.892711,-0.582216,0.228065,0.079821
03032,9.719283,-0.725850,-0.004176,-0.446048,0.170209,0.028303
03033,9.924026,-0.962117,-0.403699,-0.233742,0.153233,-0.033001
03034,9.933768,-0.992911,-0.220929,-0.043908,0.163404,-0.082166
03035,9.762727,-0.909837,0.263145,0.053971,0.177017,-0.108211
03036,9.505969,-0.911211,1.156852,0.058155,0.158915,-0.090949
03037,9.638007,-1.077343,2.210277,-0.009678,0.141805,-0.016640
03038,9.745931,-1.131297,3.107166,-0.113962,0.160643,0.091827
03039,9.811367,-1.147319,3.838081,-0.204694,0.181995,0.195609
03040,9.924019,-1.235388,4.198754,-0.301525,0.216742,0.296058
03041,9.879884,-1.326829,4.076994,-0.364269,0.241091,0.353027
03042,9.795446,-1.371506,3.321295,-0.402646,0.280538,0.371651
03043,9.596742,-1.360848,1.932485,-0.409895,0.279087,0.366314
03044,9.479100,-1.457772,0.583892,-0.332446,0.221058,0.338026
03045,9.569373,-1.754452,-0.193931,-0.116146,0.148279,0.271002
03046,9.733412,-2.112605,-0.198429,0.170685,0.117199,0.195415
03047,9.728205,-2.396105,0.057706,0.432372,0.120326,0.149919
03048,9.476355,-2.165601,0.413823,0.642869,0.126544,0.122762
03049,9.338469,-1.529644,1.060382,0.755373,0.132919,0.116970
03050,9.341945,-0.886702,1.886839,0.736047,0.143417,0.132653
03051,9.341940,-0.442488,2.441857,0.609725,0.149978,0.170417
03052,9.267678,-0.020813,2.821703,0.404631,0.143833,0.206411
03053,9.297461,0.337805,2.867347,0.149486,0.134096,0.219006
03054,9.315417,0.324234,2.569988,-0.095051,0.118764,0.218343
03055,9.381128,-0.125561,2.038801,-0.227520,0.111230,0.200499
03056,9.455815,-0.660507,1.554269,-0.231573,0.107976,0.176944
03057,9.529956,-1.191900,1.187749,-0.129020,0.112650,0.144352
03058,9.636058,-1.495124,1.033538,0.034685,0.092988,0.117345
03059,9.695524,-1.671242,1.061915,0.240065,0.080890,0.092966
03060,9.800567,-1.528789,1.305599,0.424042,0.068726,0.075020
03061,9.717165,-1.123329,1.639735,0.523085,0.061289,0.062065
03062,9.682634,-0.528750,1.959804,0.502783,0.058721,0.053940
03063,9.577786,-0.087136,2.183820,0.376001,0.045896,0.055492
03064,9.602170,0.160777,2.265895,0.179985,0.035809,0.061928
03065,9.581131,0.085544,2.139697,-0.019849,0.026697,0.073481
03066,9.585806,-0.222539,1.935344,-0.152992,0.026455,0.075466
03067,9.649163,-0.566941,1.790271,-0.213566,0.026307,0.074700
03068,9.687728,-0.781404,1.753394,-0.204697,0.039560,0.063855
03069,9.679199,-0.901419,1.945979,-0.174953,0.053941,0.055543
03070,9.729040,-1.056379,2.199755,-0.142064,0.062340,0.053871
03071,9.792804,-1.088051,2.285422,-0.113450,0.077632,0.058145
03072,9.759812,-1.044625,2.362072,-0.090601,0.088841,0.041787
03073,9.807754,-0.998451,2.440188,-0.085121,0.088537,0.022569
03074,9.802683,-0.803320,2.509634,-0.097133,0.112201,-0.007284
03075,9.732762,-0.714235,2.520001,-0.130482,0.124800,-0.042813
03076,9.702721,-0.793163,2.439960,-0.150007,0.112064,-0.070097
03077,9.689266,-0.911660,2.318048,-0.140898,0.092621,-0.082934
03078,9.744368,-1.084184,2.145069,-0.110216,0.080371,-0.091387
03079,9.746146,-1.108349,2.021906,-0.059343,0.076088,-0.102185
03080,9.777728,-1.181359,1.948810,0.007530,0.073121,-0.111728
03081,9.724988,-1.121762,1.976590,0.068651,0.086781,-0.128845
03082,9.679944,-1.047768,1.965670,0.099830,0.084654,-0.134151
03083,9.617692,-0.898970,2.005220,0.104795,0.094270,-0.131807
03084,9.578641,-0.813572,2.015308,0.080751,0.103302,-0.120524
03085,9.531151,-0.742931,2.065410,0.026162,0.112993,-0.101496
03086,9.456094,-0.757134,2.084544,-0.045591,0.117394,-0.080292
03087,9.423976,-1.011638,2.052427,-0.108399,0.114428,-0.046414
03088,9.327549,-1.313634,1.977205,-0.139820,0.112320,-0.008300
03089,9.329202,-1.448810,1.944648,-0.126529,0.108506,0.024345
03090,9.372080,-1.479610,1.924520,-0.106381,0.118083,0.035346
03091,9.264898,-1.457827,1.951994,-0.087995,0.127360,0.049029
03092,9.278106,-1.439362,1.883440,-0.087436,0.125229,0.063082
03093,9.378017,-1.442361,1.886650,-0.085998,0.117716,0.078306
03094,9.491825,-1.455353,1.920138,-0.063649,0.117574,0.082282
03095,9.630434,-1.387945,2.046468,-0.038909,0.127277,0.081141
03096,9.651756,-1.249286,2.111512,-0.038640,0.134500,0.074753
03097,9.721764,-1.167592,2.078474,-0.041768,0.141934,0.062105
03098,9.649013,-1.119338,2.140421,-0.049810,0.150997,0.061274
03099,9.576111,-1.071266,2.202332,-0.067587,0.147396,0.060723
03100,9.533876,-1.074810,2.253216,-0.100646,0.130811,0.073959
03101,9.533656,-1.217065,2.221788,-0.126877,0.121495,0.098936
03102,9.466789,-1.405088,2.205009,-0.131563,0.106957,0.120284
03103,9.500365,-1.491594,2.213125,-0.109489,0.098281,0.136690
03104,9.546482,-1.555807,2.261218,-0.084564,0.080492,0.150286
03105,9.546513,-1.594335,2.338244,-0.059636,0.099909,0.150330
