// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
24078,9.927192,-1.665597,1.135379,0.280588,0.149618,0.190358
24079,9.950472,-1.856105,1.033433,0.356495,0.175530,0.241348
24080,10.003765,-1.921722,0.877844,0.441412,0.211695,0.290800
24081,10.222502,-2.014556,0.791949,0.513193,0.248920,0.342587
24082,10.079417,-1.992400,0.795577,0.584231,0.298349,0.373455
24083,10.037971,-1.814124,0.878673,0.649146,0.316863,0.405203
24084,10.063133,-1.722140,0.921466,0.682584,0.341883,0.447842
24085,10.089900,-1.556785,1.104106,0.702401,0.367215,0.485083
24086,10.106842,-1.660942,1.274444,0.673927,0.403333,0.534686
24087,10.133729,-1.800006,1.451074,0.664455,0.455892,0.575821
24088,10.024642,-1.811963,1.551523,0.675491,0.509284,0.617759
24089,9.919555,-1.918192,1.609712,0.679408,0.546026,0.652253
24090,9.994902,-1.995107,1.590300,0.726522,0.576550,0.696319
24091,10.172402,-1.715789,1.684466,0.725584,0.598502,0.740836
24092,10.429973,-1.814773,1.615293,0.705328,0.638633,0.800834
24093,10.496439,-1.650256,1.710809,0.668902,0.682810,0.834815
24094,10.602860,-1.681965,1.775068,0.638406,0.725311,0.866718
24095,10.590144,-1.810215,1.899473,0.604834,0.770061,0.898545
24096,10.522996,-1.882046,2.061357,0.577939,0.807178,0.937002
24097,10.390213,-1.855289,2.162778,0.534467,0.838205,0.964146
24098,10.279528,-1.757833,2.196980,0.487813,0.862758,0.996401
24099,10.166748,-1.800235,2.304458,0.418582,0.879058,1.027152
24100,10.310065,-1.737243,2.525900,0.320691,0.893782,1.072089
24101,10.395881,-1.847416,2.725621,0.192188,0.939214,1.113176
24102,10.435032,-2.108764,2.763679,0.097718,1.002499,1.141650
24103,10.230686,-2.186986,2.782731,0.081217,1.043927,1.160377
24104,10.081985,-2.117119,2.727572,0.107034,1.048920,1.180593
24105,10.036854,-2.052429,2.722423,0.079443,1.056170,1.199021
24106,10.122090,-1.970133,3.023346,0.008150,1.077108,1.212841
24107,10.240860,-2.136782,3.324892,-0.107366,1.137136,1.215957
24108,10.133034,-2.545524,3.401641,-0.166531,1.212963,1.217590
24109,9.893555,-2.775487,3.266873,-0.112552,1.250425,1.207330
24110,9.598694,-2.845426,3.243324,-0.007787,1.232785,1.188557
24111,9.681479,-2.860480,3.171215,0.061838,1.215588,1.177089
24112,9.772822,-2.783428,3.346468,0.066292,1.227940,1.162776
24113,9.741313,-2.749347,3.681554,0.016471,1.245150,1.147478
24114,9.781000,-2.980407,3.865356,-0.062145,1.271709,1.145642
24115,9.681497,-3.498710,3.786069,-0.108926,1.299736,1.156187
24116,9.383768,-3.935536,3.743142,-0.058150,1.302420,1.165741
24117,9.057203,-4.256073,3.621845,0.029697,1.291914,1.191274
24118,8.883059,-4.500872,3.555408,0.120889,1.262601,1.225674
24119,8.996886,-4.464812,3.645560,0.176451,1.254386,1.270932
24120,8.984932,-4.617569,3.810265,0.193957,1.264364,1.311126
24121,9.000651,-4.786730,3.906437,0.218474,1.273695,1.361898
24122,8.803673,-4.897180,4.049579,0.240221,1.284064,1.418343
24123,8.613652,-4.978618,3.955944,0.295738,1.257237,1.478748
24124,8.469264,-4.991302,3.860937,0.388425,1.219269,1.533775
24125,8.479797,-5.009354,3.890825,0.450766,1.185272,1.577737
24126,8.470529,-4.928553,3.989741,0.481166,1.173777,1.605559
24127,8.401475,-4.861731,4.177392,0.486186,1.166326,1.620399
24128,8.340138,-4.801848,4.423197,0.499274,1.177831,1.642008
24129,8.130284,-4.958745,4.540017,0.525783,1.200680,1.658371
24130,7.727181,-5.125160,4.514333,0.618278,1.209246,1.682818
24131,7.396243,-5.065115,4.543092,0.715625,1.177729,1.690733
24132,7.271690,-5.061108,4.443798,0.787792,1.139389,1.682304
24133,7.117903,-4.876183,4.371601,0.830424,1.091408,1.664228
24134,7.025801,-4.773331,4.531620,0.814836,1.037983,1.653210
24135,7.001178,-4.760045,4.755154,0.778331,1.013904,1.636082
24136,6.769050,-4.774359,4.838875,0.746081,1.002750,1.619951
24137,6.491908,-4.880333,4.911202,0.755688,0.977543,1.596626
24138,6.276250,-4.931209,4.941687,0.789125,0.932546,1.563932
24139,6.081208,-4.972240,4.997914,0.799946,0.883977,1.524545
24140,5.920649,-4.967421,4.951483,0.812241,0.820381,1.478485
24141,5.882212,-4.941401,5.053917,0.838363,0.784369,1.444119
24142,5.835697,-4.874279,5.275430,0.823541,0.786024,1.419801
24143,5.664347,-4.795336,5.539615,0.801830,0.783755,1.399970
24144,5.446124,-4.716654,5.706997,0.758754,0.797628,1.379108
24145,5.056559,-4.854414,5.718847,0.712636,0.793394,1.354645
24146,4.896496,-5.057965,5.789267,0.669566,0.752519,1.347104
24147,4.907699,-5.271465,5.850710,0.655550,0.739108,1.362838
24148,4.812004,-5.436431,6.035302,0.627644,0.744520,1.369669
24149,4.770009,-5.558488,6.074912,0.633463,0.754066,1.396537
24150,4.632124,-5.678167,6.347353,0.602096,0.752941,1.426575
24151,4.604065,-5.984937,6.389116,0.623479,0.740859,1.469265
24152,4.475340,-6.301824,6.306903,0.662669,0.738040,1.499997
24153,4.152019,-6.444120,6.317809,0.679478,0.724374,1.506741
24154,4.052556,-6.579573,6.324573,0.720841,0.676834,1.529934
24155,3.947317,-6.706528,6.223094,0.797145,0.632070,1.568829
24156,3.873999,-6.831785,6.131926,0.893881,0.599071,1.610723
24157,3.811909,-6.789207,5.862377,1.001531,0.592826,1.666858
24158,3.440748,-6.600306,5.992882,1.056244,0.609108,1.689017
24159,3.157922,-6.701786,5.886685,1.136932,0.552273,1.718877
24160,3.029986,-6.428435,6.118079,1.160345,0.476621,1.743958
24161,3.052474,-6.154856,6.230006,1.131621,0.431291,1.776628
24162,2.812507,-5.656654,6.437989,1.113174,0.408805,1.775675
24163,2.700035,-5.175528,6.591168,1.056441,0.414390,1.739988
24164,2.601566,-4.910441,6.659460,0.936124,0.439920,1.703257
24165,2.531575,-5.029357,6.747689,0.797311,0.426999,1.683933
24166,2.600975,-5.329015,6.851299,0.709127,0.403871,1.686155
24167,2.523478,-5.351498,7.034345,0.673140,0.362468,1.687955
24168,2.515178,-5.268191,7.086064,0.654651,0.306855,1.684552
24169,2.458886,-4.798700,7.134052,0.659231,0.290002,1.665098
24170,2.338141,-4.456025,7.237703,0.645273,0.284680,1.628870
24171,2.228162,-4.415499,7.387102,0.640368,0.287062,1.597038
24172,2.342146,-4.431988,7.532847,0.612574,0.268269,1.606544
24173,2.125394,-4.138747,7.674539,0.598382,0.264611,1.610458
24174,1.769767,-3.793804,7.639687,0.601471,0.262937,1.558729
24175,1.486950,-3.212873,7.664185,0.579746,0.245925,1.467558
24176,1.421250,-3.004943,7.796019,0.548477,0.239853,1.373990
24177,1.575016,-3.168388,8.052888,0.499221,0.210310,1.317074
24178,1.743073,-3.148149,8.155044,0.457415,0.180085,1.309852
24179,1.491576,-2.863511,8.011832,0.439077,0.192834,1.256079
24180,0.893966,-2.245754,8.033009,0.434966,0.185864,1.124481
24181,0.583785,-2.058284,8.088603,0.413075,0.150279,0.965823
24182,0.559355,-2.203261,8.298701,0.406382,0.150232,0.820684
24183,0.583637,-2.202379,8.753047,0.399853,0.175810,0.687013
24184,0.524193,-2.089695,8.985634,0.388196,0.202812,0.526608
24185,0.658821,-1.828697,9.113070,0.353381,0.233866,0.342564
24186,0.646640,-1.427022,9.293076,0.272309,0.273889,0.140328
24187,0.611226,-1.198024,9.368843,0.186548,0.299998,-0.077493
24188,0.536673,-1.207785,9.428461,0.091305,0.326968,-0.291889
24189,0.492427,-1.316675,9.451040,0.029069,0.332502,-0.470392
24190,0.733243,-1.684834,9.720034,-0.022167,0.337009,-0.631130
24191,0.958154,-2.142049,9.934087,-0.068520,0.368388,-0.769086
24192,1.193716,-2.589915,10.018003,-0.080958,0.416759,-0.907922
24193,1.360794,-2.906457,10.185165,-0.052307,0.489967,-1.048855
24194,1.338399,-3.252478,10.128387,-0.048046,0.547576,-1.167393
24195,1.401228,-3.465382,9.866738,-0.026899,0.608525,-1.266443
24196,1.488272,-3.640069,9.870744,0.025073,0.676383,-1.344630
24197,1.448530,-3.629057,9.925607,0.024313,0.748962,-1.393016
24198,1.433596,-3.715741,9.967346,-0.024194,0.810623,-1.441566
24199,1.542582,-4.014029,9.951172,-0.062704,0.888474,-1.482552
24200,1.582547,-4.068842,9.863763,-0.110764,0.970807,-1.506607
24201,1.594378,-4.200954,9.686105,-0.168437,1.034039,-1.525948
24202,1.633584,-4.291435,9.476633,-0.228320,1.087607,-1.547324
