// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
53213,12.574617,3.793679,5.860740,6.367909,-0.251359,0.744139
53214,12.289363,6.273228,8.180593,4.335599,0.263789,0.794144
53215,11.667785,7.938653,9.851581,1.957885,0.796544,0.774646
53216,11.233159,8.651800,8.787311,-0.499764,1.273773,0.700109
53217,11.587721,7.265380,6.596129,-2.657792,1.752677,0.620050
53218,11.327362,3.792479,5.294913,-4.222078,2.254713,0.594355
53219,11.454771,0.387912,5.197305,-5.193226,2.578076,0.648529
53220,11.539231,-2.675376,4.226399,-5.755729,2.861162,0.792091
53221,11.482106,-4.167178,2.914008,-5.985383,3.068244,0.970879
53222,10.648452,-4.760301,1.571413,-6.130788,3.183572,1.191618
53223,8.111966,-5.862713,-1.456679,-6.283432,3.052747,1.487277
53224,4.710667,-9.279667,-4.114230,-6.043087,2.584632,1.808355
53225,2.577603,-14.898058,-3.001343,-4.731334,1.970532,1.979814
53226,3.051315,-21.680269,2.019316,-2.182956,1.358367,2.054145
53227,4.900147,-25.933928,5.713004,1.361602,0.654546,2.013815
53228,8.969913,-22.236825,5.116244,4.920692,0.061648,2.046519
53229,10.294990,-12.788945,4.228786,7.121857,-0.231752,2.163265
53230,10.403816,-4.284247,4.833386,7.431186,-0.377872,2.207006
53231,11.101044,0.638503,6.947049,6.381468,-0.092394,2.146936
53232,10.807551,2.929564,8.657256,4.667556,0.491260,1.993314
53233,9.514306,3.331326,9.051704,2.776684,1.027765,1.830663
53234,8.968802,2.556056,9.191605,1.081319,1.550323,1.738894
53235,8.741228,1.231542,6.709514,-0.511370,2.011484,1.593751
53236,9.266528,-0.086076,4.289527,-1.634129,2.426340,1.396516
53237,9.342265,-1.584134,4.071739,-2.279715,2.901835,1.211484
53238,8.336482,-3.747728,4.727180,-2.644953,3.283371,1.158087
53239,7.023899,-5.573062,3.533943,-2.799549,3.411687,1.217067
53240,4.168076,-7.409434,-0.386384,-2.969092,3.129302,1.450923
53241,1.454546,-11.289786,-1.569068,-2.601650,2.675104,1.696909
53242,0.259076,-15.252235,0.941180,-1.473249,2.110604,1.830970
53243,0.845297,-19.109665,4.956180,0.512894,1.362989,1.831481
53244,3.750480,-19.475758,6.124483,2.970696,0.466173,1.849382
53245,6.077316,-15.066879,6.015848,5.041099,-0.063225,2.024015
53246,5.785320,-9.798470,5.616556,6.011958,-0.488231,2.250017
53247,5.411965,-6.235754,4.977469,6.110404,-0.803003,2.380438
53248,5.877815,-4.830805,5.210985,5.716669,-0.919688,2.374173
53249,7.359295,-4.249219,7.096620,5.177625,-0.827155,2.301024
53250,7.936377,-2.642519,9.594659,4.531762,-0.513995,2.204537
53251,7.426048,-0.395087,11.211272,3.666440,-0.061198,2.106215
53252,5.991688,0.671287,9.840556,2.543927,0.406731,1.976847
53253,5.266813,-1.385324,6.101104,1.373581,0.739569,1.911961
53254,6.064112,-5.028169,3.976505,0.684055,1.033134,1.814490
53255,5.920085,-6.909487,4.147146,0.550449,1.315329,1.674197
53256,4.046478,-6.830073,4.767605,0.724026,1.443585,1.616664
53257,1.672701,-6.396162,4.509964,0.826551,1.313701,1.692586
53258,0.400851,-7.134358,4.709460,0.890133,0.998353,1.840692
53259,1.070229,-8.614661,7.084305,1.133940,0.702055,1.980073
53260,2.601516,-10.126052,9.200737,1.610197,0.415676,2.087256
53261,3.688562,-10.461450,9.989558,2.349049,0.125797,2.196879
53262,4.373234,-8.521226,10.119417,2.943358,-0.173892,2.378914
53263,4.780756,-5.532109,10.686855,3.020524,-0.321093,2.581035
53264,4.963020,-3.538261,11.592745,2.500200,-0.254502,2.754070
53265,5.630061,-3.001668,14.372995,1.858191,0.145781,2.833332
53266,5.834957,-2.999615,18.324708,1.362165,0.897825,2.868164
53267,4.881401,-3.019529,20.174280,0.820508,1.707650,2.927295
53268,3.841643,-2.596275,18.235978,-0.022188,2.400100,2.918769
53269,4.930240,-1.658287,11.922732,-1.072583,2.808140,2.780315
53270,8.541238,-0.133682,7.531633,-1.440804,3.558405,2.423986
53271,7.973500,0.338765,6.428309,-1.301926,4.437644,2.047518
53272,5.491883,0.860112,6.800613,-0.935364,4.980418,1.802564
53273,3.387680,3.213225,6.013858,-1.161078,5.294421,1.639997
53274,-0.436040,4.061444,2.993670,-2.280214,5.308067,1.630675
53275,-5.470482,1.304575,-1.764486,-3.736319,4.766053,1.757446
53276,-7.941504,-4.067719,-3.284320,-4.829664,3.883115,2.000141
53277,-7.852342,-10.903428,0.272170,-4.722552,3.197723,2.073024
53278,-7.305399,-19.944330,3.127227,-2.549606,2.214590,2.046328
53279,-3.966781,-22.195003,3.571520,0.663627,0.780037,2.025074
53280,-1.486219,-15.560711,2.994997,3.106276,-0.262594,2.221164
