// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
33745,9.249126,-3.603756,0.456364,-0.113701,0.015906,-0.025621
33746,9.218819,-3.527393,0.496783,-0.071352,0.011847,-0.020052
33747,9.194564,-3.548019,0.503013,-0.030408,0.003520,-0.028027
33748,9.201600,-3.571428,0.524625,0.005728,-0.001288,-0.028865
33749,9.211170,-3.528100,0.516282,0.044251,-0.008736,-0.030065
33750,9.197657,-3.468422,0.561019,0.071027,-0.017657,-0.026602
33751,9.292397,-3.376564,0.586447,0.081970,-0.025190,-0.028694
33752,9.280884,-3.349322,0.618680,0.073689,-0.030231,-0.022743
33753,9.289870,-3.405410,0.628436,0.063024,-0.032627,-0.016432
33754,9.274005,-3.457388,0.569024,0.059567,-0.034507,-0.010574
33755,9.290741,-3.501483,0.645534,0.062429,-0.037533,-0.004040
33756,9.291284,-3.473770,0.568125,0.065755,-0.035499,0.002241
33757,9.320416,-3.444635,0.593030,0.060336,-0.038123,0.007587
33758,9.311892,-3.414154,0.657035,0.040981,-0.036724,0.013579
33759,9.325869,-3.473011,0.610909,0.012726,-0.036151,0.030036
33760,9.307933,-3.557268,0.625811,-0.010486,-0.033229,0.042752
33761,9.260281,-3.672114,0.614032,-0.021018,-0.036273,0.057547
33762,9.235367,-3.634771,0.586172,-0.023493,-0.038896,0.077184
33763,9.166635,-3.516990,0.422629,-0.056055,-0.040063,0.094254
33764,9.082628,-3.459128,0.111774,-0.084355,-0.046127,0.103749
33765,9.050810,-3.564658,-0.353272,-0.107963,-0.071354,0.119087
33766,9.055173,-3.941057,-0.470919,-0.072207,-0.080675,0.141174
33767,9.114732,-4.268058,-0.161593,0.034475,-0.093163,0.176877
33768,9.345441,-4.283293,0.475890,0.105567,-0.078183,0.206015
33769,9.514083,-3.905427,0.976944,0.093122,-0.034992,0.238616
33770,9.574859,-3.561562,1.499154,-0.043560,0.016904,0.259418
33771,9.567755,-3.615809,1.981695,-0.239009,0.073600,0.281064
33772,9.496915,-4.100223,2.354988,-0.379466,0.093049,0.289117
33773,9.066938,-4.864557,1.882463,-0.334233,0.073700,0.287833
33774,8.751223,-5.308140,1.124785,-0.036809,-0.006326,0.260276
33775,8.649760,-4.666902,0.521319,0.295484,-0.106334,0.209986
33776,8.795342,-4.119047,0.151784,0.436385,-0.183009,0.179994
33777,8.978720,-4.033624,0.143854,0.511098,-0.221272,0.180182
33778,9.008872,-3.650595,-0.152108,0.571679,-0.243609,0.170627
33779,9.245799,-3.654168,-0.597442,0.624158,-0.222387,0.180437
33780,9.381053,-4.236869,-1.026500,0.793322,-0.170692,0.206729
33781,9.480633,-4.253146,-0.483968,1.018871,-0.088410,0.266300
33782,9.457466,-3.113790,0.666384,1.030554,0.021284,0.295194
33783,9.464247,-1.732606,1.599619,0.654886,0.143666,0.314163
33784,9.518388,-1.116720,2.250461,-0.036673,0.287919,0.326504
33785,9.262166,-1.573197,2.394352,-0.783251,0.400514,0.319228
33786,8.880590,-3.168907,1.904215,-1.286902,0.434798,0.306077
33787,8.380551,-5.049554,1.262824,-1.359172,0.362776,0.307511
33788,8.538097,-6.398895,0.894166,-1.022244,0.201860,0.283492
33789,8.615178,-7.156280,0.274637,-0.449874,0.052958,0.266084
33790,8.816688,-7.001125,-0.134525,0.265280,-0.125016,0.254295
33791,9.295584,-6.581090,0.018104,0.824880,-0.229457,0.293624
33792,9.367200,-5.490811,-0.179528,1.227650,-0.281327,0.339074
33793,9.560239,-4.213758,-0.611583,1.397797,-0.311218,0.363365
33794,9.742785,-3.798104,-0.393607,1.318816,-0.212972,0.452829
33795,9.727312,-3.000813,0.417700,1.110015,-0.096059,0.537894
33796,9.622173,-1.715464,1.179805,0.585184,0.050661,0.587983
33797,9.436485,-1.128421,1.671751,-0.250061,0.222514,0.624837
33798,9.085029,-2.076849,1.418312,-1.067358,0.356455,0.637102
33799,8.574905,-4.074077,1.223346,-1.556568,0.416503,0.639348
33800,8.142774,-6.420384,0.879103,-1.503837,0.344969,0.593807
33801,7.951714,-8.102389,0.475237,-0.927108,0.213807,0.547913
33802,7.715158,-8.495509,0.111830,-0.096076,0.016334,0.489550
33803,7.793996,-7.959968,-0.121633,0.683480,-0.161011,0.442787
33804,8.150079,-6.621354,-0.170704,1.243866,-0.318176,0.417882
33805,8.780220,-5.531337,-0.043857,1.508942,-0.389394,0.417656
33806,9.138514,-4.857104,-0.003840,1.583633,-0.378492,0.446745
33807,9.256894,-4.123598,-0.014095,1.536746,-0.304400,0.499578
33808,9.335704,-3.420715,0.604213,1.380440,-0.173675,0.563673
33809,9.229370,-2.223816,1.342099,0.984336,-0.000523,0.611084
33810,8.979888,-1.353756,1.945632,0.250968,0.188612,0.628495
33811,8.710332,-1.811912,2.177947,-0.574379,0.369898,0.622939
33812,8.282159,-3.504812,2.340876,-1.197076,0.500455,0.582138
33813,7.833069,-5.284216,1.900872,-1.329522,0.508442,0.531930
33814,7.633742,-6.581837,1.459815,-1.092893,0.444673,0.469091
33815,7.551170,-7.295574,1.202006,-0.565536,0.330561,0.397658
33816,7.529535,-6.865287,0.935398,0.029330,0.188123,0.300597
33817,7.660994,-6.463526,0.394346,0.452082,0.061340,0.234577
33818,7.693883,-6.121107,0.308225,0.790856,-0.044331,0.200913
33819,7.854335,-5.515279,0.321345,0.971903,-0.128279,0.207521
33820,8.373493,-5.374102,0.042194,0.990184,-0.158090,0.259545
33821,8.835378,-5.717432,0.072841,0.971121,-0.110204,0.360874
33822,9.019715,-5.179164,0.218812,0.908269,-0.043398,0.461746
33823,9.002795,-3.696499,0.555107,0.633830,0.053856,0.520917
33824,8.816010,-2.503250,1.289430,0.043242,0.184712,0.555261
33825,8.599661,-2.901805,1.450297,-0.720957,0.323423,0.567359
33826,8.077398,-4.241537,1.134515,-1.191124,0.379327,0.530000
33827,7.670229,-6.007456,0.775613,-1.326774,0.348194,0.490287
33828,7.324297,-7.541408,0.594630,-1.043293,0.227523,0.440862
33829,7.196994,-8.630585,0.215011,-0.485755,0.069747,0.399394
33830,7.034421,-8.856683,0.089870,0.240001,-0.105985,0.358417
33831,7.323583,-7.849596,0.262193,0.848902,-0.275869,0.346726
33832,7.907778,-6.422809,0.707737,1.122767,-0.345210,0.360292
33833,8.442312,-5.892473,0.447655,1.190484,-0.336127,0.382565
33834,8.421075,-5.509077,0.292970,1.239519,-0.250388,0.430457
33835,8.168760,-4.462672,0.332744,1.192999,-0.193892,0.463754
33836,8.202580,-3.060847,0.996805,0.832036,-0.070623,0.494075
33837,8.215670,-2.006445,1.782304,0.166122,0.110297,0.506229
33838,8.068833,-2.025386,2.540629,-0.695056,0.307294,0.492809
33839,7.505155,-3.984266,1.868146,-1.293248,0.403688,0.434763
33840,7.079321,-6.249892,1.216307,-1.328512,0.376151,0.352830
33841,6.795045,-8.233832,0.462524,-0.853061,0.240546,0.258323
33842,6.631080,-9.464935,0.312537,0.018119,0.009949,0.163744
33843,6.828241,-9.281343,0.558200,0.994172,-0.217900,0.086477
33844,7.272657,-7.922550,0.728399,1.714961,-0.388443,0.043041
33845,7.935001,-5.950316,0.634150,2.022894,-0.452119,0.037567
33846,8.316820,-4.263205,0.196312,1.836096,-0.425193,0.068481
33847,8.535218,-3.577233,0.111959,1.398096,-0.345609,0.133100
33848,8.434589,-3.200892,0.310364,0.919070,-0.289789,0.159100
33849,8.161768,-3.171369,1.000287,0.400884,-0.238859,0.159540
33850,7.736788,-4.162735,1.341009,-0.068706,-0.216355,0.157035
33851,7.444236,-5.477253,1.456536,-0.234196,-0.246057,0.119370
33852,7.262498,-6.816830,1.458575,-0.098924,-0.301689,0.084265
33853,7.183646,-7.588167,1.183989,0.293669,-0.336008,0.073347
33854,7.240865,-6.852990,1.354987,0.687625,-0.348468,0.070525
33855,7.485554,-5.473498,1.281038,0.773720,-0.316769,0.062476
33856,7.713600,-5.204046,0.923874,0.636960,-0.237380,0.063963
33857,7.816844,-5.378747,1.244665,0.546529,-0.175507,0.058924
33858,7.948572,-5.466498,1.830441,0.426800,-0.101180,0.047631
33859,8.085989,-5.985661,2.144626,0.291063,-0.062176,0.053963
33860,8.074210,-6.385307,1.935533,0.276169,-0.058341,0.063761
33861,7.863986,-6.711277,0.932625,0.409346,-0.098922,0.055830
33862,7.722425,-6.751608,0.359791,0.643645,-0.156938,0.075664
33863,7.688762,-5.863567,0.324550,0.817808,-0.228769,0.112371
33864,8.050747,-4.820887,0.726073,0.745806,-0.251275,0.154944
33865,8.273663,-4.837466,0.721207,0.496410,-0.197683,0.246263
33866,8.377660,-4.945489,1.177312,0.327569,-0.164251,0.325927
33867,8.577814,-4.823314,1.693075,0.088286,-0.115222,0.396119
33868,8.881788,-4.770119,2.120149,-0.198643,-0.063795,0.457921
33869,8.963317,-5.146234,1.594844,-0.449095,-0.026242,0.508146
33870,8.805340,-5.242832,1.061410,-0.501048,-0.045404,0.536043
33871,8.658053,-4.546702,0.736357,-0.507260,-0.078711,0.544907
33872,8.606261,-4.132211,0.831930,-0.573321,-0.090832,0.542988
33873,8.396424,-4.668100,1.137758,-0.547792,-0.106507,0.490426
33874,8.046833,-5.724720,1.342400,-0.315636,-0.097162,0.396813
33875,7.937759,-6.143791,1.656492,0.129363,-0.110885,0.282777
33876,8.286382,-5.490269,2.037824,0.549982,-0.103233,0.157962
33877,8.754892,-4.271497,2.756160,0.679679,-0.066379,0.093256
33878,9.328326,-3.403876,3.098944,0.461548,0.026155,0.086540
33879,10.396757,-4.173508,5.552043,0.057262,0.198445,0.084354
33880,9.386071,-6.422820,0.928426,-0.038022,0.156311,0.051135
33881,9.747851,-7.264700,1.312930,0.714765,-0.006716,0.065478
33882,9.811376,-4.937606,2.340266,0.707136,-0.118173,0.181777
33883,10.655701,-6.170448,2.313002,0.135701,-0.046476,0.343358
33884,10.234815,-7.930943,2.182347,0.194522,-0.092249,0.530454
33885,10.331625,-8.789232,1.981773,0.352038,-0.166159,0.753105
33886,10.227519,-9.628734,1.982438,0.538310,-0.199536,1.025401
33887,9.859559,-8.957956,2.294892,0.741281,-0.268741,1.246199
33888,9.783472,-8.744422,3.071812,0.581348,-0.292512,1.458636
33889,9.536815,-9.060389,3.247508,0.466692,-0.297617,1.600845
33890,8.953804,-9.641517,3.033993,0.514226,-0.316277,1.652440
33891,8.459255,-10.326045,2.777442,0.782605,-0.358727,1.676045
33892,8.424158,-10.039080,2.637186,1.083110,-0.410345,1.688002
33893,8.471073,-9.161531,2.608711,1.116563,-0.414518,1.723681
33894,8.204921,-8.531414,2.533498,0.966100,-0.401697,1.759743
33895,7.986000,-8.439421,2.710249,0.770157,-0.376394,1.801684
33896,8.146127,-8.707826,2.801125,0.609575,-0.346242,1.851716
33897,8.515964,-9.206394,2.598870,0.464930,-0.288240,1.948748
33898,8.768354,-9.620501,2.540760,0.359652,-0.236258,2.068702
33899,8.989513,-9.875299,2.556787,0.215069,-0.180958,2.195051
33900,9.082866,-9.845021,2.533966,0.073350,-0.138628,2.329062
