// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
53925,9.430316,-3.067270,1.065736,-0.005393,0.019831,0.021408
53926,9.354948,-3.069617,0.983766,-0.012537,0.018569,0.024606
53927,9.263529,-3.024517,0.779882,-0.025552,0.015900,0.030149
53928,9.174567,-3.003342,0.579552,-0.028233,-0.008288,0.029739
53929,9.234956,-3.105638,0.673009,-0.008989,-0.017109,0.036408
53930,9.324584,-3.280625,1.005195,0.030615,-0.005669,0.044972
53931,9.307363,-3.332520,1.142192,0.074465,0.005008,0.048875
53932,9.246191,-2.991124,1.141962,0.108276,0.008308,0.038330
53933,9.341607,-2.870797,1.323701,0.065085,0.019963,0.034616
53934,9.452839,-2.826136,1.498075,-0.004794,0.038476,0.035164
53935,9.502843,-2.866179,1.662049,-0.112555,0.065171,0.034411
53936,9.466478,-2.880767,1.758866,-0.226484,0.088809,0.038283
53937,9.456727,-3.151353,1.829332,-0.304942,0.112132,0.047735
53938,9.394366,-3.360071,1.866132,-0.299050,0.106868,0.053731
53939,9.370878,-3.515405,1.775735,-0.234557,0.093576,0.050619
53940,9.258215,-3.650945,1.566661,-0.119215,0.075807,0.048805
53941,9.124684,-3.603597,1.267514,0.030729,0.033704,0.035965
53942,9.172881,-3.431347,0.996751,0.159028,-0.009339,0.026837
53943,9.353340,-3.277054,0.943462,0.237540,-0.031481,0.028389
53944,9.490845,-3.095441,0.920896,0.257798,-0.035188,0.033685
53945,9.471682,-2.817731,0.709487,0.224335,-0.029042,0.033339
53946,9.416749,-2.341109,0.151559,0.138680,-0.039576,0.022443
53947,9.440663,-2.093407,-0.097099,-0.019437,-0.014850,0.037525
53948,9.340250,-2.109893,-0.110504,-0.194493,0.031299,0.070554
53949,9.300110,-2.376235,0.104108,-0.348368,0.069711,0.093965
53950,9.436116,-2.955010,0.816400,-0.476779,0.125951,0.134891
53951,9.467095,-3.381160,1.511637,-0.533177,0.179485,0.158900
53952,9.290843,-3.401070,1.601848,-0.556834,0.210233,0.158140
53953,9.141959,-3.489468,1.580746,-0.549735,0.205549,0.146550
53954,9.170427,-3.734381,1.841660,-0.551638,0.192297,0.138346
53955,9.141908,-4.133324,1.963557,-0.479446,0.142469,0.128804
53956,9.052477,-4.375555,1.847166,-0.307181,0.072287,0.098531
53957,8.971854,-4.995892,1.655853,0.006909,-0.018144,0.087801
53958,9.012521,-5.455096,1.450412,0.456730,-0.124589,0.076243
53959,9.073314,-5.134334,0.996366,0.935735,-0.243770,0.061249
53960,9.235709,-4.341436,0.646594,1.285063,-0.348636,0.052595
53961,9.752355,-3.431716,0.886191,1.364304,-0.352210,0.094143
53962,9.981314,-2.584806,0.912843,1.214810,-0.310429,0.151734
53963,10.005768,-1.612342,0.351081,0.914260,-0.282823,0.163775
53964,10.273676,-1.251615,0.156379,0.471537,-0.152779,0.240477
53965,10.039436,-1.213175,0.180801,0.015500,0.032422,0.299987
53966,9.682540,-1.580813,0.357617,-0.389184,0.145749,0.338280
53967,9.490211,-2.481388,1.141642,-0.771815,0.279860,0.409157
53968,9.174591,-3.079891,1.805167,-1.052534,0.355663,0.433285
53969,8.798747,-3.496169,1.618638,-1.187865,0.361713,0.415539
53970,8.484692,-4.095558,1.316740,-1.178826,0.330480,0.391186
53971,8.447125,-4.770821,1.528422,-1.018774,0.250063,0.371605
53972,8.587970,-5.447901,1.671405,-0.712542,0.122613,0.344624
53973,8.711204,-5.895553,1.532008,-0.259889,-0.031950,0.304102
53974,8.851860,-6.140789,1.516197,0.263945,-0.163702,0.294074
53975,8.910862,-6.082106,1.252262,0.784880,-0.292087,0.303810
53976,9.119730,-5.339081,1.049850,1.176905,-0.415511,0.313335
53977,9.748041,-4.264923,1.098566,1.308712,-0.440484,0.360155
53978,10.082865,-2.935250,0.864637,1.137967,-0.366707,0.404484
53979,10.242011,-1.736686,0.204560,0.726399,-0.289622,0.442749
53980,10.631089,-1.405413,-0.139186,0.128330,-0.094422,0.545934
53981,10.235599,-2.011227,-0.086503,-0.445100,0.163272,0.653509
53982,9.684220,-3.111851,0.475831,-0.891371,0.320915,0.748959
53983,9.171038,-4.192228,1.409080,-1.183109,0.436134,0.812118
53984,8.441335,-4.798895,1.364874,-1.205306,0.407786,0.773236
53985,8.006119,-5.611031,1.087969,-1.122104,0.363531,0.759868
53986,7.682379,-6.125028,0.870478,-0.808532,0.238484,0.715619
53987,7.793431,-6.167054,0.982046,-0.449207,0.077776,0.680827
53988,8.246615,-6.165921,1.442874,-0.093660,-0.065195,0.644684
53989,8.515461,-6.108502,1.590212,0.258528,-0.191252,0.618388
53990,8.690239,-5.932501,1.660475,0.581081,-0.287254,0.621195
53991,8.806794,-5.934021,1.830088,0.829746,-0.347115,0.668517
53992,9.056234,-5.646878,1.862620,0.991474,-0.373158,0.695356
53993,9.220081,-4.959909,1.368373,1.034487,-0.359013,0.695277
53994,9.064521,-3.616155,0.205334,0.978493,-0.363083,0.630693
53995,9.284471,-2.601753,-0.425608,0.711606,-0.263854,0.622918
53996,9.083533,-2.840661,-0.287498,0.356021,-0.076175,0.655298
53997,9.008127,-3.983331,0.810240,0.065069,0.060091,0.702766
53998,8.806443,-5.188252,1.704780,-0.046106,0.187180,0.726511
53999,8.233616,-5.720269,1.709404,0.002795,0.213958,0.694434
54000,7.953122,-5.667470,1.746148,0.001035,0.217568,0.688267
54001,7.806196,-5.214713,1.825703,-0.071785,0.203349,0.686042
54002,7.953300,-5.032255,2.342806,-0.267549,0.183760,0.702351
54003,8.174144,-5.369799,2.643096,-0.351358,0.148724,0.699558
54004,8.229755,-6.266225,2.363243,-0.221325,0.085204,0.684195
54005,8.211607,-7.270141,2.099648,0.174514,0.002671,0.683183
54006,8.155813,-8.037945,1.846673,0.684895,-0.071358,0.693888
54007,8.138152,-7.613580,1.303083,1.153965,-0.177305,0.679372
54008,8.165254,-6.372102,0.932050,1.373815,-0.218431,0.674631
54009,7.953676,-4.651419,0.147950,1.400025,-0.261974,0.606365
54010,8.121998,-3.649527,-0.076666,1.119071,-0.193773,0.612156
