// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
09689,9.445389,1.153743,2.156495,0.007042,0.009254,-0.007896
09690,9.438077,1.193428,2.112286,0.013180,0.007944,-0.004926
09691,9.474734,1.156659,2.127585,0.014460,0.003633,-0.003031
09692,9.524894,1.138744,2.117344,0.012833,0.006367,-0.001533
09693,9.587029,1.105616,2.079198,0.020670,0.015562,-0.004829
09694,9.587969,1.141067,2.083513,0.026790,0.018188,-0.007371
09695,9.642062,1.121606,2.098149,0.035886,0.014490,-0.003631
09696,9.626513,1.060652,2.020998,0.037659,0.005929,-0.004441
09697,9.662997,1.130243,2.020925,0.073845,0.008768,-0.006705
09698,9.590881,1.250484,2.093968,0.078501,0.008305,-0.007074
09699,9.566433,1.283399,2.150402,0.051356,0.001051,-0.006954
09700,9.557027,1.263955,2.199441,0.042100,0.001995,-0.006245
09701,9.567732,1.215308,2.167897,0.022800,0.000003,-0.003906
09702,9.543124,1.133047,2.139544,0.026648,-0.000416,-0.008869
09703,9.581887,1.042290,1.974896,0.032076,-0.000933,-0.004624
09704,9.562608,1.097893,1.957858,0.060715,0.004783,-0.007329
09705,9.559936,1.145305,2.037122,0.072030,0.014637,-0.001525
09706,9.520241,1.115168,2.016536,0.060463,0.003960,0.001938
09707,9.566330,1.099641,1.981925,0.072832,0.006036,0.008224
09708,9.565172,1.180693,2.063419,0.092801,0.009181,0.009394
09709,9.564075,1.261803,2.144556,0.078086,0.002068,0.011027
09710,9.562841,1.227754,2.141193,0.058573,0.001245,0.012318
09711,9.594105,1.263135,2.113499,0.051583,0.005238,0.015434
09712,9.542565,1.246685,2.120964,0.037605,0.001989,0.016163
09713,9.523704,1.194806,2.119675,0.034599,-0.000280,0.015034
09714,9.531897,1.180369,2.066796,0.055321,-0.001825,0.020453
09715,9.578323,1.162829,2.031668,0.070499,-0.000942,0.026435
09716,9.593463,1.214707,2.008073,0.081682,0.010112,0.031119
09717,9.613085,1.274478,2.109138,0.078748,0.012506,0.030323
09718,9.560190,1.327952,2.098089,0.061982,0.010479,0.031344
09719,9.568798,1.322363,2.145925,0.040794,0.001161,0.028655
09720,9.503890,1.286046,2.179122,0.025504,0.002213,0.027479
09721,9.566648,1.249158,2.140479,0.016941,-0.001523,0.032468
09722,9.581885,1.194214,2.133607,0.007450,0.000591,0.032125
09723,9.572382,1.160904,2.083434,0.010461,0.006755,0.027701
09724,9.592808,1.139142,2.104382,0.030042,0.022705,0.026311
09725,9.509867,1.191585,2.124696,0.035430,0.021448,0.024670
09726,9.541114,1.225162,2.098463,0.045493,0.015829,0.028206
09727,9.504361,1.260864,2.084278,0.044107,0.025954,0.025535
09728,9.471721,1.294492,2.094401,0.025793,0.020861,0.028783
09729,9.489071,1.203931,2.110798,0.018772,0.013618,0.026427
09730,9.539350,1.182934,2.101735,0.011088,0.011823,0.025673
09731,9.559442,1.150615,2.022792,0.003715,0.018174,0.026643
09732,9.482277,1.235353,2.069398,0.011582,0.022686,0.022920
09733,9.502576,1.213619,2.090709,-0.010281,0.008350,0.022264
09734,9.515820,1.124343,2.082798,-0.028545,0.007925,0.025838
09735,9.521082,1.048816,2.126876,-0.009108,0.005998,0.028994
09736,9.519333,0.916483,2.242047,-0.002308,0.005867,0.035489
09737,9.510053,0.706539,2.228175,0.007814,0.004893,0.039364
09738,9.454680,0.598399,2.031664,0.070084,0.018419,0.044121
09739,9.339250,0.686396,2.060931,0.164415,0.055790,0.052951
09740,9.300403,0.906139,2.412517,0.203531,0.099363,0.063661
09741,9.481518,1.040029,2.847194,0.105437,0.119298,0.079927
09742,9.518630,0.806896,2.836753,-0.023636,0.155828,0.102919
09743,9.426670,0.619565,2.680680,-0.096789,0.166801,0.121368
09744,9.534122,0.448554,2.341646,-0.119571,0.097083,0.144773
09745,9.944399,0.418223,1.984144,-0.045346,0.068661,0.148267
09746,10.050462,0.638740,1.522874,0.111618,0.128391,0.128012
09747,9.642258,0.968674,1.203921,0.243465,0.138486,0.095553
09748,9.491582,1.163377,1.199310,0.303702,0.057370,0.075596
09749,9.939154,1.039114,1.615715,0.317795,0.017729,0.107860
09750,10.112971,0.938874,2.178452,0.381147,0.090672,0.145144
09751,9.949565,1.054631,2.665371,0.422123,0.148333,0.178042
09752,9.773342,1.421749,2.997443,0.326847,0.155563,0.204083
09753,9.669547,1.649336,3.161214,0.116876,0.131249,0.224397
09754,9.559876,1.659025,3.017916,-0.107031,0.106073,0.232835
09755,9.460546,1.481931,2.665758,-0.271116,0.087753,0.237556
09756,9.421445,1.231500,2.274190,-0.377649,0.057654,0.243411
09757,9.393038,0.977385,1.951978,-0.418785,0.043293,0.243550
09758,9.494681,0.623675,1.723687,-0.396689,0.030843,0.241002
09759,9.663403,0.349864,1.561701,-0.297075,0.029212,0.232245
09760,9.627924,0.282604,1.470624,-0.120467,0.080499,0.204098
09761,9.494225,0.388611,1.583410,0.010375,0.109494,0.184354
09762,9.372316,0.537139,1.871210,0.067229,0.102743,0.185132
09763,9.470911,0.616444,2.145660,0.104781,0.105047,0.202624
09764,9.432665,0.740971,2.418885,0.089472,0.111830,0.224573
09765,9.446341,0.794372,2.605297,0.021726,0.102849,0.247313
09766,9.548945,0.878757,2.657429,-0.065702,0.078783,0.268994
09767,9.603483,0.835413,2.805409,-0.138198,0.076786,0.284241
09768,9.666246,0.665250,2.967848,-0.203426,0.084213,0.284630
09769,9.738383,0.466565,2.978956,-0.261595,0.091539,0.291434
09770,9.764172,0.266909,2.798717,-0.272708,0.102163,0.295876
09771,9.830075,0.198849,2.451269,-0.211896,0.108264,0.288265
09772,9.816351,0.157966,2.141599,-0.135029,0.111347,0.272871
09773,9.766114,0.098906,1.958254,-0.040411,0.111238,0.243879
09774,9.679716,0.058233,1.878942,0.053891,0.098103,0.217566
09775,9.717178,-0.033486,2.099008,0.141491,0.096318,0.207335
09776,9.780436,-0.068183,2.469632,0.168258,0.106333,0.214611
09777,9.815063,-0.075024,2.749543,0.155027,0.136676,0.222847
09778,9.717947,0.122920,3.067268,0.123232,0.175897,0.224479
09779,9.583653,0.437178,3.278469,0.054073,0.198634,0.227870
09780,9.503954,0.518563,3.438271,-0.059213,0.182750,0.239871
09781,9.599079,0.313286,3.303788,-0.193642,0.151104,0.279095
09782,9.631373,-0.029457,2.941128,-0.219523,0.156498,0.305468
09783,9.616692,-0.268612,2.667642,-0.154944,0.177091,0.326690
09784,9.560067,-0.368442,2.487515,-0.051863,0.198083,0.347596
09785,9.538620,-0.274309,2.249940,0.065029,0.219768,0.356679
09786,9.564565,0.095305,2.232580,0.171390,0.237227,0.355691
09787,9.587995,0.432415,2.212825,0.194348,0.247601,0.348299
09788,9.563872,0.556734,2.325357,0.144761,0.234712,0.345525
09789,9.711264,0.330717,2.534840,0.084266,0.208672,0.351434
09790,9.847524,0.155063,2.750998,0.040661,0.229633,0.369843
09791,9.775335,0.133334,2.954617,-0.011233,0.251983,0.378276
09792,9.622326,0.007176,3.058528,-0.100721,0.251961,0.387575
09793,9.499439,-0.084412,3.062763,-0.195000,0.230986,0.401250
09794,9.622595,-0.313280,3.102914,-0.283688,0.190163,0.419005
09795,9.770134,-0.672953,2.902488,-0.369223,0.160775,0.435981
09796,9.866661,-0.964501,2.610571,-0.357079,0.144418,0.431819
09797,9.981543,-1.108765,2.257525,-0.223335,0.154833,0.409588
09798,9.841639,-0.874002,2.215658,-0.083274,0.202427,0.382056
09799,9.550775,-0.451578,2.258779,-0.017500,0.224081,0.344461
09800,9.316816,-0.016353,2.298732,-0.041683,0.218447,0.317183
09801,9.129667,0.091710,2.346496,-0.146152,0.196324,0.323102
09802,9.052165,-0.184825,2.266774,-0.257993,0.163746,0.353115
09803,9.169207,-0.497102,2.264373,-0.310352,0.132484,0.397792
