// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
16485,8.613168,-5.811588,3.974841,-0.632878,0.635097,0.372928
16486,8.399038,-6.176717,4.080340,-0.375725,0.599138,0.386739
16487,8.322497,-6.013567,4.209827,-0.130111,0.541434,0.407345
16488,8.303508,-5.985744,3.923562,0.030280,0.474610,0.431901
16489,8.160445,-5.837368,3.238637,0.241833,0.423345,0.435501
16490,8.014405,-5.464983,2.604709,0.453685,0.368470,0.415439
16491,7.970359,-5.157400,2.133433,0.566956,0.289990,0.404329
16492,8.181936,-5.074713,1.660714,0.629250,0.219575,0.406486
16493,8.326187,-4.880667,1.584460,0.714266,0.195643,0.405662
16494,8.334706,-4.601764,1.692664,0.760721,0.215814,0.394055
16495,8.215734,-4.339999,1.814259,0.711348,0.245941,0.396444
16496,8.136652,-4.281689,1.987802,0.584739,0.271700,0.431550
16497,8.131880,-4.492106,2.240152,0.433705,0.303053,0.491242
16498,8.169274,-4.846539,2.693370,0.297059,0.371280,0.558243
16499,8.062351,-5.056791,3.200216,0.176974,0.449847,0.625744
16500,7.905148,-5.323452,3.639808,0.050835,0.509388,0.693054
16501,7.714780,-5.533776,3.751796,-0.103218,0.534427,0.760011
16502,7.542800,-5.743247,3.655589,-0.235070,0.540855,0.820797
16503,7.440058,-5.868616,3.392089,-0.304873,0.535777,0.865198
16504,7.318291,-5.924900,3.023565,-0.306599,0.525724,0.892639
16505,7.161338,-5.886737,2.724950,-0.277800,0.515994,0.912449
16506,7.067987,-5.895852,2.522938,-0.252767,0.499970,0.943610
16507,6.996436,-6.055544,2.376139,-0.228905,0.476116,0.989867
16508,6.949188,-6.360177,2.430343,-0.189922,0.458902,1.043217
16509,6.920854,-6.652329,2.581553,-0.123128,0.448349,1.087281
16510,6.784395,-6.879047,2.859874,-0.045670,0.415156,1.117968
16511,6.743343,-7.186912,3.384284,0.051028,0.374753,1.165651
16512,6.680527,-7.603648,3.918327,0.135928,0.338423,1.228716
16513,6.577157,-7.867063,4.574880,0.254963,0.303459,1.277701
16514,6.628688,-8.054506,5.426492,0.383291,0.305770,1.328237
16515,6.595724,-8.130313,5.697993,0.470120,0.295959,1.393789
16516,6.674381,-7.920337,5.638224,0.572621,0.286712,1.438372
16517,6.775302,-7.564849,5.353657,0.670334,0.283182,1.463388
16518,6.722331,-7.311545,4.763102,0.708727,0.265101,1.474484
16519,6.614309,-7.161160,3.811886,0.767755,0.215655,1.476548
16520,6.693353,-6.882631,3.038903,0.878858,0.145840,1.452543
16521,6.850077,-6.540185,2.377601,0.985789,0.084850,1.413507
16522,6.895300,-6.043469,1.944325,1.059848,0.059555,1.337219
16523,6.927767,-5.694220,2.134631,1.083322,0.075733,1.268164
16524,6.983479,-5.648495,2.674704,0.983871,0.110577,1.237774
16525,6.962060,-6.002822,3.513725,0.826681,0.203303,1.264196
16526,6.809612,-6.549921,4.362307,0.651650,0.330193,1.339491
16527,6.513762,-7.020966,5.181222,0.479125,0.441976,1.423995
16528,6.345639,-7.582258,6.380198,0.391076,0.534242,1.482741
16529,6.165626,-8.290930,7.705079,0.349662,0.635944,1.538171
16530,5.824792,-8.784180,8.065611,0.326267,0.696346,1.614043
16531,5.396276,-8.707521,7.622638,0.386343,0.685307,1.666119
16532,5.051045,-8.549778,6.500148,0.511533,0.624302,1.707850
16533,4.846632,-8.420190,4.990043,0.696532,0.512227,1.716423
16534,4.761603,-8.129811,3.558664,0.988384,0.340172,1.660929
16535,5.007282,-7.765175,2.667592,1.372689,0.141151,1.553624
16536,5.359160,-7.242141,2.397741,1.739175,-0.025435,1.432570
16537,5.450824,-6.580922,2.571483,1.990392,-0.101228,1.303178
16538,5.376692,-5.831872,2.834852,2.023276,-0.143093,1.187930
16539,5.399856,-5.224950,3.153462,1.850729,-0.135809,1.113993
16540,5.507078,-5.081871,3.852212,1.589469,-0.056651,1.095672
16541,5.505144,-5.441358,5.030593,1.384104,0.108573,1.110409
16542,5.398723,-6.081551,6.548396,1.248000,0.308520,1.152128
16543,5.110085,-6.617074,8.139853,1.092954,0.532973,1.206034
16544,4.701416,-6.728965,9.009703,0.856802,0.715694,1.259783
16545,4.317441,-6.515154,9.183764,0.617376,0.818685,1.327739
16546,4.130382,-6.571817,8.674405,0.419975,0.852197,1.392553
16547,4.107455,-6.898525,7.359652,0.312626,0.829101,1.446839
16548,3.931140,-7.231422,5.935056,0.270364,0.730124,1.474166
16549,3.816504,-7.594928,4.597049,0.424039,0.555284,1.447098
16550,3.632187,-7.729316,3.842869,0.785038,0.371020,1.355441
16551,3.483755,-7.394712,3.350767,1.057957,0.240164,1.206080
16552,3.272977,-6.886087,3.246808,1.289948,0.132877,1.052988
16553,3.214082,-6.251597,3.484443,1.438257,0.018211,0.928772
16554,3.195867,-5.767774,4.095077,1.489207,-0.038078,0.850421
16555,3.259703,-5.534286,5.102642,1.470922,-0.043529,0.809151
16556,3.330430,-5.632689,6.402472,1.434258,0.039489,0.814127
16557,3.186723,-5.653094,7.527567,1.322412,0.203270,0.831224
16558,2.986743,-5.375422,8.348992,1.106247,0.343113,0.865020
16559,3.041469,-5.060316,8.769300,0.860324,0.417495,0.916605
16560,3.164910,-5.226371,8.719769,0.545973,0.494835,0.978710
16561,3.110381,-5.881614,8.078310,0.262041,0.551040,1.045676
16562,2.976130,-6.462732,7.353557,0.104805,0.555942,1.074731
16563,2.713211,-6.744884,6.687487,0.038193,0.534896,1.085474
16564,2.258122,-6.859962,5.919520,0.200269,0.489456,1.029492
16565,1.794647,-6.787429,5.568733,0.431355,0.416383,0.951595
16566,1.498686,-6.501631,5.530663,0.615425,0.287099,0.898417
16567,1.430186,-6.167733,5.549685,0.728081,0.127312,0.868650
16568,1.521373,-5.663684,5.277378,0.841257,-0.001242,0.841003
16569,1.619098,-5.046827,5.552748,0.896837,-0.056753,0.774780
16570,1.802433,-4.705909,6.111708,0.823274,-0.054524,0.706483
16571,1.827130,-4.754128,7.208651,0.703577,0.059545,0.675147
16572,1.706630,-5.112343,8.094910,0.465119,0.181696,0.675746
16573,1.870116,-5.507156,8.459071,0.256600,0.286424,0.713029
16574,1.874878,-5.867031,8.995741,0.091962,0.385763,0.791421
16575,1.476668,-6.468704,9.370242,-0.124976,0.469589,0.891465
16576,1.172528,-7.265872,9.032042,-0.298470,0.516692,0.978644
16577,1.092491,-7.761997,7.954808,-0.211736,0.541463,1.047892
16578,1.104847,-7.660963,7.142143,0.097859,0.459467,1.114429
16579,0.933311,-7.095518,6.587817,0.388631,0.320476,1.140862
16580,0.566403,-6.466676,6.630713,0.595489,0.200130,1.067903
16581,0.244160,-5.758708,6.583350,0.778764,0.091209,0.939583
16582,0.196278,-4.995325,6.916238,0.902518,-0.031086,0.795762
16583,0.559355,-4.473316,6.778567,0.834462,-0.129852,0.676137
16584,1.058132,-4.375558,6.817217,0.746287,-0.116183,0.564691
16585,1.406505,-4.382387,7.245846,0.638547,-0.084837,0.465149
16586,1.707806,-4.461493,7.484456,0.506917,-0.066500,0.375357
16587,1.703051,-4.793282,7.675515,0.312671,0.035689,0.293055
16588,1.456236,-5.062927,7.700727,0.279989,0.116337,0.224891
16589,1.014278,-5.020503,8.306827,0.264655,0.176496,0.180446
16590,0.608641,-5.120608,8.381557,0.177616,0.277120,0.167018
16591,0.539777,-5.530257,8.962637,0.018638,0.381807,0.219995
16592,0.937114,-6.041872,8.923308,-0.131235,0.439893,0.373115
16593,0.763268,-6.321439,8.174286,0.015346,0.543707,0.454676
16594,0.394709,-6.106220,7.524680,0.295579,0.542441,0.412512
16595,0.443455,-5.368397,7.244040,0.509567,0.459645,0.326808
16596,0.540752,-4.442148,6.338725,0.608514,0.350490,0.184077
16597,0.548605,-3.437360,5.380980,0.694053,0.218360,-0.011046
16598,0.528542,-2.717503,6.059303,0.482719,0.163849,-0.190662
16599,1.016718,-3.008244,6.268956,0.122183,0.184659,-0.320487
16600,0.780554,-3.901073,7.390475,-0.196028,0.374926,-0.382726
16601,-0.006775,-5.643366,8.717498,-0.536067,0.517844,-0.354850
16602,-0.082792,-7.118739,9.787853,-0.491055,0.519366,-0.245338
16603,-0.307435,-7.600416,10.404977,-0.175803,0.604245,-0.141480
16604,-1.277424,-7.552075,10.436829,-0.047444,0.603133,-0.065400
16605,-1.518883,-7.873523,9.741726,0.034193,0.439311,0.007645
16606,-0.478668,-7.833907,8.827060,0.347172,0.269426,0.114759
16607,0.080835,-6.840898,7.479319,0.734355,0.201592,0.191726
16608,0.084869,-5.151581,6.462919,1.042010,0.111432,0.113631
16609,1.333626,-3.107676,6.181673,1.002512,0.023219,-0.045303
16610,2.501848,-1.557131,5.187927,0.798372,0.054334,-0.284365
16611,3.027622,-0.497353,5.309509,0.490713,0.231779,-0.596220
16612,2.581086,-0.702244,6.789782,-0.088305,0.602139,-0.733673
16613,2.404133,-2.727454,8.178999,-0.588545,0.926989,-0.892394
16614,0.848736,-4.716582,8.678012,-0.720984,1.281170,-1.001960
16615,-0.653566,-5.900158,10.350249,-0.526163,1.402473,-1.112389
16616,-0.814170,-6.563754,11.641554,-0.390884,1.349724,-1.051968
16617,-0.648840,-7.117239,12.190894,-0.264009,1.435754,-0.963565
16618,-1.440402,-7.803024,11.879118,-0.179265,1.423033,-0.916062
16619,-2.348186,-8.166994,10.402869,0.155922,1.054972,-1.044155
16620,-1.198954,-7.913451,9.118040,0.608750,0.621961,-1.211886
16621,0.361281,-7.417964,7.941498,0.955838,0.448403,-1.278250
16622,0.802542,-6.982742,7.036197,1.212668,0.554724,-1.349609
16623,0.832955,-6.049745,6.393221,1.615794,0.650806,-1.433828
16624,0.641405,-4.726398,6.184432,1.930248,0.619905,-1.462739
16625,0.246122,-3.635742,5.732887,1.995835,0.580198,-1.487584
16626,-0.274543,-3.053985,6.229709,1.962635,0.623505,-1.627607
16627,-0.666484,-2.719855,8.090115,1.604412,0.844173,-1.843341
16628,-0.740193,-2.493947,9.618396,0.888008,1.102338,-1.900743
16629,-0.565745,-2.775105,11.742023,0.260429,1.281661,-1.760872
16630,-0.634954,-5.055549,11.238877,-0.814871,1.631709,-1.413477
16631,-1.685834,-7.588175,8.806502,-1.009108,1.717105,-1.082656
16632,-2.353673,-8.156614,8.136051,-0.312796,1.377419,-0.984664
16633,-2.110352,-7.936544,7.168543,-0.087098,1.061421,-0.871131
16634,-2.123217,-8.067977,5.683976,0.171198,0.778553,-0.820515
16635,-1.977748,-7.870246,4.843336,0.729577,0.490731,-0.786900
16636,-1.899750,-6.629374,4.596612,1.429047,0.167270,-0.799613
16637,-1.759525,-4.795123,4.851338,1.898115,-0.058905,-0.893362
16638,-1.555022,-3.279515,5.850584,2.034210,-0.181545,-0.941075
16639,-1.214135,-2.581309,7.022249,1.984958,-0.170435,-0.944865
16640,-0.769240,-1.814898,8.057866,1.874030,0.071580,-0.935926
16641,-0.556639,-0.641015,10.259934,1.601541,0.349428,-0.965638
16642,0.023103,0.408329,12.774214,0.542615,0.777827,-0.962092
16643,0.561461,-0.192455,13.190897,-1.300389,1.334403,-0.777332
16644,0.425169,-2.405818,11.618238,-2.577895,1.699518,-0.547748
16645,-0.420483,-4.670716,9.513675,-2.993784,1.781851,-0.380311
16646,-1.765565,-7.285556,7.149370,-2.347905,1.365667,-0.265266
16647,-2.529486,-8.283901,7.023773,-1.267380,0.760389,-0.334966
16648,-2.427043,-8.388274,6.388062,-0.918955,0.424699,-0.502130
16649,-2.175344,-9.004107,5.341431,-0.272071,0.157926,-0.646805
