// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
27850,9.359838,-2.591366,2.049090,0.022969,0.017164,0.035561
27851,9.359323,-2.565643,1.988678,0.020127,0.022379,0.036550
27852,9.357089,-2.545751,1.982633,0.010896,0.023106,0.033110
27853,9.330934,-2.513077,1.943978,-0.003563,0.023077,0.037022
27854,9.282142,-2.527772,1.921215,-0.014084,0.023192,0.037093
27855,9.353113,-2.504839,1.916667,-0.025546,0.013839,0.034534
27856,9.330725,-2.563691,1.910645,-0.028186,0.014245,0.026928
27857,9.381503,-2.618517,1.907245,-0.030726,0.011780,0.027842
27858,9.385892,-2.706509,1.887563,-0.020140,0.010378,0.013743
27859,9.405907,-2.680787,1.957548,-0.005550,0.007414,0.002510
27860,9.386253,-2.730306,1.897100,0.007787,0.002671,-0.003389
27861,9.382054,-2.666765,1.926341,0.020940,0.002624,-0.008656
27862,9.378309,-2.639896,1.995658,0.020967,0.002013,-0.011708
27863,9.378655,-2.638407,1.996000,0.014660,-0.004736,-0.012461
27864,9.398528,-2.587403,2.057192,0.009066,0.003839,-0.011775
27865,9.373388,-2.564989,2.048410,-0.004341,0.010355,-0.004647
27866,9.437527,-2.487219,2.180478,-0.032094,0.014415,-0.005817
27867,9.478989,-2.354100,2.186264,-0.068245,0.031040,-0.003537
27868,9.466072,-2.139290,2.210926,-0.134732,0.049192,-0.001569
27869,9.434959,-2.021417,2.192030,-0.227623,0.067124,-0.005079
27870,9.408816,-1.990485,2.152894,-0.332674,0.087064,-0.013826
27871,9.390987,-2.137956,2.126415,-0.422352,0.108444,-0.016288
27872,9.400777,-2.376369,2.132805,-0.479057,0.122729,-0.035522
27873,9.386304,-2.577412,2.096909,-0.488128,0.129853,-0.046440
27874,9.373002,-2.761814,2.028546,-0.462426,0.128949,-0.057607
27875,9.357190,-2.889987,1.966562,-0.415273,0.125984,-0.064827
27876,9.317684,-3.017116,1.903391,-0.349032,0.117485,-0.073231
27877,9.271560,-3.049578,1.886421,-0.274328,0.103410,-0.074941
27878,9.255028,-3.102020,1.802168,-0.194117,0.090608,-0.075687
27879,9.256729,-3.121235,1.812321,-0.124038,0.069774,-0.071635
27880,9.287985,-3.160984,1.754768,-0.054071,0.053770,-0.066751
27881,9.307610,-3.069146,1.783019,0.002561,0.039960,-0.068368
27882,9.302890,-2.978119,1.810206,0.036335,0.029255,-0.061226
27883,9.324048,-2.893477,1.815401,0.047245,0.022889,-0.055098
27884,9.325085,-2.888050,1.818709,0.045995,0.019178,-0.043131
27885,9.343070,-2.774427,1.838456,0.035419,0.016056,-0.034798
27886,9.338335,-2.709676,1.871257,0.003545,0.012698,-0.026774
27887,9.313671,-2.763741,1.939966,-0.025733,0.010056,-0.012884
27888,9.364093,-2.768273,1.919720,-0.047376,0.015559,-0.006379
27889,9.335119,-2.732270,1.956809,-0.063325,0.013237,0.002498
27890,9.353133,-2.725151,2.057826,-0.078101,0.015759,-0.002441
27891,9.396200,-2.701321,2.129459,-0.089071,0.020789,0.001128
27892,9.411170,-2.625444,2.207890,-0.105381,0.026667,-0.002727
27893,9.379941,-2.544368,2.230153,-0.128700,0.039057,-0.008578
27894,9.399128,-2.506875,2.270836,-0.159941,0.049111,-0.016185
27895,9.348852,-2.527433,2.299752,-0.191618,0.067273,-0.028585
27896,9.323732,-2.569789,2.337889,-0.213479,0.073700,-0.032097
27897,9.305909,-2.680305,2.321595,-0.225120,0.090263,-0.046849
27898,9.305916,-2.704331,2.331808,-0.220465,0.099658,-0.047973
27899,9.287128,-2.751092,2.271613,-0.217082,0.108439,-0.053569
27900,9.289901,-2.804596,2.267392,-0.209624,0.115744,-0.056184
27901,9.337403,-2.801097,2.275843,-0.206254,0.123877,-0.056877
27902,9.316628,-2.800121,2.203504,-0.201683,0.133145,-0.049993
27903,9.339310,-2.798645,2.211995,-0.215723,0.139252,-0.048323
27904,9.376942,-2.705533,2.271314,-0.235523,0.149947,-0.040621
27905,9.371723,-2.597842,2.220672,-0.287935,0.164887,-0.038228
27906,9.373444,-2.535777,2.107251,-0.371784,0.181378,-0.028364
27907,9.422757,-2.592803,2.108276,-0.457155,0.194366,-0.019850
27908,9.454217,-2.777575,2.116582,-0.515827,0.205643,-0.009595
27909,9.544284,-2.816961,2.189053,-0.581690,0.216264,0.004074
27910,9.944649,-2.885976,2.960103,-0.688823,0.265219,0.032596
27911,10.784767,-2.890212,3.891342,-0.807366,0.432147,0.064243
27912,10.934819,-2.238769,3.464756,-1.003622,0.689020,0.086198
27913,10.505526,-0.509602,3.559065,-1.369793,0.954656,0.088847
27914,9.573003,1.471315,3.192105,-2.090650,1.131281,-0.013334
27915,8.945785,2.424045,3.084141,-2.973552,1.234554,-0.126464
27916,8.588216,2.306922,2.884673,-3.892420,1.271688,-0.220318
27917,8.634301,0.904485,2.733976,-4.663953,1.279974,-0.273244
27918,8.700086,-1.375256,2.353546,-5.109273,1.250072,-0.280247
27919,8.716573,-3.139492,2.195297,-5.207515,1.169751,-0.233214
27920,8.997293,-4.954160,1.978295,-5.029676,1.087887,-0.163726
27921,9.363954,-7.585791,1.427861,-4.411038,1.020388,-0.086578
27922,9.268809,-11.093497,0.309256,-3.161310,0.922072,-0.026453
27923,8.752521,-14.205821,-0.702850,-1.197743,0.736846,0.010482
27924,8.388608,-14.669802,-0.806766,1.126820,0.497047,0.064784
27925,8.524286,-12.491494,-0.728593,3.258137,0.267022,0.130657
27926,9.108314,-9.187436,-0.344173,4.785241,0.118787,0.211905
27927,9.534408,-6.440896,0.157414,5.703453,0.028009,0.301075
27928,9.808716,-4.031854,1.013012,6.069406,0.012476,0.402627
27929,10.230184,-1.551196,2.402041,5.975618,0.109254,0.463554
27930,9.952639,1.530410,3.336120,5.259967,0.264669,0.458956
27931,9.522969,4.256048,3.334185,3.890052,0.385025,0.415435
27932,9.017503,6.270403,2.927851,2.033986,0.523742,0.282019
27933,8.491053,7.213087,2.531619,-0.123755,0.637639,0.091031
27934,8.222725,6.133913,1.942027,-2.259154,0.717559,-0.091349
27935,8.465195,2.952593,1.105942,-3.948204,0.782159,-0.165660
27936,9.055116,-1.857051,0.484724,-4.839102,0.882832,-0.091272
