// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
62287,9.797840,5.066194,3.305329,-1.234775,0.566231,-0.862941
62288,9.912141,4.117222,3.094093,-1.513556,0.539127,-0.873538
62289,10.004326,2.967554,2.886935,-1.634075,0.511706,-0.834998
62290,10.096045,1.917399,2.590172,-1.598636,0.493509,-0.761311
62291,10.172805,0.940029,2.280414,-1.422746,0.488981,-0.693230
62292,10.107061,0.318811,2.097388,-1.138721,0.501567,-0.626514
62293,9.936654,0.018826,2.002640,-0.844224,0.497094,-0.570131
62294,9.783022,0.053147,2.035353,-0.585536,0.491081,-0.498350
62295,9.597216,0.266579,2.280604,-0.457699,0.477279,-0.422285
62296,9.426247,0.303302,2.364074,-0.451993,0.462667,-0.322124
62297,9.328647,0.281778,2.534318,-0.498593,0.449701,-0.209177
62298,9.257501,0.171871,2.494509,-0.539425,0.432865,-0.099155
62299,9.261886,0.003182,2.500037,-0.545966,0.445360,0.013300
62300,9.439835,-0.156709,2.682063,-0.539830,0.459118,0.167881
62301,9.429472,-0.339532,2.657841,-0.511795,0.462907,0.322780
62302,9.371245,-0.428193,2.966609,-0.505970,0.471800,0.452834
62303,9.157018,-0.594856,3.165051,-0.571918,0.424509,0.580055
62304,9.019827,-0.815482,3.078552,-0.653098,0.380659,0.714634
62305,8.890056,-1.171380,2.859970,-0.645841,0.371413,0.854547
62306,8.854659,-1.544553,2.714528,-0.560517,0.370931,1.021940
62307,8.878386,-1.911354,2.711212,-0.450441,0.323526,1.211289
62308,9.195938,-1.993343,3.070224,-0.367368,0.303201,1.388516
62309,9.332006,-2.068100,3.248308,-0.361396,0.324716,1.562167
62310,9.206063,-2.336265,3.122205,-0.387629,0.356586,1.725952
62311,9.136813,-2.587976,3.212306,-0.428062,0.334337,1.899479
62312,9.106776,-2.898185,2.949084,-0.386754,0.321908,2.083697
62313,9.191208,-2.962992,2.915826,-0.306280,0.331139,2.252778
62314,9.396437,-2.879585,2.985306,-0.293117,0.307823,2.423784
62315,9.664124,-2.994662,3.000721,-0.364539,0.294718,2.620199
62316,10.060354,-3.127931,3.342270,-0.463542,0.306863,2.787432
62317,10.186231,-3.325704,3.429086,-0.613641,0.359870,2.935782
62318,9.948184,-3.490023,3.804023,-0.742821,0.408223,3.072162
62319,9.877985,-3.999344,3.586566,-0.908049,0.366932,3.221977
62320,9.949475,-4.341893,3.344144,-0.889185,0.379251,3.359617
62321,9.942481,-4.229595,3.793173,-0.895811,0.338470,3.464442
62322,10.173974,-4.360355,3.590672,-1.026508,0.269318,3.572401
62323,10.182290,-4.531686,3.761844,-1.178672,0.255284,3.663220
62324,10.299202,-5.065672,3.664961,-1.313932,0.239806,3.742437
62325,10.273155,-5.627555,3.709427,-1.367375,0.253817,3.797228
62326,10.246548,-5.862352,3.860467,-1.370136,0.256690,3.834219
62327,10.229439,-6.104104,3.929034,-1.341092,0.254184,3.851963
62328,10.149011,-6.277117,3.880712,-1.300678,0.235608,3.859970
62329,10.044033,-6.324309,3.826427,-1.252555,0.191242,3.867291
62330,9.986299,-6.560711,3.658147,-1.239714,0.116414,3.873782
62331,9.911215,-7.054321,3.136586,-1.232062,0.085616,3.856439
62332,9.809785,-7.365306,3.047531,-1.174156,0.121359,3.816997
62333,9.591906,-7.716061,3.250737,-1.179820,0.113564,3.787040
62334,9.358068,-8.062472,3.303266,-1.127579,0.067299,3.755033
62335,9.093922,-8.107580,3.327472,-1.011282,0.002487,3.713829
62336,8.972333,-8.178018,3.217699,-0.938344,-0.083640,3.682755
62337,9.014344,-8.410793,3.063109,-0.862291,-0.138429,3.673050
62338,8.792520,-8.813079,2.820333,-0.768813,-0.104430,3.640361
62339,8.259476,-9.176633,2.946421,-0.625397,-0.066395,3.582245
62340,7.913415,-9.199810,3.094964,-0.485853,-0.094629,3.569076
62341,7.775050,-9.162102,2.894617,-0.407375,-0.161229,3.583396
62342,7.674805,-9.001182,2.747656,-0.320425,-0.214870,3.579893
62343,7.491335,-8.999903,2.674672,-0.307780,-0.316620,3.566852
62344,7.295075,-9.062627,2.775439,-0.226506,-0.391348,3.504638
