// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
11615,9.309807,-2.516035,2.383090,-0.021760,0.028662,0.011595
11616,9.303210,-2.539254,2.411565,-0.030573,0.028045,0.013701
11617,9.300889,-2.552984,2.381116,-0.031469,0.030657,0.009977
11618,9.324683,-2.575752,2.371401,-0.029880,0.029144,0.012860
11619,9.291866,-2.589992,2.379377,-0.018838,0.031384,0.015837
11620,9.307319,-2.579521,2.395061,-0.007610,0.026962,0.012211
11621,9.301207,-2.549963,2.331017,-0.003780,0.023570,0.011516
11622,9.290811,-2.529808,2.325774,0.002153,0.022927,0.010801
11623,9.287429,-2.476163,2.326409,-0.001528,0.021690,0.007947
11624,9.286743,-2.477064,2.328188,-0.009561,0.019584,0.008683
11625,9.275355,-2.468594,2.289713,-0.017608,0.016008,0.003823
11626,9.310518,-2.499696,2.318853,-0.023592,0.017214,0.001996
11627,9.324187,-2.511853,2.268101,-0.018882,0.009736,-0.000567
11628,9.268828,-2.569779,2.254925,-0.017416,0.009349,-0.002780
11629,9.219208,-2.527735,2.278420,-0.007462,0.000125,-0.005210
11630,9.235944,-2.515041,2.291488,-0.000706,-0.004039,-0.010339
11631,9.210329,-2.504805,2.270181,0.005423,-0.009870,-0.012069
11632,9.227466,-2.491072,2.282748,0.007561,-0.010620,-0.020731
11633,9.155192,-2.492473,2.285916,0.009923,-0.013625,-0.019215
11634,9.206978,-2.520503,2.293585,0.010228,-0.021410,-0.020732
11635,9.307332,-2.523362,2.308299,0.014721,-0.026634,-0.033467
11636,9.351401,-2.516795,2.340227,0.016193,-0.027023,-0.035673
11637,9.314356,-2.558484,2.338076,0.021235,-0.025048,-0.040108
11638,9.310440,-2.575507,2.362643,0.026542,-0.028826,-0.043008
11639,9.323108,-2.580211,2.400469,0.031019,-0.029079,-0.041500
11640,9.323704,-2.587259,2.365986,0.033389,-0.033556,-0.045557
11641,9.318506,-2.537575,2.421116,0.032731,-0.033190,-0.039100
11642,9.287220,-2.557632,2.392531,0.031061,-0.027615,-0.035874
11643,9.225320,-2.578844,2.402443,0.028931,-0.026857,-0.027213
11644,9.257038,-2.575221,2.362388,0.026053,-0.028121,-0.025825
11645,9.295504,-2.590375,2.421002,0.031209,-0.027263,-0.025179
11646,9.283260,-2.653843,2.407576,0.034211,-0.028601,-0.027047
11647,9.318049,-2.704075,2.369113,0.046939,-0.033398,-0.032860
11648,9.316085,-2.786936,2.363200,0.066177,-0.036610,-0.045317
11649,9.291465,-2.913599,2.338504,0.102866,-0.048573,-0.057485
11650,9.256572,-3.002064,2.430349,0.147640,-0.059910,-0.075912
11651,9.159448,-3.112914,2.534624,0.196594,-0.076865,-0.084760
11652,9.111510,-3.196732,2.646246,0.242217,-0.098803,-0.091726
11653,9.184005,-3.262616,2.727961,0.276813,-0.114435,-0.078767
11654,9.233471,-3.374384,2.791459,0.297691,-0.120060,-0.063215
11655,9.301108,-3.655222,2.994567,0.333508,-0.119587,-0.028138
11656,9.300251,-3.999558,3.117975,0.385374,-0.108095,0.012063
11657,9.340576,-4.340203,3.281406,0.468712,-0.095505,0.050342
11658,9.381786,-4.592541,3.455601,0.576846,-0.071958,0.103498
11659,9.419726,-4.781911,3.578383,0.713609,-0.037782,0.155947
11660,9.475062,-4.856778,3.758194,0.839012,-0.003512,0.224795
11661,9.501575,-4.579496,3.854094,0.895578,0.050378,0.302456
11662,9.505609,-4.206402,3.869752,0.881552,0.100189,0.387332
11663,9.477947,-4.001989,4.086200,0.769420,0.158165,0.490626
11664,9.516498,-3.847322,4.140283,0.570150,0.219451,0.613356
11665,9.488841,-4.163118,4.211160,0.360311,0.272321,0.732690
11666,9.421558,-4.763506,4.160212,0.230350,0.327980,0.843465
11667,9.384519,-5.465643,4.189711,0.210277,0.359497,0.937551
11668,9.335727,-5.925006,4.204787,0.287852,0.399164,1.034849
11669,9.174828,-6.107603,4.181266,0.414556,0.432519,1.118098
11670,9.080001,-6.009524,4.221582,0.538835,0.462476,1.192248
11671,8.957183,-5.705316,4.246625,0.605759,0.494914,1.260611
11672,8.908675,-5.644348,4.308991,0.627286,0.528200,1.324316
11673,8.879939,-5.674284,4.473334,0.628957,0.563973,1.377167
11674,8.924774,-5.621558,4.592030,0.610823,0.607305,1.422177
11675,8.860881,-5.644643,4.638622,0.569318,0.655215,1.469319
11676,8.715345,-5.684328,4.425128,0.535029,0.693659,1.509069
11677,8.603336,-5.733156,4.407541,0.524372,0.723842,1.532278
11678,8.499421,-5.713839,4.412797,0.521589,0.754378,1.552966
11679,8.434087,-5.658128,4.474642,0.504213,0.788636,1.565641
11680,8.372826,-5.599958,4.436259,0.472200,0.822031,1.570195
