// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
64673,9.297214,-1.340158,-0.422570,-0.202724,0.109220,-0.141599
64674,9.372353,-1.200659,-0.439295,-0.302273,0.149619,-0.202815
64675,9.434571,-1.503397,-0.807227,-0.352563,0.196025,-0.250299
64676,9.393201,-1.761750,-1.004481,-0.336501,0.218229,-0.275079
64677,9.299565,-1.744773,-1.134727,-0.306310,0.231367,-0.296582
64678,9.088611,-1.463528,-1.104603,-0.326834,0.228442,-0.311675
64679,9.030245,-1.215998,-1.039550,-0.471728,0.218077,-0.307251
64680,9.194425,-1.260453,-1.148609,-0.672453,0.213442,-0.294965
64681,9.330388,-1.469637,-1.158220,-0.836556,0.225979,-0.277454
64682,9.326666,-1.785598,-1.328843,-0.946263,0.234280,-0.257969
64683,9.284117,-2.098991,-1.463139,-0.979256,0.231607,-0.232323
64684,9.297843,-2.244898,-1.552811,-0.956628,0.227484,-0.223325
64685,9.156749,-2.303134,-1.627611,-0.949214,0.215041,-0.198999
64686,9.168755,-2.438154,-1.672200,-0.968973,0.185701,-0.171891
64687,9.238585,-2.575736,-1.708545,-0.992924,0.161868,-0.157607
64688,9.236054,-2.726630,-1.750780,-0.978506,0.137262,-0.139336
64689,9.221584,-2.904171,-1.838116,-0.920319,0.105676,-0.122608
64690,9.368752,-2.799131,-1.796957,-0.887283,0.065871,-0.107749
64691,9.549665,-2.936553,-1.769625,-0.896370,0.028606,-0.088039
64692,9.599235,-3.318620,-1.714182,-0.867453,0.006624,-0.070905
64693,9.622336,-3.608466,-1.625942,-0.765879,-0.011560,-0.068297
64694,9.659884,-3.845014,-1.547095,-0.623919,-0.023455,-0.056299
64695,9.697855,-3.810901,-1.505891,-0.482907,-0.032648,-0.056368
64696,9.623598,-3.656310,-1.526290,-0.353323,-0.033167,-0.049520
64697,9.557710,-3.457750,-1.569646,-0.248604,-0.043203,-0.048753
64698,9.438994,-3.246828,-1.603114,-0.172279,-0.053889,-0.044573
64699,9.368371,-3.169707,-1.603790,-0.103860,-0.066031,-0.046917
64700,9.362806,-3.158821,-1.756927,-0.020074,-0.082365,-0.056960
64701,9.457786,-3.078072,-1.802623,0.095955,-0.094158,-0.073118
64702,9.586706,-2.912997,-1.844953,0.214934,-0.108322,-0.089833
64703,9.577544,-2.821802,-1.750290,0.304516,-0.121472,-0.098536
64704,9.431910,-2.837991,-1.700879,0.384471,-0.128692,-0.099020
64705,9.360286,-2.891537,-1.707082,0.484873,-0.135398,-0.101432
64706,9.255888,-2.905903,-1.695154,0.588330,-0.133732,-0.100327
64707,9.184924,-2.837347,-1.680518,0.681119,-0.131396,-0.094029
64708,9.129547,-2.722114,-1.726759,0.753967,-0.130309,-0.084000
64709,9.104503,-2.600057,-1.729347,0.795906,-0.133404,-0.065402
64710,9.086276,-2.561779,-1.774051,0.814177,-0.136480,-0.047070
64711,9.164295,-2.598131,-1.803117,0.810896,-0.148900,-0.033299
64712,9.270491,-2.826264,-1.750513,0.804056,-0.155065,-0.004633
64713,9.442198,-3.196292,-1.954887,0.804670,-0.165696,0.032571
64714,9.762817,-3.502920,-2.186897,0.856020,-0.171076,0.088283
64715,10.055991,-4.098306,-2.553336,0.929943,-0.160191,0.171794
64716,10.397710,-4.851328,-3.071768,1.112743,-0.143633,0.295444
64717,10.237815,-5.302943,-3.280611,1.307016,-0.225076,0.490389
64718,10.043806,-5.376770,-3.430501,1.460104,-0.407223,0.702994
64719,10.156982,-5.219675,-3.612078,1.593406,-0.601664,0.911234
64720,10.311968,-4.819462,-3.406331,1.655896,-0.755281,1.105187
64721,10.258139,-4.424990,-3.523489,1.602819,-0.936088,1.289363
64722,10.540163,-3.973013,-3.254062,1.419444,-1.144331,1.448024
64723,11.191793,-3.862686,-2.719263,1.068254,-1.281486,1.624781
64724,11.809085,-4.268659,-2.436515,0.646380,-1.303903,1.815827
64725,12.189187,-5.228237,-2.896453,0.336139,-1.270904,1.997424
64726,11.880792,-6.605433,-3.291311,0.105837,-1.304002,2.217019
64727,11.378182,-8.580352,-4.002188,0.193198,-1.408052,2.418842
64728,10.933459,-9.846517,-4.452855,0.635143,-1.551056,2.602935
64729,10.523839,-9.883990,-4.632754,1.154611,-1.699756,2.775203
64730,10.295001,-9.058039,-4.218666,1.410864,-1.816603,2.937024
64731,10.128799,-8.434134,-4.045935,1.320181,-1.886778,3.086828
64732,9.816200,-8.492177,-4.205001,1.013829,-1.935171,3.238333
64733,9.512990,-9.360728,-4.371851,0.672156,-2.001467,3.393011
64734,8.989480,-10.417868,-4.723427,0.462646,-2.063416,3.560730
64735,8.406041,-11.293444,-5.299409,0.428071,-2.152275,3.710225
64736,7.747672,-12.434819,-6.299526,0.614167,-2.291674,3.850888
64737,7.514065,-12.688803,-6.394457,0.977379,-2.419758,3.974306
64738,7.052661,-12.175355,-6.243420,1.297640,-2.514283,4.094173
64739,6.447648,-11.496782,-6.128375,1.526214,-2.598160,4.199655
64740,5.701490,-10.515366,-5.696625,1.652892,-2.647575,4.295349
64741,4.941238,-9.625339,-5.106101,1.601186,-2.693180,4.375134
64742,4.356485,-9.040120,-4.497670,1.400448,-2.762209,4.441423
64743,3.924411,-9.143943,-4.449360,1.168538,-2.805830,4.483787
64744,3.365822,-9.559893,-4.605674,1.115317,-2.863452,4.521645
64745,3.176721,-8.880737,-3.841781,1.219152,-2.878833,4.500699
64746,2.374694,-7.840311,-3.316122,1.308809,-2.848530,4.439635
64747,1.336764,-7.170596,-3.051587,1.379980,-2.827699,4.385587
64748,0.551351,-6.317236,-2.143278,1.462425,-2.792872,4.277097
64749,-0.375595,-5.361606,-1.573717,1.490204,-2.750761,4.108489
64750,-1.146674,-4.819777,-1.226200,1.403779,-2.696898,3.944670
64751,-1.815109,-5.107512,-1.562157,1.291114,-2.624971,3.793202
64752,-2.169019,-5.856338,-1.838668,1.274591,-2.569147,3.634204
64753,-2.309721,-6.313053,-1.922650,1.386573,-2.518506,3.426270
64754,-2.600946,-6.678461,-1.839928,1.586612,-2.443385,3.201909
64755,-2.917973,-6.986366,-1.714381,1.837404,-2.350038,2.981179
64756,-3.172259,-7.057681,-1.597137,2.099524,-2.237092,2.782412
64757,-3.507246,-6.660699,-1.193326,2.338294,-2.105007,2.585914
64758,-3.838640,-5.974760,-0.573809,2.400646,-1.968070,2.365771
64759,-4.056766,-5.683052,-0.407519,2.277402,-1.815213,2.158236
64760,-4.206003,-5.789005,-0.533406,2.060524,-1.675950,1.948131
64761,-4.240997,-6.636118,-1.049952,1.805949,-1.545723,1.762956
64762,-4.202477,-7.282623,-1.183239,1.755020,-1.415436,1.534856
64763,-4.334420,-7.123021,-1.046281,1.848870,-1.294292,1.251045
64764,-4.541080,-6.374898,-0.707490,1.961596,-1.182844,0.936075
64765,-4.725558,-5.461270,-0.362898,1.970355,-1.104524,0.594423
64766,-4.751574,-4.622207,0.232523,1.840433,-1.040018,0.253650
64767,-4.782347,-4.167470,0.721565,1.555375,-0.982057,-0.049337
64768,-4.434304,-4.366161,0.993256,1.210107,-0.911316,-0.381245
64769,-3.637501,-5.357311,1.208100,0.896120,-0.819787,-0.712850
64770,-3.055501,-6.598719,0.988391,0.767098,-0.707922,-0.988765
64771,-2.784826,-7.467620,0.704895,0.898491,-0.630153,-1.274530
64772,-2.594981,-7.532054,0.649078,1.171316,-0.574131,-1.563377
64773,-2.416519,-6.997712,0.884188,1.443860,-0.545862,-1.826409
64774,-1.964663,-6.238290,1.526970,1.572112,-0.491972,-2.096075
64775,-1.229007,-5.577711,2.126047,1.528219,-0.408802,-2.369234
64776,-0.503080,-5.382905,2.605595,1.396397,-0.303377,-2.613660
64777,0.064907,-5.154759,2.955156,1.258323,-0.198027,-2.895543
64778,0.793776,-5.120943,2.994595,1.174615,-0.091633,-3.206525
64779,1.858147,-4.997307,2.994652,1.178727,0.052589,-3.550991
64780,2.718094,-5.137790,2.934466,1.237902,0.221641,-3.884040
64781,3.535457,-5.261911,2.978648,1.343492,0.338083,-4.210096
64782,4.936584,-5.328412,3.278310,1.435502,0.478851,-4.518236
64783,6.402360,-5.266705,3.552861,1.544496,0.678114,-4.786061
64784,7.547625,-4.939913,3.883426,1.574785,0.843358,-4.982225
64785,8.744122,-4.289026,4.214332,1.532591,0.987233,-5.117667
64786,9.525924,-3.774500,3.749438,1.335140,1.063590,-5.187299
64787,11.055082,-3.772254,3.389197,0.889244,1.096616,-5.132693
64788,12.158362,-3.657349,3.112554,0.412907,1.155169,-5.021855
64789,13.040987,-4.610893,2.411486,-0.317137,1.126995,-4.751909
64790,13.847678,-6.559821,2.278722,-0.993177,1.096532,-4.331573
64791,13.976150,-9.714420,3.001192,-1.621966,1.078387,-3.750338
64792,12.973828,-14.415718,2.944861,-2.051645,1.119184,-2.915236
64793,9.567705,-19.096005,-0.106867,-1.775745,1.145144,-1.792680
64794,4.471250,-19.632229,-1.174102,-0.743952,0.749279,-0.541077
64795,1.841205,-12.396482,0.860793,0.586677,0.032933,-0.137831
64796,2.854506,-4.281132,3.291621,1.152227,-0.324563,-0.273118
64797,4.136774,-0.088660,4.566820,0.403568,-0.312542,-0.280377
64798,5.599484,-1.265004,4.926922,-0.965431,-0.252123,-0.121806
64799,6.630808,-4.643504,4.500225,-1.710533,-0.141669,-0.005647
64800,6.495181,-7.322581,3.931384,-1.677477,-0.077528,0.024873
64801,6.147890,-8.578264,3.387579,-1.219811,-0.085180,0.046071
