// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
30758,9.690883,1.658563,1.024411,0.011816,0.018896,-0.030352
30759,9.685292,1.646489,0.973613,0.016307,0.013710,-0.035492
30760,9.696877,1.652975,0.995523,0.026333,0.014487,-0.037044
30761,9.629751,1.629334,1.010296,0.042453,0.007612,-0.031309
30762,9.589907,1.617431,1.006346,0.048474,-0.005586,-0.024503
30763,9.641353,1.638027,1.028494,0.053239,-0.019722,-0.021826
30764,9.633602,1.688124,1.080521,0.049796,-0.028089,-0.019962
30765,9.655568,1.721810,1.031532,0.032551,-0.023887,-0.014823
30766,9.603834,1.705570,1.004904,0.007855,-0.020690,-0.015624
30767,9.596524,1.684921,1.010212,0.005293,-0.018331,-0.014090
30768,9.609021,1.654560,1.004719,0.023100,-0.027594,-0.017644
30769,9.653409,1.652525,1.033321,0.027744,-0.021673,-0.021823
30770,9.658396,1.635574,1.058938,0.030474,-0.021456,-0.020274
30771,9.651116,1.615590,1.063388,0.028669,-0.027994,-0.017897
30772,9.651104,1.617836,1.060077,0.029241,-0.030922,-0.022269
30773,9.678066,1.632472,1.039020,0.030142,-0.028714,-0.020476
30774,9.677990,1.634928,1.035864,0.032147,-0.025987,-0.023601
30775,9.710180,1.595937,1.019406,0.038816,-0.025869,-0.028777
30776,9.769113,1.604437,1.008947,0.045747,-0.026161,-0.028264
30777,9.724170,1.646371,0.998591,0.053808,-0.016133,-0.022412
30778,9.689672,1.649543,1.044709,0.050381,-0.024499,-0.020523
30779,9.696671,1.708748,1.057400,0.055513,-0.033458,-0.011658
30780,9.684256,1.742387,1.055973,0.049156,-0.038222,-0.010568
30781,9.711372,1.756215,1.033856,0.041397,-0.034577,-0.012399
30782,9.743444,1.785914,1.064447,0.027870,-0.026718,-0.013228
30783,9.718645,1.781296,1.020234,0.010508,-0.019601,-0.010681
30784,9.679248,1.767574,1.015209,0.006143,-0.019528,-0.018686
30785,9.704378,1.705166,1.007655,0.001642,-0.014354,-0.013559
30786,9.690027,1.662109,1.021237,0.005273,-0.011926,-0.010231
30787,9.677403,1.694928,1.022792,0.014572,-0.012872,-0.004554
30788,9.716983,1.675754,1.000568,0.011107,-0.012727,-0.004806
30789,9.716582,1.746537,1.046765,0.004805,-0.009833,-0.009216
30790,9.748690,1.740584,1.056476,-0.002065,-0.004004,-0.009260
30791,9.694683,1.717339,1.092148,-0.007740,0.001497,-0.017575
30792,9.669723,1.677901,1.027045,0.009120,0.002877,-0.015302
30793,9.676268,1.737097,1.043288,0.017981,0.001900,-0.024360
30794,9.767308,1.703216,1.022732,0.004647,0.005921,-0.025922
30795,9.738310,1.617139,1.053866,-0.004736,0.019638,-0.023975
30796,9.691596,1.546774,1.036551,0.003198,0.018588,-0.019070
30797,9.678479,1.580632,1.040750,0.014641,0.011011,-0.017723
30798,9.642111,1.684659,0.990565,0.023147,0.007028,-0.017181
30799,9.700553,1.727298,1.006799,0.032489,0.001838,-0.021281
30800,9.759165,1.735216,0.999795,0.023464,0.016435,-0.022970
30801,9.739014,1.712665,0.988297,0.010548,0.026872,-0.027711
30802,9.699279,1.665177,0.964162,0.010182,0.028124,-0.030049
30803,9.665979,1.710225,0.979435,0.034760,0.022510,-0.032354
30804,9.645054,1.758848,1.014396,0.044059,0.011787,-0.036900
30805,9.717122,1.848047,1.015613,0.050419,0.004658,-0.042255
30806,9.747702,1.916230,1.072904,0.050057,0.005918,-0.044594
30807,9.817704,1.965221,1.110343,0.038395,0.019434,-0.051198
30808,9.881533,2.068934,1.145102,0.019002,0.042094,-0.059199
30809,9.964321,2.164177,1.173666,-0.006765,0.092357,-0.081488
30810,9.886154,2.228885,1.278511,-0.024150,0.138267,-0.112263
30811,9.829825,2.222685,1.269993,-0.043809,0.158877,-0.150747
30812,9.807795,2.185155,1.189624,-0.009973,0.156041,-0.198990
30813,9.853347,2.383414,1.374835,0.050947,0.153595,-0.262144
30814,9.990814,2.716950,1.626703,0.092428,0.171462,-0.336371
30815,10.096876,3.321895,1.996773,0.104407,0.225062,-0.427868
30816,10.193019,3.979214,2.337266,0.036806,0.288800,-0.540240
30817,10.226835,4.394255,2.530984,-0.112697,0.356688,-0.660964
30818,10.306080,4.483521,2.508637,-0.294801,0.433928,-0.774718
30819,10.503959,4.374219,2.468662,-0.467687,0.519693,-0.863346
30820,10.430943,4.151813,2.417352,-0.616867,0.640194,-0.922152
30821,10.207554,3.926245,2.488589,-0.748382,0.722148,-0.961167
30822,10.040605,3.661566,2.401795,-0.889229,0.743036,-0.994247
30823,10.100752,3.263941,2.221238,-0.963692,0.753904,-1.007955
30824,10.147340,3.026840,2.110598,-0.988840,0.808146,-1.001645
30825,10.041330,2.840671,2.045092,-1.006241,0.855400,-0.985006
30826,10.014605,2.748087,2.012395,-1.007837,0.896157,-0.962153
30827,9.881067,2.520549,2.076323,-1.064140,0.912283,-0.933097
30828,9.929492,2.223514,2.009431,-1.105929,0.908094,-0.891071
30829,9.916855,1.919571,1.968410,-1.128921,0.909770,-0.830364
30830,9.825920,1.634098,1.821646,-1.148039,0.911301,-0.754072
30831,9.647802,1.274412,1.740014,-1.112804,0.920006,-0.673675
30832,9.345182,0.895972,1.727238,-1.019279,0.918303,-0.603773
30833,9.051250,0.676854,1.815864,-0.919815,0.892009,-0.509110
30834,8.836614,0.387843,1.920426,-0.810993,0.879837,-0.403712
30835,8.590274,0.128333,1.893529,-0.691675,0.847087,-0.280278
30836,8.435639,-0.087132,2.001986,-0.559011,0.790682,-0.145843
30837,8.412378,-0.278228,2.157231,-0.413948,0.740524,-0.002707
30838,8.378697,-0.582885,2.264618,-0.262196,0.709930,0.160684
30839,8.415968,-0.833866,2.392144,-0.069395,0.673733,0.347671
30840,8.595438,-1.087191,2.391457,0.125184,0.592091,0.570754
30841,8.817661,-1.188400,2.416962,0.327595,0.508670,0.808698
30842,8.911085,-1.368801,2.587933,0.475812,0.481672,1.033719
30843,8.903725,-1.586804,2.637034,0.606072,0.444388,1.267063
30844,8.997329,-1.860097,2.373678,0.773054,0.381818,1.526722
30845,9.088266,-2.226177,2.012043,0.938843,0.320364,1.796743
30846,9.256112,-2.652238,1.627808,1.119363,0.220207,2.078266
30847,9.729724,-3.172940,1.333257,1.387784,0.114757,2.375406
30848,10.170361,-3.360770,1.202942,1.645822,0.047016,2.668711
30849,10.397172,-3.659134,1.118383,1.826668,0.006217,2.936411
30850,10.792917,-3.859364,1.302905,2.006891,-0.061097,3.197025
30851,11.154918,-3.856264,1.262867,2.145955,-0.116711,3.474493
30852,11.628482,-3.678166,1.151991,2.301305,-0.164779,3.734929
30853,12.143890,-3.401119,1.176473,2.420656,-0.164611,3.969904
30854,12.616858,-3.178134,1.205274,2.470641,-0.095825,4.165212
30855,12.854567,-2.985248,1.282129,2.510600,-0.008168,4.343989
30856,13.051349,-2.709071,1.693788,2.467079,0.081677,4.493103
30857,13.230561,-2.593825,2.053772,2.340250,0.162511,4.628064
30858,13.315139,-2.484806,2.366662,2.226212,0.237493,4.738789
30859,13.421730,-2.183820,2.769491,2.114646,0.331388,4.800911
30860,13.578838,-1.900053,3.215510,1.969817,0.465856,4.788251
30861,13.780670,-1.652536,3.609677,1.672938,0.616991,4.718511
30862,13.542316,-1.734587,3.451601,1.397354,0.764531,4.650035
30863,13.062242,-1.920028,3.443792,1.166781,0.848775,4.568462
30864,12.568257,-2.229753,3.626060,0.961232,0.888878,4.494617
30865,12.196989,-2.457111,3.664040,0.758608,0.860932,4.430023
30866,11.952988,-2.904400,3.834788,0.533416,0.808082,4.402973
30867,11.663914,-3.377173,3.957387,0.384946,0.769331,4.386425
30868,11.247187,-3.744483,4.284279,0.298570,0.743314,4.375855
30869,10.911443,-4.001615,4.349858,0.258933,0.727307,4.326445
30870,10.567445,-4.159824,4.223178,0.300042,0.686642,4.262671
30871,10.222164,-4.144798,3.848257,0.389882,0.608767,4.195974
30872,9.767476,-4.323996,3.554577,0.363847,0.527092,4.097066
30873,9.353809,-4.780980,3.360914,0.340192,0.432192,3.957688
30874,8.980272,-5.114689,3.603455,0.339113,0.371380,3.808054
30875,8.601968,-5.536080,3.817125,0.255744,0.310060,3.630601
30876,8.235161,-5.780076,3.933335,0.209250,0.267937,3.475934
30877,7.678348,-5.849078,3.850961,0.224402,0.253491,3.344912
30878,7.090727,-6.076629,3.528043,0.370949,0.212300,3.226930
30879,6.635309,-6.238953,3.426022,0.637346,0.126655,3.111225
30880,6.324184,-6.255620,3.389885,0.892168,0.043960,3.015361
30881,6.099722,-6.334488,3.309514,1.080904,-0.061415,2.911406
30882,5.982503,-6.557471,3.304787,1.229380,-0.137504,2.789957
30883,5.678934,-6.418188,3.450042,1.368812,-0.174839,2.669932
30884,5.246654,-6.179086,3.490645,1.424006,-0.217727,2.543129
30885,4.995589,-5.889830,3.419330,1.527176,-0.247654,2.423846
30886,4.606125,-5.363946,3.525152,1.608599,-0.237726,2.306030
30887,4.253100,-4.933259,3.516250,1.634139,-0.248297,2.183806
30888,3.871668,-4.624861,3.648865,1.602703,-0.284584,2.064837
30889,3.530820,-4.469872,3.874239,1.508210,-0.315904,1.963822
30890,3.403584,-4.352078,4.332142,1.385666,-0.333486,1.860606
30891,3.230540,-4.114586,4.796592,1.253228,-0.307650,1.763505
30892,2.862413,-3.715407,4.928045,1.122487,-0.296177,1.643698
30893,2.613400,-3.112149,5.124981,0.973336,-0.320718,1.503748
30894,2.518384,-2.630688,5.368974,0.714113,-0.354923,1.364355
30895,2.683373,-2.626124,5.617896,0.362007,-0.372072,1.228272
30896,2.844741,-2.998635,5.755061,0.024363,-0.366922,1.115766
30897,3.047515,-3.541153,5.926365,-0.286365,-0.365285,1.012906
30898,3.105350,-4.255590,5.885739,-0.540246,-0.341304,0.923246
30899,3.052952,-4.987257,5.819320,-0.667720,-0.331627,0.845983
30900,2.981162,-5.523545,5.710644,-0.684593,-0.311997,0.763964
30901,2.860583,-5.940257,5.613582,-0.595259,-0.287373,0.668121
30902,2.747511,-6.228163,5.435666,-0.404709,-0.253324,0.547798
30903,2.603395,-6.202409,5.464953,-0.173282,-0.231967,0.418592
30904,2.562816,-6.055753,5.570370,-0.014572,-0.206160,0.293316
30905,2.628261,-6.064821,5.589417,0.044414,-0.168524,0.183303
30906,2.673767,-6.123877,5.570379,0.081014,-0.108957,0.085723
30907,2.668745,-6.222698,5.497624,0.073868,-0.056187,0.008262
30908,2.653286,-6.226103,5.322275,0.055806,-0.031522,-0.052203
30909,2.497544,-6.290857,5.048708,-0.011876,-0.054086,-0.102086
30910,2.425881,-6.342053,5.000541,-0.109880,-0.110343,-0.133968
30911,2.509739,-6.527575,4.985377,-0.251509,-0.179463,-0.149122
30912,2.517639,-7.014285,4.864882,-0.380650,-0.235395,-0.130351
30913,2.556618,-7.512692,4.879684,-0.453566,-0.297121,-0.089327
30914,2.625113,-7.872969,4.949594,-0.517476,-0.327644,-0.041867
30915,2.688596,-8.138643,5.064082,-0.593852,-0.359191,0.021855
30916,2.542323,-8.336746,5.021122,-0.689900,-0.394106,0.097904
30917,2.442882,-8.501333,4.891627,-0.758242,-0.440893,0.165770
30918,2.432163,-8.662111,4.873933,-0.787138,-0.479320,0.215378
30919,2.545217,-8.758221,4.953997,-0.828510,-0.487363,0.270266
30920,2.636489,-8.761192,5.176770,-0.871550,-0.463679,0.313348
30921,2.704388,-8.747078,5.327659,-0.872396,-0.430152,0.353851
30922,2.628202,-8.644956,5.283020,-0.859557,-0.386625,0.377940
30923,2.542225,-8.582019,5.163233,-0.817074,-0.345941,0.384116
30924,2.514763,-8.497564,5.020713,-0.783446,-0.318556,0.378980
30925,2.524117,-8.568041,4.904085,-0.767748,-0.311497,0.373192
30926,2.620145,-8.591967,4.831002,-0.744866,-0.312929,0.360668
30927,2.808520,-8.562678,4.857404,-0.687039,-0.307074,0.339709
30928,2.858497,-8.490885,4.829390,-0.604281,-0.280513,0.310155
30929,2.785813,-8.257803,4.812858,-0.509417,-0.219290,0.259881
30930,2.572447,-8.133420,4.647047,-0.412449,-0.160070,0.189072
30931,2.263554,-7.952416,4.440165,-0.317146,-0.103114,0.103429
30932,2.000585,-7.845401,4.237157,-0.247198,-0.087107,0.030488
30933,1.840302,-7.766808,4.178543,-0.197426,-0.090486,-0.044592
30934,1.920657,-7.696144,4.190378,-0.210335,-0.100343,-0.101460
30935,2.168449,-7.762750,4.286265,-0.298765,-0.109666,-0.133521
30936,2.401548,-8.120816,4.283556,-0.401238,-0.098315,-0.134266
30937,2.485556,-8.416078,4.334764,-0.437596,-0.070290,-0.134050
30938,2.434972,-8.653478,4.268526,-0.431359,-0.033344,-0.138296
30939,2.301318,-8.789573,4.180855,-0.361707,-0.024672,-0.136120
30940,2.329161,-8.877865,4.048127,-0.265045,-0.033526,-0.150857
30941,2.423176,-8.986210,3.997838,-0.142459,-0.040825,-0.173061
30942,2.624974,-9.083524,4.013810,-0.024179,-0.038251,-0.189566
30943,2.839449,-9.037934,4.279642,0.063113,-0.005093,-0.185188
30944,2.962783,-8.919632,4.498726,0.086889,0.041521,-0.177461
30945,2.916151,-8.831261,4.441370,0.100296,0.081365,-0.163947
30946,2.750981,-8.671417,4.236491,0.124839,0.102695,-0.172296
30947,2.619470,-8.650403,3.966077,0.157880,0.094615,-0.183735
30948,2.563923,-8.717043,3.952931,0.199021,0.071450,-0.204038
30949,2.614212,-8.754048,4.339251,0.247102,0.073515,-0.214005
30950,2.814302,-8.767682,4.847093,0.274861,0.120214,-0.210272
30951,3.074986,-8.692295,5.224582,0.293928,0.221311,-0.195976
30952,3.161598,-8.471061,5.409126,0.334781,0.333804,-0.162422
30953,3.197760,-8.061835,5.393574,0.327065,0.429549,-0.141881
30954,3.176978,-7.860220,5.126367,0.259797,0.502244,-0.137114
30955,3.094913,-7.894599,4.773099,0.162656,0.542666,-0.143237
30956,3.073446,-8.317792,4.474235,0.067787,0.553052,-0.148337
30957,2.965311,-8.846081,4.287624,0.059448,0.555760,-0.148369
30958,2.886257,-9.272903,4.322333,0.141219,0.558153,-0.142216
30959,2.765433,-9.661189,4.255868,0.282337,0.566954,-0.135025
30960,2.516866,-9.901309,3.935068,0.567974,0.563768,-0.139476
30961,2.286415,-9.714450,3.897193,0.875042,0.520924,-0.150856
30962,2.224395,-9.565639,3.771559,1.115856,0.489038,-0.176574
30963,2.239788,-9.406752,3.928551,1.371314,0.479728,-0.187552
30964,2.301587,-9.269528,4.053762,1.591446,0.483713,-0.178844
30965,2.357726,-8.991979,4.284068,1.811117,0.515038,-0.159623
30966,2.186351,-8.536305,4.492590,1.989219,0.555122,-0.109622
30967,1.761632,-7.877227,4.482094,2.057171,0.533228,-0.069041
30968,1.246298,-7.053209,4.477923,1.997842,0.399341,-0.041441
30969,0.935041,-6.191790,4.686221,1.746015,0.185959,-0.061444
30970,1.147564,-5.626260,4.905530,1.339440,-0.015953,-0.111626
30971,1.737546,-5.416263,5.272150,0.997352,-0.099842,-0.168510
30972,2.527730,-5.450061,5.656702,0.704616,-0.025482,-0.195711
30973,2.874031,-5.579248,5.824637,0.451753,0.128559,-0.187243
30974,2.639240,-5.754214,5.725646,0.229937,0.214706,-0.174174
30975,2.075360,-5.991536,5.544474,0.000463,0.161072,-0.190135
30976,1.866732,-6.364515,5.264170,-0.219239,0.024742,-0.227243
30977,1.898183,-6.705553,5.027246,-0.379324,-0.097323,-0.256838
30978,2.178612,-6.999629,5.175475,-0.499340,-0.186758,-0.273266
30979,2.605064,-7.378793,5.576396,-0.597515,-0.213620,-0.257137
30980,2.996561,-7.615129,6.026383,-0.592368,-0.176373,-0.238649
30981,3.149971,-7.476453,6.289038,-0.458517,-0.091697,-0.222676
30982,3.015980,-6.871557,6.287138,-0.246487,-0.004340,-0.267892
30983,2.834961,-5.874574,6.377726,-0.073747,0.063617,-0.363359
30984,2.825563,-4.668998,6.709110,-0.030101,0.173335,-0.507361
30985,2.810513,-3.726106,7.005963,-0.105412,0.298510,-0.693782
30986,2.852604,-3.116145,7.137618,-0.253046,0.427432,-0.904225
30987,3.169779,-3.024661,6.765971,-0.399066,0.549118,-1.130034
30988,3.390335,-2.913021,6.595415,-0.493694,0.672414,-1.373089
30989,3.451971,-2.695208,6.561431,-0.731869,0.727184,-1.611632
30990,3.497121,-3.004186,5.989615,-1.032927,0.717380,-1.826730
30991,3.562686,-3.559504,5.320559,-1.106843,0.677966,-2.034526
30992,3.798510,-4.124731,4.983975,-1.047880,0.639397,-2.205959
30993,4.096071,-4.763002,5.001531,-0.937003,0.620154,-2.358201
30994,4.377728,-5.341320,4.979899,-0.827709,0.638930,-2.471680
30995,4.652432,-5.982321,4.668135,-0.681881,0.649440,-2.536461
30996,4.876821,-6.502990,4.487897,-0.485491,0.638003,-2.579073
30997,5.228043,-6.760406,4.397441,-0.323258,0.604251,-2.598130
30998,5.622303,-6.798784,4.320430,-0.226592,0.608955,-2.617272
30999,5.745389,-6.606335,4.297478,-0.138193,0.643882,-2.692683
31000,5.543369,-6.146127,4.330730,-0.055447,0.662045,-2.817376
31001,5.305743,-5.641461,4.339991,0.000785,0.576759,-2.971919
31002,5.283486,-5.132866,4.225891,0.026128,0.377671,-3.108305
31003,5.692952,-4.893678,4.339400,-0.022979,0.132129,-3.209304
31004,6.202341,-4.662026,4.616395,-0.198709,-0.097725,-3.294494
31005,7.158399,-4.595040,4.956261,-0.445826,-0.211970,-3.329432
31006,8.253223,-4.599038,5.309978,-0.711290,-0.138712,-3.328314
31007,8.854241,-4.755815,5.002602,-0.874166,0.078107,-3.334947
31008,8.764998,-4.872942,4.450249,-0.823339,0.245832,-3.350274
31009,8.542954,-4.840371,4.377135,-0.770745,0.267295,-3.364547
31010,8.411987,-4.988673,4.228106,-0.668766,0.185126,-3.375105
31011,8.445181,-4.848485,4.232533,-0.431053,0.081260,-3.396287
31012,8.647202,-4.439631,4.492333,-0.300188,-0.051723,-3.447463
31013,8.979637,-4.144980,4.553421,-0.325108,-0.212437,-3.515781
31014,9.630446,-3.799980,4.653384,-0.334361,-0.316496,-3.571401
31015,10.261597,-3.076232,5.127455,-0.416360,-0.307726,-3.646350
31016,10.738965,-2.258557,5.166577,-0.631321,-0.201904,-3.728709
31017,11.153380,-1.681653,4.759786,-0.700786,-0.079375,-3.819011
31018,11.264370,-1.242791,4.502715,-0.704014,0.026784,-3.903226
31019,11.042158,-0.945317,4.468947,-0.713310,0.059494,-3.964050
31020,10.980652,-0.980577,4.676044,-0.873802,-0.016962,-4.049185
31021,11.072523,-1.395301,4.271140,-1.035352,-0.130777,-4.113021
31022,11.198900,-1.656679,3.996690,-1.147196,-0.267707,-4.156279
31023,11.414576,-1.897703,3.987686,-1.331634,-0.342938,-4.191883
31024,11.609208,-2.145382,3.921659,-1.450914,-0.342579,-4.198606
31025,11.386752,-2.070895,3.854883,-1.449534,-0.335184,-4.162170
31026,11.113240,-1.738168,3.709310,-1.504051,-0.383567,-4.098838
31027,11.092995,-1.498583,3.349989,-1.565053,-0.441885,-4.016628
31028,11.140592,-1.366710,2.957114,-1.622829,-0.513479,-3.897918
31029,11.291163,-1.322407,2.668769,-1.743062,-0.558977,-3.756959
31030,11.271325,-1.376722,2.483407,-1.936304,-0.544180,-3.580850
31031,11.171521,-1.618230,2.188479,-2.188195,-0.569404,-3.383103
31032,11.030974,-2.060195,1.789541,-2.289431,-0.639382,-3.153520
31033,11.114033,-2.371119,1.814039,-2.253642,-0.685328,-2.918578
31034,10.921493,-2.574763,2.097566,-2.157313,-0.652882,-2.692344
31035,10.322196,-2.760537,2.037667,-1.985319,-0.622542,-2.516439
31036,9.800426,-2.670960,1.969813,-1.712989,-0.662461,-2.383208
31037,9.717893,-2.558411,1.941274,-1.516445,-0.728082,-2.317588
31038,9.697292,-2.512661,2.270981,-1.382102,-0.820468,-2.259757
31039,9.831486,-2.327704,2.617290,-1.270714,-0.904936,-2.192630
31040,9.818638,-2.173312,2.419530,-1.173116,-0.898920,-2.088126
31041,9.659048,-2.256345,2.577814,-1.076929,-0.886082,-1.936569
31042,9.439335,-2.289636,2.887456,-0.924373,-0.900957,-1.763532
31043,9.382367,-1.889251,3.010863,-0.765125,-0.921089,-1.591115
31044,9.456769,-1.470333,2.798589,-0.603938,-0.932518,-1.428196
31045,9.518359,-1.162551,2.427400,-0.500345,-0.993675,-1.253411
31046,9.421489,-1.132222,2.206889,-0.466702,-1.067612,-1.060252
31047,9.188994,-1.039578,2.468782,-0.444489,-1.131782,-0.858958
31048,8.789122,-0.982113,2.403027,-0.448847,-1.148242,-0.693396
31049,8.608463,-0.812550,2.513758,-0.285217,-1.123387,-0.614275
31050,8.526681,-0.316863,2.778785,-0.041135,-1.117666,-0.594914
31051,9.092740,0.423241,3.004611,0.117800,-1.111908,-0.572406
31052,9.990485,0.801736,3.037227,0.117824,-1.034416,-0.489813
31053,10.694206,0.840137,3.089989,0.039062,-0.869211,-0.346627
31054,10.791589,0.582616,3.379088,-0.045360,-0.686035,-0.158882
31055,10.474393,0.254904,3.615414,-0.128073,-0.576430,0.053127
31056,10.193138,-0.283101,3.409219,-0.186008,-0.531384,0.272766
31057,9.788523,-0.871045,2.775446,-0.099665,-0.531016,0.485298
31058,9.310807,-1.405545,2.280711,0.100053,-0.620485,0.654737
31059,9.169940,-1.612260,2.034299,0.431066,-0.718656,0.761291
31060,9.313066,-1.208146,1.760367,0.811591,-0.757634,0.825234
31061,9.666135,-0.747671,1.768249,1.077820,-0.703374,0.885953
31062,9.640730,-0.350410,1.867062,1.249435,-0.577592,0.949939
31063,9.479538,-0.226028,1.883760,1.232849,-0.484999,1.007893
31064,9.353064,-0.490270,1.572399,1.280547,-0.435441,1.090147
31065,9.172359,-0.592704,1.352177,1.455599,-0.490496,1.164392
31066,9.310237,-0.460327,0.870183,1.641188,-0.612338,1.200093
31067,9.762292,-0.278628,0.432862,1.816534,-0.746285,1.225292
31068,10.234114,0.100902,0.127491,2.020527,-0.806058,1.203607
31069,10.443718,0.928349,0.038054,2.205300,-0.816295,1.140321
31070,10.605804,2.066508,0.428538,2.209867,-0.834012,1.044595
31071,10.972195,2.972430,0.933035,2.038798,-0.798428,0.899113
31072,11.262481,3.938462,1.599001,1.845264,-0.653449,0.730802
31073,11.127974,4.807409,2.057490,1.550096,-0.500574,0.550833
31074,10.833053,5.822785,2.033337,1.325434,-0.466095,0.306607
31075,10.874046,6.917219,2.258433,0.900012,-0.430045,0.091611
31076,10.779092,7.283181,2.141739,0.381085,-0.320564,-0.067633
31077,10.644460,7.265140,2.181713,-0.019640,-0.159635,-0.202374
31078,10.391578,6.686934,2.159388,-0.452475,-0.049221,-0.286736
31079,10.348095,5.427585,2.138753,-0.841618,0.008023,-0.319022
31080,10.357894,3.834181,2.066749,-1.138090,0.063304,-0.297659
31081,10.220896,2.215866,1.811823,-1.317637,0.121485,-0.220499
31082,10.049211,0.971851,1.380429,-1.328197,0.129818,-0.139204
31083,9.908772,0.140398,0.991982,-1.225978,0.112610,-0.072961
31084,9.749069,-0.348379,0.634966,-1.030788,0.071107,-0.019591
31085,9.780570,-0.427265,0.592835,-0.821467,0.031769,0.008683
31086,9.856065,-0.546323,0.552420,-0.652861,0.031747,0.013831
31087,9.955671,-0.694658,0.527813,-0.469007,0.058975,-0.002886
31088,9.952062,-0.772394,0.535230,-0.278297,0.080401,-0.023463
31089,9.937251,-0.754908,0.718723,-0.086919,0.088628,-0.044641
31090,9.944008,-0.503966,0.916512,0.061079,0.090982,-0.044976
31091,9.908968,-0.163300,0.967900,0.165692,0.078329,-0.035292
31092,9.826713,0.108323,0.988495,0.237940,0.061247,-0.020216
31093,9.745044,0.282216,0.923571,0.293557,0.044417,0.004941
31094,9.639622,0.485194,0.839815,0.372014,0.012497,0.028554
31095,9.676855,0.794467,0.864081,0.434308,-0.024937,0.042086
31096,9.746040,1.192200,0.974582,0.439396,-0.040225,0.046468
31097,9.784051,1.598269,1.070879,0.383816,-0.038850,0.058694
31098,9.752996,1.800958,1.212855,0.271124,-0.032929,0.048995
31099,9.746970,1.776143,1.324230,0.154511,-0.006890,0.039978
31100,9.819762,1.680966,1.369687,0.059330,0.010059,0.032793
31101,9.753697,1.487100,1.360722,-0.012579,0.037089,0.024529
31102,9.667429,1.270215,1.338015,-0.033990,0.042139,0.012673
