// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
49879,9.819210,-0.039153,0.497189,-0.013836,0.011296,-0.011525
49880,9.878748,-0.024478,0.466236,-0.013594,0.011922,-0.009828
49881,9.902473,-0.031904,0.433752,-0.007332,0.015957,-0.017278
49882,9.914423,0.000646,0.470909,-0.014371,0.014670,-0.012253
49883,9.907064,-0.014147,0.489150,-0.022655,0.017032,-0.019539
49884,9.895006,-0.043517,0.454907,-0.022487,0.011638,-0.018124
49885,9.902917,-0.083948,0.489974,-0.018917,0.010822,-0.015346
49886,9.850554,-0.079935,0.506397,-0.015460,0.010771,-0.016663
49887,9.826017,-0.011486,0.490558,-0.017103,0.008098,-0.015299
49888,9.790201,-0.032270,0.489459,-0.022426,0.007003,-0.020813
49889,9.812695,-0.039835,0.490854,-0.032664,0.008535,-0.019272
49890,9.807994,-0.052995,0.439396,-0.034602,0.009861,-0.016934
49891,9.815946,-0.093503,0.474145,-0.023216,0.007593,-0.016754
49892,9.817234,-0.091198,0.440437,-0.015824,0.008750,-0.015979
49893,9.823170,-0.074209,0.459078,-0.012496,0.007312,-0.014897
49894,9.823140,-0.072970,0.459915,-0.012922,0.009921,-0.011523
49895,9.851588,-0.065700,0.479362,-0.010741,0.009218,-0.012167
49896,9.845600,-0.080014,0.462522,-0.009098,0.011891,-0.013531
49897,9.874037,-0.072605,0.482138,-0.005770,0.010454,-0.012448
49898,9.881265,-0.055106,0.466548,-0.003349,0.010377,-0.011390
49899,9.875291,-0.069206,0.449668,-0.001516,0.009817,-0.017832
49900,9.879852,-0.052815,0.502969,-0.000370,0.009083,-0.016105
49901,9.845422,-0.072940,0.467454,-0.000370,0.009082,-0.016106
49902,9.848826,-0.128016,0.449893,0.004362,0.009696,-0.018086
49903,9.856071,-0.109804,0.434205,0.012421,0.008876,-0.018980
49904,9.861966,-0.092623,0.452896,0.013675,0.007376,-0.013155
49905,9.810947,-0.088057,0.434295,0.018947,0.004616,-0.014414
49906,9.859818,-0.032136,0.438009,0.012164,0.006091,-0.014191
49907,9.829988,-0.037849,0.454528,0.009852,0.005401,-0.011153
49908,9.829971,-0.036816,0.454965,0.006028,0.003427,-0.009147
49909,9.828606,-0.036593,0.489698,0.006699,0.001442,-0.010822
49910,9.845257,-0.060462,0.472680,0.006936,0.002068,-0.009120
49911,9.852504,-0.043117,0.456329,0.009486,0.003384,-0.010459
49912,9.845237,-0.058385,0.473359,0.008578,0.004741,-0.010487
49913,9.851115,-0.041463,0.491635,0.009142,0.003519,-0.016263
49914,9.835800,-0.014280,0.474607,0.009013,0.002129,-0.013866
49915,9.853821,-0.037113,0.423309,0.009854,0.005398,-0.011159
49916,9.833429,-0.084172,0.439181,0.008342,0.004113,-0.012193
49917,9.846548,-0.050989,0.440787,0.010526,0.003412,-0.012835
49918,9.867737,-0.059716,0.476238,0.017313,0.001939,-0.013061
49919,9.890291,-0.067765,0.477262,0.014458,0.004623,-0.010745
49920,9.869073,-0.056729,0.442736,0.018992,0.008478,-0.007650
49921,9.863180,-0.071333,0.425541,0.014459,0.004621,-0.010748
49922,9.872629,-0.111398,0.425431,0.021247,0.003149,-0.010973
49923,9.854560,-0.086140,0.477201,0.020516,-0.000883,-0.009578
49924,9.831998,-0.075951,0.476552,0.025959,0.001616,-0.006457
49925,9.865405,-0.125224,0.442431,0.028486,0.000785,-0.001297
49926,9.910007,-0.202459,0.529376,0.035335,0.005326,-0.001252
49927,9.994364,-0.384801,0.495246,0.055763,0.006920,-0.001663
49928,10.098516,-0.577791,0.531420,0.081639,0.011007,0.001032
49929,10.175631,-0.775999,0.515359,0.127450,0.011532,-0.006893
49930,10.167579,-0.862476,0.463690,0.177703,0.003846,-0.012323
49931,10.301418,-0.930230,0.348474,0.244526,-0.012426,-0.010007
49932,10.512399,-0.937848,0.254248,0.312115,-0.016228,0.000171
49933,10.576953,-0.720718,0.207983,0.366949,-0.021998,0.019594
49934,10.510893,-0.549695,0.344617,0.410558,-0.026304,0.042786
49935,10.436728,-0.468801,0.427737,0.417301,-0.024371,0.062684
49936,10.315919,-0.500936,0.526412,0.409160,-0.020038,0.083768
49937,10.173403,-0.656026,0.574084,0.422663,-0.016971,0.112477
49938,10.001894,-0.819873,0.605230,0.425565,-0.012234,0.136934
49939,9.858801,-1.109775,0.607404,0.461043,-0.001110,0.164249
49940,9.711920,-1.289336,0.542625,0.512668,0.020082,0.203601
49941,9.624775,-1.461607,0.415083,0.579157,0.035923,0.246097
49942,9.590404,-1.623323,0.397571,0.652071,0.058667,0.305117
49943,9.603603,-1.682231,0.330753,0.731980,0.074193,0.378602
49944,9.738112,-1.762399,0.342255,0.785578,0.093799,0.450935
49945,9.922202,-1.910593,0.397675,0.817635,0.111662,0.543797
49946,9.877696,-2.022173,0.532504,0.833021,0.143643,0.640422
49947,9.975534,-1.943878,0.628186,0.833029,0.157743,0.742512
49948,10.251976,-1.875807,0.836573,0.798741,0.192468,0.834112
49949,10.466236,-1.940919,1.092116,0.760644,0.263274,0.934841
49950,10.627144,-2.193488,1.266536,0.718582,0.332672,1.044748
49951,10.750135,-2.524603,1.422685,0.703760,0.404618,1.154983
49952,10.716347,-2.682376,1.526994,0.688028,0.471805,1.271724
49953,10.740563,-2.982021,1.448539,0.678106,0.511209,1.384029
49954,10.821835,-3.044323,1.489054,0.689672,0.551588,1.481725
49955,11.072253,-2.922072,1.501810,0.681367,0.595744,1.562258
49956,11.257699,-2.665285,1.615812,0.655413,0.650657,1.630398
49957,11.440711,-2.406365,2.028082,0.575785,0.717184,1.705083
49958,11.427374,-2.339075,2.282266,0.452044,0.786337,1.787130
49959,11.353132,-2.276438,2.410196,0.323196,0.835346,1.860026
49960,11.193477,-2.428945,2.425111,0.199511,0.876509,1.945547
49961,11.099425,-2.488766,2.446743,0.090619,0.918858,2.023453
49962,11.125527,-2.621673,2.545271,-0.033004,0.962835,2.103864
49963,11.029429,-2.858098,2.580879,-0.150282,1.029179,2.169747
49964,10.918029,-3.326282,2.553126,-0.207293,1.091750,2.217176
49965,10.741758,-3.613722,2.560500,-0.184498,1.146779,2.271102
49966,10.583120,-4.049214,2.477259,-0.144928,1.188421,2.329263
49967,10.362564,-4.505916,2.483029,-0.069898,1.222015,2.386547
49968,10.327465,-4.671623,2.537606,-0.006843,1.250918,2.449451
49969,10.311945,-4.669708,2.533259,0.024203,1.276833,2.503662
49970,10.286072,-4.706983,2.679518,0.033653,1.289650,2.534294
49971,10.328327,-4.909608,2.676978,0.055781,1.316322,2.558395
49972,10.152992,-5.403477,2.631401,0.133018,1.336242,2.570197
49973,9.893942,-5.918118,2.656599,0.277118,1.340328,2.573730
49974,9.771070,-6.071981,2.660626,0.471271,1.343957,2.579718
49975,9.712392,-5.795338,2.715572,0.619229,1.357243,2.574350
49976,9.627027,-5.387194,2.877577,0.691306,1.369087,2.555299
49977,9.446395,-5.270829,2.995324,0.695461,1.381687,2.520907
49978,9.109352,-5.369963,3.076131,0.689254,1.388922,2.492300
49979,8.819151,-5.546440,3.225053,0.709956,1.394844,2.457812
49980,8.523724,-5.530492,3.243983,0.773259,1.398743,2.414423
49981,8.329430,-5.498965,3.300946,0.837016,1.406164,2.374335
49982,8.129268,-5.393722,3.386841,0.854631,1.417011,2.342146
49983,7.875599,-5.327525,3.541981,0.831925,1.424064,2.301046
49984,7.737994,-5.419954,3.667540,0.785362,1.432116,2.257749
49985,7.530080,-5.771361,3.815767,0.766695,1.450649,2.222005
49986,7.151800,-6.176808,3.813294,0.846038,1.475039,2.172753
49987,6.743968,-6.327457,3.905047,0.993842,1.477322,2.115339
49988,6.344382,-6.225420,3.841616,1.154657,1.486320,2.051978
49989,5.900442,-6.088508,3.669554,1.306725,1.467667,1.993302
49990,5.714526,-5.938556,3.767578,1.378969,1.440627,1.947242
49991,5.540065,-5.801771,3.970838,1.370434,1.415430,1.912181
49992,5.217661,-5.713397,4.100990,1.342127,1.381363,1.872403
49993,4.865797,-5.491540,4.093584,1.308021,1.336131,1.801774
49994,4.513378,-5.140053,4.031880,1.253162,1.287161,1.718316
49995,4.002897,-4.911632,3.984575,1.175524,1.226530,1.609852
49996,3.645103,-4.728086,3.999473,1.061304,1.133345,1.512112
49997,3.403131,-4.480745,4.123482,0.897382,1.040856,1.426297
49998,3.161182,-4.314427,4.192735,0.711510,0.955266,1.349865
49999,3.011877,-4.296772,4.292557,0.507847,0.886055,1.281997
50000,2.742527,-4.346790,4.534161,0.313852,0.841160,1.208618
50001,2.581465,-4.581664,4.850535,0.152157,0.791324,1.144959
50002,2.397438,-4.964278,5.033290,0.017655,0.738895,1.109777
50003,2.219185,-5.390781,5.063636,-0.067647,0.690496,1.081274
50004,1.944637,-5.766668,5.014881,-0.095056,0.635683,1.052595
50005,1.759006,-6.046607,5.108096,-0.088346,0.554800,1.010594
50006,1.714562,-6.221204,5.244738,-0.060356,0.477960,0.968882
50007,1.759858,-6.409177,5.337321,-0.023129,0.436470,0.934110
50008,1.879456,-6.691428,5.444029,0.034512,0.422419,0.907897
50009,1.953693,-6.923105,5.616359,0.106140,0.411426,0.905599
50010,1.847107,-7.019671,5.761458,0.169382,0.388931,0.888897
50011,1.782990,-7.130334,5.895139,0.224430,0.342582,0.882718
50012,1.752226,-7.261918,5.835701,0.290163,0.296975,0.880553
50013,1.719450,-7.318652,5.837338,0.347060,0.263947,0.866834
50014,1.648819,-7.363870,5.798627,0.398907,0.241584,0.859394
50015,1.534454,-7.431701,5.839091,0.465019,0.220236,0.848538
50016,1.545222,-7.425432,5.896468,0.548641,0.207481,0.834613
50017,1.479189,-7.439402,6.022673,0.613315,0.201998,0.817876
50018,1.363965,-7.568051,5.934621,0.700052,0.193046,0.805655
50019,1.287895,-7.598998,5.906992,0.815011,0.146089,0.782300
50020,1.225252,-7.471266,5.921843,0.917619,0.090454,0.763025
50021,1.243930,-7.239070,6.093544,0.993070,0.047479,0.736198
50022,1.220278,-6.929050,6.253143,1.024348,0.027209,0.720635
50023,1.133302,-6.672901,6.389757,1.014814,0.017214,0.714354
50024,1.115284,-6.393520,6.495244,0.971323,0.019632,0.716671
50025,1.014453,-6.125599,6.622804,0.894035,0.030795,0.725275
50026,0.924206,-5.819562,6.675893,0.799613,0.027573,0.727248
50027,0.793325,-5.593934,6.730242,0.677821,0.020070,0.719802
50028,0.693097,-5.559768,6.774341,0.563430,0.024076,0.704857
50029,0.623167,-5.744819,6.896192,0.479605,0.033129,0.686139
50030,0.611068,-5.991516,6.944276,0.455690,0.042334,0.677384
50031,0.563443,-6.277263,6.976141,0.485191,0.022670,0.675014
50032,0.703419,-6.248550,7.014566,0.555205,-0.012746,0.674094
50033,0.704019,-6.093406,7.115891,0.636170,-0.040373,0.666316
50034,0.653642,-5.848635,7.240192,0.682235,-0.078824,0.631226
50035,0.699897,-5.645363,7.360246,0.694092,-0.097224,0.602014
50036,0.717636,-5.395719,7.576927,0.677756,-0.112948,0.581827
50037,0.731326,-5.247549,7.689078,0.626966,-0.111835,0.556548
50038,0.746144,-4.992548,7.827905,0.562971,-0.094945,0.530068
50039,0.771133,-4.814421,7.968352,0.476653,-0.044857,0.485772
50040,0.758676,-4.767688,7.972023,0.396234,-0.002409,0.447857
50041,0.788762,-4.671760,7.971951,0.351916,0.018845,0.414375
50042,0.625960,-4.664814,8.113287,0.304106,0.031509,0.377912
50043,0.215295,-4.586907,8.439345,0.265987,0.052996,0.312945
50044,-0.049987,-4.984786,8.586386,0.246579,0.075118,0.223889
50045,0.231376,-5.539581,8.619070,0.317341,0.115994,0.144182
50046,0.568488,-6.136335,8.543746,0.477649,0.187251,0.090657
50047,0.840943,-6.444241,8.486250,0.678197,0.219757,0.057020
50048,1.024024,-5.718874,8.579905,0.847991,0.225461,0.029655
50049,0.810910,-4.899839,8.749794,0.872928,0.286640,-0.044807
50050,0.652545,-4.561609,8.639173,0.890693,0.346983,-0.143713
50051,0.534091,-4.381431,8.752278,0.861905,0.421583,-0.230958
50052,0.478885,-4.184559,8.974668,0.805885,0.490191,-0.315326
50053,0.423917,-3.733653,9.096579,0.719345,0.541222,-0.402036
50054,0.509811,-3.223909,8.966746,0.594086,0.567529,-0.493556
50055,0.552808,-2.756014,8.918534,0.405278,0.576880,-0.586409
50056,0.509714,-2.723952,8.861390,0.201451,0.607430,-0.677243
50057,0.534040,-3.081405,8.940070,0.023276,0.668789,-0.790473
50058,0.670390,-3.766237,9.154866,-0.061177,0.801114,-0.924113
50059,0.598722,-4.163672,9.395310,-0.058648,0.921723,-1.038992
50060,0.168956,-3.894022,9.658887,-0.074814,0.993626,-1.141293
50061,0.086180,-3.428270,9.892930,-0.146806,1.024394,-1.249043
50062,0.369563,-3.431510,9.936248,-0.252684,1.071776,-1.361142
