// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
23373	9.282230	3.479392	0.716827	0.051021	-0.008709	0.006120	78.338690	-69.055092	26.417706
23374	9.321907	3.443784	0.701766	0.045847	-0.007650	0.002694	78.463682	-69.341291	25.445688
23375	9.336553	3.471944	0.713892	0.038802	-0.002997	-0.000774	78.407689	-69.196057	25.952974
23376	9.357166	3.450185	0.650186	0.039604	-0.003225	-0.002052	78.435766	-69.195276	25.947214
23377	9.332125	3.433975	0.665771	0.040394	0.003226	-0.006461	78.457321	-69.190912	25.948590
23378	9.356729	3.451800	0.647904	0.038000	0.006413	-0.008573	78.472206	-69.185364	25.955958
23379	9.356349	3.452937	0.647329	0.039059	0.009731	-0.010384	78.483717	-69.178547	25.967636
23380	9.341311	3.426259	0.633199	0.038247	0.016646	-0.012240	78.484742	-69.169771	25.989984
23381	9.347677	3.473701	0.619497	0.027868	0.020447	-0.010335	78.474824	-69.162011	26.017840
23382	9.297244	3.441569	0.654305	0.022988	0.016647	-0.019922	78.469441	-69.148920	26.037694
23383	9.245936	3.473904	0.646538	0.015528	0.017680	-0.013835	78.458872	-69.139714	26.058855
23384	9.273682	3.434964	0.614038	0.005316	0.014856	-0.017824	78.445403	-69.128005	26.076529
23385	9.279916	3.402415	0.591460	0.001863	0.014723	-0.018128	78.434426	-69.116860	26.089987
23386	9.307559	3.363832	0.559310	-0.001057	0.017488	-0.022312	78.414822	-69.102325	26.110322
23387	9.270697	3.344191	0.556642	0.005327	0.017346	-0.023773	78.406959	-69.088821	26.123018
23388	9.309320	3.311005	0.545605	0.011839	0.018979	-0.025500	78.393562	-69.072322	26.144623
23389	9.282598	3.360942	0.521329	0.017677	0.022619	-0.026218	78.389930	-69.058793	26.160934
23390	9.271217	3.374581	0.553567	0.017297	0.017302	-0.025415	78.382135	-69.042534	26.179893
23391	9.302892	3.375561	0.566250	0.014341	0.021781	-0.020841	78.381541	-69.033801	26.191637
23392	9.280566	3.383833	0.577342	0.006404	0.013993	-0.022449	78.371486	-69.019587	26.206336
23393	9.257628	3.375921	0.536195	-0.002108	0.014180	-0.020507	78.376868	-69.013586	26.202190
23394	9.286112	3.353279	0.556084	-0.004770	0.011327	-0.016140	78.362428	-69.003221	26.214729
23395	9.271058	3.326744	0.543119	-0.000640	0.009461	-0.016842	78.380106	-69.001820	26.199041
23396	9.256082	3.300085	0.529730	0.007862	0.006794	-0.012833	78.378538	-68.993834	26.205544
23397	9.266091	3.290141	0.498958	0.014643	0.005300	-0.011952	78.414636	-68.998236	26.180456
23398	9.233704	3.308685	0.539653	0.016772	0.005256	-0.012437	78.420292	-68.990653	26.184690
23399	9.291291	3.341812	0.586043	0.027937	0.005450	-0.012794	78.468950	-68.997139	26.155232
23400	9.268731	3.333214	0.543164	0.026487	0.003492	-0.013317	78.482985	-68.989270	26.156455
23401	9.264520	3.392001	0.559190	0.023838	0.003122	-0.014901	78.538651	-68.997386	26.117041
23402	9.263983	3.393532	0.558802	0.020510	0.004757	-0.015477	78.548022	-68.988157	26.119596
23403	9.281512	3.366009	0.555978	0.019469	0.003923	-0.019614	78.604382	-68.995539	26.077116
