// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
24206,9.865915,-0.010690,0.625610,0.017083,0.017114,-0.006106
24207,9.810525,-0.003734,0.649296,0.006666,0.017172,-0.011134
24208,9.833053,-0.019882,0.631108,0.009903,0.014815,-0.005480
24209,9.825280,0.003961,0.633939,0.006550,0.013375,-0.008022
24210,9.858260,-0.036526,0.648658,0.001652,0.017436,-0.009475
24211,9.847715,-0.011353,0.617416,0.002507,0.017327,-0.006834
24212,9.840339,-0.039989,0.636048,0.004017,0.018555,-0.004996
24213,9.842963,-0.040810,0.672151,0.004552,0.016094,-0.002686
24214,9.875472,-0.029691,0.672075,0.009182,0.026943,0.001182
24215,9.868030,-0.058795,0.691394,0.001822,0.022722,-0.003104
24216,9.852884,-0.064871,0.712149,0.004166,0.027207,0.002839
24217,9.870375,-0.060315,0.730813,0.002856,0.024533,0.004443
24218,9.885165,-0.054598,0.715109,0.007863,0.027639,0.004254
24219,9.894920,-0.026906,0.735672,0.007319,0.033470,0.003409
24220,9.891995,-0.026091,0.704713,0.002622,0.036086,0.005393
24221,9.942050,-0.010684,0.722380,-0.000742,0.038013,0.004311
24222,10.077961,0.049699,0.890881,-0.021981,0.033453,0.006478
24223,10.321659,0.171108,1.071176,-0.045212,0.045917,-0.002242
24224,10.449838,0.203276,1.257970,-0.050282,0.046592,-0.018088
24225,10.411728,0.144058,1.211473,-0.033018,0.045017,-0.023451
24226,10.321642,-0.034355,1.146361,0.031757,0.032733,-0.012000
24227,10.185529,-0.094778,0.983766,0.084542,0.018446,0.014640
24228,10.010970,-0.022534,0.932759,0.091100,0.032510,0.038205
24229,9.855901,0.155891,0.902456,0.025734,0.044549,0.054493
24230,9.695805,0.354230,0.909300,-0.079564,0.061458,0.066739
24231,9.614506,0.423430,0.907524,-0.208525,0.069392,0.062241
24232,9.543690,0.396053,0.851199,-0.330822,0.086714,0.057490
24233,9.498668,0.140564,0.870718,-0.424838,0.084339,0.048617
24234,9.572364,-0.220744,0.754227,-0.462927,0.101746,0.043899
24235,9.683318,-0.573545,0.703703,-0.432094,0.124144,0.044704
24236,9.740624,-0.869401,0.695303,-0.349580,0.163910,0.051733
24237,9.849806,-1.047030,0.711153,-0.233970,0.213158,0.068995
24238,9.927844,-1.133246,0.740014,-0.099657,0.255409,0.088245
24239,9.917300,-1.067627,0.754134,0.027126,0.284265,0.112831
24240,9.918640,-0.925044,0.810183,0.112852,0.299907,0.128629
24241,9.964795,-0.694647,0.904847,0.182201,0.299846,0.149521
24242,9.974785,-0.404215,1.057132,0.212097,0.310021,0.164375
24243,9.944588,-0.169932,1.087107,0.211553,0.321262,0.172161
24244,9.833637,0.036765,1.136373,0.185439,0.329844,0.169651
24245,9.768861,0.102896,1.210250,0.145103,0.334383,0.163461
24246,9.755205,0.061334,1.224146,0.087549,0.327561,0.151697
24247,9.670717,0.019263,1.309374,0.048047,0.328985,0.141902
24248,9.688264,-0.063344,1.337072,0.010680,0.329578,0.131641
24249,9.672947,-0.101347,1.317093,0.016098,0.349076,0.122535
24250,9.685669,-0.053753,1.319631,0.035620,0.367298,0.110748
24251,9.660552,0.058963,1.345188,0.037901,0.385465,0.099042
24252,9.679946,0.087490,1.314867,0.054914,0.390492,0.086268
24253,9.686688,0.158859,1.390320,0.042467,0.380778,0.073124
24254,9.707229,0.186303,1.428537,0.029466,0.381428,0.061813
24255,9.730119,0.264319,1.520415,-0.003232,0.366144,0.038568
24256,9.743205,0.315397,1.628093,-0.043709,0.373242,0.003303
24257,9.741906,0.238112,1.713055,-0.071713,0.379313,-0.026937
24258,9.685341,0.223350,1.801264,-0.051110,0.388665,-0.056640
