// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
48864	9.666448	-1.670183	1.467956	-0.008539	-0.002279	-0.027139	-48.704860	-77.039168	0.841597
48865	9.642109	-1.643793	1.469004	0.000848	0.002283	-0.022555	-48.671687	-77.127560	0.692991
48866	9.666537	-1.641708	1.473292	-0.001100	0.000316	-0.025120	-48.630096	-77.138245	0.649683
48867	9.671015	-1.634174	1.449865	0.002853	0.000280	-0.020424	-48.593451	-77.146289	0.614088
48868	9.667201	-1.637560	1.473552	-0.000537	0.003813	-0.019237	-48.554610	-77.153108	0.573933
48869	9.652360	-1.648690	1.417406	-0.002668	0.001619	-0.019663	-48.520163	-77.160971	0.537045
48870	9.652613	-1.646955	1.417696	-0.002911	0.005354	-0.017092	-48.483271	-77.166273	0.497496
48871	9.676202	-1.621440	1.427533	-0.003502	0.003832	-0.022759	-48.440539	-77.174736	0.451589
48872	9.653180	-1.643194	1.418203	-0.009331	0.000754	-0.018156	-48.414134	-77.182232	0.419026
48873	9.678248	-1.665433	1.417262	-0.005877	0.005372	-0.020615	-48.373893	-77.189408	0.374254
48874	9.677774	-1.639797	1.422830	-0.008190	0.002951	-0.018904	-48.341368	-77.196378	0.336087
48875	9.653271	-1.613975	1.424012	-0.007976	0.001193	-0.021259	-48.310430	-77.205589	0.299554
48876	9.659174	-1.654549	1.389962	-0.006183	0.000952	-0.016773	-48.284018	-77.212401	0.268838
48877	9.678660	-1.634544	1.422854	-0.009148	0.000970	-0.020296	-48.257352	-77.221637	0.235916
48878	9.654913	-1.632696	1.418527	-0.008312	-0.001246	-0.017201	-48.235516	-77.229465	0.208643
48879	9.655224	-1.631044	1.418311	-0.005969	-0.000808	-0.019129	-48.213656	-77.239174	0.182450
48880	9.680382	-1.653201	1.417005	-0.006958	-0.000804	-0.020304	-48.184910	-77.248153	0.148889
48881	9.699880	-1.633251	1.449658	-0.004145	-0.003031	-0.014860	-48.175426	-77.257115	0.136354
48882	9.676127	-1.631436	1.445355	-0.003659	0.001608	-0.020840	-48.139253	-77.265395	0.097118
48883	9.681325	-1.648127	1.416474	-0.003961	-0.002808	-0.016999	-48.125992	-77.275266	0.080799
48884	9.676719	-1.627890	1.445390	0.002755	0.006211	-0.019774	-48.079166	-77.281323	0.034413
48885	9.680256	-1.596923	1.427684	-0.002887	0.003354	-0.017310	-48.054842	-77.289058	0.007315
48886	9.658027	-1.642808	1.413167	-0.005047	0.003137	-0.017521	-48.022042	-77.295321	-0.029272
48887	9.677407	-1.622851	1.446446	-0.002920	0.005333	-0.017093	-47.995649	-77.302566	-0.058615
48888	9.677649	-1.621140	1.446748	-0.009183	0.002928	-0.020081	-47.961179	-77.309989	-0.099342
48889	9.677881	-1.619422	1.447121	-0.012614	0.008435	-0.018675	-47.932089	-77.316627	-0.137128
48890	9.658975	-1.636118	1.414446	-0.016833	0.002056	-0.019750	-47.904139	-77.324234	-0.175661
48891	9.655134	-1.639963	1.437924	-0.023562	0.005142	-0.017808	-47.891292	-77.332241	-0.203363
48892	9.630442	-1.614877	1.439147	-0.023929	0.004688	-0.013532	-47.873026	-77.336200	-0.236135
48893	9.651369	-1.643176	1.461614	-0.024951	0.006670	-0.014488	-47.864787	-77.341718	-0.259913
