// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
49743,9.774675,-1.235795,0.669098,-0.003661,-0.002398,0.001516
49744,9.801001,-1.181759,0.732691,-0.003488,-0.008515,0.001528
49745,9.744510,-1.223751,0.679504,-0.000320,-0.001747,-0.005217
49746,9.706288,-1.213758,0.724569,0.009266,0.002549,-0.007713
49747,9.700586,-1.169816,0.921020,0.002710,-0.036381,-0.003290
49748,9.846588,-1.195903,0.860253,-0.017027,-0.055597,-0.000184
49749,9.877237,-1.217470,0.648249,-0.016129,-0.018588,0.002255
49750,9.812057,-1.275945,0.539614,0.017549,0.034700,-0.006975
49751,9.690361,-1.231072,0.695732,0.039758,0.033299,-0.014721
49752,9.718402,-1.143256,0.836102,0.014119,0.000750,-0.008625
49753,9.769264,-1.201664,0.771696,-0.004876,-0.013962,-0.003612
49754,9.813243,-1.244671,0.724943,-0.003035,0.007441,-0.004449
49755,9.806419,-1.228270,0.743476,0.006975,0.014484,-0.010257
49756,9.768177,-1.218017,0.789359,0.001125,0.002920,-0.007931
49757,9.807783,-1.208219,0.728126,-0.007908,-0.006522,-0.008062
49758,9.798180,-1.242443,0.686903,-0.008084,-0.000405,-0.008076
49759,9.807981,-1.206700,0.727970,-0.000070,0.007115,-0.008537
49760,9.808035,-1.205877,0.728611,0.008020,0.004970,-0.007655
49761,9.776651,-1.211391,0.756639,0.007001,0.003047,-0.008248
49762,9.801354,-1.188502,0.746620,0.004912,-0.002574,-0.008768
49763,9.808298,-1.203153,0.729567,0.002620,0.009360,-0.011310
49764,9.801484,-1.186629,0.747892,-0.003956,0.009058,-0.006371
49765,9.778116,-1.189558,0.742669,-0.004649,0.006334,-0.008942
49766,9.767292,-1.242025,0.718566,-0.004599,0.008106,-0.009606
49767,9.779404,-1.169509,0.728127,-0.000346,0.009683,-0.007221
49768,9.761710,-1.206383,0.721593,0.001227,0.006462,-0.009258
49769,9.777079,-1.204588,0.761946,0.002019,0.012729,-0.008014
49770,9.807384,-1.215690,0.751389,0.002523,0.005812,-0.009979
49771,9.785280,-1.199880,0.729915,-0.001729,0.004233,-0.012364
49772,9.791042,-1.232947,0.729013,-0.003678,0.006481,-0.007684
49773,9.813285,-1.246814,0.751848,-0.005794,0.012293,-0.010212
49774,9.814508,-1.227484,0.737017,-0.001215,0.013071,-0.009804
49775,9.784258,-1.214563,0.749687,-0.003528,0.011795,-0.009675
49776,9.759700,-1.235794,0.760728,-0.004923,0.008899,-0.007626
49777,9.791225,-1.228462,0.734112,0.000361,0.009849,-0.011839
