// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
15811,9.526078,2.692513,0.207677,0.012815,0.004553,-0.009742
15812,9.543562,2.706100,0.196710,0.011074,0.003806,-0.010797
15813,9.531510,2.736296,0.211279,0.010531,0.007778,-0.010811
15814,9.544548,2.737961,0.179971,0.003220,0.007121,-0.012051
15815,9.520415,2.684821,0.188645,-0.000464,0.012418,-0.012566
15816,9.503910,2.703094,0.183223,0.000248,0.009858,-0.011747
15817,9.531505,2.657951,0.176168,-0.003209,0.005314,-0.011667
15818,9.510638,2.664127,0.149654,-0.006181,0.008050,-0.011364
15819,9.542650,2.630967,0.163506,-0.004611,0.007388,-0.011113
15820,9.512801,2.648563,0.189524,-0.005638,0.004079,-0.011350
15821,9.530249,2.662256,0.179135,-0.008781,0.005405,-0.011852
15822,9.546078,2.646305,0.186398,0.000074,0.008451,-0.012549
15823,9.541401,2.635309,0.166447,-0.001132,0.008886,-0.008999
15824,9.563267,2.660871,0.176884,0.004099,0.005978,-0.010422
15825,9.523091,2.624598,0.178840,0.007722,0.011935,-0.009695
15826,9.528757,2.667327,0.183009,0.009980,0.011762,-0.010815
15827,9.528496,2.668212,0.183678,0.013317,0.008800,-0.007316
15828,9.522349,2.740057,0.201599,0.012614,0.006207,-0.012725
15829,9.529435,2.813008,0.187595,0.004770,0.004360,-0.018574
15830,9.549424,2.809777,0.215185,-0.015560,-0.001342,-0.019865
15831,9.550348,2.728985,0.177503,-0.029355,0.002279,-0.025110
15832,9.539045,2.713004,0.248671,-0.039784,-0.000109,-0.024665
15833,9.541481,2.662321,0.193550,-0.042203,-0.006496,-0.028938
15834,9.553834,2.588409,0.235715,-0.041019,-0.001770,-0.027889
15835,9.544472,2.566847,0.194834,-0.028826,-0.001675,-0.025085
15836,9.548224,2.580980,0.216230,-0.020294,0.000661,-0.020607
15837,9.527174,2.587886,0.189461,-0.007242,0.002655,-0.018372
15838,9.514837,2.618599,0.204355,-0.009334,0.004236,-0.016445
15839,9.527796,2.620857,0.172972,0.001643,0.002662,-0.016878
15840,9.524643,2.639817,0.135134,0.001994,0.007578,-0.008485
15841,9.516773,2.681934,0.170921,0.007886,0.008221,-0.013467
15842,9.495910,2.688109,0.144187,0.008252,0.007988,-0.009669
15843,9.547325,2.697319,0.129134,0.007398,0.006088,-0.009103
15844,9.496880,2.719701,0.127649,0.002512,0.006659,-0.010661
15845,9.512845,2.703506,0.134859,-0.005840,0.007828,-0.007552
15846,9.546564,2.699915,0.131173,-0.014174,0.003847,-0.009037
15847,9.544821,2.670955,0.149815,-0.017541,0.011960,-0.007935
15848,9.543108,2.641875,0.168643,-0.013675,0.008078,-0.006618
15849,9.529507,2.641732,0.201590,-0.011936,0.008828,-0.005560
15850,9.547105,2.654830,0.191548,-0.006328,0.005695,-0.003187
15851,9.563216,2.638122,0.198891,-0.004623,0.009498,-0.004315
15852,9.549658,2.637785,0.231760,-0.000457,0.011489,-0.003571
15853,9.549533,2.638135,0.232922,-0.002031,0.012150,-0.003821
15854,9.531684,2.625769,0.244921,0.006690,0.010750,-0.003131
15855,9.566990,2.651664,0.223879,0.002323,0.010404,-0.006866
15856,9.588782,2.677103,0.234545,0.001991,0.007584,-0.008479
15857,9.598606,2.731679,0.259282,0.000972,0.004273,-0.008722
15858,9.620309,2.757446,0.269363,-0.004579,-0.000796,-0.013507
15859,9.733006,2.752532,0.335578,-0.002142,-0.006794,-0.025195
15860,9.873787,2.780006,0.320162,0.006885,-0.009555,-0.036449
15861,9.965276,2.782848,0.358219,0.020519,-0.005127,-0.053500
15862,10.001749,2.797022,0.373291,0.058655,0.001901,-0.073089
15863,10.037525,2.968332,0.240432,0.108864,-0.007775,-0.104433
15864,10.193436,3.161768,0.212397,0.171624,-0.021408,-0.157599
15865,10.362491,3.456574,0.208660,0.196589,-0.023226,-0.205594
15866,10.418473,3.669177,0.248548,0.192351,-0.030599,-0.271244
15867,10.294898,3.736562,0.154085,0.167412,-0.041216,-0.350045
15868,10.239116,3.785726,0.088675,0.151160,-0.051719,-0.427213
15869,10.068679,3.865191,0.088738,0.120507,-0.069021,-0.507477
15870,9.826604,3.957874,0.097775,0.072792,-0.085540,-0.582177
15871,9.656739,4.042950,0.157473,0.001563,-0.110116,-0.641383
15872,9.532295,4.033522,0.124012,-0.079980,-0.124885,-0.695202
15873,9.434919,3.988929,0.196448,-0.147213,-0.140398,-0.738212
15874,9.303026,3.978766,0.257186,-0.203540,-0.149239,-0.775331
15875,9.187200,4.012618,0.290144,-0.251805,-0.165200,-0.799948
15876,9.197855,4.049329,0.357213,-0.296355,-0.179813,-0.818581
15877,9.288317,4.115484,0.365611,-0.319608,-0.180449,-0.833329
15878,9.357473,4.259764,0.333517,-0.328380,-0.179176,-0.845634
15879,9.355705,4.409459,0.312591,-0.334407,-0.172046,-0.866817
15880,9.339348,4.482628,0.227043,-0.341741,-0.164524,-0.884421
15881,9.250938,4.588797,0.136273,-0.356832,-0.154318,-0.899367
15882,9.242416,4.785966,0.125669,-0.392791,-0.144155,-0.913683
15883,9.208318,4.945446,0.089010,-0.456888,-0.126580,-0.927358
15884,9.134035,5.051684,0.038169,-0.547095,-0.122148,-0.941427
