// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
00915,9.873302,0.271251,0.551758,0.021862,0.007303,-0.007310
00916,9.826827,0.314730,0.597052,0.027082,0.006289,-0.009133
00917,9.834864,0.301820,0.579435,0.022302,0.010285,-0.008135
00918,9.833196,0.336660,0.586454,0.018914,0.010807,-0.007397
00919,9.816889,0.365085,0.623945,0.009431,0.006382,-0.003188
00920,9.847025,0.350909,0.616661,-0.000986,0.007597,-0.007472
00921,9.855082,0.337867,0.598886,-0.005554,0.003766,-0.010558
00922,9.878692,0.303924,0.603776,-0.007710,0.006683,-0.007019
00923,9.850015,0.285290,0.606535,-0.005987,0.010102,-0.006062
00924,9.843412,0.265813,0.619742,-0.001258,0.008065,-0.006038
00925,9.858001,0.272551,0.590028,0.003855,0.010964,-0.005817
00926,9.856329,0.306986,0.596971,0.012766,0.007821,-0.002900
00927,9.817908,0.336081,0.624216,0.007191,0.012401,-0.005532
00928,9.824347,0.356781,0.613012,0.005687,0.010471,-0.006902
00929,9.813557,0.276543,0.573186,0.005960,0.010005,-0.008335
00930,9.820863,0.270512,0.615244,0.011127,0.010949,-0.009133
00931,9.803614,0.326278,0.599593,0.011127,0.010950,-0.009133
00932,9.884390,0.330949,0.601447,0.004786,0.014970,-0.008489
00933,9.884259,0.332015,0.603014,0.004213,0.017045,-0.012529
00934,9.825324,0.328408,0.614183,0.000740,0.011018,-0.006516
00935,9.825243,0.329095,0.615097,-0.000982,0.007597,-0.007473
00936,9.818649,0.309694,0.628108,-0.003032,0.006599,-0.005977
00937,9.826749,0.296672,0.610422,-0.003276,0.006251,-0.012471
00938,9.811966,0.291632,0.641870,-0.003386,0.010165,-0.010430
00939,9.826569,0.298765,0.612310,0.001507,0.011578,-0.009794
00940,9.863245,0.305129,0.593011,-0.000432,0.006666,-0.010339
00941,9.826418,0.300582,0.613827,0.001917,0.006055,-0.006361
00942,9.841061,0.307385,0.583929,0.005470,0.008985,-0.006486
00943,9.834477,0.287852,0.596967,0.009432,0.006393,-0.003178
00944,9.834406,0.288614,0.597774,0.008290,0.010543,-0.011259
00945,9.834308,0.289625,0.598899,0.011076,0.012915,-0.008106
00946,9.812155,0.291467,0.589555,0.008566,0.010077,-0.012692
00947,9.812064,0.292684,0.590473,0.006515,0.009078,-0.011197
00948,9.825838,0.306803,0.620011,0.003970,0.007055,-0.007856
00949,9.820124,0.280589,0.573658,0.009138,0.008003,-0.008650
00950,9.842921,0.253475,0.638204,0.007600,0.006887,-0.002094
00951,9.855877,0.294180,0.614611,0.008180,0.014459,-0.009219
00952,9.832041,0.329761,0.611252,0.007306,0.008495,-0.007568
00953,9.825423,0.310551,0.624703,0.003231,0.015001,-0.008839
