// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
51743,9.500211,2.542767,0.959730,-0.006071,0.004489,-0.022318
51744,9.515321,2.575116,0.985227,0.001769,0.003526,-0.023112
51745,9.510350,2.579181,1.009283,0.002809,0.000952,-0.015189
51746,9.509952,2.580522,1.009607,0.002079,0.007192,-0.012509
51747,9.482335,2.601458,1.003085,0.001995,0.002827,-0.007667
51748,9.465513,2.550225,1.005034,0.001995,0.002827,-0.007667
51749,9.497946,2.550561,0.961464,0.006547,0.003208,-0.007284
51750,9.442180,2.569679,0.974340,0.014668,0.002107,-0.011122
51751,9.513062,2.583045,0.986279,0.019361,0.002418,-0.012261
51752,9.504773,2.610305,1.006902,0.015990,-0.000605,-0.006244
51753,9.500982,2.635177,1.003638,0.010089,0.000271,-0.009892
51754,9.472549,2.634262,1.023397,0.002107,0.001300,-0.007577
51755,9.504136,2.612761,1.006549,0.000450,0.001243,-0.006182
51756,9.479363,2.587501,1.029490,0.000196,0.002839,-0.004751
51757,9.495803,2.639808,1.028016,0.005871,0.005014,-0.001287
51758,9.530185,2.572264,1.041020,0.009300,0.003603,-0.003985
51759,9.531890,2.615917,0.987389,0.014920,0.002870,0.002709
51760,9.511699,2.588098,0.986182,0.024361,0.006403,-0.002799
51761,9.550991,2.622848,1.015234,0.025738,0.006602,-0.001148
51762,9.558474,2.679806,1.061270,0.030205,0.009964,-0.002472
51763,9.534538,2.676384,1.057466,0.025681,0.011035,-0.004472
51764,9.483267,2.692861,1.046839,0.017953,0.010468,-0.003589
51765,9.483020,2.693535,1.047338,0.018235,0.010325,-0.006634
51766,9.483550,2.716317,1.020925,0.006888,0.005966,-0.013563
51767,9.494823,2.667320,1.003440,0.003457,0.007378,-0.010867
51768,9.469831,2.642697,1.026793,-0.000840,0.005398,-0.012681
51769,9.524897,2.626086,1.014526,0.005681,0.007149,-0.018352
51770,9.488980,2.673808,1.028947,0.008292,0.007620,-0.013528
