// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
11632,9.214204,-3.480871,0.021311,0.017567,-0.012913,0.003975
11633,9.201029,-3.460931,0.024849,0.012016,-0.007945,0.002525
11634,9.229412,-3.450310,0.062635,0.010647,-0.008382,0.003037
11635,9.229370,-3.450427,0.062302,0.010570,-0.006770,-0.000365
11636,9.228883,-3.468995,0.005334,0.009660,-0.003660,-0.000088
11637,9.227022,-3.501764,0.016112,0.013351,-0.004154,0.000262
11638,9.256181,-3.483804,0.020502,0.009660,-0.003661,-0.000089
11639,9.227085,-3.501598,0.016228,0.019243,-0.005710,-0.003580
11640,9.201063,-3.460846,0.024357,0.015594,-0.003472,-0.002279
11641,9.230310,-3.442645,0.029020,0.016509,-0.001482,-0.002654
11642,9.228537,-3.475179,0.040236,0.014684,-0.000363,-0.002003
11643,9.201338,-3.460106,0.025664,0.011413,0.001931,-0.004242
11644,9.201517,-3.459623,0.026412,0.007231,0.007335,-0.006206
11645,9.186381,-3.490049,-0.014565,0.008068,0.010935,-0.009985
11646,9.213451,-3.510706,0.035403,0.003801,0.007747,-0.015153
11647,9.168200,-3.572223,0.057680,0.014222,0.009296,-0.022424
11648,9.155484,-3.568504,0.006143,0.015551,0.007984,-0.024590
11649,9.143263,-3.546053,0.011459,0.022933,0.006998,-0.023891
11650,9.187001,-3.539106,-0.020580,0.029856,0.002466,-0.022952
11651,9.160485,-3.522302,-0.034620,0.033545,-0.003129,-0.022502
11652,9.206385,-3.464106,-0.021347,0.030388,-0.005802,-0.019587
11653,9.208136,-3.436697,0.001971,0.027232,-0.008474,-0.016670
11654,9.251410,-3.418517,0.059251,0.021220,-0.007058,-0.017886
11655,9.281177,-3.398720,0.063562,0.017033,-0.006762,-0.019751
11656,9.238500,-3.420491,0.040215,0.011059,-0.003599,-0.019315
11657,9.282512,-3.395069,0.063821,0.003219,0.004036,-0.019984
11658,9.240983,-3.390989,0.063993,-0.001882,0.007442,-0.021577
11659,9.239974,-3.421662,0.075600,-0.007440,0.012401,-0.023033
11660,9.239011,-3.452237,0.087490,-0.014825,0.018477,-0.023841
11661,9.194308,-3.525330,0.019648,-0.013838,0.023962,-0.020919
11662,9.195010,-3.523491,0.021276,-0.004587,0.018515,-0.019112
11663,9.154260,-3.512309,-0.011367,0.001690,0.017008,-0.026498
11664,9.140406,-3.522173,0.005089,0.012154,0.015208,-0.032018
11665,9.144860,-3.454082,-0.014833,0.007703,0.015593,-0.025285
11666,9.129817,-3.490115,-0.021437,0.000815,0.016757,-0.024476
11667,9.155956,-3.554133,-0.050488,0.002714,0.019135,-0.021825
11668,9.226219,-3.569073,-0.032858,0.013901,0.017825,-0.015708
11669,9.241690,-3.555016,-0.045486,0.017558,0.015590,-0.017006
11670,9.258266,-3.514876,-0.035397,0.018823,0.010781,-0.022473
11671,9.289992,-3.443294,0.016522,0.016613,0.011848,-0.018282
11672,9.290310,-3.429305,0.108790,0.012733,0.013783,-0.027107
11673,9.292918,-3.394007,0.099582,0.001198,0.016784,-0.028036
11674,9.267506,-3.350883,0.108964,-0.006722,0.020901,-0.032023
