// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
09615,9.598872,-5.461672,-0.461409,1.489985,-0.064164,-0.247332
09616,9.658333,-5.345892,-0.619048,1.921598,-0.047342,-0.249018
09617,9.724116,-4.879251,-0.681129,2.320257,-0.028576,-0.246212
09618,9.840238,-4.208609,-0.817018,2.621268,-0.031482,-0.223981
09619,10.050782,-3.797751,-1.031313,2.836601,-0.040040,-0.191934
09620,10.182694,-3.668498,-1.136150,3.021003,-0.049999,-0.180431
09621,10.329786,-3.631691,-1.208806,3.187728,-0.089044,-0.134073
09622,10.488075,-3.544951,-0.975436,3.328637,-0.129201,-0.072377
09623,10.629311,-3.463019,-0.801456,3.395290,-0.164044,0.012575
09624,10.857363,-3.397962,-0.751495,3.409984,-0.200708,0.116158
09625,11.109807,-3.119453,-0.737656,3.327265,-0.235948,0.279837
09626,11.058102,-3.091357,-1.008071,3.057101,-0.302092,0.485468
09627,11.092567,-3.349200,-1.320287,2.929738,-0.357441,0.595222
09628,11.146771,-3.843659,-1.382983,2.874461,-0.426479,0.736163
09629,11.377842,-4.352910,-1.343801,2.925747,-0.454139,0.871074
09630,11.628469,-4.763354,-1.678398,3.077195,-0.487623,1.014499
09631,11.885372,-4.704139,-1.826743,3.317783,-0.526020,1.138215
09632,12.076031,-4.554195,-2.260135,3.485044,-0.594048,1.267438
09633,12.388030,-4.138256,-2.278708,3.644273,-0.659231,1.389677
09634,12.489914,-3.468999,-1.962849,3.608214,-0.698491,1.552730
09635,12.315954,-3.132229,-1.866328,3.422631,-0.714363,1.697309
09636,12.355908,-3.211982,-1.467462,3.192182,-0.718707,1.802680
09637,12.418189,-3.394848,-1.321508,2.997341,-0.679712,1.908682
09638,12.333422,-3.540780,-1.029995,2.778496,-0.649634,1.996401
09639,12.142854,-4.117879,-0.798902,2.466204,-0.622447,2.120281
09640,11.919911,-5.123237,-0.793730,2.261649,-0.570090,2.262473
09641,11.660151,-5.730469,-0.418526,2.208924,-0.516298,2.391868
09642,11.502175,-6.030785,-0.144158,2.171786,-0.459348,2.498028
09643,11.288926,-6.271694,-0.046239,2.148725,-0.380633,2.592193
09644,10.984070,-6.397491,0.172650,2.061321,-0.292661,2.686993
09645,10.859549,-6.613021,0.579223,1.901541,-0.205774,2.818509
09646,10.745811,-7.030223,1.117424,1.601946,-0.097588,2.975349
09647,10.505217,-7.909709,1.191568,1.318590,0.008023,3.133436
09648,10.437643,-8.369926,1.416542,1.111096,0.136782,3.314188
09649,9.768798,-8.519532,1.208049,0.887731,0.245229,3.508374
09650,8.854417,-8.564896,1.291171,0.668745,0.349157,3.644136
09651,8.267613,-9.072545,1.152881,0.494126,0.424573,3.719335
09652,7.896447,-9.219359,1.210554,0.431318,0.521392,3.786812
09653,7.016913,-8.862645,0.752175,0.412174,0.562431,3.846940
09654,6.368699,-8.330624,1.283619,0.227451,0.616488,3.948115
09655,5.686372,-8.060401,1.393636,-0.075570,0.626407,4.025512
09656,5.159970,-8.792385,0.702467,-0.365666,0.593706,4.075432
09657,5.026725,-8.820705,1.163107,-0.417952,0.628390,4.171662
09658,4.089825,-8.103064,1.387536,-0.607709,0.592054,4.273206
09659,3.584705,-8.054242,1.124739,-0.895087,0.517655,4.398024
09660,3.020666,-7.704144,1.074725,-1.122259,0.441982,4.523904
09661,2.418444,-8.122489,0.264898,-1.330892,0.358798,4.710928
09662,1.074830,-7.821630,0.246976,-1.428832,0.297211,4.936126
09663,0.409544,-8.346517,-0.218502,-1.595705,0.085723,5.105364
09664,-0.105065,-8.913049,-0.752410,-1.566419,-0.045037,5.267951
09665,-0.388530,-8.942087,-0.615370,-1.500936,-0.198451,5.430829
09666,-0.579129,-8.700007,-0.523369,-1.406824,-0.317345,5.560112
09667,-1.495797,-7.915940,-0.225742,-1.303368,-0.417573,5.684437
09668,-2.187571,-7.615383,-0.390937,-1.332268,-0.569114,5.788557
09669,-2.564803,-7.681625,-0.494094,-1.284031,-0.701700,5.844433
09670,-3.166456,-7.231213,-0.373062,-1.157632,-0.798492,5.852329
09671,-4.042421,-6.823862,-0.743764,-1.051463,-0.935579,5.824160
09672,-4.683495,-6.344418,-1.099170,-0.897751,-1.082128,5.781445
09673,-5.184059,-5.540535,-1.014649,-0.854232,-1.228211,5.698755
09674,-5.711342,-5.103882,-0.765400,-0.957852,-1.348788,5.584686
09675,-6.422566,-5.379909,-0.778346,-1.141178,-1.458093,5.468895
09676,-6.824824,-5.972380,-0.575103,-1.223133,-1.567966,5.331141
09677,-7.072639,-6.402917,-0.196861,-1.156222,-1.640840,5.148293
09678,-7.325961,-6.896229,-0.132988,-1.035361,-1.668974,4.959488
09679,-7.675372,-7.154811,-0.148070,-0.792649,-1.700846,4.786805
09680,-7.862422,-6.651649,0.531379,-0.499927,-1.693407,4.577409
09681,-7.971392,-6.004994,0.685979,-0.281405,-1.604690,4.312937
09682,-8.292840,-5.567924,0.968394,-0.079068,-1.483026,4.025843
09683,-8.545628,-5.577936,1.157408,-0.053920,-1.376154,3.741656
09684,-8.650023,-6.085444,0.663900,-0.053846,-1.291551,3.466933
09685,-8.707507,-6.610085,0.500459,0.033142,-1.220910,3.184017
09686,-8.694903,-6.817957,0.483919,0.222386,-1.132097,2.904211
09687,-8.993338,-6.290967,0.318649,0.511966,-1.031377,2.614564
09688,-9.365976,-5.362796,0.584908,0.757494,-0.950029,2.269621
09689,-9.899231,-4.226204,0.690874,0.889780,-0.905067,1.883004
09690,-10.623377,-3.094338,1.190784,0.882894,-0.916613,1.467576
09691,-11.409007,-2.285858,1.901796,0.661679,-0.967701,1.071278
09692,-11.729294,-2.148083,2.423887,0.310923,-0.982803,0.707636
09693,-11.494633,-2.619833,2.680323,-0.046827,-0.895630,0.355108
09694,-10.908362,-3.465660,2.508819,-0.308180,-0.727182,0.026145
09695,-9.902413,-4.347719,1.834858,-0.383277,-0.543960,-0.300345
09696,-8.679620,-5.154829,1.209973,-0.359929,-0.363345,-0.578292
09697,-7.539438,-5.623603,0.845032,-0.362873,-0.200418,-0.748702
09698,-6.852421,-6.158717,0.519530,-0.336614,-0.089538,-0.904653
09699,-6.385728,-6.590896,0.212931,-0.204754,0.020289,-1.100485
09700,-6.212633,-6.740251,0.163454,0.079888,0.120562,-1.326602
09701,-5.940809,-6.473160,0.358787,0.424551,0.197414,-1.595342
09702,-5.587150,-6.352271,0.291015,0.783849,0.289477,-1.877798
09703,-5.221955,-6.336370,-0.147813,1.280511,0.407150,-2.155673
09704,-4.965201,-5.908968,-0.224162,1.744611,0.511887,-2.373984
09705,-4.390801,-5.322488,-0.178367,1.953548,0.563666,-2.553823
09706,-3.487797,-4.816568,-0.153296,1.940438,0.633412,-2.711370
09707,-2.878654,-4.445596,0.235942,1.740834,0.696080,-2.826235
09708,-2.314112,-4.525812,0.641774,1.457012,0.738255,-2.947477
09709,-2.012018,-5.224963,0.743820,1.301710,0.789944,-3.110004
09710,-1.820404,-6.204267,0.675482,1.479556,0.864960,-3.295905
09711,-1.667405,-6.622858,0.639914,1.927395,0.939156,-3.485366
09712,-1.680284,-6.303518,0.589716,2.497260,0.992099,-3.723979
09713,-1.902937,-5.378514,0.769346,2.952205,0.994258,-4.005079
09714,-2.020761,-4.442994,1.145506,3.144529,0.931426,-4.306407
09715,-1.578651,-4.324445,1.475817,3.108857,0.839838,-4.604990
09716,-0.748331,-5.293136,1.838032,3.024934,0.762931,-4.870697
09717,0.422081,-7.187825,1.118522,3.301109,0.696782,-5.172107
09718,1.529680,-8.723108,1.128199,4.025310,0.649372,-5.470401
09719,2.865750,-9.375786,1.687052,4.867971,0.535608,-5.697813
09720,4.505932,-9.519465,2.524516,5.600339,0.395177,-5.810791
09721,6.056141,-9.695308,3.839603,6.042518,0.227688,-5.717037
09722,7.346092,-10.440778,4.795425,6.217219,0.053559,-5.349267
09723,7.459069,-11.803495,5.103389,6.296196,-0.044067,-4.746739
09724,6.016225,-13.415755,5.144273,6.489296,-0.030769,-3.929950
09725,3.765953,-14.220757,4.837357,6.751784,0.116532,-2.977467
09726,1.752500,-12.829372,3.373482,7.028334,0.294603,-1.986918
09727,0.331799,-8.336346,2.923997,6.977856,0.339702,-1.138169
09728,-0.076809,-2.519276,4.095487,6.212094,0.223471,-0.635570
09729,-0.176807,1.713878,5.658664,4.754332,0.049508,-0.432803
09730,-0.190091,3.395737,7.204028,2.994133,-0.106858,-0.384612
09731,-0.149080,2.530275,8.306490,1.244644,-0.185008,-0.340238
09732,-0.121474,0.330866,9.098381,-0.178314,-0.242335,-0.181867
09733,0.573411,-2.304716,9.140008,-1.119897,-0.263006,-0.071716
09734,1.187661,-4.967350,8.791700,-1.498854,-0.249105,0.002292
09735,1.155324,-6.842358,8.195623,-1.415609,-0.249232,0.051480
09736,0.870507,-8.179859,7.601065,-1.098436,-0.265928,0.061190
09737,0.633727,-8.992876,7.390149,-0.612921,-0.271370,0.056580
09738,0.498490,-9.053994,7.696599,-0.060814,-0.256719,0.010585
09739,0.331707,-8.324608,8.305417,0.393959,-0.231607,-0.049525
09740,0.077119,-6.931606,8.758353,0.591908,-0.184600,-0.102202
09741,-0.241920,-5.523553,9.056385,0.478358,-0.162000,-0.140676
09742,-0.525805,-4.840862,8.962907,0.102571,-0.155346,-0.145892
09743,-0.528868,-5.061720,8.703433,-0.288286,-0.159673,-0.085683
09744,-0.364883,-5.390395,8.451446,-0.485913,-0.167354,-0.037871
09745,-0.246680,-5.362759,8.419930,-0.535690,-0.177607,-0.012953
09746,-0.113825,-5.284855,8.607764,-0.516832,-0.188227,-0.013729
09747,0.156767,-5.240261,8.865948,-0.493188,-0.191203,-0.010414
09748,0.281371,-5.253789,8.996295,-0.479353,-0.172803,-0.006322
09749,0.282398,-5.630610,8.938965,-0.477797,-0.165621,-0.000895
09750,0.392428,-5.953725,8.867112,-0.408835,-0.140243,-0.008844
09751,0.491171,-6.182631,8.787559,-0.328440,-0.104513,0.002306
09752,0.512905,-6.008951,8.841480,-0.286637,-0.072025,0.018914
09753,0.430999,-5.564950,8.905135,-0.348595,-0.042807,0.007811
09754,0.384917,-5.369477,9.012989,-0.516702,-0.010980,0.012483
09755,0.384544,-5.185577,9.014595,-0.786279,0.029277,0.027338
09756,0.327086,-4.988468,8.883347,-1.094529,0.067062,0.043930
09757,0.192622,-4.533227,8.811148,-1.429067,0.092375,0.038967
09758,0.120596,-3.938431,8.729486,-1.952947,0.117751,0.057386
09759,0.017329,-3.784568,8.212512,-2.632533,0.135722,0.098850
09760,-0.430956,-4.108704,7.728620,-3.337108,0.084960,0.150654
09761,-0.621201,-4.713698,7.377982,-4.081950,0.003058,0.221974
09762,-0.450256,-5.759421,7.035907,-4.809576,-0.035973,0.320233
09763,-0.197741,-6.752694,6.659173,-5.325913,-0.003643,0.374408
09764,-0.037255,-7.192443,5.928510,-5.672860,0.049349,0.413941
09765,-0.128333,-7.299365,4.814971,-5.878648,0.087865,0.408384
09766,-0.318834,-7.301318,3.779120,-6.112808,0.114274,0.398830
09767,-0.263366,-7.440710,3.057722,-6.477621,0.142093,0.458701
09768,-0.101753,-7.763054,2.226039,-6.987850,0.164935,0.545894
09769,-0.243035,-8.492496,1.102915,-7.450828,0.176759,0.615988
09770,-0.411841,-9.498600,-0.209789,-7.679907,0.145534,0.685590
09771,-0.716100,-10.109408,-0.925728,-7.657222,0.095546,0.733058
09772,-0.846666,-10.409478,-1.205747,-7.569790,0.042678,0.752612
09773,-0.836864,-10.351489,-1.724158,-7.415599,0.042605,0.768789
09774,-0.907809,-10.084970,-2.306034,-7.154044,0.055465,0.773811
09775,-0.739395,-9.460739,-3.053724,-7.047356,0.061641,0.793276
09776,-0.628196,-8.298438,-3.063130,-7.119739,0.064503,0.851242
09777,-0.613712,-8.058986,-4.219388,-7.324341,0.073720,0.854480
09778,-1.075212,-8.663503,-5.758800,-7.268288,0.065387,0.817307
09779,-1.418785,-8.622915,-5.326267,-7.034955,-0.009040,0.849824
09780,-1.011236,-8.558768,-6.013141,-6.768366,-0.011562,0.845765
09781,-1.422004,-8.320913,-6.660783,-6.381306,0.024145,0.826911
09782,-1.526749,-8.330772,-7.126562,-5.942521,-0.001578,0.815903
09783,-1.549024,-7.991639,-7.835925,-5.370262,-0.022986,0.786419
09784,-1.844743,-7.248674,-7.988650,-4.906128,-0.068428,0.762640
09785,-1.638280,-6.391944,-7.452459,-4.651861,-0.111015,0.775986
09786,-1.617394,-6.171900,-7.851205,-4.471032,-0.084063,0.745892
09787,-1.853815,-6.319990,-8.097618,-4.187139,-0.059575,0.672740
09788,-2.183855,-6.327756,-8.305474,-3.763957,-0.096171,0.621364
09789,-2.188433,-5.922188,-8.265018,-3.378987,-0.116889,0.564621
09790,-2.053710,-5.920306,-8.362310,-3.040581,-0.077302,0.506750
09791,-1.990404,-6.239883,-8.533433,-2.631965,-0.042168,0.421772
09792,-2.354984,-6.243497,-8.771172,-2.178403,-0.042196,0.344516
09793,-2.329086,-6.219754,-8.688208,-1.724274,-0.074457,0.257253
09794,-2.204486,-6.155311,-8.733820,-1.229900,-0.067448,0.166295
09795,-2.221557,-6.166492,-8.894306,-0.698891,-0.047707,0.067291
09796,-2.270230,-6.209817,-8.839783,-0.158255,-0.056370,-0.029329
09797,-2.205512,-6.186628,-8.798336,0.382023,-0.056600,-0.117172
09798,-2.105409,-6.183172,-8.828867,0.909916,-0.013106,-0.196084
09799,-2.233740,-6.390918,-8.927910,1.456261,0.021330,-0.284658
09800,-2.457041,-6.638191,-9.095134,2.028876,0.018606,-0.370408
09801,-2.435689,-6.828317,-9.092514,2.605722,0.000483,-0.461638
09802,-2.385754,-7.113963,-9.104075,3.148339,-0.002492,-0.550636
09803,-2.301445,-7.533797,-8.915089,3.707065,-0.010505,-0.648694
09804,-2.223350,-8.114901,-8.885736,4.301557,0.000785,-0.763072
09805,-2.233528,-8.828156,-8.702027,4.956433,-0.008684,-0.863526
09806,-2.332243,-9.473080,-8.792487,5.661641,-0.047269,-0.951600
09807,-2.466257,-9.986979,-8.746585,6.361969,-0.117267,-1.027435
09808,-2.423908,-10.287563,-8.421499,7.030150,-0.220079,-1.081609
09809,-2.154772,-10.271112,-8.465931,7.625659,-0.284736,-1.108306
09810,-2.219862,-9.078150,-7.675542,8.039555,-0.389897,-1.094012
09811,-1.863165,-7.837023,-6.723745,8.046062,-0.462565,-1.087153
09812,-1.644005,-7.300895,-6.219492,7.826829,-0.494689,-1.106675
09813,-1.753983,-7.158792,-5.263395,7.508870,-0.588868,-1.098909
09814,-1.639609,-7.428481,-5.025904,7.163871,-0.691441,-1.102553
09815,-1.628746,-6.942941,-3.568825,6.792608,-0.865355,-1.039546
09816,-1.360644,-6.549866,-2.867857,6.224766,-0.997403,-0.992065
09817,-1.147523,-6.578859,-2.387661,5.766643,-1.132211,-1.058226
09818,-1.293439,-6.994525,-2.443915,5.523356,-1.272778,-1.161605
09819,-1.127081,-7.455649,-2.196645,5.518255,-1.457308,-1.248424
09820,-0.188293,-7.567408,-1.344008,5.482889,-1.546492,-1.195149
09821,0.355169,-7.148383,0.060447,5.292621,-1.558661,-1.079641
09822,0.998399,-6.397141,1.881996,4.877023,-1.484030,-0.901001
09823,1.340569,-5.651861,3.030148,4.329203,-1.311721,-0.741178
09824,0.999074,-5.118539,3.774482,3.663643,-1.145716,-0.601320
09825,0.702556,-5.105734,4.425355,2.902168,-1.015059,-0.505733
09826,0.464157,-5.777441,4.534940,2.243232,-0.849436,-0.459175
09827,0.016338,-7.230048,4.382786,1.870080,-0.648902,-0.474440
