// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
57832,9.759065,1.128447,0.548360,0.061261,0.002985,-0.041005
57833,9.747633,1.190557,0.535420,0.076670,-0.000322,-0.045822
57834,9.783488,1.241050,0.521397,0.086345,0.000618,-0.045324
57835,9.759485,1.254658,0.486527,0.087803,0.004479,-0.041134
57836,9.762811,1.271090,0.539075,0.081849,0.006750,-0.036669
57837,9.770981,1.310770,0.507397,0.075566,0.009820,-0.023533
57838,9.790479,1.295063,0.454578,0.059904,0.020011,-0.020575
57839,9.757897,1.266409,0.487933,0.056485,0.025990,-0.009303
57840,9.769808,1.313332,0.545421,0.055874,0.021234,-0.009219
57841,9.761266,1.280877,0.543863,0.050569,0.019392,-0.003817
57842,9.761151,1.281226,0.545108,0.040529,0.018072,0.001745
57843,9.761345,1.284094,0.512016,0.026111,0.017653,0.001383
57844,9.761383,1.283530,0.512692,0.016371,0.001783,0.012397
57845,9.824295,1.230890,0.509104,-0.004357,0.002035,0.020047
57846,9.835824,1.174223,0.487797,-0.011347,0.004413,0.021981
57847,9.827904,1.141763,0.451898,-0.013914,0.019615,0.015736
57848,9.819321,1.104019,0.485676,-0.014760,0.021729,0.013992
57849,9.838445,1.075702,0.537440,-0.012267,0.012997,0.014056
57850,9.881895,1.047031,0.519135,-0.007691,0.002817,0.016674
57851,9.901629,1.024599,0.501007,0.003540,0.012471,0.008322
57852,9.877589,1.027407,0.537209,0.017026,0.020269,-0.001807
57853,9.853778,1.033680,0.539177,0.034934,0.019494,-0.002412
57854,9.790971,1.085501,0.543997,0.043969,0.013273,-0.006949
57855,9.810748,1.068530,0.491602,0.053142,0.015510,-0.016845
57856,9.791143,1.094685,0.476704,0.070815,0.011561,-0.020865
57857,9.846634,1.118294,0.479268,0.072716,0.010544,-0.014002
57858,9.882802,1.165449,0.466753,0.063223,0.021667,-0.012173
57859,9.822781,1.130124,0.448111,0.060477,0.037289,-0.014137
57860,9.782613,1.171962,0.523910,0.053359,0.053803,-0.022041
57861,9.695664,1.231441,0.531592,0.048638,0.044260,-0.023433
57862,9.738232,1.204159,0.549547,0.045428,0.018428,-0.023657
57863,9.809318,1.191976,0.515214,0.052626,0.006773,-0.028874
57864,9.857040,1.188995,0.446653,0.057035,0.019603,-0.037127
57865,9.859955,1.206147,0.501724,0.056066,0.037049,-0.046171
57866,9.811357,1.220312,0.539626,0.053128,0.040605,-0.050509
57867,9.774234,1.180053,0.555924,0.053152,0.030542,-0.052040
57868,9.734728,1.233158,0.526208,0.053180,0.020476,-0.053565
57869,9.762442,1.253572,0.476452,0.057929,0.008695,-0.057819
57870,9.836700,1.257546,0.494559,0.059987,0.006072,-0.057856
57871,9.875540,1.322232,0.534259,0.057644,0.015603,-0.059768
57872,9.882733,1.362040,0.538864,0.044094,0.040424,-0.063394
57873,9.794147,1.318979,0.538386,0.026907,0.055550,-0.065789
57874,9.741265,1.319053,0.558962,0.020419,0.041737,-0.065231
57875,9.752039,1.270849,0.541129,0.014126,0.028702,-0.066429
57876,9.743969,1.248762,0.472518,0.019236,0.032212,-0.064987
57877,9.746727,1.271257,0.493325,0.031766,0.022450,-0.075637
57878,9.745619,1.278994,0.495217,0.039506,0.025694,-0.079509
57879,9.724443,1.308269,0.515647,0.039484,0.024504,-0.082121
57880,9.651950,1.333516,0.517784,0.030382,0.027066,-0.085380
57881,9.662819,1.393471,0.506429,0.021944,0.025525,-0.087682
57882,9.661504,1.401874,0.508324,0.001699,0.017119,-0.085016
57883,9.754863,1.384768,0.543890,-0.019462,0.004765,-0.073491
57884,9.767184,1.341673,0.455351,-0.042737,0.012366,-0.068542
57885,9.778020,1.290568,0.471035,-0.053234,0.019480,-0.057935
57886,9.777493,1.190266,0.465790,-0.048715,0.013402,-0.066671
57887,9.772496,1.178411,0.483381,-0.051924,0.007688,-0.063815
57888,9.815167,1.155185,0.500127,-0.043762,-0.002392,-0.059488
57889,9.827459,1.109027,0.444786,-0.031672,-0.003577,-0.065127
57890,9.845845,1.089427,0.495169,-0.009743,-0.000504,-0.066853
57891,9.824816,1.117487,0.514125,0.012231,0.009845,-0.076630
57892,9.830512,1.153503,0.586147,0.033247,0.007773,-0.072081
57893,9.738522,1.200432,0.570587,0.056036,0.009976,-0.069458
57894,9.765021,1.217466,0.588993,0.076684,0.005141,-0.063958
57895,9.752602,1.283862,0.540469,0.094719,0.004226,-0.068977
57896,9.743054,1.363411,0.544860,0.110839,0.012763,-0.062852
57897,9.749725,1.403461,0.547002,0.114137,0.013280,-0.056929
57898,9.791340,1.486380,0.570290,0.109389,0.021009,-0.041307
57899,9.747059,1.519176,0.555000,0.101319,0.028252,-0.031663
57900,9.730754,1.563567,0.524196,0.095169,0.030876,-0.022817
57901,9.718023,1.622893,0.511684,0.086033,0.026120,-0.017995
57902,9.690300,1.614496,0.495294,0.066087,0.041322,-0.015149
57903,9.589834,1.617474,0.549276,0.049821,0.056169,-0.015053
57904,9.569434,1.643057,0.537091,0.033532,0.041966,-0.029755
57905,9.687320,1.617128,0.574741,0.008290,0.020152,-0.025483
57906,9.795686,1.545966,0.522300,-0.021463,0.018904,-0.028729
57907,9.852798,1.470820,0.453048,-0.039786,0.048421,-0.050069
57908,9.795098,1.449634,0.525988,-0.045162,0.072303,-0.080480
57909,9.717112,1.454245,0.583209,-0.055992,0.058408,-0.107718
57910,9.692485,1.361192,0.615770,-0.068961,0.026574,-0.108020
57911,9.776396,1.303627,0.562941,-0.083468,-0.012376,-0.115939
57912,9.924787,1.197638,0.506079,-0.110286,-0.019537,-0.120138
57913,10.028240,1.115678,0.502496,-0.146648,-0.000424,-0.117008
57914,10.097471,0.989367,0.480351,-0.184473,0.026902,-0.115893
57915,10.136631,0.836472,0.422921,-0.190927,0.039647,-0.105734
57916,10.141128,0.756908,0.440664,-0.160948,0.066970,-0.125263
57917,10.141670,0.660675,0.476692,-0.154148,0.095144,-0.133529
57918,10.180093,0.504666,0.490858,-0.125618,0.057423,-0.114976
57919,10.227708,0.386138,0.434739,-0.097744,0.022572,-0.099926
