// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
65004,9.525787,1.483266,0.278786,0.094670,0.021539,-0.082197
65005,9.539300,1.517292,0.297902,0.144747,0.033464,-0.095867
65006,9.507059,1.698855,0.380937,0.184214,0.040282,-0.112079
65007,9.459194,1.857270,0.444449,0.197276,0.028675,-0.134585
65008,9.614056,1.953818,0.593794,0.194545,0.026705,-0.146562
65009,9.823805,2.025159,0.505756,0.199945,0.036310,-0.153590
65010,9.972206,2.146351,0.499880,0.201715,0.061836,-0.174227
65011,9.992429,2.387133,0.500056,0.196169,0.080546,-0.201835
65012,9.975945,2.702087,0.462338,0.168960,0.098489,-0.244284
65013,9.954534,3.069283,0.425064,0.093810,0.109077,-0.280473
65014,9.827391,3.313498,0.454566,-0.050126,0.111704,-0.314199
65015,9.745131,3.269898,0.534025,-0.233099,0.092003,-0.349520
65016,9.626935,3.028565,0.564239,-0.398243,0.047981,-0.377869
65017,9.578853,2.739591,0.442782,-0.514659,-0.004622,-0.384859
65018,9.498744,2.497605,0.278537,-0.578305,-0.036513,-0.383928
65019,9.426711,2.306610,0.196485,-0.595846,-0.068708,-0.377062
65020,9.423668,2.144867,0.305856,-0.599413,-0.103572,-0.359062
65021,9.430312,2.005137,0.497733,-0.599903,-0.131937,-0.345601
65022,9.458579,1.888229,0.635447,-0.614800,-0.157637,-0.326995
65023,9.517109,1.722724,0.684352,-0.617935,-0.173157,-0.306322
65024,9.545176,1.628221,0.625030,-0.603857,-0.184677,-0.287123
65025,9.472665,1.619440,0.644926,-0.575135,-0.187297,-0.266846
65026,9.353358,1.606045,0.607228,-0.538735,-0.212220,-0.251015
65027,9.346152,1.674044,0.597253,-0.514866,-0.224699,-0.232254
65028,9.350967,1.618316,0.580951,-0.483345,-0.233484,-0.196796
65029,9.417807,1.560094,0.671708,-0.460086,-0.229664,-0.159856
65030,9.442913,1.447309,0.703204,-0.429069,-0.230295,-0.116042
65031,9.477558,1.430286,0.723029,-0.364620,-0.222309,-0.073210
65032,9.546437,1.530080,0.840070,-0.324970,-0.207508,-0.038980
65033,9.643187,1.612276,0.838220,-0.307623,-0.182620,-0.006024
65034,9.701586,1.683773,0.905974,-0.283246,-0.137419,0.009926
65035,9.649586,1.727747,0.847342,-0.269831,-0.105721,0.011882
65036,9.700127,1.782058,0.798254,-0.257539,-0.083787,0.009232
65037,9.737071,1.785688,0.763725,-0.215798,-0.053310,0.003804
65038,9.688473,1.925745,0.772936,-0.186419,-0.022069,0.004737
65039,9.627002,1.986873,0.829028,-0.205634,-0.013643,0.007273
65040,9.745423,1.933112,0.696029,-0.245301,-0.003569,0.020865
65041,9.820945,1.916791,0.635732,-0.213280,0.033804,0.047201
65042,9.782586,1.955154,0.646153,-0.205080,0.056727,0.064263
65043,9.805025,2.011321,0.507602,-0.218048,0.069967,0.084199
65044,9.799925,2.072998,0.265681,-0.247355,0.080447,0.103694
65045,9.836109,2.091700,0.249816,-0.300863,0.084227,0.127207
65046,9.870148,2.019372,0.138549,-0.334603,0.078213,0.136416
65047,9.962436,1.906712,0.234858,-0.366427,0.069132,0.141501
65048,10.113487,1.584846,0.242091,-0.382660,0.078518,0.160924
65049,10.101585,1.346587,0.230015,-0.339138,0.088767,0.174337
65050,10.301949,1.108103,0.387691,-0.270239,0.104514,0.173622
