// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter	Acc_X	Acc_Y	Acc_Z	VelInc_X	VelInc_Y	VelInc_Z	Roll	Pitch	Yaw
08244	0.079964	0.006665	9.958609	0.000804	0.000066	0.099586	0.038182	-0.462486	-18.836695
08245	0.061613	-0.007554	9.949308	0.000620	-0.000075	0.099493	-0.003356	-0.412467	-18.784123
08246	0.060788	-0.007552	9.949313	0.000612	-0.000076	0.099493	-0.003026	-0.407609	-18.788734
08247	0.092471	-0.020076	9.907297	0.000929	-0.000201	0.099073	-0.005016	-0.404019	-18.796315
08248	0.091173	-0.012754	9.961410	0.000915	-0.000128	0.099614	-0.003950	-0.400792	-18.801723
08249	0.058664	-0.007380	9.949326	0.000590	-0.000074	0.099493	-0.013672	-0.400219	-18.811037
08250	0.072332	-0.026967	9.952107	0.000727	-0.000269	0.099521	-0.014153	-0.395637	-18.815829
08251	0.088953	-0.012771	9.961430	0.000894	-0.000128	0.099614	-0.019880	-0.391802	-18.823260
08252	0.062105	-0.037760	9.920408	0.000625	-0.000377	0.099204	-0.020180	-0.387153	-18.828958
08253	0.082006	0.010190	9.936270	0.000823	0.000102	0.099363	-0.024068	-0.384607	-18.835421
08254	0.069710	-0.034278	9.898024	0.000701	-0.000343	0.098980	-0.023560	-0.379683	-18.840939
08255	0.085657	-0.012770	9.961459	0.000861	-0.000128	0.099615	-0.030475	-0.376311	-18.847940
08256	0.064235	-0.060798	9.945603	0.000646	-0.000608	0.099456	-0.030680	-0.372579	-18.852680
08257	0.084035	-0.012849	9.961472	0.000845	-0.000128	0.099615	-0.033895	-0.367967	-18.860436
08258	0.069399	-0.000588	9.904587	0.000698	-0.000006	0.099046	-0.033751	-0.363178	-18.864147
08259	0.082378	-0.012819	9.961486	0.000827	-0.000129	0.099615	-0.040418	-0.361739	-18.871054
08260	0.073177	-0.023657	9.929775	0.000736	-0.000235	0.099298	-0.041989	-0.356585	-18.876085
08261	0.080810	-0.013054	9.961499	0.000811	-0.000131	0.099615	-0.044112	-0.353798	-18.882432
08262	0.080070	-0.013065	9.961505	0.000805	-0.000131	0.099615	-0.044234	-0.349083	-18.889038
08263	0.061671	-0.027305	9.952178	0.000622	-0.000273	0.099522	-0.041110	-0.342828	-18.892755
08264	0.060744	-0.027241	9.952184	0.000612	-0.000273	0.099522	-0.040606	-0.337905	-18.898276
08265	0.072103	0.009978	9.936347	0.000725	0.000101	0.099363	-0.051409	-0.336428	-18.908538
08266	0.085054	-0.002251	9.993253	0.000854	-0.000024	0.099933	-0.049821	-0.332078	-18.913826
08267	0.084880	-0.009325	9.939155	0.000854	-0.000093	0.099392	-0.051728	-0.327605	-18.920164
08268	0.051985	-0.004040	9.927024	0.000525	-0.000041	0.099270	-0.051504	-0.321832	-18.925741
08269	0.082975	-0.009288	9.939172	0.000834	-0.000093	0.099392	-0.059917	-0.321377	-18.935563
08270	0.067725	0.010232	9.936377	0.000682	0.000102	0.099364	-0.059420	-0.316457	-18.941089
08271	0.081333	-0.009296	9.939185	0.000817	-0.000092	0.099392	-0.066444	-0.313350	-18.947092
08272	0.077473	-0.043088	9.932648	0.000779	-0.000431	0.099326	-0.065947	-0.308429	-18.952619
08273	0.062210	-0.023534	9.929850	0.000626	-0.000235	0.099298	-0.068948	-0.308619	-18.958205
08274	0.104781	0.015694	9.980281	0.001051	0.000158	0.099803	-0.069789	-0.305101	-18.964036
08275	0.037256	-0.007732	9.949429	0.000377	-0.000077	0.099494	-0.076107	-0.303414	-18.972200
08276	0.082773	-0.032517	9.964399	0.000832	-0.000325	0.099644	-0.076425	-0.298767	-18.977910
08277	0.076629	-0.009501	9.939222	0.000771	-0.000095	0.099392	-0.084735	-0.295012	-18.987534
08278	0.075840	-0.009600	9.939228	0.000762	-0.000095	0.099392	-0.086240	-0.290766	-18.991622
08279	0.089497	-0.029227	9.942044	0.000899	-0.000292	0.099420	-0.093535	-0.289501	-19.002469
08280	0.083310	-0.006321	9.916867	0.000838	-0.000062	0.099169	-0.094700	-0.284202	-19.005532
08281	0.056005	-0.024127	9.929886	0.000563	-0.000242	0.099299	-0.099827	-0.278263	-19.015331
08282	0.087167	-0.029378	9.942065	0.000876	-0.000292	0.099421	-0.101453	-0.273067	-19.020386
08283	0.050564	-0.050912	9.977450	0.000510	-0.000508	0.099774	-0.107129	-0.269457	-19.028783
08284	0.070846	-0.010155	9.939265	0.000713	-0.000102	0.099393	-0.107147	-0.263692	-19.033478
08285	0.043461	-0.027981	9.952273	0.000438	-0.000280	0.099523	-0.111836	-0.264566	-19.040983
08286	0.092055	-0.018920	9.973830	0.000925	-0.000189	0.099738	-0.112019	-0.259807	-19.047614
08287	0.054911	0.002083	9.882357	0.000553	0.000020	0.098824	-0.120949	-0.265016	-19.057208
08288	0.099805	-0.015230	9.951476	0.001001	-0.000153	0.099515	-0.119976	-0.261797	-19.062662
08289	0.076311	-0.006514	9.916924	0.000768	-0.000064	0.099169	-0.126241	-0.253679	-19.070570
08290	0.038926	-0.020749	10.006393	0.000393	-0.000207	0.100064	-0.126461	-0.248917	-19.077218
08291	0.073859	0.000650	9.971040	0.000742	0.000006	0.099710	-0.130278	-0.251171	-19.085063
08292	0.082286	0.004305	9.948681	0.000826	0.000042	0.099487	-0.129587	-0.247079	-19.090573
08293	0.060286	-0.036488	9.986864	0.000607	-0.000365	0.099869	-0.135800	-0.248126	-19.101139
08294	0.080780	0.004361	9.948694	0.000811	0.000043	0.099487	-0.135472	-0.244200	-19.104845
08295	0.062560	-0.010021	9.939320	0.000630	-0.000099	0.099393	-0.139518	-0.240384	-19.114831
08296	0.079157	0.004281	9.948707	0.000795	0.000042	0.099487	-0.138207	-0.236087	-19.119260
08297	0.070123	-0.006456	9.916969	0.000705	-0.000064	0.099170	-0.143025	-0.228320	-19.131212
08298	0.065523	-0.032885	9.964527	0.000659	-0.000331	0.099645	-0.140744	-0.223593	-19.136361
08299	0.059354	-0.009810	9.939340	0.000598	-0.000097	0.099393	-0.149447	-0.220798	-19.149427
08300	0.090308	-0.015153	9.951566	0.000908	-0.000151	0.099516	-0.150200	-0.215191	-19.155253
08301	0.089433	-0.015243	9.951574	0.000898	-0.000152	0.099516	-0.142234	-0.211371	-19.155416
08302	0.047584	-0.013630	9.961712	0.000480	-0.000137	0.099617	-0.141768	-0.206296	-19.160939
08303	0.087727	-0.015313	9.951589	0.000882	-0.000152	0.099516	-0.144944	-0.206561	-19.170515
08304	0.077795	-0.018742	9.973952	0.000781	-0.000190	0.099739	-0.142314	-0.202647	-19.175570
08305	0.068687	-0.029424	9.942209	0.000692	-0.000293	0.099422	-0.140937	-0.198399	-19.181234
08306	0.079925	0.007716	9.926416	0.000802	0.000077	0.099264	-0.141304	-0.194571	-19.185043
08307	0.067180	-0.029582	9.942219	0.000675	-0.000296	0.099422	-0.136718	-0.193818	-19.188390
08308	0.052107	-0.010070	9.939381	0.000524	-0.000101	0.099394	-0.136550	-0.190760	-19.193012
08309	0.059606	0.000697	9.971136	0.000601	0.000007	0.099711	-0.132855	-0.186247	-19.195581
08310	0.079408	-0.048947	9.945080	0.000798	-0.000490	0.099451	-0.132188	-0.181103	-19.201002
08311	0.081645	-0.015122	9.951641	0.000819	-0.000151	0.099516	-0.119792	-0.180862	-19.196508
08312	0.057280	0.000718	9.971150	0.000578	0.000008	0.099711	-0.120194	-0.175192	-19.201168
08313	0.074752	0.007657	9.926457	0.000751	0.000078	0.099265	-0.117912	-0.172423	-19.205731
08314	0.052818	-0.033334	9.964601	0.000531	-0.000333	0.099646	-0.117688	-0.168412	-19.210243
08315	0.073350	0.007415	9.926467	0.000737	0.000075	0.099265	-0.112934	-0.171932	-19.212907
08316	0.054239	0.000169	9.971167	0.000546	0.000002	0.099712	-0.112706	-0.167066	-19.218344
08317	0.099768	-0.024380	9.986286	0.001002	-0.000244	0.099863	-0.109249	-0.167990	-19.222842
08318	0.061722	0.003814	9.948830	0.000622	0.000038	0.099488	-0.107992	-0.162804	-19.228988
