// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
55180,9.093317,-3.689842,-0.068155,0.002115,0.005315,-0.009626
55181,9.085864,-3.667666,-0.059007,-0.001161,0.005261,-0.005725
55182,9.119637,-3.698762,-0.087983,-0.005655,0.002613,-0.006371
55183,9.094985,-3.728552,-0.103873,-0.002181,0.007839,-0.001698
55184,9.117338,-3.752357,-0.092450,-0.000467,0.006306,-0.004790
55185,9.095245,-3.727947,-0.102817,0.004665,0.002145,-0.002030
55186,9.106213,-3.744328,-0.051556,0.008445,0.001130,-0.001926
55187,9.099560,-3.762996,-0.079282,0.009988,0.000100,-0.002340
55188,9.124439,-3.732641,-0.062799,0.009969,-0.002518,-0.001946
55189,9.116793,-3.710917,-0.053950,0.014614,-0.002990,-0.003583
55190,9.134995,-3.699280,-0.065449,0.018411,-0.001387,-0.003869
55191,9.131633,-3.712656,-0.033645,0.011871,-0.001936,-0.008105
55192,9.135432,-3.698219,-0.064499,0.011564,0.004307,-0.003539
55193,9.143449,-3.719055,-0.072468,0.010518,0.001208,-0.010759
55194,9.095760,-3.683919,-0.062301,0.008109,0.001696,-0.008603
55195,9.103842,-3.704606,-0.070354,0.008126,0.004314,-0.008996
55196,9.144536,-3.716414,-0.070778,0.006061,0.003794,-0.012192
55197,9.104716,-3.702480,-0.069093,0.005383,0.005366,-0.013519
55198,9.112920,-3.722892,-0.077108,0.003651,0.004282,-0.010035
55199,9.080894,-3.730386,-0.084014,0.003334,0.007464,-0.017107
55200,9.114110,-3.720011,-0.075591,0.009519,0.005965,-0.019152
55201,9.096772,-3.729590,-0.062641,0.007991,0.009613,-0.019131
55202,9.060769,-3.701209,-0.091881,0.005753,0.009596,-0.019650
55203,9.077103,-3.742334,-0.107937,0.008852,0.010157,-0.020867
55204,9.084624,-3.721408,-0.078762,0.006770,0.007017,-0.023666
55205,9.085467,-3.719373,-0.077710,0.010390,0.009130,-0.021274
55206,9.097665,-3.724989,-0.116728,0.007444,0.005447,-0.022333
55207,9.101658,-3.717754,-0.056221,0.012963,0.008142,-0.026093
55208,9.128447,-3.725629,-0.075674,0.006760,0.007019,-0.023654
55209,9.121526,-3.701968,-0.066222,0.009844,0.004964,-0.024475
55210,9.132627,-3.666982,-0.068667,0.005212,0.008048,-0.023238
55211,9.116653,-3.716603,-0.092398,0.005222,0.010667,-0.023629
55212,9.127717,-3.681689,-0.094633,0.002120,0.010104,-0.022410
55213,9.106944,-3.704871,-0.050337,-0.001662,0.011112,-0.022518
55214,9.119175,-3.710491,-0.089129,-0.001812,0.016853,-0.020631
55215,9.085126,-3.771769,-0.100638,0.001954,0.013230,-0.020123
55216,9.102681,-3.718130,-0.074613,0.005040,0.011177,-0.020942
55217,9.064451,-3.743901,-0.108990,0.014323,0.010255,-0.024189
55218,9.035195,-3.696238,-0.109955,0.020496,0.006150,-0.025827
55219,9.068587,-3.685167,-0.101172,0.012753,0.006045,-0.022986
55220,9.069346,-3.683331,-0.100001,0.007093,0.011703,-0.017740
55221,9.127473,-3.777657,-0.153378,0.009327,0.011726,-0.017214
55222,9.128036,-3.776352,-0.152028,0.014299,0.008089,-0.011776
55223,9.139460,-3.791391,-0.099817,0.018419,0.006077,-0.016998
55224,9.164788,-3.759221,-0.082577,0.021839,0.000399,-0.022757
55225,9.159924,-3.681459,-0.067748,0.019445,0.006118,-0.021396
55226,9.092182,-3.711278,-0.050349,0.020125,0.004550,-0.020065
55227,9.072753,-3.631260,-0.054993,0.020122,0.004551,-0.020062
55228,9.081431,-3.650842,-0.062353,0.015656,0.007121,-0.021502
55229,9.067702,-3.646645,-0.080757,0.003287,0.010083,-0.017450
55230,9.065491,-3.650050,-0.139252,-0.003242,0.012121,-0.022084
55231,9.074862,-3.719045,-0.092453,-0.004616,0.013094,-0.012347
55232,9.076795,-3.758342,-0.127958,-0.001523,0.013664,-0.013554
55233,9.085322,-3.778413,-0.135609,0.008597,0.002826,-0.016944
55234,9.106869,-3.760342,-0.087283,0.020623,0.000881,-0.015655
55235,9.121918,-3.761294,-0.066942,0.025255,-0.002190,-0.016873
55236,9.150646,-3.715432,-0.081439,0.026111,-0.001644,-0.018602
55237,9.146929,-3.678531,-0.103515,0.023018,0.000404,-0.017785
55238,9.161883,-3.679678,-0.082778,0.015644,0.010205,-0.009883
55239,9.104007,-3.677346,-0.068472,0.013922,0.011277,-0.018798
55240,9.148575,-3.674548,-0.099497,0.006017,0.009046,-0.012918
55241,9.113097,-3.696076,-0.074769,0.011507,0.003902,-0.015471
55242,9.115737,-3.640316,-0.068823,0.009274,0.006493,-0.016391
55243,9.065945,-3.659179,-0.063492,0.006355,0.010652,-0.018638
55244,9.068055,-3.698322,-0.098873,0.002922,0.011094,-0.012103
55245,9.120430,-3.717450,-0.138493,-0.000340,0.013647,-0.008628
55246,9.121668,-3.765547,-0.082720,0.003609,0.014764,-0.011562
55247,9.104989,-3.767083,-0.160290,0.016999,0.009239,-0.019588
