// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Roll,Pitch,Yaw
59450,,9.349916,-3.166405,1.089643,-0.002376,0.008532,-0.013245,-70.880236,-70.533615,-2.981577
59451,,9.334798,-3.140284,1.072070,0.001776,0.009479,-0.015592,-70.856582,-70.540230,-3.005605
59452,,9.350607,-3.163710,1.091538,0.005508,0.010782,-0.012433,-70.830291,-70.544932,-3.030142
59453,,9.352080,-3.126294,1.140305,0.010037,0.008228,-0.013042,-70.805313,-70.550253,-3.050572
59454,,9.330634,-3.159776,1.080762,0.005109,0.012710,-0.010548,-70.777279,-70.553564,-3.077198
59455,,9.356410,-3.136979,1.089740,0.008692,0.006914,-0.008699,-70.757061,-70.556559,-3.093358
59456,,9.336029,-3.134645,1.077842,0.006775,0.014326,-0.008026,-70.726931,-70.558193,-3.121194
59457,,9.315610,-3.132407,1.066024,0.008293,0.008842,-0.006814,-70.705258,-70.559657,-3.139171
59458,,9.307430,-3.137366,1.034065,0.006228,0.009153,-0.007452,-70.683666,-70.561953,-3.158285
59459,,9.365234,-3.128074,1.127494,0.013005,0.008012,-0.007612,-70.661525,-70.563825,-3.174060
59460,,9.324362,-3.124253,1.102275,0.012081,0.006340,-0.008778,-70.640166,-70.567367,-3.189369
59461,,9.341837,-3.107093,1.078267,0.017158,0.008957,-0.009958,-70.612277,-70.570099,-3.208638
59462,,9.288760,-3.096064,1.072949,0.012641,0.004563,-0.007229,-70.594143,-70.573138,-3.220187
59463,,9.314607,-3.073101,1.081505,0.012141,0.002530,-0.013901,-70.577404,-70.579284,-3.230747
59464,,9.294384,-3.070587,1.068835,0.003435,0.002567,-0.007326,-70.567541,-70.582753,-3.239118
59465,,9.327437,-3.078243,1.062231,-0.001959,-0.000361,-0.013009,-70.564044,-70.589361,-3.244243
59466,,9.358794,-3.126583,1.099107,-0.004425,0.001880,-0.011764,-70.557328,-70.595359,-3.254051
59467,,9.394135,-3.187703,1.083164,-0.001195,0.001154,-0.015275,-70.550420,-70.603052,-3.262378
59468,,9.385652,-3.196552,1.141696,0.010658,0.002634,-0.016613,-70.531265,-70.611525,-3.276211
59469,,9.370682,-3.169955,1.124115,0.016498,0.006767,-0.020059,-70.503643,-70.619575,-3.295795
59470,,9.352450,-3.125693,1.068446,0.022512,0.004111,-0.017950,-70.474670,-70.628485,-3.312833
59471,,9.352973,-3.123662,1.069801,0.025704,0.008760,-0.019960,-70.439414,-70.635210,-3.335053
59472,,9.318457,-3.059346,1.087323,0.020408,0.009793,-0.017089,-70.403338,-70.642547,-3.360896
59473,,9.332111,-3.028645,1.116355,0.004022,0.010861,-0.015149,-70.380846,-70.647079,-3.382667
59474,,9.314176,-3.079689,1.094784,-0.008011,0.007656,-0.013621,-70.366223,-70.652957,-3.403025
59475,,9.330021,-3.103245,1.113680,-0.014790,0.008791,-0.013465,-70.357579,-70.656975,-3.421365
59476,,9.324354,-3.161627,1.071879,-0.013285,0.010254,-0.014374,-70.341560,-70.662747,-3.446397
59477,,9.341960,-3.144334,1.047007,-0.011761,0.004775,-0.013158,-70.339013,-70.666696,-3.456272
