// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Roll,Pitch,Yaw
36485,,9.812070,-1.078213,0.332111,0.008456,0.004076,-0.010171,-72.899731,-83.438432,2.328247
36486,,9.862949,-1.048282,0.345585,0.005228,0.005055,-0.012049,-71.777706,-83.611690,1.037803
36487,,9.844118,-1.078279,0.305860,0.008194,0.012742,-0.010135,-72.283347,-83.526463,1.632072
36488,,9.833597,-1.060480,0.358092,0.013270,0.010987,-0.015969,-72.198273,-83.533256,1.554105
36489,,9.807835,-1.039343,0.370704,0.011318,0.006245,-0.013098,-72.113005,-83.538260,1.465901
36490,,9.752523,-1.033041,0.393370,0.010150,0.006984,-0.012335,-72.054354,-83.543754,1.412728
36491,,9.723082,-1.046548,0.404460,0.010011,0.007604,-0.010252,-71.978963,-83.547403,1.337617
36492,,9.735116,-1.010698,0.372936,0.002772,0.004080,-0.011902,-71.939028,-83.553163,1.299026
36493,,9.742228,-1.060497,0.321013,-0.003456,0.003507,-0.008770,-71.904054,-83.557222,1.260925
36494,,9.774184,-1.061846,0.293738,0.000433,0.005560,-0.010378,-71.860604,-83.561883,1.217449
36495,,9.767021,-1.129552,0.291614,0.000294,0.006181,-0.008296,-71.815228,-83.565246,1.171537
36496,,9.779976,-1.115007,0.349210,0.005334,0.010562,-0.007203,-71.749754,-83.567274,1.108723
36497,,9.788337,-1.113947,0.316496,0.012578,0.003594,-0.004881,-71.733980,-83.569269,1.104406
36498,,9.803620,-1.116547,0.356310,0.018406,0.002962,-0.005226,-71.700801,-83.571579,1.081630
36499,,9.813242,-1.064351,0.342056,0.019436,0.002842,-0.003904,-71.679227,-83.572212,1.072381
36500,,9.810908,-1.047036,0.360020,0.017097,0.004321,-0.002381,-71.644761,-83.572728,1.047554
36501,,9.804964,-1.064026,0.376563,0.012319,0.001764,-0.004176,-71.635822,-83.573814,1.048264
36502,,9.813312,-1.063169,0.343724,0.009592,0.009461,-0.004002,-71.578230,-83.574280,0.995838
36503,,9.783797,-1.077439,0.354935,0.009331,0.007635,-0.003299,-71.535999,-83.573290,0.959012
36504,,9.809745,-1.096589,0.344016,0.011551,0.003705,-0.006198,-71.501505,-83.575985,0.930960
36505,,9.786213,-1.093465,0.338892,0.015020,0.007624,-0.001559,-71.449102,-83.573206,0.883579
36506,,9.765028,-1.107429,0.316452,0.020729,0.004541,-0.003279,-71.410014,-83.574158,0.856195
36507,,9.741499,-1.104334,0.311237,0.024099,0.002939,-0.003477,-71.397176,-83.573429,0.860447
36508,,9.733200,-1.104252,0.345232,0.020610,0.002089,-0.004655,-71.367745,-83.575573,0.842715
36509,,9.749889,-1.103235,0.278596,0.022267,0.000651,0.000774,-71.358490,-83.572710,0.843610
36510,,9.762730,-1.089243,0.335930,0.027710,0.006228,-0.000917,-71.311109,-83.572064,0.811906
36511,,9.786285,-1.091726,0.342402,0.024870,0.000987,-0.001446,-71.318834,-83.569072,0.835136
36512,,9.771077,-1.088500,0.303434,0.031730,0.000230,-0.000462,-71.298783,-83.569285,0.833255
36513,,9.789885,-1.057122,0.344564,0.034312,0.003639,0.000775,-71.287165,-83.563562,0.838284
36514,,9.795846,-1.039690,0.329027,0.034194,0.001185,-0.000598,-71.260892,-83.563666,0.831556
36515,,9.787520,-1.039768,0.362881,0.034076,-0.001269,-0.001971,-71.275512,-83.560936,0.865278
36516,,9.766363,-1.053769,0.339887,0.029417,-0.001376,-0.002390,-71.261395,-83.562479,0.868030
36517,,9.795917,-1.038849,0.329599,0.026696,-0.004166,-0.001541,-71.290852,-83.560572,0.911703
36518,,9.795947,-1.038575,0.329558,0.026958,-0.002346,-0.002245,-71.283032,-83.562218,0.919373
36519,,9.774827,-1.052390,0.306096,0.024400,-0.008839,-0.006930,-71.336713,-83.565462,0.990317
36520,,9.792519,-1.071590,0.327552,0.026862,-0.007880,-0.007070,-71.347789,-83.570751,1.016963
36521,,9.804539,-1.036185,0.294997,0.028674,-0.002531,-0.007866,-71.364797,-83.571022,1.046997
36522,,9.777493,-1.066923,0.287936,0.028556,-0.004985,-0.009237,-71.357436,-83.576954,1.056054
36523,,9.769277,-1.066183,0.321259,0.028557,-0.004989,-0.009235,-71.386133,-83.580257,1.096723
36524,,9.798906,-1.050537,0.310755,0.026358,-0.004132,-0.009798,-71.374946,-83.586346,1.100647
36525,,9.795461,-1.083596,0.309684,0.030653,-0.000903,-0.014190,-71.382072,-83.589723,1.119602
36526,,9.788492,-1.031013,0.361647,0.025472,-0.004653,-0.013195,-71.368388,-83.597723,1.120479
36527,,9.838127,-1.052052,0.355909,0.027793,-0.003065,-0.011256,-71.397181,-83.600311,1.163307
36528,,9.818291,-1.013587,0.351222,0.019271,-0.000885,-0.017677,-71.361590,-83.610019,1.138561
36529,,9.814884,-1.046377,0.350301,0.020019,0.000259,-0.012195,-71.366316,-83.613765,1.149651
36530,,9.842143,-1.013210,0.357549,0.011355,0.003069,-0.016538,-71.317770,-83.622122,1.107285
36531,,9.853999,-1.048580,0.396201,0.011497,0.002436,-0.018615,-71.310707,-83.630363,1.109613
36532,,9.812995,-1.024179,0.368792,0.003721,0.005762,-0.019558,-71.248388,-83.639855,1.049020
36533,,9.815555,-1.039408,0.352226,-0.001996,0.008859,-0.017856,-71.203917,-83.647863,1.003926
36534,,9.841675,-1.057284,0.341655,0.001638,0.009073,-0.018753,-71.127641,-83.656320,0.928110
36535,,9.815900,-1.035607,0.353801,-0.000797,0.005023,-0.022058,-71.101827,-83.666359,0.906460
36536,,9.789002,-1.065321,0.347844,-0.002390,0.015063,-0.019223,-70.997604,-83.673939,0.800252
36537,,9.789159,-1.063443,0.349172,-0.001476,0.012494,-0.019269,-70.943705,-83.678362,0.747342
36538,,9.812883,-1.064091,0.356354,-0.003418,0.015171,-0.020543,-70.837131,-83.686563,0.638201
36539,,9.789481,-1.059579,0.351889,-0.004848,0.014093,-0.019078,-70.766238,-83.692774,0.565673
36540,,9.792061,-1.074782,0.336105,-0.003301,0.017620,-0.019170,-70.649529,-83.699742,0.446426
36541,,9.798140,-1.055530,0.321620,-0.000695,0.017947,-0.021387,-70.554891,-83.704313,0.348559
36542,,9.807574,-1.073499,0.379061,-0.001609,0.020509,-0.021337,-70.418844,-83.711835,0.210828
36543,,9.774900,-1.048886,0.319400,0.000077,0.016008,-0.019353,-70.326485,-83.715930,0.110028
36544,,9.772614,-1.029720,0.338256,0.002828,0.015703,-0.023646,-70.206636,-83.725566,-0.008909
36545,,9.801271,-1.064219,0.311421,-0.000320,0.022207,-0.020717,-70.101253,-83.727677,-0.115489
36546,,9.796484,-1.027983,0.348084,-0.002633,0.020606,-0.022653,-69.961851,-83.735726,-0.257236
36547,,9.780533,-1.074414,0.292374,-0.006008,0.022202,-0.022464,-69.840937,-83.738726,-0.395806
36548,,9.795855,-1.075072,0.333683,-0.006523,0.018559,-0.021048,-69.715826,-83.746220,-0.525525
36549,,9.783377,-1.087303,0.278723,-0.011183,0.018446,-0.021476,-69.633071,-83.749544,-0.621368
36550,,9.792762,-1.105443,0.335955,-0.006925,0.017367,-0.018260,-69.518607,-83.755708,-0.740646
36551,,9.795433,-1.120586,0.320197,0.002435,0.014501,-0.020846,-69.464823,-83.761669,-0.786749
36552,,9.793091,-1.101612,0.338938,0.004490,0.014278,-0.018200,-69.358935,-83.768404,-0.890738
36553,,9.766320,-1.131496,0.333189,0.006730,0.010336,-0.021077,-69.313391,-83.770831,-0.945907
36554,,9.766509,-1.129530,0.334336,0.011244,0.011080,-0.018568,-69.218083,-83.778342,-1.035468
36555,,9.796148,-1.112845,0.325305,0.014880,0.011299,-0.019458,-69.189529,-83.776079,-1.061047
36556,,9.798862,-1.127924,0.309415,0.019800,0.013227,-0.019730,-69.076547,-83.783664,-1.163490
36557,,9.790584,-1.126269,0.344352,0.025233,0.011409,-0.017266,-69.036189,-83.783633,-1.197803
36558,,9.772279,-1.156119,0.305335,0.027694,0.012370,-0.017400,-68.926841,-83.790105,-1.292094
36559,,9.790899,-1.122617,0.347308,0.034709,0.010989,-0.018469,-68.893918,-83.788328,-1.310708
36560,,9.791855,-1.069162,0.367449,0.042606,0.017511,-0.020286,-68.745122,-83.795189,-1.436123
36561,,9.816333,-1.018022,0.393943,0.042867,0.019318,-0.020987,-68.683861,-83.786517,-1.475280
36562,,9.816486,-1.015666,0.396185,0.033694,0.018446,-0.023929,-68.528935,-83.794909,-1.612017
36563,,9.798260,-1.045011,0.357722,0.027343,0.015438,-0.022195,-68.482888,-83.792410,-1.635611
36564,,9.803582,-1.077110,0.325138,0.024842,0.017561,-0.018614,-68.347944,-83.798019,-1.757277
36565,,9.770970,-1.124415,0.336222,0.030169,0.013291,-0.017510,-68.321845,-83.791657,-1.766903
36566,,9.785474,-1.105529,0.288277,0.034382,0.015315,-0.010844,-68.207916,-83.793474,-1.861925
36567,,9.746923,-1.170650,0.315553,0.041296,0.011474,-0.013269,-68.171379,-83.791497,-1.880540
36568,,9.820944,-1.142438,0.336042,0.052270,0.010301,-0.006953,-68.079222,-83.792287,-1.943379
36569,,9.765366,-1.137004,0.359281,0.060273,0.011897,-0.003240,-68.070924,-83.778258,-1.927768
36570,,9.773876,-1.136354,0.327609,0.069502,0.009644,-0.003712,-67.978583,-83.777388,-1.980938
36571,,9.811715,-1.192638,0.356980,0.073673,0.014756,0.006400,-67.963984,-83.760546,-1.956574
36572,,9.795839,-1.242391,0.301795,0.074147,0.014099,0.012595,-67.879834,-83.749994,-1.998840
36573,,9.773829,-1.381371,0.334429,0.074680,0.018999,0.023589,-67.868191,-83.724876,-1.978659
36574,,9.785529,-1.592691,0.305234,0.098032,0.020787,0.038241,-67.788677,-83.699257,-2.002571
36575,,9.842176,-1.670869,0.252399,0.132775,0.015175,0.060639,-67.850475,-83.656078,-1.858898
36576,,9.858614,-1.696496,0.279218,0.172529,0.023005,0.071030,-67.781703,-83.612652,-1.828973
36577,,9.854749,-1.685746,0.301619,0.214391,0.018754,0.072480,-67.848603,-83.545173,-1.651467
36578,,9.842228,-1.675168,0.358020,0.243176,0.023340,0.084243,-67.762762,-83.494497,-1.598080
36579,,9.835829,-1.667300,0.488545,0.268684,0.035021,0.100992,-67.784339,-83.406638,-1.431853
36580,,9.799145,-1.656347,0.541497,0.283703,0.047224,0.117604,-67.628536,-83.332960,-1.425579
36581,,9.787083,-1.719003,0.567600,0.291093,0.056109,0.147766,-67.611547,-83.217890,-1.281576
36582,,9.756819,-1.765168,0.572560,0.326588,0.065260,0.180811,-67.468617,-83.106738,-1.237622
36583,,9.842021,-1.756700,0.643386,0.351602,0.073526,0.201336,-67.412091,-82.958302,-1.122633
36584,,9.945176,-1.822383,0.615530,0.370803,0.086882,0.238036,-67.254399,-82.812093,-1.068229
36585,,10.010705,-1.818876,0.470974,0.393694,0.101938,0.264971,-67.153050,-82.627655,-0.956003
36586,,9.947276,-1.804194,0.436926,0.424174,0.114660,0.297289,-66.956424,-82.444056,-0.910061
36587,,9.962115,-1.818147,0.479567,0.424529,0.130543,0.327434,-66.862470,-82.211705,-0.752705
36588,,9.937458,-1.932949,0.625601,0.405124,0.149693,0.357622,-66.646837,-81.988433,-0.736850
36589,,9.898597,-2.067248,0.717883,0.376385,0.170373,0.399216,-66.522142,-81.716475,-0.657970
36590,,9.903008,-2.177939,0.751220,0.353299,0.186740,0.450465,-66.355310,-81.436061,-0.622840
36591,,9.923014,-2.368719,0.687580,0.347596,0.182768,0.506631,-66.358682,-81.106242,-0.428113
36592,,9.916955,-2.562456,0.619611,0.371577,0.200357,0.556600,-66.290158,-80.767182,-0.282793
36593,,9.968261,-2.704125,0.459222,0.425897,0.197564,0.614238,-66.348123,-80.371209,0.013296
36594,,9.873049,-2.707849,0.339654,0.477897,0.193210,0.672491,-66.380968,-79.973036,0.323603
36595,,9.876785,-2.747373,0.303115,0.482034,0.174091,0.737178,-66.612521,-79.518849,0.837988
36596,,9.988999,-2.846289,0.300016,0.442898,0.160895,0.811522,-66.881455,-79.054597,1.369069
36597,,10.062830,-2.960607,0.412687,0.390583,0.160982,0.893056,-67.304832,-78.531244,2.020491
36598,,10.136756,-3.140905,0.478485,0.345848,0.171229,0.987868,-67.711526,-77.970389,2.637404
36599,,10.308135,-3.311682,0.644673,0.306181,0.195305,1.081964,-68.201567,-77.330127,3.298273
36600,,10.400116,-3.338640,0.810155,0.264985,0.214656,1.166359,-68.618652,-76.663297,3.881185
36601,,10.440131,-3.397179,1.038079,0.213188,0.245287,1.248356,-69.081686,-75.933142,4.476256
36602,,10.326612,-3.453419,1.168788,0.150821,0.263424,1.312501,-69.479144,-75.176510,4.974970
36603,,10.243300,-3.562479,1.241438,0.067294,0.273971,1.385791,-69.946071,-74.381679,5.478920
36604,,10.102706,-3.776679,1.238088,-0.001500,0.278793,1.464997,-70.412859,-73.538480,5.962709
36605,,9.960610,-4.023778,1.111138,-0.052464,0.285970,1.547827,-70.932830,-72.656704,6.482188
36606,,10.023137,-4.223369,1.107805,-0.089226,0.287969,1.632649,-71.435410,-71.719200,6.955478
36607,,9.986716,-4.484505,1.013163,-0.089619,0.294690,1.727796,-71.958596,-70.731740,7.453416
36608,,9.934286,-4.673613,1.013824,-0.077540,0.304738,1.813340,-72.422632,-69.690863,7.898540
36609,,9.918474,-4.778657,0.976217,-0.103327,0.310005,1.897313,-72.908893,-68.616826,8.354831
36610,,9.884998,-4.943833,0.923654,-0.132858,0.302317,1.970804,-73.384461,-67.488228,8.784739
36611,,9.915721,-5.085570,0.937448,-0.157746,0.276339,2.045691,-73.924345,-66.307563,9.267210
36612,,9.994213,-5.210771,0.831309,-0.170618,0.256330,2.121993,-74.441728,-65.100457,9.726893
36613,,10.051067,-5.175678,0.977309,-0.234457,0.236743,2.179145,-75.034287,-63.807431,10.224115
36614,,9.934123,-5.208754,0.989517,-0.300397,0.244547,2.246374,-75.582660,-62.529675,10.645038
36615,,9.790886,-5.211372,1.036487,-0.422468,0.212344,2.297001,-76.244404,-61.165250,11.108273
36616,,9.586144,-5.994780,0.858146,-0.485115,0.187038,2.354357,-76.891136,-59.831095,11.531236
36617,,9.604579,-6.105568,0.743948,-0.414345,0.180983,2.431009,-77.513258,-58.393762,11.971351
36618,,9.512024,-5.445567,0.942434,-0.462506,0.172996,2.459469,-78.095299,-56.998246,12.345675
36619,,9.229391,-6.023160,0.829890,-0.549984,0.171596,2.466455,-78.726247,-55.541768,12.714580
36620,,8.874648,-6.617860,0.862542,-0.606177,0.160638,2.488011,-79.330082,-54.127582,13.027565
36621,,8.970778,-5.825669,0.943707,-0.590147,0.135015,2.537775,-79.950066,-52.633753,13.370301
36622,,8.841174,-6.611851,0.865522,-0.711940,0.093782,2.519841,-80.601460,-51.204462,13.678790
36623,,8.748587,-6.947988,0.905260,-0.657177,0.095851,2.575096,-81.223304,-49.694047,13.978050
36624,,8.423025,-6.522933,0.918640,-0.714090,0.067589,2.613625,-81.841701,-48.209978,14.254642
36625,,8.193661,-7.331650,0.506003,-0.682455,0.050670,2.598028,-82.448672,-46.690776,14.528188
36626,,8.018379,-7.168044,0.590865,-0.603477,0.002440,2.622841,-82.989989,-45.202746,14.799368
36627,,7.981323,-7.379469,0.437671,-0.600963,-0.036023,2.612608,-83.551047,-43.681452,15.087182
36628,,7.794607,-7.495235,0.339235,-0.540326,-0.060950,2.610642,-84.043576,-42.201000,15.354770
36629,,7.608388,-7.405113,0.310494,-0.530608,-0.099780,2.596650,-84.552271,-40.693478,15.639708
36630,,7.375262,-7.448164,0.224811,-0.509019,-0.127871,2.563857,-85.017299,-39.240042,15.908620
36631,,7.132388,-7.457022,0.060063,-0.476689,-0.162135,2.514314,-85.482317,-37.784234,16.189757
36632,,6.845038,-7.285876,0.032682,-0.443776,-0.198592,2.472859,-85.903162,-36.382741,16.464950
36633,,6.633055,-7.210836,0.021235,-0.480253,-0.217728,2.426669,-86.358303,-34.981237,16.742885
36634,,6.467441,-7.270465,0.059036,-0.554911,-0.232532,2.394536,-86.823082,-33.622423,17.002298
36635,,6.242262,-7.357445,0.121050,-0.635746,-0.251326,2.362612,-87.347873,-32.260533,17.263604
36636,,6.076582,-7.531062,0.240494,-0.710426,-0.258118,2.330634,-87.880514,-30.935295,17.502079
36637,,5.832550,-7.889610,0.163267,-0.727393,-0.272021,2.299698,-88.434342,-29.611123,17.737983
36638,,5.592279,-8.023737,0.100281,-0.662473,-0.298075,2.262870,-88.925505,-28.321675,17.967077
36639,,5.372603,-8.078388,0.049635,-0.586381,-0.333282,2.213726,-89.391403,-27.048023,18.208901
36640,,5.229588,-8.001817,0.010613,-0.518668,-0.365187,2.159091,-89.797517,-25.815268,18.452200
36641,,5.107160,-8.021456,-0.005697,-0.504334,-0.387831,2.108368,-90.209693,-24.602815,18.701757
36642,,4.857600,-7.993819,-0.043616,-0.437247,-0.393368,2.042699,-90.557758,-23.433751,18.939834
36643,,4.653800,-7.920730,0.011797,-0.388862,-0.388398,1.969049,-90.885715,-22.302320,19.168976
36644,,4.381386,-8.036700,-0.061899,-0.338730,-0.400321,1.895981,-91.164188,-21.214873,19.394935
36645,,4.086125,-8.026660,-0.167328,-0.209556,-0.405821,1.822352,-91.379139,-20.168782,19.620886
36646,,3.914546,-7.976519,-0.201023,-0.079915,-0.417220,1.738672,-91.502019,-19.169699,19.848059
36647,,3.782482,-7.800361,-0.206361,0.034327,-0.409965,1.652971,-91.568060,-18.222365,20.070764
36648,,3.683579,-7.627636,-0.147839,0.100776,-0.389306,1.568702,-91.574512,-17.320586,20.279030
36649,,3.499087,-7.585634,-0.210940,0.117968,-0.382090,1.496745,-91.580091,-16.465960,20.484153
36650,,3.328296,-7.565531,-0.159582,0.165094,-0.366532,1.420255,-91.540175,-15.649599,20.679558
36651,,3.107241,-7.468034,-0.050363,0.202192,-0.355176,1.343350,-91.487370,-14.886167,20.870032
36652,,2.989053,-7.372295,0.017287,0.236313,-0.344520,1.257091,-91.399026,-14.163969,21.055148
36653,,2.935201,-7.278976,0.107529,0.210254,-0.330333,1.187712,-91.333047,-13.492783,21.233649
36654,,2.764475,-7.248895,0.024529,0.145272,-0.310096,1.119437,-91.288575,-12.850304,21.401010
36655,,2.628540,-7.259889,-0.069794,0.078267,-0.301805,1.038140,-91.289955,-12.267616,21.564527
