// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
55736,9.441919,-2.876728,-0.154976,0.014660,-0.000628,-0.012953
55737,9.417887,-2.899056,-0.197355,0.024579,-0.002384,-0.012826
55738,9.444229,-2.909614,-0.177522,0.044484,-0.011630,-0.013322
55739,9.468997,-2.884889,-0.134382,0.053263,-0.010790,-0.013239
55740,9.470133,-2.866378,-0.185643,0.066770,-0.014821,-0.014490
55741,9.463071,-2.831291,-0.185216,0.069446,-0.009010,-0.017453
55742,9.471824,-2.846162,-0.235224,0.077364,-0.005814,-0.019697
55743,9.486529,-2.859355,-0.261634,0.092296,-0.017037,-0.020595
55744,9.505606,-2.835435,-0.241088,0.103721,-0.010380,-0.023474
55745,9.504675,-2.797991,-0.215761,0.107745,-0.006028,-0.025353
55746,9.485944,-2.765697,-0.261052,0.109588,-0.005214,-0.022202
55747,9.484976,-2.728283,-0.235443,0.110363,-0.004567,-0.025717
55748,9.465549,-2.712921,-0.228863,0.102065,-0.003144,-0.023734
55749,9.524887,-2.715050,-0.215553,0.091042,-0.000193,-0.027226
55750,9.498902,-2.718069,-0.180688,0.083565,0.003242,-0.025493
55751,9.519659,-2.729203,-0.182218,0.074757,0.003775,-0.022267
55752,9.537061,-2.669395,-0.138235,0.071755,0.001202,-0.022864
55753,9.525124,-2.687834,-0.131647,0.047071,0.004044,-0.020304
55754,9.570862,-2.658204,-0.143406,0.034970,0.009562,-0.023891
55755,9.540595,-2.698651,-0.155259,0.022511,0.021072,-0.024492
55756,9.465216,-2.766791,-0.152886,0.013072,0.030809,-0.021901
55757,9.456179,-2.872672,-0.138774,0.011791,0.025133,-0.026994
55758,9.412587,-2.881082,-0.174498,0.038948,0.018270,-0.028366
55759,9.421054,-2.912215,-0.170822,0.048261,0.015672,-0.026936
55760,9.428456,-2.891274,-0.196484,0.064207,0.007639,-0.026960
55761,9.425722,-2.817595,-0.148409,0.081473,0.002510,-0.028475
55762,9.447375,-2.811762,-0.201940,0.086409,-0.001212,-0.028726
55763,9.454093,-2.807148,-0.175860,0.091540,0.000554,-0.030549
55764,9.478074,-2.727892,-0.160399,0.098384,-0.003734,-0.030960
55765,9.469451,-2.655588,-0.136615,0.082518,-0.002847,-0.034929
55766,9.510693,-2.678825,-0.142486,0.066892,0.000569,-0.034597
55767,9.515278,-2.747163,-0.185336,0.056319,0.012883,-0.032128
55768,9.510315,-2.746259,-0.206224,0.054131,0.012315,-0.032969
55769,9.453786,-2.791320,-0.184758,0.049938,0.018058,-0.032957
55770,9.408485,-2.764087,-0.197855,0.053563,0.011445,-0.031692
55771,9.381348,-2.714652,-0.193094,0.052887,0.000747,-0.026230
55772,9.442615,-2.751841,-0.203635,0.056355,-0.012749,-0.026658
55773,9.498811,-2.665571,-0.199633,0.049808,-0.013066,-0.025912
55774,9.562113,-2.628914,-0.142666,0.029891,-0.010827,-0.027309
55775,9.605061,-2.688805,-0.172174,0.015388,0.009754,-0.020588
55776,9.556721,-2.752515,-0.203036,0.004428,0.014025,-0.020867
55777,9.471956,-2.751851,-0.180063,-0.000004,0.018617,-0.021886
55778,9.427603,-2.777521,-0.164878,0.001473,0.011431,-0.021466
55779,9.468647,-2.801771,-0.171623,0.007313,0.003992,-0.022633
55780,9.469302,-2.799599,-0.170934,0.017668,0.003188,-0.023694
55781,9.481598,-2.793284,-0.122914,0.024485,0.001724,-0.017523
