// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
47882,10.245054,1.314359,0.770151,-0.035039,0.085737,-0.016197
47883,10.172764,1.380341,0.821114,-0.038256,0.131521,-0.025268
47884,10.272356,1.442378,0.878660,-0.062526,0.158851,-0.044625
47885,10.436332,1.395148,0.981150,-0.096490,0.220080,-0.042213
47886,10.372688,1.371898,1.050938,-0.118785,0.320659,-0.044406
47887,10.167647,1.417348,1.142859,-0.105097,0.405214,-0.053667
47888,9.931306,1.527228,1.373512,-0.085939,0.463551,-0.068433
47889,9.821996,1.804624,1.479229,-0.066792,0.461601,-0.088857
47890,9.766883,2.104419,1.579613,-0.074446,0.479944,-0.119005
47891,9.619114,2.422556,1.690774,-0.162291,0.510663,-0.179381
47892,9.541442,2.621121,1.648048,-0.284048,0.500464,-0.248645
47893,9.680473,2.723339,1.746033,-0.374522,0.491755,-0.334624
47894,9.885014,2.822864,2.020585,-0.496032,0.523105,-0.430685
47895,9.965762,2.818762,2.171555,-0.673936,0.557654,-0.504140
47896,10.134136,2.747340,2.150635,-0.797677,0.594296,-0.571971
47897,10.107687,2.862368,2.236883,-0.891259,0.637401,-0.621666
47898,10.102060,2.842575,2.120114,-1.034775,0.663484,-0.664201
47899,10.186518,2.711142,1.957560,-1.143223,0.676369,-0.687042
47900,10.276974,2.583235,1.851732,-1.236548,0.693985,-0.694678
47901,10.270846,2.313329,1.775073,-1.323672,0.707023,-0.694937
47902,10.271352,2.119383,1.698349,-1.366706,0.714239,-0.703707
47903,10.214831,1.894137,1.648715,-1.373546,0.734422,-0.697846
47904,10.133881,1.641281,1.557682,-1.370377,0.744097,-0.694852
47905,10.029469,1.422261,1.538553,-1.341604,0.741658,-0.671090
47906,9.881814,1.261239,1.484794,-1.299013,0.740413,-0.635241
47907,9.706394,1.103660,1.379275,-1.236815,0.731644,-0.602273
47908,9.560072,0.927226,1.339521,-1.122800,0.708686,-0.566776
47909,9.398995,0.764640,1.292393,-1.015126,0.691427,-0.530153
47910,9.209870,0.665658,1.334577,-0.874520,0.656597,-0.504788
47911,9.089104,0.637891,1.439271,-0.726057,0.623469,-0.478186
47912,8.986058,0.674587,1.494527,-0.593520,0.570549,-0.459021
47913,8.900080,0.684650,1.594659,-0.482808,0.510280,-0.432487
47914,8.883315,0.672390,1.598770,-0.373046,0.457616,-0.396663
47915,8.812776,0.696499,1.679813,-0.267955,0.408197,-0.349708
47916,8.720295,0.721209,1.811039,-0.175558,0.369016,-0.296798
47917,8.549144,0.693752,1.811356,-0.113763,0.326441,-0.239806
47918,8.548065,0.639215,1.822810,-0.007904,0.262947,-0.186106
47919,8.586784,0.627795,1.862622,0.075775,0.202481,-0.123924
47920,8.699515,0.549283,1.867358,0.143700,0.151936,-0.052167
47921,8.746448,0.495089,1.903123,0.225915,0.115206,0.023166
47922,8.773298,0.494703,1.878281,0.315077,0.066617,0.105145
47923,8.701604,0.475832,1.872192,0.404433,0.007968,0.187311
47924,8.635817,0.386072,1.770644,0.515922,-0.048816,0.260897
47925,8.647530,0.347661,1.712926,0.664465,-0.119788,0.315477
47926,8.761652,0.350794,1.719722,0.795069,-0.185438,0.381580
47927,8.889930,0.411006,1.653321,0.912004,-0.245065,0.441397
47928,9.063447,0.439373,1.600225,0.992305,-0.310491,0.519894
47929,9.367476,0.317034,1.360081,1.062377,-0.400127,0.633325
47930,9.599904,0.133471,1.035863,1.183676,-0.474507,0.754292
47931,9.682641,0.053367,0.868996,1.310806,-0.502200,0.846703
47932,9.485478,-0.065352,0.727158,1.444500,-0.518035,0.896597
47933,9.248471,0.061756,0.816014,1.602545,-0.558154,0.936861
47934,9.008852,0.255476,1.063593,1.695071,-0.670306,0.978794
47935,8.950962,0.216977,0.949969,1.731442,-0.785256,1.042103
47936,8.836439,0.075023,0.583143,1.818201,-0.865527,1.114052
47937,8.921545,0.211458,0.398125,1.972967,-0.955041,1.189532
47938,9.185018,0.238684,0.471040,2.046290,-1.047340,1.275316
47939,9.647231,0.276427,0.397904,2.125842,-1.071727,1.363061
47940,10.004975,0.230673,0.599865,2.175008,-1.041473,1.453062
47941,10.228011,-0.026297,0.771568,2.169941,-0.982676,1.525064
47942,10.432719,-0.005708,0.863924,2.233267,-0.905895,1.576061
47943,10.639957,0.281222,1.090479,2.225270,-0.847295,1.620639
47944,10.909578,0.332176,1.487184,2.158739,-0.787622,1.650994
47945,11.193213,0.179167,1.659064,2.137407,-0.716888,1.661312
47946,11.439302,-0.063482,1.601814,2.146562,-0.630867,1.667465
47947,11.618464,-0.109116,1.323950,2.207081,-0.522497,1.661980
47948,11.671408,-0.169715,1.719433,2.262068,-0.386774,1.662176
47949,11.557072,-0.227943,1.312309,2.166317,-0.294425,1.664793
47950,11.558428,0.004480,1.106753,2.178111,-0.205390,1.673600
47951,11.491940,-0.338806,1.076679,2.041611,-0.127821,1.702678
47952,11.481028,-0.370114,0.918827,2.072440,-0.030640,1.717686
47953,11.446681,-0.312170,1.123021,1.998898,0.069962,1.738117
47954,11.327036,-0.227465,1.173913,1.826678,0.164055,1.749832
47955,11.197114,0.085658,1.113771,1.652716,0.241138,1.739482
47956,11.001073,0.129387,1.090029,1.383645,0.313201,1.723781
47957,10.768779,0.037938,1.163487,1.137000,0.358463,1.696768
47958,10.440404,0.123212,1.294939,0.890007,0.394145,1.656539
47959,10.212840,-0.175100,1.459823,0.597347,0.388893,1.619591
47960,10.163266,-0.243059,1.220565,0.393447,0.374096,1.602370
47961,10.132325,0.097681,1.348572,0.228651,0.411635,1.610297
47962,9.974968,0.108622,1.108057,-0.004463,0.436189,1.631866
47963,9.669564,-0.525515,1.315308,-0.130300,0.395999,1.591743
47964,9.685440,-0.871668,1.311865,-0.237010,0.299707,1.532708
47965,9.782378,-1.049932,1.538212,-0.569491,0.244914,1.511161
47966,9.676881,-1.340744,1.321172,-0.935303,0.222780,1.505917
47967,9.482649,-2.415932,0.731741,-1.234812,0.190670,1.524412
47968,9.190975,-2.710227,0.251223,-1.051836,0.167817,1.542411
47969,9.025642,-2.664014,0.801501,-0.969906,0.123877,1.574606
47970,8.897825,-2.922713,0.668418,-1.127408,0.072770,1.579436
47971,8.693166,-3.280034,-0.032243,-1.061361,0.007329,1.546798
47972,8.678426,-3.875128,0.346687,-0.893069,-0.093302,1.470676
47973,8.695456,-4.419467,0.424401,-0.775367,-0.216531,1.384222
47974,8.833001,-4.450398,0.309395,-0.561482,-0.298018,1.281996
47975,8.766571,-4.380591,0.525900,-0.442381,-0.318000,1.207693
47976,8.678304,-4.319191,0.710623,-0.404286,-0.309883,1.131804
47977,8.438565,-4.289860,0.747818,-0.378620,-0.297681,1.055306
47978,8.285955,-4.353292,0.690648,-0.343333,-0.320141,0.983484
