// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
00946,9.829804,0.982502,0.617895,-0.025865,0.013653,-0.022491
00947,9.813292,1.007602,0.587920,-0.018749,0.014731,-0.023545
00948,9.861146,1.074842,0.593215,-0.004900,0.015816,-0.024121
00949,9.853675,1.129475,0.580053,-0.003959,0.024636,-0.030727
00950,9.831244,1.147414,0.605323,-0.015654,0.037381,-0.030894
00951,9.838821,1.105677,0.647992,-0.035937,0.040229,-0.038046
00952,9.852259,1.005628,0.683124,-0.051345,0.047309,-0.046379
00953,9.841282,0.973956,0.648612,-0.048109,0.050152,-0.047181
00954,9.839413,0.971173,0.630807,-0.039913,0.054347,-0.043436
00955,9.786784,0.982504,0.687236,-0.030019,0.047626,-0.034474
00956,9.824114,1.014154,0.656068,-0.026153,0.042901,-0.019660
00957,9.790562,0.987648,0.619213,-0.026082,0.040033,-0.013961
00958,9.792282,1.002481,0.670063,-0.021636,0.038408,-0.008967
00959,9.750930,0.953153,0.639415,-0.010297,0.034040,-0.007144
00960,9.697616,0.954391,0.670198,-0.004454,0.029997,-0.004675
00961,9.705338,0.976851,0.666118,-0.002210,0.026852,-0.004548
00962,9.666959,1.015026,0.659288,-0.000859,0.029104,-0.002338
00963,9.629621,1.059872,0.675668,0.000611,0.023811,0.000838
00964,9.660570,1.073476,0.671989,0.000529,0.014222,0.010111
00965,9.717651,1.099486,0.739309,0.001652,0.012649,0.010176
00966,9.776917,1.038300,0.705094,-0.009938,0.019648,0.021381
00967,9.816077,1.005155,0.740704,-0.020553,0.030844,0.021227
00968,9.770028,0.951733,0.786579,-0.026906,0.031918,0.019190
00969,9.799100,0.883047,0.782762,-0.026864,0.027261,0.014441
00970,9.751956,0.890647,0.759086,-0.002734,0.020872,0.010977
00971,9.797011,0.867273,0.740095,0.024813,0.014546,0.003084
00972,9.804951,0.889316,0.734007,0.049788,0.007421,0.002284
00973,9.860922,0.976657,0.731511,0.061902,0.005194,0.001079
00974,9.906932,0.961313,0.734749,0.072150,0.016665,-0.001695
00975,9.900637,1.021136,0.744504,0.064943,0.027948,-0.006316
00976,9.894255,1.081041,0.755105,0.054554,0.033523,-0.004453
00977,9.839853,1.075763,0.761895,0.043830,0.033347,-0.005794
00978,9.808491,1.062586,0.770110,0.038215,0.031768,-0.006240
00979,9.753182,1.050281,0.753197,0.042812,0.027392,-0.004898
00980,9.728054,0.977939,0.752193,0.051510,0.015643,-0.001743
00981,9.759021,0.992324,0.747433,0.056559,0.009470,0.003792
00982,9.734997,0.993229,0.723403,0.060521,0.019137,0.004670
00983,9.721713,1.037006,0.762907,0.063821,0.019113,0.009594
00984,9.711918,1.067267,0.678791,0.057586,0.022095,0.008613
00985,9.744690,1.095196,0.721725,0.044911,0.024198,0.004541
00986,9.766707,1.080064,0.701841,0.031460,0.024154,0.003531
00987,9.788664,1.065227,0.682486,0.017329,0.031536,-0.003741
00988,9.787326,0.992275,0.708100,0.009702,0.035103,-0.012639
00989,9.792147,0.928148,0.680307,0.007737,0.035582,-0.025827
00990,9.835888,0.834298,0.685583,0.007578,0.027055,-0.032672
00991,9.933872,0.814362,0.640724,0.025777,0.027632,-0.044354
00992,9.926131,0.804446,0.673769,0.047878,0.033106,-0.050510
00993,9.917447,0.788262,0.684012,0.062515,0.041211,-0.058792
00994,9.863466,0.862451,0.668596,0.076775,0.038780,-0.065598
00995,9.840412,0.884417,0.692992,0.099774,0.031247,-0.063427
00996,9.817409,0.972812,0.670345,0.118505,0.024395,-0.059495
00997,9.758567,1.053471,0.752599,0.131950,0.021715,-0.052824
00998,9.721962,1.185121,0.766301,0.133090,0.017361,-0.047074
00999,9.698969,1.271594,0.741694,0.108063,0.014800,-0.036967
01000,9.614858,1.335622,0.751038,0.076707,0.008420,-0.024156
01001,9.629629,1.374478,0.713354,0.039540,0.006004,-0.013829
01002,9.645444,1.352729,0.745659,-0.004149,0.002567,0.002832
01003,9.636820,1.322565,0.730467,-0.036999,0.010908,0.012444
01004,9.707678,1.311991,0.784028,-0.065810,0.014771,0.018158
01005,9.729380,1.220857,0.788399,-0.095832,0.023085,0.018011
01006,9.751012,1.129571,0.793304,-0.112019,0.023143,0.017291
01007,9.735105,1.083660,0.810588,-0.104401,0.015989,0.005267
01008,9.765275,1.023231,0.830395,-0.097060,0.009682,-0.004157
01009,9.733375,1.002118,0.813831,-0.076097,0.000705,-0.016207
01010,9.764996,1.024881,0.831649,-0.042216,-0.015970,-0.022056
01011,9.733177,1.005466,0.812066,-0.014533,-0.023090,-0.023117
01012,9.748997,1.051633,0.795597,0.005023,-0.027842,-0.022176
01013,9.787937,1.089809,0.780270,0.007832,-0.030859,-0.016750
01014,9.789493,1.105547,0.824441,-0.004992,-0.019431,-0.011414
01015,9.803045,1.129009,0.738878,-0.012633,-0.014068,-0.009884
01016,9.795141,1.107492,0.745161,-0.024715,-0.005291,-0.002927
01017,9.739529,1.086701,0.702401,-0.033486,0.001646,-0.001477
01018,9.725207,1.056945,0.763672,-0.035847,0.002873,-0.002701
01019,9.777700,1.049117,0.714086,-0.038106,0.006023,-0.002866
01020,9.822276,1.019361,0.671696,-0.033749,0.007305,-0.003580
01021,9.815030,1.004464,0.703472,-0.026238,0.016124,-0.000364
01022,9.830877,0.981466,0.737119,-0.016318,0.014225,0.004042
01023,9.822758,1.025793,0.699967,-0.004362,0.019628,0.001839
01024,9.821170,1.011208,0.655187,0.003200,0.018952,0.005027
01025,9.751854,1.034053,0.651898,0.012177,0.015856,0.005700
01026,9.751102,1.026452,0.629516,0.012228,0.006365,0.005666
01027,9.766334,0.995954,0.638316,0.013323,-0.000011,0.010429
01028,9.813300,1.053007,0.618917,0.011134,0.000258,0.016012
