// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Roll,Pitch,Yaw
13075,,9.397337,-2.409678,1.889171,-0.020257,0.009368,-0.014952,-51.912586,-71.951053,22.130749
13076,,9.412732,-2.458396,1.818645,-0.017715,0.009300,-0.016675,-51.935614,-72.051861,22.304921
13077,,9.441734,-2.492321,1.858009,-0.011906,0.004230,-0.010040,-51.925594,-72.054895,22.287218
13078,,9.456848,-2.468711,1.837250,-0.004480,0.009116,-0.010781,-51.903232,-72.056316,22.260680
13079,,9.454808,-2.495872,1.890726,-0.000939,0.006565,-0.007894,-51.886010,-72.057554,22.242012
13080,,9.481648,-2.425408,1.873162,0.000071,0.007534,-0.001043,-51.875000,-72.055243,22.230417
13081,,9.456551,-2.394866,1.888912,-0.009006,0.006561,-0.000597,-51.870377,-72.053191,22.220134
13082,,9.459551,-2.419463,1.865116,-0.017418,0.007611,-0.002225,-51.868093,-72.051433,22.207167
13083,,9.413479,-2.435616,1.900452,-0.016574,0.010832,0.001286,-51.863925,-72.047021,22.192804
13084,,9.413263,-2.435947,1.901096,-0.014032,0.010767,-0.000436,-51.857652,-72.043243,22.177645
13085,,9.413130,-2.436223,1.901398,-0.016206,0.003495,0.000197,-51.862293,-72.041917,22.172763
13086,,9.409914,-2.411979,1.925816,-0.008780,0.008383,-0.000539,-51.856450,-72.038704,22.161195
13087,,9.396891,-2.406857,1.894974,-0.004123,0.011509,0.000390,-51.843243,-72.034455,22.144827
13088,,9.418677,-2.412624,1.904803,-0.002814,0.008654,-0.008241,-51.824691,-72.034364,22.123543
13089,,9.415565,-2.387541,1.929726,0.000951,0.007930,-0.005297,-51.807345,-72.033941,22.105881
13090,,9.440515,-2.417503,1.915491,0.002674,0.011549,-0.006044,-51.783086,-72.031641,22.081999
13091,,9.446415,-2.393142,1.918079,0.002889,0.009922,-0.008230,-51.758663,-72.031827,22.058064
13092,,9.446388,-2.392467,1.919057,0.001177,0.009755,-0.005240,-51.737863,-72.029660,22.036992
13093,,9.455393,-2.392674,1.897469,0.003945,0.011516,-0.006904,-51.712078,-72.028678,22.012261
13094,,9.480422,-2.422261,1.883412,0.004601,0.010088,-0.011219,-51.681545,-72.029179,21.983091
13095,,9.471534,-2.420069,1.906907,0.006910,0.004747,-0.015240,-51.654307,-72.034342,21.958619
13096,,9.480776,-2.419484,1.885200,0.006097,0.011879,-0.012022,-51.620378,-72.034580,21.926727
13097,,9.453085,-2.435661,1.875986,0.003604,0.012568,-0.015828,-51.583536,-72.037215,21.890168
13098,,9.444083,-2.433424,1.900086,0.006546,0.015527,-0.011907,-51.546175,-72.036116,21.854721
13099,,9.459060,-2.409470,1.880477,0.007983,0.013242,-0.009427,-51.512916,-72.035625,21.824566
13100,,9.406176,-2.395725,1.886432,0.002670,0.011543,-0.006044,-51.491394,-72.033114,21.803337
13101,,9.455697,-2.383704,1.907219,-0.000697,0.015286,-0.003350,-51.466988,-72.029158,21.777260
13102,,9.442655,-2.378195,1.877217,-0.008436,0.021802,-0.004814,-51.439153,-72.022598,21.742699
13103,,9.464279,-2.384040,1.887724,-0.007672,0.014044,-0.002505,-51.421423,-72.018697,21.719440
13104,,9.445390,-2.402167,1.855993,-0.008218,0.020173,-0.006999,-51.394318,-72.014377,21.686001
13105,,9.417420,-2.419261,1.847124,-0.002135,0.017565,-0.005828,-51.364948,-72.010698,21.653847
13106,,9.417310,-2.418490,1.848694,0.001901,0.015844,-0.010592,-51.336592,-72.009981,21.624431
13107,,9.438163,-2.371047,1.830638,0.004833,0.015353,-0.008913,-51.302880,-72.008465,21.591904
