// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Roll,Pitch,Yaw
46305,,9.552519,-1.505406,2.239546,-0.014293,0.016058,-0.009190,-33.921433,-74.227935,18.999603
46306,,9.562279,-1.478621,2.280833,-0.009132,0.013462,-0.010715,-32.968399,-74.133180,18.439930
46307,,9.554456,-1.461755,2.243565,-0.011486,0.012121,-0.010275,-33.431506,-74.180892,18.687815
46308,,9.543787,-1.461848,2.277497,-0.011302,0.013519,-0.009527,-33.406847,-74.177433,18.655455
46309,,9.577318,-1.462746,2.271198,-0.016837,0.013321,-0.009496,-33.384441,-74.175493,18.622468
46310,,9.538542,-1.473712,2.259431,-0.010661,0.009638,-0.009427,-33.363919,-74.173852,18.594789
46311,,9.567190,-1.487668,2.232812,-0.009465,0.009948,-0.007085,-33.346090,-74.171352,18.570639
46312,,9.595161,-1.476142,2.279450,-0.006206,0.015326,-0.012538,-33.311462,-74.167962,18.530950
46313,,9.538171,-1.471352,2.262534,-0.002198,0.011698,-0.011284,-33.280430,-74.166017,18.497405
46314,,9.522583,-1.484170,2.276441,-0.002199,0.011699,-0.011283,-33.249669,-74.163958,18.464122
46315,,9.548546,-1.468392,2.231812,-0.003396,0.011389,-0.013624,-33.215482,-74.162849,18.426602
46316,,9.553460,-1.454006,2.252823,0.000178,0.009367,-0.015353,-33.179073,-74.163174,18.388863
46317,,9.566722,-1.481007,2.239238,-0.004989,0.011961,-0.013828,-33.144654,-74.162115,18.350168
46318,,9.559115,-1.463365,2.201688,-0.004753,0.006008,-0.020346,-33.106329,-74.165602,18.307499
46319,,9.569584,-1.507078,2.259036,-0.005175,0.010565,-0.014574,-33.073017,-74.165912,18.269788
46320,,9.572502,-1.488883,2.188644,-0.002755,0.007509,-0.013524,-33.043422,-74.166533,18.237384
46321,,9.603308,-1.506192,2.253180,-0.002137,0.007301,-0.009793,-33.021884,-74.167271,18.213580
46322,,9.590700,-1.502327,2.195503,-0.002532,0.008182,-0.007656,-33.001359,-74.165730,18.190738
46323,,9.577291,-1.473427,2.210857,-0.002926,0.009062,-0.005519,-32.987933,-74.164723,18.174711
46324,,9.592678,-1.459124,2.198757,-0.008645,0.007461,-0.006239,-32.974109,-74.163083,18.155194
46325,,9.527290,-1.413833,2.215880,-0.010448,0.010310,-0.003558,-32.968380,-74.161800,18.142573
46326,,9.553020,-1.445348,2.260244,-0.016492,0.005188,-0.000657,-32.971014,-74.159511,18.135489
46327,,9.532620,-1.472153,2.253116,-0.018095,0.002811,-0.009614,-32.966399,-74.164403,18.119581
46328,,9.560946,-1.414542,2.209253,-0.010574,0.001565,-0.011573,-32.951121,-74.167257,18.097403
46329,,9.527377,-1.412174,2.216563,-0.013363,0.001827,-0.014119,-32.936671,-74.174779,18.074130
46330,,9.564076,-1.441577,2.227260,-0.010729,-0.003505,-0.015956,-32.919592,-74.181437,18.049989
46331,,9.530643,-1.438876,2.234222,-0.006603,-0.001333,-0.015438,-32.901529,-74.191729,18.027035
46332,,9.584956,-1.412186,2.233930,-0.010943,-0.001228,-0.013069,-32.886932,-74.196390,18.005349
46333,,9.522639,-1.395249,2.268415,-0.016339,0.000693,-0.017411,-32.867526,-74.207190,17.975376
46334,,9.588152,-1.439017,2.251849,-0.024879,0.003026,-0.017041,-32.849444,-74.211032,17.941768
46335,,9.534246,-1.463852,2.251642,-0.032727,0.000746,-0.011459,-32.846948,-74.220393,17.919795
46336,,9.586330,-1.479915,2.249641,-0.031649,0.006189,-0.015715,-32.831494,-74.222304,17.884893
46337,,9.555497,-1.507018,2.275245,-0.029044,0.004531,-0.013918,-32.821723,-74.230512,17.857430
46338,,9.527630,-1.516953,2.229568,-0.027058,0.003086,-0.015851,-32.806820,-74.233977,17.825854
46339,,9.480709,-1.486376,2.251437,-0.026484,0.003607,-0.017237,-32.794407,-74.241912,17.796852
46340,,9.555983,-1.504484,2.274880,-0.030570,0.000701,-0.012638,-32.789629,-74.245502,17.773708
46341,,9.584119,-1.493201,2.320312,-0.029055,0.004537,-0.013911,-32.782621,-74.252439,17.748786
46342,,9.545539,-1.504288,2.307873,-0.032534,0.012354,-0.012904,-32.765669,-74.250514,17.711831
46343,,9.553955,-1.545127,2.273839,-0.034527,0.013802,-0.010967,-32.756232,-74.249864,17.680871
46344,,9.525821,-1.555670,2.228932,-0.022571,0.010991,-0.005066,-32.748449,-74.246165,17.659365
46345,,9.594992,-1.562761,2.306204,-0.017170,0.009064,-0.000728,-32.761097,-74.243420,17.661543
46346,,9.628365,-1.564888,2.299801,-0.018393,0.015354,0.009329,-32.770755,-74.233146,17.660655
46347,,9.578518,-1.579181,2.321452,-0.017705,0.024604,0.015978,-32.798281,-74.215601,17.677270
46348,,9.624702,-1.611104,2.301751,-0.015926,0.028357,0.025693,-32.820112,-74.193969,17.690503
46349,,9.555416,-1.540319,2.302630,-0.021648,0.029685,0.033729,-32.881777,-74.167211,17.740782
46350,,9.533140,-1.499890,2.281648,-0.023426,0.031790,0.041537,-32.930900,-74.138961,17.777933
46351,,9.521659,-1.577140,2.333468,-0.036984,0.038118,0.044196,-33.006333,-74.105005,17.833039
46352,,9.546855,-1.638627,2.307036,-0.029025,0.035264,0.045219,-33.060718,-74.073919,17.872347
46353,,9.583917,-1.631736,2.322904,-0.012187,0.033598,0.042262,-33.124218,-74.040889,17.928586
46354,,9.558853,-1.562124,2.284475,-0.005709,0.037114,0.042364,-33.158030,-74.009796,17.960393
46355,,9.548939,-1.524841,2.322502,-0.005459,0.031182,0.035827,-33.218213,-73.978411,18.018908
46356,,9.576645,-1.542452,2.297910,0.001712,0.027141,0.032366,-33.241756,-73.955204,18.044469
46357,,9.552540,-1.542943,2.274848,0.005296,0.025121,0.030637,-33.290922,-73.928503,18.097983
46358,,9.567943,-1.392817,2.323626,0.004694,0.022417,0.018141,-33.294139,-73.912018,18.104181
46359,,9.541928,-1.434123,2.298242,-0.006060,0.025564,0.014569,-33.317153,-73.891117,18.123420
46360,,9.525632,-1.449252,2.313119,0.001698,0.022037,0.009722,-33.308583,-73.877443,18.115576
46361,,9.542810,-1.393880,2.304673,-0.000505,0.022833,0.005786,-33.310225,-73.860009,18.113812
46362,,9.555500,-1.422651,2.292413,-0.003760,0.028392,0.003907,-33.288285,-73.845073,18.088766
46363,,9.586285,-1.466636,2.286054,0.000951,0.031078,0.003056,-33.270938,-73.828129,18.073281
46364,,9.580658,-1.479973,2.269044,0.002499,0.034173,0.006913,-33.244270,-73.809489,18.047072
46365,,9.559351,-1.507444,2.264905,-0.000511,0.036722,0.007258,-33.228265,-73.791930,18.035998
46366,,9.622404,-1.528742,2.325335,-0.003501,0.038530,0.012721,-33.210186,-73.769428,18.015233
46367,,9.586461,-1.595684,2.261189,-0.002788,0.044119,0.015743,-33.196883,-73.745753,18.001827
46368,,9.599724,-1.630448,2.342107,0.003730,0.046146,0.026097,-33.188594,-73.715446,17.995608
46369,,9.624644,-1.669759,2.482043,0.003820,0.054148,0.039278,-33.201082,-73.679713,18.011594
46370,,9.686211,-1.694778,2.545019,0.006988,0.068344,0.060183,-33.222863,-73.628125,18.038677
46371,,9.709257,-1.666582,2.671627,-0.000825,0.087243,0.085517,-33.288027,-73.557314,18.109046
46372,,9.791431,-1.771063,2.780618,-0.003530,0.120384,0.119602,-33.356212,-73.462091,18.178321
46373,,9.919319,-1.914284,2.962989,-0.011951,0.159995,0.166155,-33.464160,-73.326387,18.280583
46374,,9.989030,-2.012164,3.042379,-0.008868,0.217396,0.221660,-33.593000,-73.152456,18.410090
46375,,10.090618,-1.985010,3.271121,-0.036738,0.274412,0.292940,-33.796945,-72.916107,18.605635
46376,,10.297673,-2.018200,3.543219,-0.063002,0.352189,0.366141,-34.032188,-72.631671,18.814450
46377,,10.486093,-2.126188,3.690899,-0.080154,0.438411,0.468803,-34.332586,-72.250000,19.084283
46378,,10.409632,-2.355641,3.828787,-0.079890,0.532221,0.590589,-34.705918,-71.807060,19.428970
46379,,10.267840,-2.686907,3.897432,-0.042294,0.604850,0.710934,-35.130058,-71.252207,19.854221
46380,,10.277855,-2.931524,4.052512,0.032153,0.657691,0.827065,-35.600271,-70.670606,20.371466
46381,,10.389977,-3.008700,4.169917,0.112257,0.724630,0.931148,-36.051158,-69.978806,20.923854
46382,,10.444744,-3.008945,4.372519,0.179682,0.783290,1.024034,-36.507447,-69.269830,21.520780
46383,,10.516797,-3.104289,4.574949,0.226169,0.849693,1.101447,-36.916672,-68.448870,22.107529
46384,,10.555798,-3.157532,4.703902,0.255110,0.925669,1.176396,-37.310388,-67.619288,22.690081
46385,,10.496251,-3.188215,4.785620,0.274201,0.994244,1.233508,-37.643571,-66.670720,23.242710
46386,,10.305298,-3.216818,4.839011,0.274218,1.065274,1.281473,-37.954577,-65.738524,23.754862
46387,,10.120385,-3.259852,4.843407,0.265271,1.119674,1.321721,-38.196858,-64.705620,24.201208
46388,,9.936415,-3.358257,4.795676,0.253452,1.168414,1.339353,-38.439105,-63.704873,24.632118
46389,,9.714230,-3.493992,4.809933,0.253457,1.211746,1.346034,-38.588180,-62.613957,24.971045
46390,,9.461257,-3.694498,4.872134,0.261420,1.248103,1.354703,-38.739476,-61.571130,25.312309
46391,,9.275438,-3.875066,4.910403,0.280602,1.266698,1.353830,-38.810728,-60.442192,25.591184
46392,,9.234446,-4.119821,5.049859,0.298140,1.300002,1.363866,-38.884032,-59.372630,25.873943
46393,,9.169209,-4.343249,5.126193,0.328316,1.326812,1.382744,-38.890391,-58.215269,26.124499
46394,,9.137992,-4.475028,5.201768,0.360053,1.359316,1.402046,-38.899158,-57.105759,26.379729
46395,,8.987483,-4.500424,5.207361,0.379591,1.392668,1.426257,-38.858879,-55.896988,26.613484
46396,,8.835881,-4.466478,5.206394,0.376790,1.428255,1.452702,-38.837774,-54.738950,26.851119
46397,,8.647472,-4.497566,5.250910,0.354265,1.458807,1.470633,-38.797976,-53.485274,27.079183
46398,,8.565905,-4.697448,5.323255,0.336309,1.486848,1.495760,-38.782447,-52.286072,27.302242
46399,,8.434305,-4.916385,5.414484,0.324303,1.511603,1.524708,-38.757261,-50.997793,27.528942
46400,,8.281997,-5.059143,5.547731,0.328502,1.533052,1.553457,-38.742881,-49.757825,27.755611
46401,,8.056249,-5.119340,5.726855,0.336588,1.560180,1.581864,-38.711416,-48.439317,27.996080
46402,,7.780177,-5.222847,5.968688,0.358480,1.580967,1.605763,-38.672802,-47.159785,28.222315
46403,,7.609489,-5.310891,6.071964,0.392353,1.596987,1.623066,-38.607314,-45.804103,28.467180
46404,,7.379883,-5.349028,6.298954,0.431649,1.609354,1.632446,-38.516637,-44.502999,28.689352
46405,,7.051023,-5.311803,6.347110,0.453649,1.629833,1.641770,-38.402666,-43.124965,28.908125
46406,,6.745935,-5.339406,6.403137,0.460988,1.627881,1.642981,-38.283899,-41.812473,29.124729
46407,,6.507759,-5.422489,6.457083,0.474046,1.637814,1.637450,-38.146994,-40.431580,29.332391
46408,,6.323222,-5.548399,6.592737,0.503769,1.640022,1.625045,-37.985448,-39.120737,29.532432
46409,,6.137137,-5.616119,6.665996,0.550934,1.639591,1.611428,-37.790293,-37.749459,29.726791
