// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Roll,Pitch,Yaw
06909,,9.756590,-1.587076,0.181168,0.008459,0.005505,0.000428,-83.812249,-81.167177,2.960077
06910,,9.707182,-1.632345,0.152381,0.015845,0.004652,-0.001227,-83.785629,-81.167588,2.942325
06911,,9.669186,-1.597617,0.183206,0.031134,-0.003819,0.002995,-83.779787,-81.166833,2.953838
06912,,9.718632,-1.552026,0.212690,0.030880,-0.005686,-0.006884,-83.780189,-81.171107,2.972150
06913,,9.736220,-1.533470,0.135680,0.027860,-0.003254,-0.007048,-83.772889,-81.175071,2.980928
06914,,9.736352,-1.532603,0.135963,0.030985,-0.000183,-0.009956,-83.751814,-81.180753,2.977566
06915,,9.710547,-1.485337,0.149042,0.029118,0.001540,-0.007675,-83.726945,-81.184657,2.969269
06916,,9.710693,-1.484326,0.149602,0.024676,0.001776,-0.012332,-83.701292,-81.191569,2.957617
06917,,9.698835,-1.494609,0.167891,0.012306,0.002309,-0.013321,-83.681505,-81.198739,2.944702
06918,,9.744176,-1.474621,0.144102,0.014166,-0.000442,-0.007767,-83.671847,-81.203190,2.943141
06919,,9.760668,-1.552652,0.137785,0.009193,0.005522,-0.012132,-83.642901,-81.209592,2.919144
06920,,9.736716,-1.574839,0.174240,0.015686,0.007256,-0.006352,-83.604577,-81.212748,2.889458
06921,,9.739248,-1.595264,0.162995,0.006338,0.005356,-0.007175,-83.581064,-81.215683,2.869273
06922,,9.798457,-1.633579,0.144881,0.011411,0.004893,-0.005886,-83.554049,-81.218720,2.848553
06923,,9.740017,-1.545435,0.129188,0.030116,0.003439,-0.010345,-83.524712,-81.222278,2.836212
06924,,9.716657,-1.518977,0.130513,0.034578,0.004235,-0.013516,-83.483603,-81.229698,2.814662
06925,,9.721518,-1.443015,0.149561,0.031275,0.002736,-0.007896,-83.460885,-81.231505,2.809602
06926,,9.724073,-1.463350,0.138149,0.021835,0.001618,-0.007367,-83.439281,-81.235593,2.800401
