// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Roll,Pitch,Yaw
30131,,9.190333,-3.191075,1.980811,0.025467,0.036173,0.035873,-58.186283,-67.785524,-13.695946
30132,,9.176114,-3.172555,1.930506,0.039016,0.033353,0.036538,-58.316577,-67.652663,-13.608356
30133,,9.213673,-3.082707,1.939607,0.046388,0.022396,0.039790,-58.292575,-67.626523,-13.605570
30134,,9.202173,-3.101860,1.971699,0.041410,0.025253,0.032036,-58.264466,-67.603036,-13.609996
30135,,9.190848,-3.125815,1.979871,0.043621,0.021886,0.032238,-58.237184,-67.580731,-13.612472
30136,,9.199375,-3.111076,1.954897,0.046291,0.025411,0.029074,-58.201622,-67.559191,-13.622202
30137,,9.185708,-3.086319,1.927877,0.047064,0.023699,0.024015,-58.164288,-67.540341,-13.633420
30138,,9.139926,-3.068271,1.926935,0.038927,0.021948,0.020864,-58.130898,-67.524455,-13.645338
30139,,9.193196,-3.056701,1.977228,0.029419,0.018890,0.023132,-58.108749,-67.507484,-13.651066
30140,,9.192398,-3.068476,1.932040,0.019462,0.019647,0.017249,-58.085900,-67.495045,-13.663533
30141,,9.246066,-3.072738,1.909992,0.017003,0.014236,0.024477,-58.077345,-67.478829,-13.662249
30142,,9.212855,-3.086549,1.914634,0.017859,0.020264,0.018578,-58.055553,-67.467102,-13.674545
30143,,9.179508,-3.095175,1.943149,0.023324,0.012722,0.026795,-58.046861,-67.450218,-13.669487
30144,,9.156199,-3.087384,1.942665,0.025929,0.008476,0.024490,-58.038582,-67.440764,-13.662147
30145,,9.197598,-3.060400,1.912911,0.030354,0.001715,0.024926,-58.037377,-67.428128,-13.644618
30146,,9.219003,-3.066518,1.940097,0.033156,0.001371,0.024767,-58.033245,-67.422599,-13.628267
30147,,9.193544,-3.004983,1.927347,0.026607,0.004803,0.018361,-58.025781,-67.412218,-13.619841
30148,,9.170462,-2.985910,1.973772,0.024707,-0.000439,0.016477,-58.021446,-67.413892,-13.608773
30149,,9.214786,-3.011244,1.955097,0.015751,0.002465,0.007709,-58.015164,-67.409397,-13.605802
30150,,9.248968,-3.042414,2.012423,0.007848,-0.001208,0.008654,-58.012923,-67.418014,-13.602502
30151,,9.204189,-3.023320,2.008367,0.005197,0.005977,0.000278,-58.003166,-67.416065,-13.609844
30152,,9.171983,-3.040606,1.987489,0.001699,0.001342,-0.000265,-57.990727,-67.430661,-13.620703
30153,,9.174230,-3.088694,2.023206,0.004723,-0.000909,0.003659,-57.991753,-67.429161,-13.616661
30154,,9.228599,-3.081155,2.046846,0.014244,-0.003651,0.003309,-57.978357,-67.445319,-13.620379
30155,,9.193982,-3.039717,2.037870,0.017322,-0.001019,-0.002370,-57.967895,-67.446778,-13.620962
30156,,9.191406,-2.975441,2.074264,0.014617,0.001284,-0.001146,-57.940439,-67.464549,-13.638969
30157,,9.171797,-3.017950,2.084109,0.006251,-0.001470,-0.017091,-57.926044,-67.473292,-13.650679
30158,,9.216871,-3.030396,2.112250,0.003959,-0.005844,-0.016450,-57.897068,-67.502361,-13.676672
30159,,9.239954,-3.043186,2.090826,-0.004545,0.009743,-0.030536,-57.865788,-67.514216,-13.713342
30160,,9.230902,-3.067573,2.072284,-0.006838,0.005371,-0.029898,-57.810934,-67.549167,-13.772110
30161,,9.169659,-3.137034,2.113235,-0.003642,0.004156,-0.032575,-57.784084,-67.563691,-13.803413
30162,,9.225393,-3.141998,2.065690,0.000144,0.005976,-0.035630,-57.713386,-67.600456,-13.873780
30163,,9.203960,-3.123652,2.088011,0.005135,0.008060,-0.037502,-57.673101,-67.616152,-13.914165
30164,,9.204683,-3.109527,2.136739,0.005720,0.011102,-0.037884,-57.591271,-67.651977,-13.993346
30165,,9.228231,-3.126218,2.092221,0.002940,0.005646,-0.035798,-57.556186,-67.667561,-14.029451
30166,,9.229200,-3.122764,2.093104,-0.002213,0.013235,-0.038884,-57.467470,-67.701750,-14.119083
30167,,9.220156,-3.141145,2.099326,-0.004241,0.020527,-0.036970,-57.417902,-67.713276,-14.175286
30168,,9.173488,-3.060237,2.108384,-0.013248,0.018533,-0.036140,-57.339032,-67.741716,-14.263253
30169,,9.154766,-3.111520,2.071403,-0.024475,0.019919,-0.035537,-57.302699,-67.752699,-14.317659
30170,,9.234930,-3.169006,2.086311,-0.033519,0.023738,-0.036652,-57.222628,-67.780680,-14.418334
30171,,9.148848,-3.181183,2.090349,-0.036370,0.029910,-0.038452,-57.178953,-67.789932,-14.488012
30172,,9.140159,-3.215879,2.025210,-0.033083,0.030668,-0.040065,-57.084212,-67.816068,-14.603380
30173,,9.175700,-3.254024,2.035896,-0.028417,0.022005,-0.035538,-57.047384,-67.826303,-14.660734
30174,,9.154043,-3.241457,2.035305,-0.016165,0.030585,-0.039911,-56.945668,-67.848757,-14.773145
30175,,9.186932,-3.225879,2.034867,-0.007083,0.020969,-0.036863,-56.896616,-67.859898,-14.830497
