// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
37846,9.732740,-1.732784,0.324185,-0.020975,0.014011,-0.020722
37847,9.733249,-1.716097,0.344642,-0.030629,0.015486,-0.021181
37848,9.708494,-1.777971,0.302001,-0.040259,0.016010,-0.014883
37849,9.708115,-1.840418,0.258698,-0.040262,0.007329,-0.011972
37850,9.732665,-1.859138,0.273336,-0.020939,0.005352,-0.008158
37851,9.732898,-1.863453,0.307643,-0.000005,0.000962,-0.001932
37852,9.757823,-1.794674,0.317240,0.003192,0.001908,-0.008697
37853,9.757924,-1.794122,0.317273,0.003206,-0.002425,-0.002417
37854,9.733760,-1.778877,0.336932,-0.000015,0.002886,-0.005795
37855,9.709510,-1.758466,0.322625,-0.000031,0.002878,-0.010620
37856,9.709687,-1.757452,0.322820,-0.009686,0.002903,-0.010596
37857,9.709671,-1.771260,0.303605,-0.012891,0.006775,-0.008664
37858,9.734370,-1.794631,0.353019,-0.008072,0.010134,-0.013023
37859,9.710023,-1.769082,0.305035,-0.016112,0.010638,-0.011557
37860,9.709924,-1.841401,0.330492,-0.004832,0.010618,-0.006758
37861,9.734446,-1.821409,0.316583,0.006431,0.007698,-0.005815
37862,9.783524,-1.806262,0.336754,0.012862,0.007199,-0.007277
37863,9.759277,-1.766320,0.308463,0.016077,0.008154,-0.009216
37864,9.735032,-1.765068,0.309785,0.020897,0.010067,-0.013089
37865,9.710973,-1.748887,0.330569,0.022501,0.006685,-0.013570
37866,9.711163,-1.747611,0.331729,0.022513,0.009102,-0.011161
37867,9.711247,-1.741480,0.298780,0.027328,0.007637,-0.015511
37868,9.687361,-1.710294,0.338957,0.028935,0.005702,-0.016476
37869,9.736541,-1.694292,0.359224,0.022511,0.005724,-0.011638
37870,9.736747,-1.712316,0.374858,0.017671,0.005722,-0.016454
37871,9.736900,-1.667028,0.312186,0.016067,0.009103,-0.015976
37872,9.737014,-1.699578,0.308765,0.016068,0.011996,-0.016948
37873,9.737302,-1.697690,0.310065,0.016058,0.009092,-0.020801
37874,9.713077,-1.729849,0.306764,0.012847,0.012961,-0.018875
37875,9.713369,-1.727998,0.307954,0.014454,0.006688,-0.018379
37876,9.713756,-1.711446,0.328466,0.022508,0.008610,-0.017432
37877,9.738497,-1.656324,0.319262,0.017686,0.003804,-0.012586
37878,9.763211,-1.659748,0.354115,0.008027,0.006707,-0.013543
37879,9.763243,-1.687854,0.315940,-0.006466,0.007682,-0.015453
37880,9.763394,-1.701110,0.297164,-0.011295,0.009133,-0.015932
37881,9.739236,-1.718979,0.312724,-0.016125,0.010583,-0.016412
37882,9.739490,-1.717346,0.313758,-0.008075,0.014916,-0.017883
37883,9.715344,-1.735136,0.329597,-0.017732,0.010584,-0.016410
37884,9.715483,-1.748576,0.310905,-0.012894,0.010593,-0.011591
37885,9.691290,-1.747201,0.311634,-0.009682,0.007200,-0.016895
37886,9.691486,-1.779993,0.307373,-0.000017,0.003829,-0.012555
37887,9.716198,-1.749511,0.346449,0.001599,0.000461,-0.008206
37888,9.740733,-1.729281,0.331660,-0.004840,0.000464,-0.008198
37889,9.740840,-1.762670,0.327022,-0.000012,0.001908,-0.008690
37890,9.716552,-1.761879,0.327525,-0.000010,0.007220,-0.007256
37891,9.692325,-1.760723,0.328182,-0.003241,0.005750,-0.016417
37892,9.716921,-1.793684,0.324089,-0.004843,0.009627,-0.009669
37893,9.692611,-1.841577,0.300743,-0.000015,0.007208,-0.012081
37894,9.692882,-1.845090,0.335808,0.017693,0.007207,-0.012100
37895,9.717420,-1.805031,0.307296,0.024135,0.006246,-0.010174
37896,9.717585,-1.823567,0.323158,0.033799,0.005773,-0.006804
37897,9.717701,-1.793600,0.363180,0.033808,0.004827,-0.000046
37898,9.717632,-1.808376,0.344611,0.024152,0.002421,0.002383
37899,9.693072,-1.838188,0.306571,0.024155,0.004841,0.004788
37900,9.717390,-1.838566,0.307280,0.032209,0.000016,0.004796
37901,9.717223,-1.819755,0.293298,0.037045,0.003412,0.010088
37902,9.717064,-1.844934,0.343257,0.038664,0.001984,0.015400
37903,9.741252,-1.889917,0.407930,0.040280,0.001514,0.018778
37904,9.765275,-1.906368,0.389282,0.046726,-0.001867,0.018303
37905,9.838020,-2.015810,0.410401,0.051574,-0.001340,0.029395
37906,9.837321,-1.999510,0.397011,0.080590,0.003515,0.038998
37907,9.787782,-1.944207,0.476823,0.098345,0.005019,0.052969
37908,9.689090,-1.861860,0.472907,0.082269,-0.004512,0.072335
37909,9.614268,-1.836369,0.355925,0.059741,-0.013068,0.089775
37910,9.733865,-2.035957,0.470045,0.035642,-0.011376,0.123083
37911,9.705393,-2.316547,0.522666,0.027685,0.005176,0.143253
37912,9.726419,-2.302535,0.440418,0.113130,-0.014326,0.152947
37913,9.845901,-2.228069,0.680123,0.103657,0.003768,0.182266
37914,9.913218,-2.388944,0.699678,0.069999,0.015239,0.210686
37915,10.028656,-2.504570,0.742877,0.060485,0.011190,0.241129
37916,10.218114,-2.488284,0.802979,0.036557,0.015508,0.276827
37917,10.211938,-2.439661,0.868156,-0.027435,0.041027,0.321551
37918,10.107741,-2.358367,0.780901,-0.104413,0.037484,0.384371
37919,10.073063,-2.401556,0.780269,-0.255352,0.034519,0.455419
37920,9.934559,-2.583702,0.601643,-0.391359,0.035497,0.533182
37921,9.940062,-2.742525,0.544682,-0.480455,0.017612,0.623572
37922,10.010358,-3.011622,0.678041,-0.589659,0.013724,0.725509
37923,9.980200,-3.219304,0.571498,-0.664577,0.009131,0.817824
37924,9.996606,-3.384926,0.572181,-0.690066,-0.023331,0.897989
37925,9.925348,-3.693456,0.457588,-0.781559,-0.021458,0.974068
37926,9.843909,-4.031569,0.175241,-0.770479,-0.033307,1.043762
37927,9.825922,-4.393353,0.079488,-0.633598,-0.060776,1.102015
37928,9.880515,-4.684058,0.105349,-0.471737,-0.059313,1.151993
37929,9.882181,-4.943299,0.055968,-0.267139,-0.064007,1.197913
37930,9.862399,-5.123893,-0.038269,-0.008163,-0.066271,1.235088
37931,9.881748,-5.176055,0.082354,0.242904,-0.052520,1.286225
37932,9.783577,-5.012312,0.078581,0.454327,-0.038612,1.323537
37933,9.730055,-4.759082,0.222590,0.563332,-0.018761,1.379238
37934,9.594496,-4.442839,0.183363,0.568655,-0.015650,1.427248
37935,9.524541,-4.221302,0.194835,0.485780,-0.014452,1.478894
37936,9.422675,-4.184389,0.151539,0.322028,-0.000470,1.527979
37937,9.356810,-4.327264,0.039609,0.170396,-0.006768,1.569187
37938,9.326741,-4.619992,-0.012802,0.033669,-0.010184,1.611059
37939,9.298808,-4.969983,-0.095756,-0.063173,-0.007772,1.658034
37940,9.258775,-5.146462,-0.153763,-0.053242,-0.014235,1.689042
37941,9.256317,-5.271927,0.044002,-0.028111,-0.007381,1.723311
37942,9.162774,-5.434797,0.164738,-0.062286,0.031524,1.765012
37943,8.923486,-5.633783,0.221590,-0.105074,0.053594,1.804924
37944,8.696566,-5.775752,0.146419,-0.127626,0.053224,1.830236
37945,8.458325,-5.863976,-0.080215,-0.104003,0.035761,1.832557
37946,8.347811,-6.020903,-0.170616,-0.064114,0.025241,1.841508
37947,8.197210,-6.327269,-0.180117,-0.019796,0.011979,1.851124
37948,8.164282,-6.648627,0.029824,0.097899,0.003536,1.842785
37949,8.164204,-6.881431,0.301055,0.281522,0.009043,1.818508
37950,8.037895,-6.972279,0.353635,0.465677,0.023163,1.791046
37951,7.978748,-7.089859,0.298286,0.647633,0.036575,1.770317
37952,7.855289,-7.222204,0.321355,0.848251,0.055730,1.746158
37953,7.685263,-7.184241,0.237767,1.069066,0.056035,1.706771
37954,7.506140,-6.925494,0.117288,1.231060,0.051850,1.678846
37955,7.340770,-6.755334,0.058653,1.324842,0.040866,1.664222
37956,7.087063,-6.633858,0.228078,1.352111,0.021931,1.638087
37957,7.000436,-6.566209,0.434991,1.314617,0.002178,1.609357
37958,6.985267,-6.572402,0.601782,1.255590,-0.000243,1.572564
37959,6.782040,-6.497047,0.888522,1.198916,0.007852,1.532964
37960,6.711128,-6.546309,0.985237,1.118082,0.001089,1.495613
37961,6.608310,-6.647090,1.003708,1.035038,0.002262,1.453231
37962,6.468342,-6.799931,0.981937,0.992493,0.017901,1.411322
37963,6.348118,-6.878374,0.996640,0.988278,0.018013,1.359483
37964,6.113165,-6.721866,0.891466,0.974433,0.019897,1.295189
37965,5.986494,-6.378792,0.920582,0.918995,0.005684,1.248020
37966,5.909973,-6.156442,1.083856,0.783138,0.000391,1.199138
37967,5.877988,-6.049237,1.173024,0.597115,-0.002186,1.146346
37968,5.810841,-6.178966,1.225266,0.421569,-0.009358,1.106356
37969,5.843451,-6.394571,1.177680,0.274258,-0.019076,1.067871
37970,5.839398,-6.624680,1.052098,0.190750,-0.016693,1.020880
37971,5.836943,-6.974716,1.054826,0.172853,0.002555,0.975428
37972,5.709011,-7.207033,1.251859,0.255468,0.010002,0.913153
37973,5.655717,-7.166717,1.303236,0.355934,0.000428,0.834383
37974,5.586254,-6.978255,1.294623,0.423272,0.007404,0.766017
37975,5.400597,-6.735019,1.291906,0.470949,0.018948,0.697503
37976,5.281778,-6.495941,1.292914,0.441057,0.005296,0.634222
37977,5.279519,-6.411947,1.345966,0.353028,-0.003053,0.569385
37978,5.337934,-6.532820,1.277649,0.265175,-0.022672,0.507436
37979,5.442346,-6.797639,1.118677,0.228072,-0.036490,0.440339
37980,5.395833,-6.972789,1.129351,0.232167,-0.051932,0.390855
37981,5.302328,-7.039599,1.231021,0.274538,-0.068350,0.329870
37982,5.332860,-6.951871,1.344750,0.308391,-0.084467,0.273295
37983,5.369013,-6.831469,1.611515,0.293858,-0.088663,0.226026
37984,5.484463,-6.847592,1.652913,0.246464,-0.094881,0.188997
37985,5.576304,-6.963073,1.648209,0.190607,-0.095287,0.152008
37986,5.554458,-7.088591,1.441376,0.149864,-0.109558,0.112246
37987,5.645204,-7.305191,1.269025,0.148460,-0.125381,0.084985
37988,5.760553,-7.370342,1.062911,0.189305,-0.147644,0.066674
37989,5.882786,-7.418282,1.275453,0.219262,-0.148752,0.043433
37990,5.893916,-7.426749,1.353929,0.204504,-0.154882,0.035402
37991,5.913334,-7.493634,1.439299,0.192344,-0.157854,0.036617
37992,5.940263,-7.537524,1.608213,0.171318,-0.156288,0.038607
37993,5.903317,-7.288218,1.680213,0.152510,-0.157633,0.025083
37994,5.898575,-7.273479,1.782123,0.082071,-0.150985,0.012287
37995,5.767470,-7.231524,1.763637,0.018885,-0.152703,0.000755
37996,5.754324,-7.213512,1.750688,-0.037748,-0.157857,-0.019153
37997,5.879517,-7.490692,1.815954,-0.092533,-0.150587,-0.026725
37998,6.073821,-7.825525,1.767613,-0.101841,-0.142842,-0.027338
37999,6.048473,-8.143379,1.830034,-0.026170,-0.132947,-0.021433
38000,5.959423,-8.230153,2.006116,0.089867,-0.135137,-0.016842
38001,5.857525,-8.102235,2.126309,0.167634,-0.134178,-0.019909
38002,5.753109,-7.928018,2.139642,0.192616,-0.135126,-0.024427
38003,5.869168,-8.031637,2.272503,0.190692,-0.116438,-0.022006
38004,6.014372,-8.055746,2.502000,0.203736,-0.096688,-0.022079
38005,6.145163,-7.885201,2.754840,0.164829,-0.096668,0.005308
38006,6.234467,-8.091017,2.650363,0.037389,-0.109415,0.039349
38007,6.308193,-8.555028,2.141907,0.056728,-0.081375,0.058339
38008,6.053294,-8.713358,2.212046,0.182325,-0.075892,0.091106
38009,5.896761,-8.567521,2.320085,0.249735,-0.101887,0.102562
38010,6.015536,-8.568033,2.427122,0.237276,-0.100365,0.127792
38011,6.276757,-8.791529,2.431372,0.213145,-0.109501,0.172885
38012,6.663832,-8.945891,2.533392,0.218393,-0.102179,0.226459
38013,6.805257,-9.208079,2.381773,0.214597,-0.081199,0.302493
38014,6.736728,-9.599264,2.386504,0.250429,-0.065333,0.398348
38015,6.582251,-9.970202,2.357405,0.321730,-0.070027,0.494473
38016,6.477358,-10.162777,2.467208,0.408290,-0.087317,0.591631
38017,6.366100,-10.279823,2.623096,0.450464,-0.109594,0.692434
38018,6.287069,-10.401865,2.747436,0.456545,-0.132849,0.790065
38019,6.172840,-10.576925,2.897342,0.444912,-0.140288,0.890375
38020,5.951336,-10.815894,2.988006,0.464537,-0.143321,1.003745
38021,5.627145,-11.009468,3.039812,0.531752,-0.166930,1.091505
38022,5.397190,-11.107904,3.119457,0.614537,-0.199081,1.190155
38023,5.298142,-11.230396,3.144499,0.696214,-0.215728,1.282011
38024,5.150045,-11.546031,3.149498,0.772498,-0.210261,1.389279
38025,4.936629,-11.752991,3.114171,0.937490,-0.218563,1.489725
38026,4.819234,-11.649139,3.276982,1.093996,-0.240312,1.577566
38027,4.736858,-11.634429,3.454016,1.168611,-0.243629,1.684691
38028,4.600818,-11.627385,3.604908,1.221733,-0.236231,1.789757
38029,4.559682,-11.516992,3.890263,1.244863,-0.234354,1.889618
38030,4.440610,-11.560066,3.877227,1.231470,-0.231553,1.997900
38031,4.253237,-11.417276,3.828808,1.237112,-0.223371,2.093867
38032,3.971822,-11.312667,3.737827,1.229536,-0.227000,2.183566
38033,3.660694,-11.276057,3.556166,1.202116,-0.246182,2.270706
38034,3.414713,-11.243444,3.424384,1.240009,-0.281582,2.343022
38035,3.308910,-11.287077,3.362004,1.247766,-0.305617,2.408446
38036,3.231137,-11.244515,3.451483,1.312708,-0.330884,2.473754
38037,3.170952,-11.133183,3.738212,1.354998,-0.326742,2.533735
38038,3.032132,-10.879011,4.052590,1.331957,-0.299577,2.600091
38039,2.892490,-10.387767,4.244504,1.231407,-0.275309,2.660254
38040,2.642096,-9.759673,4.485734,1.049231,-0.255914,2.726046
38041,2.189763,-9.348459,4.382739,0.745439,-0.238274,2.780870
38042,1.807908,-9.382590,4.082109,0.487658,-0.247179,2.819943
38043,1.509131,-9.684682,3.838485,0.347452,-0.265583,2.849962
38044,1.270955,-10.225270,3.748281,0.332651,-0.283477,2.885738
38045,1.040783,-10.677881,3.793358,0.399486,-0.290538,2.938951
38046,0.804417,-10.718506,4.008555,0.526863,-0.318751,2.971091
38047,0.662641,-10.546592,4.240497,0.548616,-0.334413,2.993527
38048,0.388503,-10.564348,4.143816,0.522601,-0.340846,3.040636
38049,0.086771,-10.482128,4.096209,0.584148,-0.357993,3.059939
38050,-0.239543,-10.490108,4.279514,0.671314,-0.374484,3.062402
38051,-0.667459,-10.431275,4.548656,0.825325,-0.395954,3.072566
38052,-1.034744,-10.315613,4.707027,0.969487,-0.430053,3.066051
38053,-1.329002,-10.159118,4.668636,1.041342,-0.469453,3.102342
38054,-1.512317,-9.809532,4.702832,1.144910,-0.503140,3.126024
38055,-1.672115,-9.390472,4.826249,1.135808,-0.527456,3.137850
38056,-1.911012,-9.111844,4.900355,1.094431,-0.550031,3.144711
38057,-2.205702,-8.875990,5.078820,1.061792,-0.569459,3.139065
38058,-2.587483,-8.755616,5.126392,1.000504,-0.588104,3.137301
38059,-2.889159,-8.724884,4.936409,1.032902,-0.615248,3.106703
38060,-3.107478,-8.762444,4.805796,1.132928,-0.648626,3.074381
38061,-3.245913,-8.695923,4.753191,1.295802,-0.684011,3.036219
38062,-3.336662,-8.396452,5.044478,1.560126,-0.701128,2.980660
38063,-3.443554,-7.979216,5.603178,1.757525,-0.700549,2.928510
38064,-3.494040,-7.545410,6.021540,1.893471,-0.680835,2.879487
38065,-3.610218,-7.322146,6.039763,1.878993,-0.653495,2.838752
38066,-3.650012,-7.259180,5.594797,1.944864,-0.631530,2.794753
38067,-3.789606,-6.937387,5.392252,2.135891,-0.600202,2.745560
38068,-3.875055,-6.434729,5.240794,2.345995,-0.578283,2.682774
38069,-3.996878,-5.911780,5.321084,2.549671,-0.548740,2.627307
38070,-4.106390,-5.337935,5.588681,2.695833,-0.529409,2.565504
38071,-4.272816,-4.782588,5.826561,2.763945,-0.512512,2.510340
38072,-4.355918,-4.285009,6.123087,2.708264,-0.477012,2.435427
38073,-4.207398,-4.026022,6.237466,2.499305,-0.454342,2.357134
38074,-4.057468,-3.988856,6.269974,2.297247,-0.410734,2.306570
38075,-4.032306,-4.159168,5.903258,2.236940,-0.369780,2.247421
38076,-4.032006,-4.253206,5.785216,2.344344,-0.327057,2.209515
38077,-4.102324,-4.197803,5.680489,2.513936,-0.277878,2.158627
38078,-4.119595,-3.912123,5.502795,2.729571,-0.234093,2.106287
38079,-3.927643,-3.431093,5.533374,3.023816,-0.173636,2.058214
38080,-3.741428,-2.682895,5.297067,3.327914,-0.104879,2.010523
38081,-3.560095,-1.899428,5.247975,3.643999,-0.009893,1.954371
38082,-3.528129,-1.149017,5.430335,3.910632,0.101253,1.921653
38083,-3.625425,-0.465906,5.741914,3.986756,0.183013,1.883360
38084,-3.673416,0.059189,6.035171,3.765159,0.257902,1.830769
38085,-3.930987,0.534141,6.178848,3.226448,0.327598,1.770602
38086,-3.985033,0.689063,6.216046,2.628968,0.334825,1.654076
38087,-3.749167,0.698617,5.922316,2.289536,0.363335,1.574917
38088,-3.576615,0.635856,5.912906,2.336336,0.405249,1.499612
38089,-3.676374,0.869907,5.800184,2.391446,0.443937,1.440990
38090,-3.661151,1.084930,5.633843,2.448687,0.454219,1.374735
38091,-3.566362,1.372202,5.484665,2.559900,0.496403,1.335177
38092,-3.593192,1.748376,5.152333,2.658911,0.507769,1.299670
38093,-3.707551,2.222503,5.235657,2.709722,0.521716,1.261617
38094,-3.956925,2.769334,5.136109,2.653032,0.504381,1.213202
38095,-4.221380,3.513364,5.333107,2.499358,0.479514,1.118410
38096,-4.142843,4.092501,5.792590,1.973529,0.445420,1.028163
38097,-4.073822,4.153568,5.511102,1.489348,0.388995,0.959560
38098,-3.944581,4.048146,5.434182,1.281243,0.360925,0.895161
38099,-4.016210,3.864025,5.424901,1.098605,0.314746,0.844498
38100,-4.089839,3.647985,5.372965,0.994781,0.271901,0.794218
38101,-4.184158,3.700488,5.162636,0.966530,0.217654,0.743153
38102,-3.989047,3.711154,5.111910,0.903536,0.167030,0.687067
38103,-3.986767,3.739435,4.949225,0.899810,0.129887,0.637853
38104,-4.018522,3.933569,4.871010,0.912446,0.084097,0.593707
38105,-4.061050,4.130558,4.966583,0.923984,0.043653,0.549043
38106,-3.996981,4.365182,5.032568,0.938240,0.013430,0.498981
38107,-3.960925,4.638712,5.186804,0.941576,-0.016833,0.433573
38108,-3.912319,4.928778,5.217104,0.854468,-0.040365,0.363987
38109,-3.840997,5.147019,5.193533,0.738338,-0.066014,0.295894
38110,-3.721556,5.409710,5.066284,0.577777,-0.104259,0.230653
38111,-3.612341,5.607177,4.896115,0.371847,-0.136391,0.154674
38112,-3.546335,5.751827,4.690122,0.146555,-0.170675,0.079096
38113,-3.480238,5.912135,4.583501,-0.058466,-0.201434,-0.005921
38114,-3.471274,5.865372,4.428854,-0.343314,-0.233956,-0.093771
