// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
62829,9.748830,-1.468733,1.017436,0.007431,0.009767,-0.010669
62830,9.745279,-1.443719,1.013722,0.001604,0.010802,-0.016104
62831,9.752679,-1.489556,1.024359,-0.000909,0.011065,-0.014329
62832,9.707786,-1.454319,0.978755,-0.002678,0.013388,-0.011513
62833,9.730606,-1.448415,0.987103,-0.006306,0.011915,-0.008666
62834,9.711467,-1.476329,0.985691,-0.005278,0.010239,-0.007252
62835,9.723071,-1.502720,0.968533,-0.007421,0.010177,-0.007593
62836,9.776645,-1.495513,0.960673,-0.009137,0.004513,-0.007377
62837,9.795189,-1.510165,0.996075,-0.007421,0.010176,-0.007593
62838,9.825976,-1.507696,0.981316,-0.004535,0.009588,-0.011481
62839,9.764983,-1.568994,0.970103,-0.000480,0.008169,-0.008499
62840,9.814912,-1.537949,0.957635,0.003946,0.006425,-0.007632
62841,9.761401,-1.544092,0.966543,0.005399,0.001860,-0.000390
62842,9.722658,-1.542444,1.005226,0.006939,0.000705,0.004366
62843,9.696097,-1.524308,0.993496,0.001769,0.003097,0.007727
62844,9.722397,-1.543979,1.005404,0.003878,-0.005527,0.013226
62845,9.737044,-1.537182,1.034889,0.000762,-0.006483,0.019414
62846,9.783019,-1.485420,1.016245,0.004445,-0.007580,0.024511
62847,9.831948,-1.501672,1.034665,0.002959,-0.008994,0.027698
62848,9.816730,-1.512951,1.003852,-0.005609,-0.006532,0.031606
62849,9.819567,-1.480957,1.051195,-0.011892,-0.005877,0.036040
62850,9.766233,-1.447527,1.026176,-0.024549,-0.010684,0.042124
62851,9.764972,-1.496240,1.057001,-0.038743,-0.011629,0.048725
62852,9.840602,-1.490886,1.053936,-0.052275,-0.011233,0.064126
62853,9.881715,-1.465059,1.061465,-0.070833,-0.013033,0.077803
62854,9.941222,-1.515692,1.059995,-0.095286,-0.011828,0.099077
62855,10.023130,-1.564052,1.065225,-0.104321,-0.015864,0.123282
62856,9.966669,-1.688175,1.058856,-0.101982,-0.021028,0.152712
62857,9.936707,-1.731856,1.074753,-0.099390,-0.033356,0.198192
62858,9.952788,-1.726367,1.071217,-0.114404,-0.052039,0.240261
62859,10.105903,-1.869929,1.134212,-0.147267,-0.055475,0.310069
62860,10.220346,-1.990531,1.125845,-0.195498,-0.068003,0.384752
62861,10.312216,-2.221731,0.992633,-0.213090,-0.077167,0.472798
62862,10.419675,-2.546827,0.927960,-0.206174,-0.088876,0.560492
62863,10.591492,-2.952147,0.843549,-0.144165,-0.094363,0.658518
62864,10.657822,-3.337306,0.722667,-0.027154,-0.099265,0.756257
62865,10.800032,-3.700913,0.732985,0.139316,-0.104984,0.861642
62866,10.956373,-4.005604,0.721205,0.349074,-0.109006,0.971183
62867,11.137388,-4.425747,0.826972,0.591890,-0.080235,1.082694
62868,11.261845,-4.782423,0.977697,0.872033,-0.026770,1.188454
62869,11.214570,-4.972190,1.093867,1.178879,0.006265,1.303937
62870,11.288989,-4.928629,1.042780,1.471118,0.061123,1.414371
62871,11.275645,-4.938712,0.964170,1.710056,0.132132,1.518646
62872,11.327455,-4.963797,1.187560,1.898160,0.196220,1.621936
62873,11.214487,-4.939176,1.172515,2.056885,0.255222,1.727506
62874,11.207261,-4.765027,1.365744,2.153590,0.332216,1.829590
62875,11.038908,-4.891972,1.741769,2.175681,0.421646,1.924615
62876,10.944015,-5.149387,2.043974,2.192724,0.512029,2.020365
62877,10.954923,-5.716901,2.254630,2.197833,0.623057,2.097882
62878,10.907326,-6.043127,2.580611,2.272990,0.750404,2.176828
62879,10.789197,-6.115684,2.688327,2.369310,0.840810,2.232626
62880,10.525125,-5.708691,2.861106,2.409418,0.955885,2.255936
62881,9.991433,-5.111860,3.110659,2.290509,1.062645,2.280377
62882,9.440511,-4.581616,3.354977,2.014059,1.150142,2.292286
62883,8.983896,-4.504050,3.570833,1.613450,1.214572,2.339495
62884,8.918449,-5.141325,3.967931,1.246967,1.257149,2.392508
62885,8.735345,-6.143826,4.214217,0.945090,1.342065,2.463568
62886,8.628832,-7.200723,4.520451,0.858149,1.418226,2.515197
62887,8.467582,-7.650242,4.662412,0.960436,1.519260,2.545950
62888,8.288698,-7.857451,4.717714,1.141386,1.614999,2.553009
62889,7.986496,-7.976353,4.886123,1.310548,1.691209,2.594478
