// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
06820,9.803024,0.122196,0.839050,-0.004672,0.011379,-0.011265
06821,9.817825,0.175026,0.832423,-0.001634,0.016247,-0.008263
06822,9.818769,0.213168,0.854001,0.000836,0.015088,-0.010565
06823,9.803289,0.233661,0.879537,-0.011900,0.016716,-0.009165
06824,9.803125,0.234238,0.881206,-0.019658,0.016580,-0.005439
06825,9.818314,0.214959,0.858779,-0.021219,0.013821,-0.004004
06826,9.800281,0.231831,0.860125,-0.022363,0.015331,-0.005256
06827,9.798652,0.266232,0.857635,-0.023699,0.014982,-0.001699
06828,9.802540,0.235364,0.887394,-0.019591,0.017240,-0.011303
06829,9.854104,0.292279,0.901753,-0.019901,0.020733,-0.012738
06830,9.854867,0.331121,0.924324,-0.015266,0.028470,-0.023961
06831,9.899655,0.418102,0.887574,-0.022155,0.030423,-0.033220
06832,9.999075,0.493689,0.871746,-0.032701,0.034500,-0.048357
06833,10.071521,0.578348,0.932943,-0.053514,0.046156,-0.062643
06834,10.099355,0.651317,0.902582,-0.088468,0.051980,-0.073725
06835,10.185619,0.573325,0.884736,-0.107021,0.047093,-0.094858
06836,10.207519,0.571723,0.938601,-0.139392,0.047089,-0.107840
06837,10.154859,0.634871,0.968352,-0.172734,0.051172,-0.132700
06838,10.145440,0.601907,0.881744,-0.212890,0.045833,-0.148466
06839,10.189322,0.738321,0.869906,-0.227222,0.055324,-0.173011
06840,10.195215,0.836082,0.818819,-0.252496,0.066931,-0.195026
06841,10.137168,0.975281,0.845712,-0.283679,0.079582,-0.218035
06842,10.036036,1.033737,0.763800,-0.322600,0.080542,-0.251477
06843,9.963940,1.054733,0.782902,-0.368272,0.089620,-0.288657
06844,9.884866,1.180917,0.794226,-0.430741,0.104665,-0.315179
06845,9.957727,1.332112,0.964369,-0.525563,0.113674,-0.337831
06846,10.031603,1.375233,1.099419,-0.638454,0.143152,-0.343602
06847,10.152907,1.398398,1.187612,-0.778810,0.171516,-0.343408
06848,10.130484,1.368979,1.198519,-0.891849,0.190225,-0.348702
06849,10.149882,1.274138,1.237083,-0.988460,0.209520,-0.354007
06850,10.148388,0.967294,1.240385,-1.056482,0.221259,-0.365135
06851,10.112646,0.657517,1.218433,-1.038796,0.259134,-0.372872
06852,10.023087,0.396350,1.194777,-0.980930,0.272255,-0.375241
06853,10.069928,0.133512,1.327945,-0.890151,0.287991,-0.356007
06854,10.143774,-0.025389,1.479629,-0.790362,0.320303,-0.327397
06855,10.124946,-0.144752,1.613403,-0.697435,0.344824,-0.297407
06856,10.135965,-0.195349,1.794689,-0.615763,0.371163,-0.262601
06857,10.018026,-0.245785,1.887210,-0.555378,0.381056,-0.221254
06858,9.974105,-0.239271,1.877784,-0.495805,0.391209,-0.175376
06859,9.958874,-0.386923,1.768463,-0.421123,0.409662,-0.136888
06860,9.912226,-0.317514,1.861282,-0.312035,0.442288,-0.102788
06861,9.846835,-0.268372,1.908565,-0.230380,0.461640,-0.070098
06862,9.905482,-0.258737,1.927532,-0.149427,0.481195,-0.032673
06863,9.927068,-0.222219,2.000710,-0.082663,0.514798,0.009897
06864,9.932069,-0.051759,2.080847,-0.050324,0.542104,0.051068
06865,9.962312,0.031194,2.136602,-0.062308,0.559685,0.097672
06866,9.948529,0.018996,2.120993,-0.098246,0.597027,0.147138
06867,9.892684,0.066778,2.111019,-0.139586,0.632935,0.181865
06868,9.809898,0.038059,2.102055,-0.191347,0.662192,0.217825
06869,9.776491,0.023545,2.241656,-0.225921,0.683015,0.258192
06870,9.740732,0.002766,2.408169,-0.277080,0.721064,0.303569
06871,9.661654,-0.110722,2.427110,-0.333142,0.745763,0.359168
06872,9.641807,-0.309835,2.420766,-0.358472,0.770959,0.410428
06873,9.589962,-0.550748,2.388301,-0.365894,0.792855,0.469979
06874,9.567964,-0.759179,2.357664,-0.343761,0.793440,0.532925
06875,9.654971,-0.954028,2.504419,-0.326300,0.816172,0.596786
06876,9.727541,-1.092117,2.730361,-0.315974,0.842054,0.673734
06877,9.761821,-1.202493,2.887336,-0.302591,0.895152,0.726922
06878,9.679888,-1.108677,3.200687,-0.291725,0.952410,0.784328
06879,9.527955,-1.172026,3.356037,-0.312540,0.979938,0.844808
06880,9.398828,-1.393298,3.478748,-0.323923,0.983755,0.913035
06881,9.433565,-1.721253,3.660597,-0.327718,1.009709,0.987787
06882,9.439605,-2.041653,3.844417,-0.310586,1.058080,1.073555
06883,9.366128,-2.266420,4.006223,-0.290464,1.116933,1.156502
06884,9.404935,-2.514437,4.163964,-0.256417,1.174788,1.256625
06885,9.461034,-2.612693,4.270032,-0.214248,1.231902,1.349327
06886,9.430150,-2.664210,4.350263,-0.178029,1.291158,1.428093
06887,9.418226,-2.669047,4.419266,-0.155507,1.330472,1.488214
06888,9.436982,-2.715708,4.497646,-0.129252,1.366422,1.540112
06889,9.486183,-2.726060,4.692605,-0.084646,1.410193,1.584740
06890,9.470973,-2.868212,5.026426,-0.030850,1.479844,1.612275
06891,9.243841,-3.023097,5.294232,0.011684,1.544140,1.654241
06892,9.055207,-3.265658,5.318633,0.042537,1.581659,1.724450
06893,8.881068,-3.528913,5.119376,0.061973,1.596688,1.812437
06894,9.049091,-3.737505,4.898119,0.106887,1.607114,1.906453
06895,9.287969,-3.860925,4.816743,0.156162,1.625803,1.980802
06896,9.472492,-3.872061,4.992571,0.177308,1.658312,2.028444
06897,9.484744,-3.826923,5.173212,0.163441,1.700318,2.050571
06898,9.338408,-3.900104,5.401814,0.126453,1.714368,2.075419
06899,9.161972,-3.989993,5.486028,0.099485,1.708418,2.089044
06900,9.072498,-4.054989,5.468766,0.100694,1.680971,2.097071
06901,8.859698,-4.180479,5.340430,0.127037,1.641932,2.098878
06902,8.644333,-4.244949,5.226125,0.146868,1.600378,2.097818
06903,8.398484,-4.325191,5.086844,0.175217,1.551299,2.101766
06904,8.326090,-4.273372,4.959603,0.218011,1.501761,2.105403
06905,8.348655,-4.202637,5.200283,0.273820,1.460741,2.116503
06906,8.404978,-4.045386,5.534750,0.288349,1.450216,2.109179
06907,8.166722,-3.975542,5.717221,0.252115,1.444790,2.089783
06908,7.809380,-3.985482,5.804783,0.227034,1.427639,2.072810
06909,7.420318,-4.014181,5.806940,0.199455,1.385465,2.041365
06910,7.076979,-4.077240,5.596181,0.168150,1.330764,1.997375
