// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
36286,9.633812,-1.844160,1.593527,0.058017,-0.004715,-0.006942
36287,9.592825,-1.901638,1.579612,0.078458,-0.012079,0.001142
36288,9.577863,-1.973864,1.673352,0.103173,-0.020358,0.013556
36289,9.597757,-1.971120,1.729775,0.133470,-0.026106,0.029392
36290,9.625595,-1.991953,1.731781,0.160846,-0.027524,0.039985
36291,9.647976,-2.017823,1.768272,0.195499,-0.026747,0.053335
36292,9.639665,-2.056246,1.816868,0.222263,-0.028197,0.070198
36293,9.636700,-2.052822,1.925260,0.246420,-0.025971,0.089989
36294,9.741606,-2.082697,1.976297,0.257275,-0.026628,0.106616
36295,9.847314,-2.193695,2.106882,0.264401,-0.012255,0.125335
36296,9.990348,-2.318339,2.173857,0.284246,0.002271,0.149279
36297,10.053161,-2.262189,2.217061,0.299029,0.018628,0.182608
36298,10.028888,-2.299095,2.256024,0.275083,0.037803,0.214347
36299,9.964800,-2.386089,2.355922,0.265370,0.054981,0.253943
36300,9.872227,-2.643126,2.330507,0.275937,0.062887,0.293042
36301,9.896353,-2.722412,2.485241,0.316465,0.069918,0.346966
36302,9.886486,-2.856478,2.562431,0.355888,0.085867,0.387586
36303,9.947413,-2.923976,2.643497,0.408678,0.095057,0.429612
36304,10.013938,-2.872453,2.704485,0.443798,0.111538,0.472104
36305,10.058734,-2.759677,2.821849,0.416599,0.133741,0.517751
36306,10.029313,-2.772911,2.742664,0.385181,0.153300,0.547413
36307,9.918553,-2.860544,2.698367,0.351694,0.166959,0.580163
36308,9.884326,-2.869676,2.726539,0.329229,0.189286,0.607325
36309,9.881956,-2.946060,2.792352,0.313527,0.202660,0.638902
36310,9.887961,-2.992439,2.810524,0.300963,0.215752,0.660987
36311,9.965405,-3.181801,2.764982,0.306301,0.231448,0.689826
36312,9.989044,-3.535226,2.776480,0.347055,0.252187,0.720340
36313,10.022997,-3.827696,2.731059,0.444857,0.280511,0.751124
36314,9.962063,-3.984625,2.701698,0.567832,0.306320,0.785979
36315,9.948805,-3.998003,2.712359,0.693760,0.322068,0.831960
36316,9.972888,-3.842218,2.845173,0.772892,0.333045,0.886501
36317,10.000899,-3.647372,2.909880,0.814934,0.346464,0.941605
36318,10.003282,-3.606741,3.019418,0.803631,0.346493,0.998816
36319,10.052812,-3.738177,3.067494,0.768121,0.344731,1.066809
36320,10.074390,-4.096715,3.150957,0.756677,0.350022,1.129106
36321,10.100536,-4.503575,3.209789,0.790971,0.359653,1.187594
36322,10.197609,-4.858172,3.276432,0.867953,0.375688,1.246514
36323,10.217615,-5.014334,3.349086,0.976978,0.396426,1.300666
36324,10.174266,-5.020392,3.480469,1.065025,0.425649,1.367282
36325,10.141157,-4.922407,3.523129,1.113113,0.448213,1.426757
36326,10.003175,-4.723777,3.603088,1.109546,0.466815,1.488236
36327,9.906575,-4.648504,3.716563,1.048439,0.491103,1.544432
36328,9.793545,-4.794710,3.920328,0.975902,0.526191,1.591969
36329,9.666819,-5.064712,3.979157,0.925325,0.555092,1.631517
36330,9.560665,-5.361596,3.964342,0.930043,0.588114,1.663111
36331,9.519494,-5.754202,3.974461,0.988568,0.627457,1.685900
36332,9.390424,-5.924650,3.960294,1.098261,0.672939,1.680374
36333,9.235234,-5.941790,3.979098,1.226477,0.716557,1.678122
36334,9.173976,-5.762712,4.099841,1.315461,0.761232,1.680451
36335,8.995231,-5.533448,4.215001,1.336782,0.807692,1.676560
36336,8.806254,-5.261795,4.234936,1.291867,0.819358,1.689740
36337,8.773958,-5.269759,4.339682,1.209372,0.838898,1.694932
36338,8.649843,-5.587509,4.410966,1.142432,0.871347,1.692086
36339,8.557824,-5.920390,4.448240,1.134265,0.886672,1.697997
36340,8.490507,-6.168322,4.496181,1.184943,0.903512,1.705737
36341,8.476830,-6.269638,4.523439,1.261711,0.925602,1.704944
36342,8.383377,-6.227609,4.541640,1.335545,0.951725,1.701709
36343,8.229197,-6.174735,4.597103,1.386661,0.962363,1.700937
36344,8.131584,-6.064433,4.666412,1.410283,0.978821,1.700754
36345,8.037644,-5.998381,4.692398,1.391565,0.987093,1.705282
36346,8.014119,-6.132979,4.728416,1.371582,1.007012,1.700023
36347,7.901547,-6.206262,4.789904,1.388088,1.017886,1.701265
36348,7.731012,-6.321982,4.816738,1.411670,1.034602,1.694220
36349,7.612353,-6.449509,4.894152,1.444619,1.052452,1.692471
36350,7.467983,-6.576743,4.951264,1.504554,1.066928,1.690676
36351,7.298990,-6.435942,4.998797,1.552326,1.071313,1.687203
36352,7.114785,-6.172082,5.065621,1.558450,1.069237,1.688762
36353,6.995489,-5.828553,5.088390,1.473367,1.072512,1.680001
36354,6.753743,-5.618299,5.257626,1.320448,1.057007,1.682136
36355,6.559029,-5.676049,5.366429,1.147909,1.038967,1.690672
36356,6.388357,-6.062829,5.441214,1.025631,1.006679,1.717242
36357,6.303589,-6.461126,5.400993,0.981333,0.981428,1.729902
36358,6.217957,-6.735833,5.408766,1.023294,0.951989,1.749765
36359,6.060432,-6.848287,5.408503,1.092408,0.931852,1.767098
36360,5.850166,-6.869815,5.438793,1.186360,0.905545,1.786355
36361,5.703938,-6.818304,5.463207,1.281048,0.885415,1.801751
36362,5.467970,-6.660332,5.604729,1.362766,0.868733,1.799630
36363,5.270602,-6.360384,5.705272,1.404635,0.842479,1.808308
36364,5.113631,-6.025514,5.876484,1.389934,0.828220,1.813504
36365,4.837371,-5.809531,5.904773,1.314678,0.803546,1.827722
36366,4.715625,-5.769655,5.947900,1.203671,0.785223,1.834796
36367,4.478250,-5.778908,5.856860,1.102672,0.767532,1.844024
36368,4.280676,-5.861346,5.742640,1.031640,0.741293,1.838488
36369,4.042121,-5.920973,5.687844,0.994480,0.699404,1.851022
36370,3.889345,-6.056990,5.829368,0.975367,0.663884,1.859322
36371,3.792334,-6.212354,5.937780,1.012683,0.633635,1.859611
36372,3.745955,-6.209020,6.102583,1.084803,0.607766,1.862874
36373,3.645416,-6.077797,6.269976,1.157841,0.578314,1.878648
36374,3.540214,-5.776422,6.363521,1.182759,0.562580,1.881681
36375,3.289107,-5.624261,6.377521,1.174576,0.543015,1.884956
36376,3.080943,-5.436466,6.440774,1.156906,0.521717,1.887114
36377,2.894916,-5.288650,6.534012,1.146859,0.500812,1.869361
36378,2.865255,-5.199070,6.622520,1.129785,0.458888,1.868779
36379,2.826070,-5.271645,6.633726,1.114012,0.443115,1.865022
36380,2.646113,-5.239997,6.713626,1.116243,0.424065,1.858983
36381,2.451700,-5.143580,6.695012,1.123477,0.400348,1.851820
36382,2.371854,-4.976479,6.842603,1.111101,0.376035,1.853546
36383,2.227272,-4.769494,6.980917,1.078992,0.349926,1.851643
36384,2.196962,-4.616175,7.078552,1.021231,0.324137,1.855982
36385,2.029680,-4.570539,7.241897,0.960707,0.305426,1.855380
36386,1.836292,-4.631971,7.349122,0.908578,0.281036,1.864485
36387,1.726805,-4.557515,7.352699,0.863609,0.243492,1.863858
36388,1.635921,-4.515085,7.447481,0.833198,0.218375,1.859488
36389,1.561662,-4.485462,7.414498,0.801824,0.198272,1.854569
36390,1.454349,-4.394047,7.373051,0.780123,0.172299,1.856004
36391,1.292051,-4.389036,7.509367,0.758883,0.149368,1.861240
36392,1.138453,-4.469045,7.628801,0.744113,0.124923,1.872627
36393,1.096836,-4.423979,7.753433,0.748798,0.094676,1.875903
36394,1.021603,-4.383277,7.897833,0.729335,0.069054,1.878833
36395,0.909740,-4.294761,8.039434,0.739350,0.043786,1.886421
36396,0.805846,-4.121271,8.171016,0.734859,0.018955,1.887859
36397,0.680542,-4.099958,8.229108,0.710812,-0.004636,1.896733
36398,0.632556,-3.970113,8.056526,0.689273,-0.035864,1.900126
36399,0.595167,-3.866185,8.059420,0.664856,-0.060052,1.896814
36400,0.561834,-3.981259,8.115237,0.640491,-0.075793,1.912444
36401,0.492439,-4.113538,8.231384,0.647048,-0.091209,1.926203
36402,0.393063,-3.976763,8.428451,0.676906,-0.105118,1.928823
36403,0.274557,-3.740404,8.514322,0.694206,-0.115826,1.937763
36404,0.181448,-3.492174,8.568030,0.693759,-0.125603,1.928537
36405,0.082574,-3.402753,8.595367,0.686937,-0.134051,1.927466
36406,0.011505,-3.341319,8.529105,0.688042,-0.151344,1.912105
36407,0.033432,-3.196331,8.567024,0.716464,-0.164553,1.899723
36408,0.016509,-2.898412,8.564507,0.728756,-0.169959,1.887990
36409,-0.130226,-2.587844,8.681379,0.704372,-0.170704,1.871390
36410,-0.164434,-2.385314,8.695878,0.618412,-0.183544,1.854509
36411,-0.211048,-2.163246,8.718098,0.552763,-0.191979,1.828875
36412,-0.223716,-2.017649,8.782974,0.451420,-0.206980,1.799247
36413,-0.305797,-2.038445,8.771005,0.368202,-0.213194,1.779589
36414,-0.320494,-2.057058,8.696774,0.300461,-0.232594,1.751730
36415,-0.349599,-2.125061,8.650564,0.251311,-0.240401,1.720032
36416,-0.310350,-2.235457,8.601013,0.243255,-0.246025,1.682906
36417,-0.360822,-2.333323,8.545325,0.276511,-0.255546,1.646673
36418,-0.375779,-2.442772,8.589731,0.342749,-0.264271,1.608238
36419,-0.315255,-2.139109,8.622887,0.396251,-0.283587,1.569995
36420,-0.344189,-1.849323,8.757084,0.352842,-0.285738,1.554715
36421,-0.378576,-1.493025,8.840109,0.234355,-0.298213,1.533935
36422,-0.418103,-1.120131,8.870833,0.020899,-0.312728,1.512653
36423,-0.544694,-1.096569,8.838122,-0.219067,-0.328666,1.503116
36424,-0.644478,-1.403514,8.865815,-0.418564,-0.350671,1.485830
36425,-0.669560,-2.025877,8.787346,-0.517118,-0.360982,1.464560
36426,-0.593214,-2.625911,8.876693,-0.470350,-0.376229,1.434894
36427,-0.520734,-3.008460,8.940028,-0.341739,-0.368842,1.405532
36428,-0.462720,-3.011906,9.120384,-0.170181,-0.363576,1.382415
36429,-0.424425,-2.853601,9.152442,-0.062094,-0.344870,1.372686
36430,-0.393673,-2.660929,9.198201,-0.054713,-0.336448,1.375345
36431,-0.432423,-2.399878,9.241798,-0.127961,-0.330121,1.401625
36432,-0.546255,-2.099205,9.242400,-0.253185,-0.330229,1.414575
36433,-0.775845,-2.057579,9.278192,-0.442626,-0.333972,1.446670
36434,-0.983452,-1.999109,9.262513,-0.595379,-0.353863,1.446566
36435,-1.011225,-2.002426,9.178634,-0.671066,-0.379659,1.427325
36436,-1.015544,-1.931153,8.928213,-0.663509,-0.395564,1.381484
36437,-1.042628,-1.642330,8.710081,-0.604162,-0.420010,1.295043
36438,-1.091775,-0.973427,8.815328,-0.571570,-0.447301,1.190484
36439,-1.152547,-0.119766,8.921057,-0.674422,-0.498716,1.080596
36440,-1.106852,0.600307,9.251068,-0.906474,-0.544503,0.945129
36441,-1.091621,0.809301,9.434389,-1.238622,-0.591769,0.804205
36442,-0.917027,0.404624,9.472146,-1.547567,-0.625528,0.660183
36443,-0.714400,-0.538950,9.397239,-1.730865,-0.631641,0.523455
36444,-0.568203,-1.578011,9.403396,-1.714561,-0.617500,0.369900
36445,-0.499693,-2.238474,9.405050,-1.534289,-0.603660,0.214653
36446,-0.314015,-2.649331,9.588212,-1.275778,-0.574376,0.059570
36447,-0.135268,-2.856428,9.695434,-0.975712,-0.529637,-0.094422
36448,-0.011158,-3.027851,9.878671,-0.670855,-0.473960,-0.243546
36449,0.123565,-3.126580,9.963582,-0.368128,-0.411552,-0.377968
36450,0.115618,-2.949201,9.979812,-0.100098,-0.339392,-0.509782
36451,0.067575,-2.707682,10.194687,0.105864,-0.272404,-0.640305
36452,0.145600,-2.310650,10.392858,0.235118,-0.209774,-0.764211
36453,0.284636,-2.012249,10.555265,0.260658,-0.154013,-0.883137
36454,0.523464,-1.976536,10.649855,0.237444,-0.077178,-1.015740
36455,0.821339,-2.247350,10.769839,0.210342,0.009034,-1.151987
36456,1.001712,-2.532539,10.887148,0.241871,0.103839,-1.286224
36457,0.977751,-2.688901,10.944863,0.365496,0.203233,-1.414950
36458,0.831754,-2.578608,10.852198,0.563836,0.284438,-1.551691
36459,0.670577,-2.470188,10.833654,0.830091,0.367738,-1.705475
36460,0.556175,-2.201174,10.936927,1.165542,0.428238,-1.895254
36461,0.665464,-1.699483,11.041802,1.520421,0.484177,-2.103628
36462,0.795245,-0.894065,11.218951,1.834952,0.533172,-2.332374
36463,0.878717,0.150005,11.265053,2.027070,0.571052,-2.564771
36464,0.994464,1.106590,11.231829,2.072613,0.600504,-2.803475
36465,1.111918,1.780484,11.131242,1.970875,0.619288,-3.029707
36466,1.225482,2.185691,11.121084,1.759164,0.628354,-3.229569
36467,1.354507,2.366236,11.069236,1.514794,0.617808,-3.417960
36468,1.563293,2.375026,10.911788,1.208763,0.614537,-3.584018
36469,1.737919,2.282586,10.714189,0.889068,0.600515,-3.726760
36470,1.999581,1.996545,10.596645,0.566843,0.581097,-3.845148
36471,2.190962,1.522101,10.392058,0.280050,0.563422,-3.947779
36472,2.396276,0.818674,10.402412,0.081302,0.556431,-4.035821
36473,2.532909,0.102445,10.493924,-0.019406,0.566765,-4.105480
36474,2.705127,-0.446325,10.681859,-0.051160,0.572790,-4.155040
36475,2.738505,-0.754787,10.715221,-0.025652,0.592284,-4.201521
36476,2.694611,-0.961498,10.542386,0.011078,0.620536,-4.249767
36477,2.528133,-0.943980,10.085633,0.053246,0.637507,-4.298158
36478,2.500098,-0.852448,9.563532,0.097715,0.632994,-4.353221
36479,2.440769,-0.829243,8.898335,0.134881,0.607230,-4.392712
36480,2.487024,-0.990045,8.392387,0.191484,0.535315,-4.409725
36481,2.855455,-1.646880,8.628297,0.217029,0.498871,-4.374406
36482,3.000027,-2.221581,9.236228,0.310726,0.493863,-4.325339
36483,3.134429,-2.296669,9.839480,0.403736,0.498562,-4.300453
