// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
54791,9.609078,1.328009,1.373014,0.031472,0.000203,-0.026445
54792,9.695921,1.372850,1.409452,0.022335,-0.003444,-0.024278
54793,9.701694,1.361597,1.378177,0.013745,0.005946,-0.018787
54794,9.725811,1.362502,1.402574,0.000687,-0.003993,-0.021098
54795,9.717252,1.394840,1.387532,-0.004243,-0.002395,-0.025532
54796,9.721343,1.364173,1.479127,-0.010780,-0.004057,-0.024806
54797,9.688858,1.308430,1.459621,-0.008420,-0.002929,-0.023624
54798,9.687500,1.318799,1.436454,0.001819,-0.002458,-0.021020
54799,9.673953,1.356354,1.475448,0.006107,-0.003839,-0.021882
54800,9.709234,1.338616,1.413952,0.004206,-0.007941,-0.023595
54801,9.655233,1.348319,1.418504,0.007450,-0.006156,-0.019731
54802,9.693328,1.394457,1.406070,0.007638,-0.003390,-0.013896
54803,9.678218,1.358720,1.418973,-0.007663,-0.005063,-0.017277
54804,9.708553,1.345562,1.412031,-0.014765,-0.001830,-0.017053
54805,9.699516,1.295948,1.394430,-0.014686,0.002858,-0.012257
54806,9.663838,1.316951,1.455496,-0.008707,-0.001896,-0.012549
54807,9.691980,1.319748,1.402897,-0.004341,0.001411,-0.008619
54808,9.676242,1.372424,1.396609,0.005786,0.003810,-0.007058
54809,9.672192,1.370338,1.474070,0.004445,0.006133,-0.009204
54810,9.700266,1.372976,1.422087,-0.007963,0.007293,-0.007148
54811,9.659654,1.345566,1.388603,-0.015165,0.001119,-0.007029
54812,9.682791,1.353048,1.390817,-0.012950,0.010780,-0.003132
54813,9.684828,1.336916,1.437727,-0.014257,0.006495,-0.009033
54814,9.683089,1.264902,1.412390,-0.018086,0.004898,-0.008704
54815,9.727253,1.296291,1.370176,-0.012140,0.006752,-0.005240
54816,9.698772,1.294787,1.423674,-0.005604,0.008424,-0.005964
54817,9.652060,1.280718,1.421438,-0.006861,0.004103,-0.002386
54818,9.659544,1.340292,1.417140,0.002406,0.010570,-0.008192
54819,9.652035,1.362654,1.426547,0.003712,0.014855,-0.002288
54820,9.660143,1.333241,1.442406,-0.003536,0.008718,-0.011654
54821,9.665998,1.320520,1.412508,-0.003922,0.016381,-0.006318
54822,9.680569,1.358451,1.400976,-0.001323,0.018381,-0.007749
54823,9.666416,1.313646,1.438811,-0.000863,0.015404,-0.008287
54824,9.694418,1.316430,1.387815,0.004091,0.018532,-0.008538
54825,9.672943,1.293759,1.433875,0.003563,0.016827,-0.012794
54826,9.689594,1.315687,1.468396,0.008939,0.023589,-0.009822
54827,9.681788,1.338716,1.478944,0.011433,0.027519,-0.012284
54828,9.674947,1.353915,1.512713,0.010694,0.029669,-0.018607
54829,9.667840,1.369816,1.547377,0.005905,0.045412,-0.027594
54830,9.669018,1.437256,1.601365,0.006397,0.058514,-0.033715
54831,9.706601,1.477180,1.619148,0.004747,0.077989,-0.039851
54832,9.759750,1.627743,1.652288,-0.004312,0.106496,-0.048850
54833,9.835188,1.786666,1.690559,-0.036565,0.140658,-0.068366
54834,9.812454,1.869911,1.631476,-0.066561,0.173214,-0.082993
54835,9.808480,2.031302,1.681408,-0.105173,0.210606,-0.106312
54836,9.797368,2.118386,1.786633,-0.181293,0.236619,-0.135285
54837,9.847047,2.088276,1.903304,-0.254181,0.273217,-0.157395
54838,9.817132,2.066850,2.004630,-0.314072,0.307949,-0.182777
54839,9.783395,2.071471,2.041512,-0.381260,0.337870,-0.206216
54840,9.717041,2.027264,2.038136,-0.435396,0.359250,-0.227255
54841,9.667620,1.850944,2.037625,-0.490212,0.368757,-0.240497
54842,9.642020,1.618597,1.988750,-0.524417,0.384804,-0.236461
54843,9.580242,1.394381,2.022293,-0.529286,0.407567,-0.229907
54844,9.518021,1.239987,2.083847,-0.521417,0.431278,-0.204716
54845,9.494644,1.100798,2.204396,-0.511635,0.443544,-0.175171
54846,9.493189,0.993274,2.259822,-0.499744,0.461411,-0.139473
54847,9.399655,0.870206,2.258041,-0.489955,0.470081,-0.101213
54848,9.323813,0.700930,2.235702,-0.505758,0.448246,-0.054643
54849,9.393774,0.360463,2.137326,-0.494058,0.416975,0.004690
54850,9.442316,-0.001696,2.053258,-0.452952,0.408426,0.073715
54851,9.484321,-0.457930,2.033189,-0.376846,0.400902,0.156666
54852,9.418833,-0.687812,2.031581,-0.257672,0.402978,0.239564
54853,9.371214,-0.754073,2.051133,-0.160085,0.401184,0.312687
