// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
20537,9.965718,-1.123600,1.938899,0.093268,-0.010304,0.036881
20538,10.089014,-1.305763,1.968507,0.126394,-0.015543,0.064990
20539,10.156122,-1.358881,1.997686,0.172320,-0.011561,0.090081
20540,10.126066,-1.223341,2.016383,0.204705,-0.006314,0.123457
20541,10.134738,-1.178522,2.065860,0.210016,0.000366,0.160510
20542,10.105706,-1.204708,2.050103,0.196313,0.007267,0.211939
20543,10.139742,-1.372984,2.090582,0.168637,0.008911,0.280374
20544,10.223117,-1.562227,2.032150,0.140827,-0.000624,0.366610
20545,10.297779,-1.909011,2.007369,0.141653,-0.005202,0.475735
20546,10.477142,-2.163742,2.049683,0.159984,-0.021419,0.591754
20547,10.629695,-2.356811,2.045588,0.199944,-0.038094,0.719150
20548,10.861201,-2.600696,2.035189,0.238934,-0.056210,0.859811
20549,10.953095,-2.911829,2.055698,0.288965,-0.058288,0.999094
20550,11.001913,-3.249982,1.973237,0.356121,-0.056563,1.138949
20551,10.997508,-3.410704,1.882832,0.430172,-0.056077,1.279490
20552,11.049897,-3.570713,1.885630,0.483774,-0.055241,1.420736
20553,11.110150,-3.691806,1.937264,0.523039,-0.039503,1.553766
20554,11.071030,-3.816294,1.930711,0.525187,-0.022015,1.683792
20555,11.040176,-3.993155,2.021671,0.519702,-0.000026,1.804740
20556,10.978696,-4.269402,2.059442,0.529699,0.027549,1.921687
20557,10.874162,-4.511093,1.900003,0.585543,0.042698,2.018935
20558,10.804817,-4.803260,1.793703,0.706088,0.060086,2.103297
20559,10.559044,-4.944794,1.500582,0.870782,0.077818,2.184679
20560,10.099471,-4.840332,0.697499,1.078094,0.075741,2.221907
20561,9.511897,-4.499161,-0.160527,1.311191,0.038951,2.219266
20562,9.584392,-4.793923,-0.420572,1.527104,0.010777,2.226622
20563,9.960087,-5.932557,0.631699,1.780080,0.136152,2.254576
20564,10.144439,-7.006215,2.038245,2.085210,0.283822,2.284954
20565,10.251711,-7.440174,3.629740,2.387278,0.371515,2.344025
20566,10.419392,-6.867324,4.836635,2.629599,0.479449,2.373442
20567,10.120795,-5.564929,5.284176,2.719688,0.615340,2.374289
20568,9.358235,-3.682335,5.289551,2.566984,0.722814,2.357635
20569,8.721059,-2.344150,5.344070,2.118406,0.811760,2.361209
20570,8.313455,-2.392583,5.315879,1.500755,0.919830,2.392723
20571,7.955166,-3.788989,4.815662,0.914669,0.975311,2.418273
20572,7.759575,-5.672694,4.295658,0.610757,0.978381,2.432633
20573,7.738051,-7.046625,3.799271,0.630859,0.982946,2.421484
20574,7.508969,-7.463834,3.536054,0.877662,0.971567,2.410524
20575,7.368064,-7.106072,3.554011,1.164609,0.952858,2.407013
20576,7.392686,-6.731469,3.887284,1.394168,0.956687,2.425344
20577,7.386946,-6.684339,4.165488,1.507355,0.989636,2.453556
20578,7.241019,-6.560964,4.290934,1.559512,1.018274,2.454142
20579,7.006368,-6.420719,4.484516,1.534799,1.053571,2.468327
20580,6.480209,-6.174653,4.407748,1.454347,1.044494,2.479256
20581,6.089846,-6.126649,4.393142,1.332127,1.032042,2.477214
20582,5.902177,-6.438013,4.608252,1.183187,1.029704,2.494853
20583,5.775472,-6.830874,4.767775,1.056149,1.033484,2.516330
20584,5.590291,-7.335000,4.958890,0.997280,1.027404,2.531876
20585,5.392448,-7.680200,5.135747,1.019797,1.034706,2.556540
20586,5.039163,-7.706477,5.238057,1.093471,1.021082,2.585811
20587,4.662048,-7.626623,5.381398,1.151851,0.986129,2.623792
20588,4.320253,-7.319313,5.578107,1.179026,0.963805,2.656920
20589,4.085276,-7.073506,5.723754,1.138806,0.946517,2.702994
20590,3.608592,-6.918511,5.795210,1.079776,0.929739,2.723705
20591,3.265430,-6.970046,5.920698,1.002818,0.891229,2.755564
20592,2.782249,-6.938666,5.994352,0.957663,0.853486,2.768048
20593,2.328039,-6.902554,5.934457,0.958947,0.803654,2.760831
