// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
26672,9.515265,1.443957,2.220816,-0.025954,0.003513,-0.034468
26673,9.505590,1.476403,2.236566,-0.034218,0.004856,-0.035507
26674,9.515553,1.458615,2.245164,-0.040012,0.003605,-0.041285
26675,9.523897,1.431911,2.231447,-0.043643,0.009265,-0.042826
26676,9.563819,1.435782,2.177220,-0.045191,0.008663,-0.050193
26677,9.595989,1.479015,2.160937,-0.049319,0.016375,-0.052212
26678,9.652835,1.549953,2.185583,-0.059506,0.026265,-0.053403
26679,9.720967,1.558724,2.262064,-0.078344,0.033816,-0.056708
26680,9.741573,1.479224,2.325256,-0.096401,0.041031,-0.050652
26681,9.679475,1.303646,2.326808,-0.118799,0.039219,-0.039373
26682,9.756402,0.950373,2.362464,-0.113759,0.030572,-0.013113
26683,9.817323,0.578154,2.298773,-0.083016,0.031391,0.039201
26684,9.765241,0.456257,2.219714,-0.043748,0.035128,0.078784
26685,9.775456,0.425607,2.231156,0.011378,0.043606,0.118820
26686,9.801970,0.407628,2.341470,0.049944,0.054404,0.155082
26687,9.901140,0.418257,2.356581,0.096683,0.063165,0.188915
26688,9.949316,0.497391,2.401431,0.153992,0.099580,0.219827
26689,9.853464,0.708392,2.536935,0.191599,0.130088,0.224490
26690,9.822071,0.939440,2.636539,0.213775,0.166879,0.220922
26691,9.691779,1.156242,2.751084,0.225509,0.203851,0.212685
26692,9.615467,1.373167,2.864691,0.216682,0.226307,0.187090
26693,9.732857,1.563327,2.953970,0.196417,0.264347,0.173637
26694,9.834182,1.496350,2.995899,0.156336,0.306195,0.161053
26695,9.912812,1.429327,3.070669,0.129555,0.346998,0.157428
26696,9.958152,1.246630,3.041389,0.100082,0.388346,0.147860
26697,9.953090,1.177055,2.998862,0.118410,0.430208,0.147024
26698,9.873494,1.129734,3.033527,0.108554,0.463997,0.152488
26699,9.878775,0.887884,2.988962,0.076252,0.485609,0.171188
26700,9.855268,0.701756,3.056375,0.056277,0.517121,0.204151
26701,9.941852,0.554660,3.105356,0.037833,0.550439,0.250151
26702,9.947047,0.355657,3.207024,0.021272,0.588545,0.306843
26703,9.827726,0.112551,3.144494,0.022513,0.595752,0.370622
26704,9.735430,0.100097,3.139637,0.033245,0.586037,0.446898
26705,9.570395,-0.172237,3.081437,0.003197,0.576378,0.518301
26706,9.528107,-0.261419,3.072156,0.028694,0.563446,0.592264
26707,9.429157,-0.492329,3.066839,0.012465,0.574966,0.665618
26708,9.478715,-0.643267,3.050616,0.041377,0.573969,0.746326
26709,9.505516,-0.891333,3.046599,0.033385,0.587613,0.838720
26710,9.634825,-1.014481,3.199769,0.029026,0.606865,0.933345
26711,9.682453,-1.216654,3.199023,0.023338,0.622192,1.031599
26712,9.695095,-1.306714,3.253345,-0.028079,0.622835,1.121553
26713,9.611025,-1.514754,3.325779,-0.031063,0.613701,1.212135
26714,9.561266,-1.413314,3.395582,-0.062742,0.608724,1.294897
26715,9.467635,-1.582115,3.335474,-0.120226,0.606742,1.382158
26716,9.430248,-1.742448,3.399231,-0.142179,0.595557,1.458580
26717,9.518088,-1.992344,3.575638,-0.188728,0.605789,1.546060
26718,9.614332,-2.219310,3.765198,-0.209134,0.631797,1.634470
26719,9.661377,-2.389446,3.954951,-0.239803,0.663943,1.720134
26720,9.642510,-2.706856,4.044199,-0.261773,0.690156,1.798525
26721,9.666884,-2.812507,3.992022,-0.234773,0.691958,1.875638
26722,9.682745,-2.918017,3.832592,-0.208302,0.686517,1.945830
26723,9.662923,-3.107872,3.758498,-0.170409,0.690671,2.011858
26724,9.646716,-3.289401,3.916398,-0.134929,0.682501,2.079791
26725,9.680348,-3.537747,4.177145,-0.129500,0.682691,2.149372
26726,9.714101,-3.586437,4.435652,-0.098107,0.699081,2.218610
26727,9.688866,-3.461593,4.703773,-0.113695,0.718596,2.283619
26728,9.496918,-3.538817,4.760016,-0.215474,0.723951,2.342662
26729,9.473204,-3.740661,4.569241,-0.247877,0.700862,2.389742
26730,9.527816,-3.777962,4.281743,-0.279500,0.672546,2.424513
26731,9.565825,-3.789017,4.215837,-0.326155,0.671331,2.447464
26732,9.469546,-3.994265,4.249069,-0.394330,0.681165,2.463187
26733,9.403662,-4.320499,4.322610,-0.438218,0.669245,2.475913
26734,9.368217,-4.530649,4.374072,-0.440136,0.663991,2.488516
26735,9.190110,-4.655960,4.526427,-0.430118,0.658265,2.497295
26736,9.027358,-4.970865,4.589933,-0.408492,0.636516,2.509152
26737,8.846209,-5.215657,4.602788,-0.348149,0.619769,2.504766
26738,8.698026,-5.422059,4.501283,-0.240462,0.596048,2.509153
26739,8.657324,-5.503954,4.359920,-0.082629,0.560871,2.499217
26740,8.633281,-5.518221,4.332638,0.076148,0.534467,2.488922
26741,8.604560,-5.466126,4.395402,0.225728,0.520050,2.461795
26742,8.377854,-5.400887,4.497207,0.350782,0.510809,2.432611
26743,8.254793,-5.471035,4.675582,0.452253,0.499448,2.407875
26744,8.063071,-5.595832,4.755801,0.554033,0.511692,2.385658
26745,7.725363,-5.649111,4.672146,0.642507,0.522086,2.369632
26746,7.499850,-5.626842,4.587583,0.707090,0.518663,2.359373
26747,7.238052,-5.471686,4.459280,0.751008,0.506200,2.321135
26748,7.057362,-5.331687,4.357165,0.741961,0.498763,2.279799
26749,6.901402,-5.284462,4.391237,0.710036,0.490817,2.228790
26750,6.869990,-5.230951,4.593740,0.604037,0.496563,2.178716
26751,6.709329,-5.404488,4.785201,0.497427,0.514167,2.130139
26752,6.484345,-5.571045,4.818720,0.427765,0.534904,2.100024
26753,6.214785,-5.787153,4.874858,0.378072,0.546330,2.073037
26754,5.862459,-6.048897,4.825093,0.373196,0.532164,2.044916
