// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
42702,9.587536,0.756194,2.265259,0.002403,0.012308,-0.010670
42703,9.573909,0.688443,2.245871,-0.000094,0.009889,-0.016253
42704,9.575593,0.688445,2.222780,0.018527,0.015736,-0.018206
42705,9.540455,0.748561,2.167801,0.031495,0.021328,-0.016951
42706,9.554888,0.728640,2.148049,0.027241,0.020991,-0.021573
42707,9.590964,0.671387,2.182414,0.028241,0.024826,-0.017238
42708,9.576350,0.744428,2.128551,0.027030,0.020973,-0.014832
42709,9.610450,0.688161,2.186916,0.012086,0.017464,-0.008383
42710,9.630451,0.612300,2.171441,0.017545,0.013113,0.001019
42711,9.583718,0.640613,2.166217,0.027119,0.011098,0.001431
42712,9.602035,0.656078,2.191758,0.031537,0.003569,0.001962
42713,9.546942,0.692438,2.282703,0.048641,0.006888,0.000090
42714,9.577043,0.639900,2.388441,0.058856,0.010706,-0.002034
42715,9.654360,0.420065,2.536495,0.068126,0.010003,-0.003954
42716,9.841681,0.031320,2.634169,0.100112,0.004979,-0.008296
42717,9.885096,-0.348649,2.596202,0.171710,0.003468,-0.016074
42718,9.927899,-0.585225,2.523269,0.278917,0.001013,-0.037362
42719,9.819427,-0.756313,2.335025,0.398263,0.001148,-0.038285
42720,9.753210,-0.852804,2.072526,0.537273,0.006310,-0.028975
42721,9.637081,-0.876787,1.925418,0.699792,0.031443,-0.018262
42722,9.461087,-0.682871,2.099498,0.835362,0.067924,-0.003958
42723,9.316590,-0.354350,2.237467,0.919707,0.101834,0.019791
42724,9.259847,0.106763,2.463172,0.954413,0.135151,0.055341
42725,9.292204,0.655224,2.680084,0.948416,0.169488,0.087223
42726,9.356577,1.061627,2.814838,0.860774,0.201452,0.120472
42727,9.444668,1.245261,2.809075,0.768342,0.231900,0.136895
42728,9.566839,1.279602,2.980765,0.689613,0.265655,0.152288
