// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
21076,9.531260,-2.101622,1.139473,0.085136,-0.021706,-0.061784
21077,9.504873,-2.162985,1.162180,0.068106,-0.027563,-0.060051
21078,9.517787,-2.106873,1.191505,0.056215,-0.035989,-0.055965
21079,9.550552,-2.062603,1.211468,0.037842,-0.036097,-0.048078
21080,9.555397,-2.087058,1.254363,0.014512,-0.039199,-0.046207
21081,9.571468,-2.062292,1.327702,-0.012988,-0.035748,-0.039898
21082,9.516877,-2.083294,1.364274,-0.020910,-0.039468,-0.037467
21083,9.525700,-2.167227,1.420899,-0.047019,-0.030392,-0.039094
21084,9.555104,-2.207816,1.400150,-0.048266,-0.026740,-0.037574
21085,9.508705,-2.261841,1.428781,-0.046951,-0.024716,-0.039989
21086,9.572877,-2.292608,1.477091,-0.038641,-0.016569,-0.042299
21087,9.592331,-2.297646,1.598722,-0.021506,0.006388,-0.046738
21088,9.714797,-2.219752,1.651080,-0.013868,0.046937,-0.061134
21089,9.755045,-2.235398,1.641008,-0.029582,0.110571,-0.078166
21090,9.695476,-2.335455,1.445293,-0.054742,0.155481,-0.104429
21091,9.617252,-2.451886,1.229449,-0.079184,0.182111,-0.105553
21092,9.539155,-2.539713,1.044804,-0.101233,0.174338,-0.110874
21093,9.601366,-2.591948,1.000664,-0.115073,0.151273,-0.099149
21094,9.600262,-2.527496,1.074515,-0.117286,0.142235,-0.087792
21095,9.514147,-2.585239,1.101440,-0.118541,0.129422,-0.073403
21096,9.509239,-2.577640,1.163922,-0.088768,0.099509,-0.054085
21097,9.590443,-2.423453,1.171217,-0.059226,0.080191,-0.042165
21098,9.580382,-2.276554,1.179572,-0.033905,0.053963,-0.028697
21099,9.588037,-2.084509,1.240870,-0.004044,0.032763,-0.025978
21100,9.609284,-1.872023,1.378574,0.023705,0.022604,-0.030268
21101,9.598454,-1.585918,1.487113,0.008793,0.021162,-0.040112
21102,9.597787,-1.443673,1.592123,-0.049233,0.024666,-0.045446
21103,9.600906,-1.386592,1.602119,-0.120240,0.026883,-0.050787
21104,9.650365,-1.437657,1.577107,-0.193929,0.029813,-0.057850
21105,9.701777,-1.490766,1.628768,-0.261111,0.041322,-0.066733
21106,9.673698,-1.638992,1.610076,-0.319050,0.050670,-0.079561
21107,9.617069,-1.853588,1.534900,-0.355260,0.055384,-0.086270
21108,9.549488,-2.089256,1.457451,-0.370688,0.055833,-0.088967
21109,9.519943,-2.290461,1.424733,-0.361875,0.050986,-0.083853
21110,9.524216,-2.342763,1.357229,-0.348850,0.049659,-0.079313
21111,9.540673,-2.457787,1.325282,-0.330501,0.050276,-0.072242
21112,9.515667,-2.467910,1.275508,-0.317309,0.046276,-0.061158
21113,9.444181,-2.456761,1.297293,-0.306939,0.044545,-0.057352
21114,9.470914,-2.443725,1.340189,-0.306053,0.038119,-0.049896
21115,9.497303,-2.432165,1.383040,-0.306572,0.041465,-0.031397
21116,9.550967,-2.437223,1.440188,-0.305985,0.041984,-0.025705
21117,9.517402,-2.424108,1.477325,-0.299885,0.046626,-0.017335
21118,9.535685,-2.410463,1.498603,-0.287545,0.046704,-0.013797
21119,9.513080,-2.376696,1.538178,-0.273284,0.052051,-0.011368
21120,9.548323,-2.341514,1.507934,-0.259911,0.052072,-0.010300
21121,9.530594,-2.366294,1.559576,-0.250149,0.047551,-0.012314
21122,9.604020,-2.382873,1.610481,-0.215794,0.047864,-0.021809
21123,9.678747,-2.403910,1.740257,-0.169502,0.067125,-0.035411
21124,9.744769,-2.345816,1.631989,-0.141111,0.101674,-0.059269
21125,9.693331,-2.362400,1.546189,-0.111493,0.126993,-0.084033
21126,9.635178,-2.291656,1.485469,-0.109461,0.149507,-0.104026
21127,9.570900,-2.220442,1.480705,-0.129553,0.167603,-0.115866
21128,9.580945,-2.249177,1.561004,-0.132025,0.183120,-0.119749
21129,9.678501,-2.237286,1.599905,-0.130998,0.216457,-0.117143
21130,9.738681,-2.185083,1.716701,-0.139905,0.267336,-0.121450
21131,9.647943,-2.217244,1.785253,-0.143368,0.319131,-0.111904
21132,9.564042,-2.210830,1.969859,-0.143780,0.362174,-0.087763
21133,9.401870,-2.167112,2.138079,-0.149075,0.406016,-0.060391
21134,9.287848,-2.045706,2.339921,-0.188414,0.447088,-0.040902
21135,9.092490,-1.815409,2.646877,-0.259805,0.492812,-0.042600
21136,9.171160,-1.068595,3.191912,-0.436004,0.569681,-0.061180
21137,9.137419,-0.461525,3.642957,-0.827912,0.711692,-0.095546
21138,9.390042,0.102976,3.949041,-1.423503,0.801514,-0.088857
21139,9.564577,-0.322505,3.738485,-2.023203,0.865126,-0.052525
21140,9.950702,-1.328905,3.446351,-2.583006,0.885916,0.041138
21141,9.929913,-2.411085,3.215076,-2.932916,0.937544,0.164543
21142,9.809482,-3.712925,2.970816,-3.052628,0.942895,0.287165
21143,9.723854,-4.613334,2.775348,-2.970328,0.934510,0.396171
21144,9.502341,-5.180017,2.872736,-2.842890,0.957467,0.502466
21145,9.447174,-6.058745,2.709323,-2.592498,0.903481,0.663799
21146,9.478612,-6.614944,2.604282,-2.238493,0.854883,0.819932
21147,9.464825,-7.143173,2.463938,-1.859322,0.802537,0.976476
21148,9.426465,-7.438901,2.293290,-1.419326,0.752504,1.130259
21149,9.346828,-7.550612,2.312192,-0.935906,0.691848,1.253933
21150,9.199891,-7.592103,2.353230,-0.448196,0.623847,1.364716
21151,9.296443,-7.153275,2.469912,-0.035287,0.573051,1.466247
21152,9.294517,-6.534952,2.559648,0.170217,0.539630,1.580171
21153,9.202990,-6.203567,2.643400,0.219374,0.506009,1.707971
21154,9.034531,-6.222730,2.557498,0.147712,0.477233,1.825673
21155,8.817719,-6.521189,2.477500,0.071024,0.437435,1.952030
21156,8.606088,-7.059609,2.307150,0.048478,0.391559,2.062258
21157,8.436406,-7.621109,2.260812,0.122046,0.334384,2.169777
21158,8.382396,-7.945796,2.384630,0.280676,0.307136,2.247923
21159,8.234025,-8.024288,2.387204,0.485602,0.335508,2.297495
21160,7.835342,-7.792747,2.187118,0.650267,0.368217,2.328138
21161,7.327061,-7.582723,2.054893,0.725105,0.386115,2.354758
21162,6.830906,-7.493897,1.842065,0.704385,0.383199,2.379666
21163,6.485368,-7.630136,1.720193,0.608539,0.374323,2.402798
21164,6.240937,-7.802965,1.794467,0.480787,0.361134,2.425498
21165,6.108210,-7.928240,2.086656,0.367596,0.379816,2.425466
21166,6.115048,-7.948445,2.331989,0.266737,0.446049,2.418943
21167,6.005026,-7.879142,2.388611,0.164375,0.538794,2.412035
21168,5.648211,-7.848703,2.329861,0.036385,0.589980,2.409367
21169,5.249065,-8.041851,2.187879,-0.083919,0.583230,2.390191
21170,5.069274,-8.374462,2.078746,-0.150535,0.545987,2.379883
21171,5.034281,-8.751186,2.219433,-0.147441,0.502380,2.369364
21172,5.164515,-8.854412,2.286574,-0.091107,0.444449,2.343678
21173,5.470218,-8.747062,2.425161,-0.008348,0.392116,2.319145
21174,5.738375,-8.520900,2.737369,0.046825,0.353712,2.287719
21175,5.992346,-8.379699,3.012396,0.102630,0.326428,2.249351
21176,6.080157,-8.265952,3.125295,0.181517,0.305341,2.201231
