// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
15865,9.632099,2.081702,0.605491,-0.027997,0.041472,0.005844
15866,9.621852,1.998375,0.660756,-0.009107,0.034162,0.008751
15867,9.619236,1.977073,0.676593,0.016484,0.030306,0.005785
15868,9.617697,2.006353,0.632420,0.038127,0.018085,0.001058
15869,9.633223,2.050983,0.660874,0.049738,0.013145,-0.002500
15870,9.673431,2.172664,0.724292,0.045982,0.013428,-0.004107
15871,9.658963,2.211200,0.736865,0.027086,0.019861,-0.001042
15872,9.652161,2.199744,0.718921,-0.003080,0.034833,-0.005335
15873,9.618047,2.090703,0.680052,-0.025951,0.039731,-0.000599
15874,9.642429,2.023365,0.627598,-0.029121,0.035949,-0.001838
15875,9.607174,1.975735,0.640817,-0.003209,0.033057,0.002291
15876,9.599206,2.025530,0.675453,0.012410,0.021933,-0.000357
15877,9.636698,2.093772,0.654572,0.015051,0.015233,-0.000361
15878,9.714564,2.059683,0.709865,0.005129,0.023421,-0.000848
15879,9.631213,2.052778,0.684190,-0.006012,0.024278,-0.001303
15880,9.594566,2.035063,0.650498,-0.008976,0.030022,-0.008382
15881,9.604630,2.006752,0.608253,-0.004049,0.022499,-0.012030
15882,9.608284,1.998612,0.642993,0.009382,0.011341,-0.000662
15883,9.614585,2.010929,0.664391,0.017558,0.016230,-0.007284
15884,9.553235,2.060835,0.685153,0.035087,0.008400,-0.005220
15885,9.598478,2.112275,0.728632,0.035599,-0.003408,-0.006635
15886,9.673731,2.137592,0.689674,0.018869,0.001291,-0.005610
15887,9.694356,2.111977,0.699300,-0.001348,0.022660,-0.004263
15888,9.635639,2.070427,0.715626,-0.022152,0.025791,-0.005924
15889,9.610725,1.994474,0.683012,-0.014048,0.022937,-0.014335
15890,9.592068,2.042613,0.663542,-0.000150,0.016292,-0.015507
15891,9.580040,1.991189,0.669761,0.011621,0.004538,-0.018092
15892,9.638116,2.034791,0.656257,0.024657,0.006988,-0.012939
15893,9.634023,2.044406,0.623918,0.006506,0.017119,-0.003400
15894,9.645686,1.985901,0.626930,-0.010452,0.019997,0.000894
15895,9.590927,1.935438,0.675567,0.001075,0.015030,-0.006982
15896,9.606021,1.981196,0.704162,0.019128,0.004874,-0.020878
15897,9.632687,2.080628,0.725715,0.037725,-0.011982,-0.016400
15898,9.677584,2.133582,0.768032,0.051547,-0.003174,-0.022739
15899,9.653698,2.141607,0.771175,0.038671,0.002150,-0.021764
15900,9.620766,2.117141,0.767591,0.022871,0.005484,-0.025294
15901,9.637204,2.102081,0.743736,0.012009,0.015008,-0.021264
15902,9.609442,2.118099,0.715979,0.004719,0.015606,-0.015758
15903,9.581709,2.133994,0.688190,0.004180,0.012829,-0.019556
15904,9.631879,2.116165,0.714499,-0.006630,0.015505,-0.018942
15905,9.609688,2.061287,0.668362,-0.022228,0.018888,-0.013751
15906,9.579471,2.055989,0.654589,-0.019081,0.022689,-0.012529
15907,9.604967,1.993287,0.745021,-0.026190,0.018226,-0.018088
15908,9.585353,1.959088,0.686421,-0.024400,0.021503,-0.017762
15909,9.575977,1.928089,0.680999,-0.013107,0.013858,-0.016349
15910,9.573007,1.909315,0.694558,0.008255,-0.000170,-0.022059
15911,9.634725,1.945069,0.713579,0.024988,-0.004833,-0.023063
15912,9.682403,1.986530,0.645756,0.025968,0.001577,-0.025841
15913,9.674924,2.009803,0.724016,0.032096,0.015998,-0.024342
15914,9.686914,2.036532,0.766048,0.028406,0.024899,-0.030198
15915,9.629116,2.047213,0.722349,0.039421,0.023178,-0.028094
15916,9.604970,2.055595,0.727467,0.045824,0.016223,-0.026468
15917,9.658822,2.109280,0.680660,0.045230,0.004819,-0.026030
15918,9.622152,2.093489,0.644010,0.041411,0.011932,-0.024243
15919,9.594349,2.109883,0.615510,0.025920,0.016197,-0.020705
15920,9.556990,2.126463,0.677954,0.024955,0.010667,-0.023935
15921,9.582371,2.144089,0.661370,0.020778,0.008177,-0.024980
15922,9.621645,2.156568,0.731379,0.017846,0.005309,-0.023481
15923,9.599763,2.102101,0.683701,0.004317,0.006024,-0.018651
15924,9.585927,2.112980,0.741586,0.013880,0.003757,-0.021803
15925,9.626045,2.092487,0.713105,0.014703,0.001505,-0.024707
15926,9.636427,2.065440,0.668308,0.013557,0.001915,-0.022883
15927,9.609980,2.052623,0.685270,0.015018,0.003354,-0.023638
15928,9.618234,2.087614,0.692481,0.020937,0.001379,-0.024036
15929,9.622722,2.131020,0.666118,0.021751,-0.001746,-0.020923
15930,9.637312,2.177723,0.693287,0.017182,0.000762,-0.019636
