// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
40459,9.772477,1.399554,0.799036,-0.080553,0.000650,-0.008721
40460,9.769270,1.358478,0.789355,-0.104512,0.001413,0.001513
40461,9.745806,1.305752,0.771764,-0.094659,0.000154,0.005562
40462,9.745333,1.317989,0.831109,-0.080828,-0.001924,0.003792
40463,9.778442,1.317174,0.822130,-0.065169,0.002300,0.004069
40464,9.782927,1.297357,0.838190,-0.062380,0.010262,0.001121
40465,9.790451,1.318606,0.866058,-0.059557,0.015296,-0.004448
40466,9.765295,1.326996,0.846607,-0.088006,0.027756,-0.013140
40467,9.770586,1.281682,0.748680,-0.109422,0.030974,-0.005408
40468,9.713775,1.229481,0.743494,-0.089286,0.029340,0.000183
40469,9.746660,1.229035,0.737124,-0.066265,0.023976,0.001766
40470,9.755534,1.189940,0.768908,-0.052276,0.017312,0.007359
40471,9.770756,1.231665,0.822764,-0.041464,0.011901,0.010583
40472,9.794238,1.282013,0.843823,-0.035263,0.011109,0.005324
40473,9.818980,1.272909,0.868496,-0.060031,0.020197,0.003320
40474,9.773696,1.269377,0.840813,-0.049946,0.024412,0.006941
40475,9.781170,1.289826,0.869728,-0.045649,0.023180,0.004872
40476,9.814072,1.289307,0.863046,-0.046331,0.029879,0.002644
40477,9.783867,1.329142,0.887942,-0.040776,0.029918,-0.000672
40478,9.768427,1.286179,0.839290,-0.046590,0.027380,-0.003736
40479,9.787726,1.309926,0.908969,-0.032968,0.027048,-0.006059
40480,9.802447,1.353100,0.964726,-0.043487,0.037881,-0.009696
40481,9.820762,1.297855,0.849303,-0.084702,0.045091,-0.001205
40482,9.765989,1.173081,0.789348,-0.088363,0.048370,0.001565
40483,9.720603,1.169880,0.763783,-0.064390,0.038878,0.002330
40484,9.687272,1.168833,0.777475,-0.045329,0.028522,0.004464
40485,9.709668,1.232035,0.858570,-0.028006,0.019021,0.003539
40486,9.734296,1.223147,0.882944,-0.030447,0.010654,0.000743
40487,9.722295,1.220677,0.843890,-0.033304,0.011457,0.002122
40488,9.704099,1.262616,0.907310,-0.026154,0.009440,-0.001325
40489,9.758670,1.214188,0.910036,-0.037397,0.016942,-0.008842
40490,9.733692,1.222988,0.889796,-0.034613,0.021947,-0.004934
40491,9.695922,1.242265,0.887272,-0.021887,0.014114,-0.007541
40492,9.703212,1.264068,0.914739,-0.024976,0.006567,-0.008404
40493,9.662452,1.243321,0.898828,-0.008783,0.000028,-0.011689
40494,9.695454,1.244675,0.889002,0.005291,-0.002387,-0.009698
