// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Roll,Pitch,Yaw
10774,,9.741460,-0.272470,0.615333,-0.019280,-0.048316,-0.027588,-24.917108,-86.139263,14.361093
10775,,9.812916,-0.302872,0.591369,-0.016923,-0.058070,-0.037998,-24.842773,-86.178326,14.276152
10776,,9.841947,-0.327754,0.646892,-0.007719,-0.056259,-0.034839,-24.778100,-86.215961,14.206903
10777,,9.862595,-0.311806,0.598328,-0.007212,-0.060433,-0.043972,-24.655463,-86.257846,14.079857
10778,,9.839025,-0.286142,0.642900,-0.000382,-0.058086,-0.044677,-24.510671,-86.298760,13.934539
10779,,9.901972,-0.280967,0.666625,0.002862,-0.058874,-0.046666,-24.349507,-86.340217,13.774677
10780,,9.906458,-0.309764,0.653240,-0.000490,-0.057551,-0.046938,-24.177342,-86.381330,13.601883
10781,,9.920596,-0.288395,0.658769,-0.003153,-0.056095,-0.043497,-24.027948,-86.419930,13.450377
10782,,9.942348,-0.289782,0.689180,-0.002398,-0.058664,-0.043911,-23.879083,-86.460862,13.299848
10783,,9.935221,-0.262764,0.658547,0.002740,-0.055646,-0.044769,-23.705553,-86.498516,13.127563
10784,,9.939339,-0.247515,0.685920,-0.002098,-0.049196,-0.044189,-23.511092,-86.534484,12.931537
10785,,9.884935,-0.266393,0.676813,-0.009523,-0.046685,-0.048452,-23.264462,-86.567089,12.679015
10786,,9.906681,-0.267182,0.708732,-0.015403,-0.036583,-0.052017,-22.951998,-86.598065,12.357154
10787,,9.907421,-0.306570,0.665128,-0.014096,-0.030761,-0.048167,-22.635532,-86.620345,12.032081
10788,,9.862857,-0.319169,0.636712,-0.008919,-0.022723,-0.050330,-22.272292,-86.643391,11.663093
10789,,9.898499,-0.347376,0.641738,-0.001218,-0.015753,-0.046362,-21.910468,-86.655386,11.299955
10790,,9.881046,-0.326675,0.636880,0.001514,-0.012358,-0.039234,-21.596540,-86.670293,10.986363
10791,,9.953705,-0.316063,0.643654,0.001412,-0.006962,-0.030963,-21.357133,-86.672312,10.747299
10792,,10.022615,-0.317015,0.618378,0.005080,-0.001660,-0.023275,-21.146215,-86.678032,10.538941
10793,,10.026785,-0.348401,0.610958,-0.004012,0.006354,-0.017126,-21.006162,-86.668326,10.396219
10794,,10.091459,-0.317102,0.594647,-0.007045,0.011596,-0.014129,-20.839640,-86.665011,10.225371
10795,,9.977294,-0.285828,0.635137,-0.015291,0.011488,-0.004828,-20.828981,-86.648983,10.205705
10796,,9.967779,-0.335995,0.617569,-0.021350,0.014258,-0.001674,-20.776431,-86.641688,10.140812
10797,,9.944201,-0.359443,0.629183,-0.016591,0.013209,0.006021,-20.872094,-86.620933,10.227055
10798,,9.939941,-0.326927,0.638376,-0.013620,0.018376,0.010002,-20.906888,-86.609048,10.254094
10799,,9.898571,-0.334689,0.647343,-0.000621,0.025146,0.011242,-21.025791,-86.579226,10.372629
10800,,9.890090,-0.268937,0.665564,0.008460,0.032554,0.010781,-21.005482,-86.559592,10.357140
10801,,9.909676,-0.257583,0.626555,0.004048,0.045233,0.009210,-21.051587,-86.517703,10.404736
10802,,9.909361,-0.258693,0.631055,0.000972,0.045460,0.013503,-21.016277,-86.490617,10.369913
