// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Roll,Pitch,Yaw
63130,,9.239458,-2.219138,2.872665,0.003164,-0.013863,-0.036628,-36.320998,-68.583014,-1.304819
63131,,9.251351,-2.228262,2.814072,0.002255,-0.012436,-0.041050,-36.287276,-68.602566,-1.337366
63132,,9.248296,-2.234314,2.835015,-0.003043,-0.012057,-0.033868,-36.259512,-68.619616,-1.369057
63133,,9.265209,-2.215668,2.843715,-0.007421,-0.009548,-0.032115,-36.243591,-68.634862,-1.387173
63134,,9.234458,-2.244542,2.822928,-0.011087,-0.010954,-0.030106,-36.223850,-68.650120,-1.415192
63135,,9.273558,-2.233080,2.805878,-0.015798,-0.011112,-0.026617,-36.219799,-68.664375,-1.427672
63136,,9.220501,-2.255930,2.810354,-0.013080,-0.012992,-0.028232,-36.205130,-68.679937,-1.451464
63137,,9.223740,-2.285634,2.795408,-0.011281,-0.017003,-0.024420,-36.214112,-68.696231,-1.445234
63138,,9.242980,-2.299339,2.790017,0.000993,-0.021946,-0.029066,-36.198123,-68.716214,-1.461783
63139,,9.241958,-2.264859,2.801501,0.002572,-0.018044,-0.028110,-36.196447,-68.734260,-1.461862
63140,,9.275235,-2.303493,2.814774,0.004929,-0.023744,-0.033026,-36.175008,-68.756411,-1.481836
63141,,9.319991,-2.262578,2.864224,0.003887,-0.022498,-0.031543,-36.178602,-68.777509,-1.475945
63142,,9.283215,-2.268818,2.878068,0.002386,-0.020538,-0.032271,-36.156669,-68.797921,-1.498005
63143,,9.302549,-2.282049,2.872797,-0.000916,-0.018129,-0.026960,-36.169109,-68.814956,-1.486084
63144,,9.285427,-2.263863,2.874834,-0.004941,-0.011804,-0.021904,-36.156090,-68.827822,-1.503081
63145,,9.300162,-2.287709,2.892244,-0.007199,-0.010642,-0.018075,-36.173890,-68.837668,-1.494110
63146,,9.298497,-2.254624,2.904591,-0.004548,-0.006829,-0.013569,-36.166248,-68.845415,-1.505100
63147,,9.294681,-2.263133,2.926420,-0.010217,0.004835,-0.013188,-36.188795,-68.844936,-1.489727
63148,,9.292372,-2.230839,2.940183,-0.011496,0.010439,-0.004716,-36.180626,-68.841702,-1.505549
63149,,9.325980,-2.231118,2.947486,-0.012023,0.016840,-0.000802,-36.209814,-68.831878,-1.484890
63150,,9.309498,-2.247531,2.939283,-0.011470,0.023147,0.006667,-36.204124,-68.818923,-1.498038
63151,,9.298733,-2.213668,2.900756,-0.013828,0.028841,0.011587,-36.237822,-68.795659,-1.475631
63152,,9.281689,-2.231093,2.893594,-0.012681,0.034612,0.015368,-36.233190,-68.774458,-1.488394
63153,,9.282190,-2.191609,2.887861,-0.017520,0.037825,0.014915,-36.265420,-68.747725,-1.471505
63154,,9.280579,-2.193834,2.891347,-0.022424,0.046722,0.020591,-36.262024,-68.719159,-1.488940
63155,,9.228952,-2.212110,2.879068,-0.024510,0.049210,0.023559,-36.299912,-68.685894,-1.468935
63156,,9.349118,-2.263535,2.885625,-0.026263,0.054363,0.024796,-36.297065,-68.652395,-1.488149
63157,,9.415146,-2.340338,2.898313,-0.021218,0.053623,0.029430,-36.342604,-68.614053,-1.457041
63158,,9.601715,-2.488924,3.012332,-0.014758,0.066992,0.042257,-36.342794,-68.568794,-1.465918
63159,,9.750372,-2.534680,3.140007,-0.009934,0.090100,0.076480,-36.405232,-68.494070,-1.415745
63160,,9.867664,-2.720857,3.232875,-0.007818,0.121876,0.123524,-36.448895,-68.395864,-1.373623
63161,,10.133803,-3.099422,3.441112,0.000939,0.160000,0.197253,-36.592205,-68.244608,-1.231873
63162,,10.506823,-3.390170,3.802447,0.027739,0.235420,0.288774,-36.706481,-68.037627,-1.091642
63163,,10.978120,-4.022953,4.219653,0.061003,0.358788,0.422224,-36.913118,-67.707589,-0.847404
63164,,11.356522,-5.202490,4.525092,0.171986,0.519665,0.601448,-37.046581,-67.262465,-0.596286
63165,,11.335736,-5.819667,4.490974,0.336216,0.687331,0.820791,-37.285918,-66.617491,-0.153437
63166,,11.429716,-5.865160,4.660283,0.495588,0.820482,1.047182,-37.437383,-65.879772,0.322237
63167,,11.474697,-5.679061,4.871507,0.616285,0.953587,1.280158,-37.797856,-64.923905,1.069169
63168,,11.483642,-5.312887,5.014939,0.705829,1.073687,1.483168,-38.004853,-63.916541,1.747013
63169,,11.271385,-5.015383,4.954829,0.788399,1.169645,1.636134,-38.386465,-62.708279,2.633604
63170,,11.044758,-4.912050,4.907396,0.892159,1.278167,1.740804,-38.491370,-61.514702,3.330685
63171,,10.808397,-5.088570,4.929300,1.035128,1.378552,1.823947,-38.641432,-60.154997,4.139191
63172,,10.595774,-5.366689,5.051284,1.141146,1.490902,1.902215,-38.529317,-58.807764,4.768196
63173,,10.333033,-5.385991,5.400525,1.184708,1.631416,1.990894,-38.497114,-57.256206,5.497589
63174,,9.902465,-5.302414,6.028707,1.150554,1.748187,2.086769,-38.313574,-55.728927,6.068400
63175,,9.649634,-5.268657,6.630699,1.037679,1.837110,2.187770,-38.301321,-54.037758,6.761949
63176,,9.675943,-5.462046,7.300719,0.905410,1.956962,2.271452,-38.220805,-52.352051,7.309821
63177,,9.567911,-6.076277,7.810073,0.835886,2.100089,2.358156,-38.261045,-50.429053,7.947367
63178,,9.363340,-6.483560,8.063672,0.835094,2.223838,2.444046,-38.148658,-48.562463,8.429479
63179,,8.975534,-6.413468,8.247234,0.878185,2.354312,2.516794,-38.104900,-46.444597,9.001918
63180,,8.383924,-6.125879,8.304394,0.888801,2.472404,2.576798,-37.891721,-44.420094,9.418206
63181,,7.764545,-5.772918,8.443713,0.861453,2.552114,2.623880,-37.780495,-42.165101,9.941597
63182,,7.237212,-5.698114,8.710063,0.794854,2.631349,2.664712,-37.575521,-40.039391,10.323334
63183,,6.733027,-5.756025,8.990174,0.712127,2.696627,2.713597,-37.461473,-37.689571,10.718633
63184,,6.194707,-5.646831,8.891700,0.637110,2.746369,2.756664,-37.318740,-35.480972,11.092463
63185,,5.703193,-5.750620,8.810023,0.590526,2.787649,2.781986,-37.217032,-33.063423,11.461226
63186,,5.251395,-5.990007,8.608149,0.606840,2.802169,2.794037,-37.060614,-30.817740,11.823739
63187,,4.894862,-6.227643,8.542476,0.675234,2.820295,2.801418,-36.865140,-28.380425,12.177192
63188,,4.488867,-6.143656,8.498331,0.774161,2.824281,2.807200,-36.587040,-26.122346,12.539695
63189,,4.023677,-6.161698,8.552374,0.872288,2.831553,2.812881,-36.250130,-23.683137,12.900519
63190,,3.501123,-6.056454,8.457837,0.990465,2.825845,2.814542,-35.828363,-21.425879,13.281874
63191,,2.881021,-5.868241,8.434363,1.124137,2.816753,2.791427,-35.320620,-19.011595,13.658924
63192,,2.361653,-5.826699,8.364942,1.263633,2.787365,2.762518,-34.718980,-16.796117,14.058824
63193,,2.013262,-5.420453,8.164171,1.403956,2.745562,2.713115,-34.024114,-14.453325,14.459494
63194,,1.515323,-4.917982,8.284811,1.486474,2.704879,2.638609,-33.267215,-12.326286,14.871330
63195,,1.020430,-4.418708,8.645331,1.520498,2.668231,2.555987,-32.468054,-10.086832,15.269960
63196,,0.397392,-3.816673,9.223987,1.502839,2.670907,2.451618,-31.666822,-8.045004,15.653370
63197,,-0.505360,-3.643537,9.646244,1.437049,2.671634,2.350180,-30.862193,-5.879861,16.004446
63198,,-1.156510,-3.858033,9.767535,1.381688,2.662034,2.245620,-30.098746,-3.913541,16.341568
63199,,-1.662881,-4.427638,9.616093,1.392988,2.628177,2.123857,-29.271442,-1.838064,16.648871
63200,,-1.693078,-5.162197,9.352374,1.487249,2.564762,1.985389,-28.423367,-0.002864,16.936998
63201,,-1.613209,-5.190620,8.877600,1.638658,2.477977,1.839587,-27.432521,1.917137,17.201519
63202,,-1.733269,-4.593017,8.611922,1.705471,2.388846,1.675928,-26.443443,3.571544,17.438468
63203,,-1.776673,-4.095437,8.558123,1.638429,2.294425,1.528278,-25.446750,5.307691,17.650647
63204,,-1.735223,-4.117361,8.592376,1.504234,2.196137,1.398443,-24.563687,6.785924,17.846673
63205,,-1.611792,-4.475449,8.565889,1.379786,2.090227,1.270968,-23.710867,8.341405,18.024006
63206,,-1.540136,-4.712765,8.359923,1.316345,1.979746,1.150967,-22.931249,9.643297,18.183139
63207,,-1.619907,-4.510524,8.140624,1.299518,1.857643,1.026466,-22.133342,11.003938,18.320574
63208,,-1.788741,-4.103720,7.807930,1.269456,1.714613,0.885603,-21.383449,12.103625,18.430533
63209,,-1.839672,-3.785332,7.395313,1.220124,1.556462,0.732645,-20.650932,13.225356,18.501657
63210,,-1.841386,-3.637213,7.035843,1.178274,1.369584,0.560775,-19.968134,14.071985,18.532099
63211,,-1.794452,-3.398741,6.857087,1.145243,1.188888,0.388447,-19.309820,14.914863,18.506532
63212,,-1.736688,-3.060263,6.840615,1.104288,1.001007,0.202823,-18.697332,15.494157,18.427495
63213,,-1.575921,-2.768169,6.915327,1.036241,0.831882,0.015610,-18.144810,16.062999,18.271668
63214,,-1.257499,-2.679238,6.982107,0.925811,0.669036,-0.164248,-17.674065,16.397991,18.056261
63215,,-1.000229,-2.661190,6.999242,0.825252,0.523180,-0.339249,-17.288574,16.723678,17.759963
63216,,-0.892135,-2.601160,7.069740,0.755321,0.391748,-0.507779,-16.958945,16.851699,17.401142
63217,,-0.821285,-2.793906,7.021391,0.728463,0.254725,-0.663603,-16.674607,16.960789,16.967185
63218,,-0.590497,-2.887607,6.805530,0.743184,0.122618,-0.804024,-16.388616,16.896236,16.485278
63219,,-0.519126,-2.911327,6.488691,0.797548,-0.031043,-0.939206,-16.102609,16.789111,15.939678
63220,,-0.371116,-2.453360,6.129795,0.828255,-0.214595,-1.078701,-15.794939,16.500239,15.355309
63221,,-0.129213,-1.829116,6.137869,0.783182,-0.411657,-1.202400,-15.544104,16.130138,14.717999
63222,,0.149029,-1.176558,6.280487,0.627686,-0.601077,-1.294150,-15.360837,15.599803,14.071014
63223,,0.299638,-0.850042,6.468748,0.387909,-0.774935,-1.386145,-15.335106,14.986958,13.389190
63224,,0.642641,-1.344008,6.678867,0.153378,-0.938890,-1.460576,-15.419805,14.245526,12.703349
63225,,1.394191,-2.234158,6.825481,0.004862,-1.084540,-1.508601,-15.593655,13.422824,12.011346
63226,,1.904083,-2.997718,6.769712,0.009895,-1.207586,-1.531728,-15.738961,12.518815,11.336552
63227,,2.121507,-3.356538,6.673406,0.122777,-1.343147,-1.534111,-15.820208,11.522101,10.680459
63228,,2.338401,-3.264937,6.650463,0.299764,-1.462031,-1.534970,-15.768015,10.475838,10.051238
63229,,2.687289,-2.802792,6.680252,0.467035,-1.559745,-1.543763,-15.630370,9.334822,9.425832
63230,,2.934823,-2.324925,6.873118,0.560967,-1.631791,-1.554497,-15.402126,8.194848,8.811165
63231,,2.954228,-1.982170,7.013272,0.612867,-1.676156,-1.571344,-15.157401,6.966154,8.185071
63232,,2.994622,-1.900705,7.296591,0.644056,-1.695545,-1.598418,-14.858578,5.789806,7.548708
63233,,3.254853,-1.940664,7.532987,0.677984,-1.688304,-1.638124,-14.550622,4.530443,6.880865
63234,,3.563024,-1.905531,7.730659,0.693335,-1.662121,-1.645673,-14.199596,3.372969,6.202890
