// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Roll,Pitch,Yaw
08832,,9.833345,0.132217,0.956815,-0.018753,0.001349,-0.020135,7.815267,-84.391136,-33.668783
08833,,9.826361,0.076964,0.974017,-0.021748,0.000642,-0.017094,7.805235,-84.389723,-33.640568
08834,,9.825956,0.081741,0.950194,-0.024271,0.006503,-0.018255,7.891581,-84.384604,-33.741304
08835,,9.803146,0.072117,0.974249,-0.033324,0.005002,-0.018394,7.969184,-84.380215,-33.838254
08836,,9.788229,0.039555,0.995253,-0.031060,0.010007,-0.018043,8.047243,-84.373098,-33.934573
08837,,9.827061,0.003008,0.990353,-0.033553,0.006295,-0.015208,8.107970,-84.368252,-34.014935
08838,,9.850074,0.012098,0.991870,-0.023244,0.009550,-0.014943,8.172696,-84.361623,-34.093359
08839,,9.795856,0.020569,0.994744,-0.020753,0.013264,-0.017778,8.243010,-84.352543,-34.176050
08840,,9.803636,-0.000898,0.992912,-0.016456,0.015308,-0.014518,8.304001,-84.342667,-34.246813
08841,,9.764186,0.041706,0.976027,-0.018250,0.016873,-0.019070,8.370632,-84.331313,-34.324454
08842,,9.764020,0.043283,0.977617,-0.025783,0.015513,-0.017648,8.443460,-84.321042,-34.412486
08843,,9.794866,0.029693,0.976839,-0.031054,0.019159,-0.015869,8.473662,-84.308624,-34.460976
08844,,9.818500,-0.037572,0.969008,-0.035844,0.020012,-0.017384,8.534860,-84.295811,-34.543116
08845,,9.873086,-0.050043,1.017551,-0.034062,0.018550,-0.014377,8.540246,-84.284032,-34.568550
08846,,9.872890,-0.048761,1.019517,-0.036108,0.021620,-0.018827,8.607563,-84.270175,-34.656996
08847,,9.888605,-0.093169,1.014951,-0.032555,0.018801,-0.014355,8.590345,-84.258124,-34.659077
08848,,9.857075,-0.073840,0.995064,-0.024750,0.018452,-0.012790,8.632422,-84.246574,-34.715620
08849,,9.825847,-0.057999,0.999458,-0.009645,0.020757,-0.009449,8.569996,-84.234003,-34.659375
08850,,9.826311,-0.063991,1.049349,-0.004837,0.010539,-0.007040,8.597781,-84.227430,-34.690086
08851,,9.794019,0.031463,1.039416,-0.003592,0.012399,-0.008454,8.513261,-84.219514,-34.608413
08852,,9.785611,0.058644,1.019750,-0.012925,0.012709,-0.013136,8.568644,-84.211196,-34.671523
08853,,9.754666,0.004953,0.964547,-0.017957,0.014955,-0.013006,8.485836,-84.200856,-34.599957
08854,,9.785870,-0.012313,0.987694,-0.020965,0.014343,-0.011515,8.526056,-84.191753,-34.652457
08855,,9.824777,-0.049264,0.983187,-0.020440,0.011126,-0.008638,8.406662,-84.184613,-34.545917
08856,,9.824675,-0.048667,0.984229,-0.015651,0.010275,-0.007120,8.428896,-84.178195,-34.577280
08857,,9.824864,-0.051530,1.009431,-0.003321,0.010685,-0.005468,8.269549,-84.172302,-34.421115
08858,,9.840152,-0.023614,1.038569,-0.002560,0.006182,-0.005783,8.295223,-84.168319,-34.448404
08859,,9.824987,-0.053840,1.035238,0.002967,0.010194,-0.005466,8.123757,-84.162619,-34.276170
08860,,9.785554,-0.012425,1.017815,-0.003294,0.010362,-0.000838,8.118208,-84.156668,-34.272497
08861,,9.801407,-0.057811,1.012443,0.000697,0.014445,-0.005179,7.882319,-84.146484,-34.036144
08862,,9.801268,-0.057422,1.013813,0.005494,0.013486,-0.002116,7.886548,-84.138655,-34.037229
08863,,9.755270,-0.076365,1.037628,0.006993,0.013846,-0.003633,7.604587,-84.128795,-33.751878
08864,,9.793021,-0.033867,1.019591,0.009272,0.009488,-0.002375,7.615677,-84.123215,-33.757684
08865,,9.800886,-0.056537,1.017549,0.011290,0.015783,0.001184,7.386267,-84.114225,-33.522094
