// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
52371,9.820238,-0.367281,0.546528,0.024097,0.006631,0.018282
52372,9.840885,-0.417141,0.604188,0.021489,0.011048,0.020127
52373,9.857857,-0.406758,0.577684,0.019071,0.004428,0.021453
52374,9.888412,-0.384995,0.608174,0.005643,0.008740,0.016848
52375,9.888305,-0.386678,0.608842,0.000782,0.004529,0.017603
52376,9.876436,-0.440320,0.622475,-0.004772,0.008589,0.021346
52377,9.862717,-0.474352,0.622516,-0.005805,0.012076,0.024380
52378,9.843618,-0.469153,0.637033,-0.006844,0.011157,0.025017
52379,9.773151,-0.459849,0.621253,0.000460,0.012955,0.024833
52380,9.771209,-0.442066,0.608443,-0.005306,0.010432,0.019504
52381,9.755701,-0.455997,0.594602,0.003940,0.011459,0.024763
52382,9.755527,-0.458338,0.595662,0.002196,0.010000,0.023595
52383,9.791417,-0.456092,0.556051,0.007593,0.012353,0.024667
52384,9.768839,-0.410888,0.542866,0.009337,0.013806,0.025828
52385,9.785735,-0.421637,0.573136,0.007429,0.014360,0.027078
52386,9.797419,-0.372756,0.561710,0.005358,0.016928,0.030745
52387,9.817848,-0.403298,0.563808,-0.000745,0.014035,0.027862
52388,9.851920,-0.401862,0.566737,-0.005632,0.014449,0.024313
52389,9.850035,-0.384345,0.554193,-0.003020,0.014426,0.024860
52390,9.830977,-0.378751,0.568747,-0.003398,0.009862,0.018221
52391,9.901235,-0.372145,0.530480,-0.005481,0.008030,0.019498
52392,9.851504,-0.389671,0.514901,-0.007581,0.010816,0.016475
52393,9.847856,-0.371545,0.544008,-0.007959,0.006256,0.009839
52394,9.842566,-0.332963,0.558791,-0.019286,0.003414,0.005855
52395,9.894001,-0.317439,0.533575,-0.028680,0.008812,0.005395
52396,9.863067,-0.361950,0.560090,-0.038963,-0.002136,0.002673
52397,9.895640,-0.338322,0.547703,-0.046977,0.004551,-0.000873
52398,9.897329,-0.358288,0.561438,-0.057789,-0.004550,-0.005440
52399,9.902605,-0.397409,0.546447,-0.065450,-0.002112,-0.007142
52400,9.870067,-0.420881,0.558414,-0.070162,0.000683,-0.010736
52401,9.853095,-0.411581,0.529133,-0.075061,-0.003310,-0.016708
52402,9.801698,-0.426567,0.554312,-0.071937,-0.000574,-0.018639
52403,9.822412,-0.452533,0.554167,-0.069703,-0.005155,-0.024753
52404,9.769379,-0.446514,0.565473,-0.063116,0.000727,-0.031023
52405,9.771404,-0.442909,0.522740,-0.062260,-0.005152,-0.034063
52406,9.790332,-0.468431,0.564826,-0.056689,-0.000419,-0.033001
52407,9.809419,-0.472917,0.551086,-0.057056,-0.000581,-0.037270
52408,9.806002,-0.450169,0.579387,-0.048371,0.002528,-0.040507
52409,9.844031,-0.461494,0.552508,-0.044554,0.001422,-0.043021
