// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
57598,9.761546,-0.995319,0.742350,0.012854,0.004169,-0.010682
57599,9.733416,-0.951915,0.722361,0.009565,0.002856,-0.016162
57600,9.736289,-0.950895,0.746860,-0.003525,0.001595,-0.015501
57601,9.785315,-0.978436,0.765449,-0.014466,0.003996,-0.018226
57602,9.790347,-1.031265,0.763745,-0.022537,0.001254,-0.015626
57603,9.792649,-1.083714,0.737645,-0.025185,0.002691,-0.015448
57604,9.844079,-1.076706,0.707554,-0.016831,0.004852,-0.015832
57605,9.867581,-1.062999,0.729936,-0.011253,0.001398,-0.013976
57606,9.839444,-1.019655,0.709540,-0.012440,0.001424,-0.015036
57607,9.796132,-0.990518,0.739605,-0.019882,0.000627,-0.011294
57608,9.785699,-1.022473,0.714939,-0.025946,-0.006293,-0.014538
57609,9.760186,-1.068199,0.740437,-0.027420,-0.005674,-0.017816
57610,9.721940,-1.093014,0.767750,-0.017389,-0.009431,-0.018453
57611,9.755621,-1.099093,0.762698,-0.010565,-0.009783,-0.018824
57612,9.812152,-1.145756,0.729698,-0.008421,-0.006112,-0.022207
57613,9.812435,-1.143726,0.729079,0.004056,-0.006002,-0.019493
57614,9.838379,-1.094438,0.702328,0.008847,-0.003763,-0.023057
57615,9.867504,-1.080903,0.772824,0.010935,-0.003220,-0.023153
57616,9.836652,-1.036226,0.727790,0.007891,-0.007453,-0.018615
57617,9.822270,-0.995334,0.828058,-0.009598,-0.005294,-0.018750
57618,9.850420,-1.000030,0.774946,-0.025913,-0.003949,-0.022344
57619,9.845162,-1.085780,0.748210,-0.032439,-0.003399,-0.015238
57620,9.876544,-1.126839,0.792025,-0.021792,-0.005988,-0.019251
57621,9.835628,-1.151045,0.795282,-0.005763,-0.006737,-0.017876
57622,9.820296,-1.127987,0.772372,0.005240,-0.006002,-0.018440
57623,9.818204,-1.072554,0.798022,0.008804,-0.006079,-0.015259
57624,9.828900,-1.038221,0.821587,0.006392,-0.008373,-0.009574
57625,9.841870,-1.058303,0.818803,0.003707,-0.009290,-0.001587
57626,9.829072,-1.037801,0.820058,0.000800,-0.005697,0.005417
57627,9.819002,-1.018152,0.845716,-0.001577,-0.005645,0.003297
57628,9.800642,-0.996573,0.798701,-0.017268,-0.002359,0.000854
57629,9.813508,-1.017136,0.796513,-0.024623,0.002310,-0.006492
