// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
00522,9.479650,-1.433347,2.215603,0.027544,0.011449,-0.010625
00523,9.442982,-1.417898,2.233155,0.028799,0.010456,-0.010894
00524,9.467837,-1.423806,2.186527,0.026172,0.009999,-0.009146
00525,9.479386,-1.428485,2.219870,0.032354,0.012027,-0.012152
00526,9.481317,-1.386979,2.265927,0.027103,0.011114,-0.008662
00527,9.484389,-1.394528,2.208516,0.024699,0.015544,-0.009312
00528,9.500612,-1.422628,2.235804,0.026343,0.012888,-0.005959
00529,9.484016,-1.392097,2.211649,0.020093,0.010417,-0.007318
00530,9.498792,-1.406228,2.185773,0.023539,0.009545,-0.007381
00531,9.520414,-1.403525,2.197982,0.018223,0.008188,-0.008266
00532,9.498598,-1.403882,2.188121,0.021023,0.011532,-0.006834
00533,9.483589,-1.387441,2.216404,0.013841,0.007945,-0.008673
00534,9.466622,-1.411086,2.199994,0.017353,0.007520,-0.004368
00535,9.451687,-1.394703,2.227878,0.016678,0.003850,-0.009957
00536,9.488820,-1.353289,2.204070,0.018757,0.001530,-0.008549
00537,9.510556,-1.350521,2.215764,0.018542,0.006080,-0.009001
00538,9.484037,-1.327701,2.211674,0.013229,0.004721,-0.009890
00539,9.488491,-1.403456,2.214245,0.006160,0.003572,-0.012932
00540,9.478943,-1.355729,2.227232,0.014419,0.003280,-0.014522
00541,9.483930,-1.377176,2.221340,0.004727,0.001674,-0.015827
00542,9.474045,-1.383414,2.242240,0.000238,-0.001013,-0.015042
00543,9.477585,-1.391194,2.183142,0.001994,-0.001224,-0.012889
00544,9.501032,-1.402151,2.246927,0.002860,-0.000557,-0.016777
00545,9.496478,-1.377416,2.252954,0.003076,-0.005106,-0.016321
00546,9.513700,-1.350951,2.269804,0.000820,-0.005679,-0.020891
00547,9.529068,-1.364278,2.242103,-0.002303,-0.006918,-0.021573
00548,9.568007,-1.335842,2.270139,-0.000724,-0.000585,-0.025437
00549,9.526201,-1.404286,2.309003,-0.009443,0.000911,-0.031824
00550,9.486191,-1.468062,2.236075,-0.006796,-0.000175,-0.023632
00551,9.496307,-1.512218,2.223383,-0.005972,-0.001500,-0.021955
00552,9.455128,-1.473293,2.245558,0.005409,-0.000540,-0.022862
00553,9.475603,-1.455668,2.203804,0.008817,-0.003400,-0.017362
00554,9.481085,-1.422974,2.189089,0.009748,-0.002283,-0.016884
00555,9.439538,-1.438408,2.219613,0.011505,-0.002491,-0.014733
00556,9.435162,-1.360075,2.217239,-0.001671,-0.005239,-0.010415
00557,9.398838,-1.381418,2.075274,-0.043616,-0.026385,-0.002336
00558,9.330524,-1.521973,1.956708,-0.046818,-0.061910,0.022231
00559,9.356716,-1.566207,1.743714,0.035513,-0.125085,0.011539
00560,9.537312,-1.237472,1.712604,0.091906,-0.115513,-0.016452
00561,9.395562,-1.350772,1.732941,0.046710,-0.119475,-0.018967
00562,9.550678,-1.675513,1.901626,0.075877,-0.136542,0.010559
00563,9.744386,-1.571527,2.422010,0.106032,-0.068704,0.028895
00564,9.818624,-1.609879,3.096588,0.091703,0.000376,0.040225
00565,9.773995,-1.498167,3.605517,0.067981,0.048408,0.045352
00566,9.753455,-1.368656,3.682222,0.012047,0.097791,0.048610
00567,9.641416,-1.408403,3.259282,-0.036495,0.142302,0.036002
00568,9.468396,-1.546636,2.486422,-0.001309,0.133832,0.027252
00569,9.491409,-1.496972,1.844469,0.057464,0.101160,0.011515
00570,9.459749,-1.482768,1.587166,0.100105,0.068931,-0.007341
00571,9.392626,-1.453176,1.342802,0.122802,0.028721,-0.020069
00572,9.440597,-1.293321,1.283304,0.123303,0.008215,-0.039924
00573,9.335674,-1.323539,1.335552,0.080265,0.001953,-0.041256
00574,9.206653,-1.504561,1.348604,0.041048,-0.018221,-0.030582
00575,9.191623,-1.611957,1.555950,-0.008066,-0.029523,-0.009129
00576,9.316096,-1.793305,2.146313,-0.052227,-0.012551,0.020773
00577,9.511090,-2.010234,2.818334,-0.024392,0.013605,0.061639
00578,9.621964,-2.030484,3.355920,0.055557,0.046379,0.098476
00579,9.688560,-1.929052,3.693237,0.123016,0.068209,0.120057
00580,9.605030,-1.779178,3.834201,0.205676,0.059657,0.119520
00581,9.607671,-1.663082,3.490671,0.292390,0.057350,0.109238
00582,9.495097,-1.458935,2.609438,0.341726,0.059423,0.089373
00583,9.524587,-1.240142,1.772434,0.328329,0.053193,0.057219
00584,9.638762,-1.127100,1.109904,0.253170,0.079037,0.020523
00585,9.574313,-0.755040,0.704660,0.166859,0.088948,-0.020974
00586,9.540351,-0.708004,0.827075,-0.014755,0.117653,-0.054002
00587,9.284008,-1.135436,1.133226,-0.138423,0.111045,-0.046272
00588,9.057498,-1.599073,1.381207,-0.187453,0.065867,-0.005759
00589,9.099231,-1.722219,1.903855,-0.217881,0.046424,0.028814
00590,9.256307,-2.038376,2.760005,-0.187513,0.059771,0.076254
00591,9.450128,-2.318048,3.483030,-0.089158,0.110396,0.124125
00592,9.496978,-2.206925,4.165060,0.010824,0.142400,0.161369
00593,9.635056,-2.053518,4.454954,0.107635,0.148736,0.172491
00594,9.631795,-1.991784,4.186246,0.195219,0.146269,0.177755
00595,9.594612,-1.873195,3.347563,0.268041,0.129302,0.183034
00596,9.503286,-1.757008,2.249626,0.337615,0.102079,0.172010
00597,9.593424,-1.337647,1.399293,0.339853,0.083641,0.153654
00598,9.548984,-1.184684,0.788289,0.241146,0.091278,0.132383
00599,9.382877,-1.032852,0.512323,0.140178,0.086467,0.110241
00600,9.205515,-1.067686,0.594441,0.005362,0.080720,0.102976
00601,8.984785,-1.535492,0.967686,-0.058694,0.069708,0.119930
00602,8.877590,-1.845411,1.621019,-0.111862,0.053887,0.153178
00603,9.112278,-2.187423,2.669543,-0.150793,0.077097,0.195664
00604,9.408426,-2.622841,3.813850,-0.098232,0.138959,0.253259
00605,9.509325,-2.733706,4.605308,-0.002990,0.201459,0.292588
00606,9.589499,-2.402346,5.024430,0.082317,0.226486,0.313440
00607,9.578937,-2.127434,4.747564,0.143064,0.209657,0.316730
00608,9.535061,-2.043808,3.841549,0.187111,0.185113,0.294281
00609,9.388887,-1.982415,2.724717,0.226590,0.143941,0.275937
00610,9.452588,-2.078029,1.549770,0.247994,0.109740,0.247460
00611,9.410060,-2.003762,1.115582,0.249045,0.110616,0.225070
00612,9.349552,-1.970495,0.973863,0.293083,0.111724,0.201516
00613,9.109117,-1.825041,0.997189,0.224595,0.102339,0.203096
00614,8.931396,-2.096188,1.241658,0.187987,0.080559,0.218848
00615,8.941068,-2.074727,1.674230,0.145716,0.076466,0.253003
00616,9.059484,-2.247741,2.627201,0.097941,0.107439,0.292689
