// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
33880,9.637789,0.503385,1.753123,0.015698,-0.001637,-0.007172
33881,9.657508,0.572685,1.722692,0.021608,-0.000935,-0.007814
33882,9.649783,0.625829,1.736885,0.014223,0.003495,-0.006171
33883,9.655598,0.606164,1.773778,0.005192,0.005487,-0.007079
33884,9.682169,0.586451,1.823715,0.009127,0.009847,-0.014009
33885,9.667049,0.567614,1.848275,0.005471,0.006631,-0.008969
33886,9.653736,0.516919,1.821932,-0.001805,0.004633,-0.012768
33887,9.665473,0.457884,1.754282,0.009676,0.004085,-0.001093
33888,9.746260,0.432553,1.809118,0.027296,0.012624,0.002424
33889,9.803679,0.382554,1.855321,0.028182,0.022010,0.022442
33890,9.953282,0.369455,1.893115,0.032265,0.032483,0.045773
33891,10.301077,0.358233,1.935346,0.036702,0.036211,0.088476
33892,10.671887,0.489948,1.992548,0.003162,0.048121,0.128606
33893,10.991378,0.395621,2.034629,-0.061248,0.059032,0.169187
33894,11.250520,0.052363,1.886252,-0.139973,0.059843,0.205757
33895,11.324727,-0.597358,1.744130,-0.149300,0.077587,0.232754
33896,10.968661,-1.082563,1.747899,0.025479,0.143576,0.237166
33897,10.384340,-1.083045,2.194675,0.285269,0.216097,0.237142
33898,9.827548,-0.655067,2.664455,0.361006,0.234933,0.251841
33899,9.508622,-0.343156,2.834791,0.290017,0.220530,0.300458
33900,9.489017,-0.282776,2.742925,0.271216,0.218416,0.380764
33901,9.718489,-0.159668,2.674017,0.291278,0.247007,0.463153
33902,9.974102,-0.056960,2.567974,0.236292,0.281878,0.545244
33903,10.086238,-0.215949,2.493473,0.174190,0.322739,0.601917
33904,10.135523,-0.334269,2.522330,0.162417,0.376064,0.646158
33905,10.097641,-0.297789,2.700336,0.168385,0.427955,0.679930
33906,10.027381,-0.156947,2.894222,0.158308,0.457968,0.713708
33907,10.038580,-0.191528,3.037501,0.080206,0.462986,0.752789
33908,10.130797,-0.286967,2.921481,0.037298,0.475044,0.802907
33909,10.102670,-0.366093,2.814265,0.028149,0.522836,0.840662
33910,10.040818,-0.252874,2.786161,0.059983,0.582395,0.843496
33911,9.923140,-0.127129,2.932678,0.028222,0.639510,0.854236
33912,9.921061,-0.085094,3.033613,-0.071519,0.679062,0.856865
33913,9.876837,-0.262030,2.992073,-0.196545,0.714095,0.870629
33914,9.759704,-0.461060,2.879760,-0.255933,0.757654,0.878010
33915,9.643535,-0.264169,3.047222,-0.244602,0.791297,0.861208
33916,9.572206,-0.731544,2.899256,-0.438459,0.766852,0.853021
33917,9.671429,-1.044451,2.917524,-0.388636,0.819715,0.840505
33918,9.779945,-1.107673,3.339582,-0.324214,0.878468,0.833074
33919,9.846421,-1.180962,3.650559,-0.381030,0.905488,0.866726
33920,9.802627,-1.494384,3.680244,-0.446285,0.923872,0.901086
33921,9.667776,-1.819364,3.615647,-0.386287,0.939909,0.929289
33922,9.482513,-2.071492,3.585305,-0.303456,0.946785,0.953291
33923,9.432153,-2.341696,3.538577,-0.234004,0.936988,0.994199
33924,9.553292,-2.592653,3.524917,-0.164172,0.927318,1.049518
33925,9.626738,-2.879555,3.591500,-0.073427,0.962484,1.103975
33926,9.573310,-3.045314,3.687439,0.058409,1.007414,1.141911
33927,9.486587,-3.093590,3.820511,0.133842,1.038613,1.197439
33928,9.350464,-3.192301,3.770102,0.151530,1.037374,1.252409
33929,9.190201,-3.343242,3.617377,0.166467,1.018776,1.296743
33930,9.006279,-3.425403,3.544965,0.193856,0.990931,1.344982
33931,9.058866,-3.492644,3.667433,0.209488,0.968801,1.394878
33932,9.068403,-3.570278,3.861034,0.192793,0.968249,1.442867
33933,9.081613,-3.716049,4.023803,0.161388,0.973062,1.513732
33934,9.030915,-3.992113,3.986968,0.122930,0.977734,1.589094
33935,8.929879,-4.174384,3.891764,0.129772,0.969909,1.672934
33936,8.799510,-4.261101,3.824693,0.179538,0.964331,1.726510
33937,8.711507,-4.224381,3.905749,0.199318,0.955932,1.771103
33938,8.618346,-4.273021,3.955438,0.172231,0.944829,1.812480
33939,8.569300,-4.257684,4.224330,0.126310,0.942639,1.868200
33940,8.510401,-4.337321,4.392343,0.059206,0.937862,1.941355
33941,8.403783,-4.426520,4.555443,0.000339,0.941825,2.008867
33942,8.328076,-4.334821,4.808800,-0.045876,0.951930,2.058198
33943,8.335243,-4.437630,4.851808,-0.167105,0.932589,2.105169
33944,8.240993,-4.722655,4.808623,-0.232706,0.920510,2.141147
33945,8.088096,-4.842053,4.815912,-0.210953,0.922500,2.151745
33946,7.998644,-4.917274,4.928377,-0.228413,0.905562,2.153563
33947,7.898532,-5.111265,4.889104,-0.230384,0.875375,2.159160
33948,7.855336,-5.223365,4.796668,-0.190762,0.863552,2.156555
33949,7.897189,-5.285568,4.904203,-0.128568,0.854451,2.149037
33950,7.899572,-5.347952,5.099567,-0.065858,0.866567,2.135689
33951,7.766138,-5.448199,5.375207,0.038217,0.886710,2.102048
33952,7.478074,-5.371869,5.639838,0.134848,0.887208,2.069168
33953,7.147128,-5.280596,5.652770,0.191968,0.883994,2.040374
33954,6.892125,-5.246857,5.593023,0.249665,0.894854,2.000065
33955,6.533682,-5.044756,5.728211,0.272617,0.905346,1.946584
33956,6.490615,-4.977453,5.833509,0.243305,0.871333,1.924327
33957,6.470883,-5.115349,5.750206,0.229639,0.869975,1.898368
33958,6.224668,-5.216300,5.855407,0.284251,0.910873,1.866747
33959,5.976579,-5.263948,5.956905,0.315789,0.926572,1.835810
33960,5.756278,-5.414431,5.953326,0.342538,0.937954,1.807677
33961,5.589877,-5.503401,5.937674,0.418300,0.947289,1.770712
33962,5.461580,-5.572394,6.038146,0.475815,0.962032,1.728583
33963,5.353867,-5.532253,6.167618,0.534730,0.995699,1.689468
33964,5.099522,-5.343613,6.153848,0.573351,1.009691,1.650514
33965,4.853289,-5.217896,6.237542,0.585210,1.009011,1.606641
33966,4.784726,-5.205373,6.162625,0.564783,1.002414,1.563530
33967,4.588204,-5.266295,6.120937,0.543401,0.995573,1.520727
33968,4.412479,-5.281759,6.181148,0.526146,0.994009,1.474838
33969,4.234325,-5.357050,6.287870,0.516353,1.010127,1.430851
33970,3.930783,-5.435937,6.343817,0.531541,1.026137,1.385846
33971,3.602049,-5.493528,6.349045,0.517331,1.017399,1.351837
33972,3.373270,-5.631743,6.324324,0.516591,0.994826,1.314946
