// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
50916,9.754201,0.359387,1.082627,0.025628,0.010002,-0.020170
50917,9.805608,0.413581,1.084756,0.042954,0.008208,-0.017460
50918,9.796788,0.435958,1.075151,0.044063,0.012775,-0.015246
50919,9.784918,0.448339,1.106730,0.033058,0.009960,-0.008340
50920,9.800106,0.481941,1.043381,0.013036,0.004045,-0.013249
50921,9.796409,0.439886,1.077002,-0.004503,0.002871,-0.007289
50922,9.822290,0.379789,1.108577,-0.012155,-0.000044,-0.010437
50923,9.833353,0.336109,1.070733,-0.019507,0.010844,-0.008541
50924,9.825101,0.390771,1.069201,-0.010913,0.010922,-0.009827
50925,9.805118,0.456179,1.098401,-0.009683,0.013045,-0.006451
50926,9.796310,0.477288,1.089030,-0.001357,0.008663,-0.011426
50927,9.813967,0.471426,1.118835,0.004470,0.013317,-0.010601
50928,9.801508,0.449542,1.143029,0.009576,0.015428,-0.007126
50929,9.792689,0.470513,1.133747,0.011147,0.009729,-0.004371
50930,9.822106,0.453411,1.132817,0.010657,0.010650,-0.006273
50931,9.833172,0.409837,1.095419,0.004590,0.010877,-0.009433
50932,9.812103,0.408444,1.108754,0.002029,0.009572,-0.013229
50933,9.793626,0.383026,1.073107,-0.004391,0.008777,-0.013006
50934,9.831212,0.312610,1.074683,-0.007305,0.006450,-0.013419
50935,9.803619,0.273773,1.020687,-0.004024,0.010300,-0.012268
50936,9.753005,0.289780,1.035909,0.002059,0.010573,-0.004987
50937,9.742109,0.368671,1.082955,0.016810,0.006993,-0.010178
50938,9.763390,0.406202,1.079036,0.022370,0.007191,-0.013037
50939,9.712784,0.423041,1.093621,0.031558,0.003418,-0.015364
50940,9.781924,0.470027,1.124060,0.037499,0.005641,-0.013365
50941,9.781790,0.471674,1.124540,0.039565,0.007873,-0.011466
50942,9.820341,0.468939,1.141760,0.039808,0.011841,-0.011893
50943,9.846144,0.409449,1.174523,0.034506,0.016111,-0.005347
50944,9.848607,0.386417,1.126960,0.050950,0.013253,-0.009357
50945,9.866222,0.381042,1.156790,0.063056,0.012329,-0.007133
50946,9.975271,0.297899,1.132739,0.069737,0.018119,0.000465
50947,9.985036,0.152725,1.073511,0.084527,0.025435,0.009013
50948,9.900958,0.123397,0.975992,0.115013,0.026864,0.012112
50949,9.830655,0.237040,1.027342,0.144026,0.022732,0.016424
50950,9.778180,0.344537,1.106518,0.148186,0.013936,0.007760
50951,9.767653,0.457654,1.159896,0.139065,0.005447,0.005837
50952,9.729402,0.496308,1.150700,0.124901,0.005193,0.009972
50953,9.661129,0.518630,1.135592,0.118469,0.004416,0.010211
50954,9.715780,0.580135,1.094965,0.115053,0.003017,0.007922
50955,9.748543,0.572076,1.051845,0.118398,0.003438,0.002046
50956,9.766708,0.600474,1.087886,0.115595,0.007526,0.000028
50957,9.778926,0.624480,1.064626,0.104078,0.004037,-0.007348
50958,9.779735,0.693730,1.079172,0.089582,0.011048,-0.006817
50959,9.779584,0.695341,1.079504,0.070849,0.007145,-0.008425
50960,9.779893,0.730752,1.086963,0.045484,0.007261,-0.012230
50961,9.788329,0.712509,1.098480,0.022538,0.010617,-0.017545
50962,9.781756,0.675630,1.032964,-0.002332,0.009816,-0.019449
50963,9.786495,0.614978,1.079167,-0.023096,0.012990,-0.021694
50964,9.755760,0.567216,1.067629,-0.035062,0.010885,-0.026902
50965,9.763325,0.481440,1.065439,-0.033717,0.011157,-0.018232
50966,9.812827,0.400249,1.038611,-0.024797,0.012278,-0.022845
50967,9.770747,0.397628,1.064144,-0.015872,0.004571,-0.024623
50968,9.761520,0.385942,1.046841,-0.013929,0.009796,-0.019806
