// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
62118,9.847280,-1.355907,1.411103,-0.110195,-0.003023,0.094761
62119,9.887548,-1.486660,1.424174,-0.160012,-0.011608,0.108558
62120,9.953047,-1.683250,1.380011,-0.188857,-0.020154,0.129732
62121,9.983057,-1.833719,1.338001,-0.195105,-0.023954,0.152413
62122,9.959207,-1.880608,1.331255,-0.177275,-0.042024,0.190195
62123,9.987732,-1.731624,1.292479,-0.162427,-0.048425,0.228276
62124,10.048199,-1.633372,1.352674,-0.164425,-0.063887,0.265071
62125,10.054773,-1.585466,1.353129,-0.192862,-0.079366,0.317904
62126,10.191541,-1.669247,1.316261,-0.227780,-0.092536,0.384911
62127,10.227334,-1.836339,1.212119,-0.265712,-0.105009,0.457976
62128,10.313815,-2.099568,1.141879,-0.287653,-0.113469,0.541537
62129,10.411819,-2.387880,1.207302,-0.294221,-0.124730,0.642882
62130,10.542319,-2.606457,1.184129,-0.293712,-0.132095,0.740275
62131,10.735242,-2.693307,1.222573,-0.316974,-0.148122,0.855120
62132,10.952818,-2.913694,1.293298,-0.360713,-0.140669,0.986348
62133,11.036692,-3.224753,1.290256,-0.377909,-0.139382,1.111939
62134,11.156493,-3.476566,1.280943,-0.370285,-0.134444,1.233784
62135,11.106655,-3.690954,1.293454,-0.320969,-0.125845,1.348587
62136,11.041688,-3.888269,1.430757,-0.234105,-0.101254,1.444514
62137,10.868559,-4.161356,1.487210,-0.126824,-0.043096,1.527224
62138,10.616237,-4.563296,1.539398,0.028765,-0.005042,1.613876
62139,10.824793,-4.958515,1.516760,0.210254,0.027191,1.698905
62140,11.114318,-5.310228,1.238282,0.438300,0.118182,1.756707
62141,11.361008,-5.911977,1.275924,0.692042,0.290739,1.810117
62142,10.842168,-6.832531,1.433345,1.098957,0.332964,1.892948
62143,10.877186,-7.095211,1.363658,1.492233,0.357924,1.987828
62144,10.763262,-6.975307,1.386036,1.854602,0.445701,2.047895
62145,10.584116,-6.567755,1.497995,2.069062,0.511092,2.113572
62146,10.453769,-6.026682,1.803355,2.123319,0.578870,2.206987
62147,10.330651,-5.740558,2.105850,2.033693,0.651736,2.306061
62148,10.283594,-5.872392,2.398903,1.885419,0.747012,2.383973
62149,10.130195,-6.165955,2.991152,1.750469,0.846054,2.463555
62150,10.069216,-6.987892,3.103183,1.645767,0.940518,2.539017
62151,9.826313,-7.646630,3.211283,1.674986,1.076722,2.606883
62152,9.334501,-8.180020,3.058643,1.745145,1.137187,2.696264
62153,8.982599,-8.040470,3.268004,1.753827,1.186080,2.797429
62154,8.591131,-7.419794,3.489338,1.680480,1.262834,2.866241
62155,8.302224,-7.315488,3.849493,1.472835,1.317449,2.923726
62156,8.097747,-7.824510,4.290714,1.257336,1.376078,3.017981
62157,7.824346,-8.317414,4.560740,1.088011,1.449427,3.099242
62158,7.430351,-8.542803,4.742448,1.014015,1.511167,3.165608
62159,6.985416,-8.558759,4.700863,0.974809,1.562250,3.220679
62160,6.583926,-8.450014,4.724749,0.926371,1.597526,3.271003
62161,6.078332,-7.966426,4.765678,0.836509,1.636155,3.329432
62162,5.594061,-7.362368,4.938095,0.621886,1.646004,3.408504
62163,5.145910,-6.974142,5.027783,0.257368,1.638986,3.503754
62164,4.759739,-6.847347,5.175273,-0.106776,1.633438,3.563719
62165,4.377677,-7.178937,5.289772,-0.405457,1.628788,3.607539
62166,4.040645,-7.767615,5.317722,-0.559017,1.603693,3.651455
62167,3.664969,-8.713829,5.186972,-0.541251,1.582711,3.688069
62168,3.203069,-9.415594,4.959907,-0.263481,1.547740,3.692054
62169,2.761586,-9.586514,4.567377,0.171473,1.503926,3.673295
62170,2.399229,-9.199803,4.444184,0.606085,1.461744,3.642765
62171,2.062169,-8.609756,4.548241,0.948094,1.435548,3.618932
62172,1.763726,-7.859185,4.731126,1.113715,1.410396,3.589311
62173,1.458785,-7.379734,4.962188,1.119920,1.364474,3.574979
62174,1.120432,-7.175470,5.075954,1.049486,1.320548,3.551651
62175,0.750072,-7.149412,5.085443,0.972868,1.288393,3.503471
62176,0.335165,-7.370221,5.034364,0.980016,1.271400,3.441103
62177,-0.070575,-7.532932,4.980613,1.090889,1.240283,3.353722
62178,-0.306252,-7.643704,4.928074,1.265810,1.217172,3.255438
62179,-0.526716,-7.758159,4.835073,1.455626,1.214742,3.160734
62180,-0.663866,-7.798440,5.039647,1.641706,1.202989,3.057117
62181,-0.732309,-7.716873,5.274847,1.777039,1.202915,2.979943
62182,-0.824839,-7.357783,5.436888,1.842827,1.202000,2.906197
62183,-1.272892,-6.755944,5.450908,1.823241,1.203837,2.817414
62184,-1.863233,-6.492812,5.584793,1.711629,1.188413,2.745969
62185,-2.424725,-6.534218,5.582995,1.595169,1.150900,2.677967
62186,-2.807605,-6.585980,5.596968,1.533260,1.097163,2.580216
62187,-2.924461,-6.362364,5.678653,1.605627,1.055274,2.455541
62188,-3.198402,-6.087907,5.711898,1.733134,1.025590,2.301810
62189,-3.414759,-6.036860,5.755189,1.850465,1.006801,2.167592
62190,-3.674226,-5.933755,5.715723,1.941729,0.971147,2.042820
62191,-3.908496,-5.560892,5.768222,1.955095,0.913047,1.933370
62192,-4.070085,-5.048047,6.074980,1.883567,0.850310,1.833556
62193,-4.133643,-4.672349,6.541333,1.688001,0.783398,1.744626
62194,-4.117726,-4.578805,6.833115,1.454465,0.737015,1.661095
62195,-4.230073,-4.644359,6.793095,1.263907,0.696854,1.541587
62196,-4.478112,-4.733920,6.446586,1.166610,0.654607,1.410073
62197,-4.726911,-4.864284,6.056923,1.196907,0.608177,1.262069
62198,-4.933330,-4.832072,5.769400,1.315525,0.547289,1.098596
62199,-5.079209,-4.445706,5.761247,1.471709,0.470816,0.935328
62200,-5.152169,-3.754448,5.743697,1.565396,0.396892,0.779625
62201,-5.296802,-3.175453,5.864654,1.525144,0.310021,0.641339
62202,-5.339344,-2.645958,6.104517,1.367095,0.210217,0.497518
62203,-5.189599,-2.275947,6.383400,1.129243,0.112316,0.364432
62204,-4.889718,-2.402783,6.481987,0.874731,0.036653,0.238382
62205,-4.694960,-3.007491,6.375671,0.725037,-0.021102,0.091677
62206,-4.690902,-3.811123,6.222644,0.739571,-0.087384,-0.048704
62207,-4.629224,-4.289238,6.013378,0.952050,-0.163971,-0.202476
62208,-4.520608,-4.222897,6.036886,1.252260,-0.242189,-0.364940
